DateTime,Entries,UniqueIPs
1529665630,113,113
1529669207,114,114
1529672815,114,114
1529676423,113,113
1529680002,113,113
1529683627,114,114
1529687198,116,116
1529690816,117,117
1529694418,116,116
1529698013,114,114
1529701623,114,114
1529705228,113,113
1529708837,112,112
1529712438,113,113
1529716007,110,110
1529719601,113,113
1529723192,114,114
1529726773,113,113
1529730392,112,112
1529733994,111,111
1529737587,112,112
1529741191,112,112
1529744792,113,113
1529748397,114,114
1529752004,112,112
1529755578,113,113
1529759190,114,114
1529762767,113,113
1529766410,113,113
1529769985,113,113
1529773613,112,112
1529777192,113,113
1529780804,113,113
1529784404,111,111
1529787985,110,110
1529791593,111,111
1529795180,112,112
1529798798,111,111
1529802389,112,112
1529806008,113,113
1529809601,114,114
1529813180,112,112
1529816800,114,114
1529820390,114,114
1529827586,115,115
1529831203,115,115
1529834812,115,115
1529838370,116,116
1529842011,113,113
1529845585,116,116
1529849200,115,115
1529852804,114,114
1529856379,115,115
1529860005,113,113
1529863585,112,112
1529867198,114,114
1529870791,113,113
1529874392,114,114
1529877988,116,116
1529881581,116,116
1529885213,116,116
1529888812,115,115
1529892422,114,114
1529896008,115,115
1529899592,113,113
1529903230,115,115
1529906805,116,116
1529910413,115,115
1529913991,114,114
1529917593,113,113
1529921201,113,113
1529924800,113,113
1529928405,113,113
1529932003,112,112
1529935595,114,114
1529939187,115,115
1529942806,116,116
1529946419,116,116
1529950023,116,116
1529953604,116,116
1529957188,114,114
1529960796,113,113
1529964406,112,112
1529968012,112,112
1529971608,113,113
1529975192,113,113
1529978797,113,113
1529982413,115,115
1529986005,114,114
1529989605,113,113
1529993204,114,114
1529996774,115,115
1530000363,114,114
1530003967,114,114
1530007560,112,112
1530011173,111,111
1530014770,113,113
1530018373,113,113
1530021967,114,114
1530025577,114,114
1530029162,113,113
1530032759,114,114
1530036370,113,113
1530039962,111,111
1530043567,111,111
1530047163,113,113
1530050767,114,114
1530054370,113,113
1530058000,114,114
1530061722,115,115
1530065210,113,113
1530068800,112,112
1530072402,111,111
1530076010,111,111
1530079587,113,113
1530083202,114,114
1530086790,114,114
1530094011,112,112
1530097600,113,113
1530101208,111,111
1530104807,110,110
1530108387,111,111
1530112022,111,111
1530115591,111,111
1530119203,111,111
1530122792,112,112
1530126409,112,112
1530130007,112,112
1530137210,114,114
1530140797,113,113
1530144409,116,116
1530148022,116,116
1530151609,113,113
1530155232,112,112
1530158822,110,110
1530162436,112,112
1530169609,112,112
1530176825,113,113
1530184038,114,114
1530187617,113,113
1530191218,113,113
1530198420,113,113
1530202013,113,113
1530205626,113,113
1530212829,110,110
1530216427,110,110
1530223626,112,112
1530227221,113,113
1530230818,111,111
1530234399,111,111
1530238026,111,111
1530241610,113,113
1530245221,111,111
1530248822,111,111
1530252432,112,112
1530255998,110,110
1530259607,113,113
