DateTime,Entries,UniqueIPs
1529647739,149,149
1529651331,149,149
1529654914,150,150
1529658524,150,150
1529662111,150,150
1529665739,151,151
1529669313,151,151
1529672916,151,151
1529676519,150,150
1529683733,149,149
1529690918,150,150
1529694525,151,151
1529698111,150,150
1529701722,149,149
1529705330,150,150
1529708941,149,149
1529712540,148,148
1529716106,150,150
1529719704,150,150
1529723295,150,150
1529726873,151,151
1529734100,151,151
1529737690,152,152
1529741292,151,151
1529744891,150,150
1529748498,148,148
1529752109,146,146
1529755678,148,148
1529759295,148,148
1529762867,145,145
1529766514,143,143
1529770088,145,145
1529773718,148,148
1529777290,148,148
1529780910,147,147
1529784508,142,142
1529788087,146,146
1529791694,149,149
1529795279,151,151
1529802493,149,149
1529806112,144,144
1529809703,149,149
1529813281,148,148
1529816900,147,147
1529820491,147,147
1529824102,147,147
1529827689,148,148
1529831302,147,147
1529834910,151,151
1529838475,150,150
1529842116,150,150
1529845686,148,148
1529849304,146,146
1529856484,147,147
1529860111,148,148
1529863689,149,149
1529867303,148,148
1529870897,142,142
1529874495,147,147
1529878085,146,146
1529881682,148,148
1529885343,150,150
1529888947,150,150
1529892561,149,149
1529896111,151,151
1529899726,149,149
1529903338,147,147
1529906914,150,150
1529910524,150,150
1529917703,149,149
1529921316,148,148
1529924914,148,148
1529928510,148,148
1529932109,149,149
1529939289,148,148
1529942921,149,149
1529946529,148,148
1529950133,150,150
1529953710,150,150
1529960906,149,149
1529964518,148,148
1529968126,144,144
1529971709,146,146
1529975297,147,147
1529978897,149,149
1529982516,149,149
1529986106,149,149
1529989703,149,149
1529993303,148,148
1529996877,143,143
1530000462,150,150
1530004067,149,149
1530007661,146,146
1530011280,148,148
1530014871,151,151
1530018472,151,151
1530022066,151,151
1530025673,151,151
1530029265,148,148
1530032859,151,151
1530040069,150,150
1530043669,149,149
1530047266,150,150
1530050872,139,139
1530054470,147,147
1530058101,149,149
1530061859,151,151
1530065313,153,153
1530068906,151,151
1530072504,151,151
1530076112,151,151
1530079692,148,148
1530083305,149,149
1530086900,149,149
1530090506,150,150
1530094116,151,151
1530097702,151,151
1530101313,150,150
1530104903,152,152
1530108487,152,152
1530112120,149,149
1530115689,149,149
1530119304,142,142
1530122894,147,147
1530126509,147,147
1530130105,149,149
1530133696,149,149
1530137311,150,150
