DateTime,AddedIPs,RemovedIPs
1530525642,67,73
1530528096,113,396
1530529951,132,623
1530531852,79,55
1530533786,91,99
1530535701,58,82
1530537616,94,151
1530539673,285,70
1530541712,206,138
1530543623,89,117
1530545542,130,132
1530547470,93,141
1530549371,367,150
1530551292,121,620
1530553226,169,1231
1530555133,171,116
1530557048,168,107
1530558986,170,97
1530560893,196,89
1530562806,153,98
1530564786,191,118
1530566923,144,124
1530569016,127,107
1530571001,95,67
1530572911,101,115
1530574882,109,58
1530576775,96,116
1530578655,75,76
1530580655,92,935
1530582768,95,2091
1530584651,104,1611
1530586854,90,243
1530588748,137,72
1530590667,68,76
1530592722,103,65
1530594749,93,86
1530596652,66,66
1530598576,171,102
1530600513,106,201
1530602416,87,79
1530604357,90,5526
1530606270,98,923
1530608193,238,75
1530610096,103,91
1530612071,126,71
1530614512,132,230
1530616364,86,109
1530618252,95,90
1530620437,106,112
1530622340,83,93
1530624270,88,93
1530626175,96,577
1530628111,135,225
1530630040,82,103
1530631968,978,144
1530633806,106,94
1530636408,305,89
1530638331,93,370
1530640407,102,122
1530642263,99,133
1530644183,75,123
1530646033,133,115
1530647916,76,202
1530649829,89,100
1530651760,111,216
1530654119,117,132
1530655948,172,101
1530657852,64,77
1530659781,82,104
1530661813,437,92
1530663862,1911,108
1530665787,372,80
1530667718,126,75
1530669645,83,78
1530671606,120,88
1530673715,96,127
1530675645,75,106
1530677552,91,76
1530679518,123,131
1530681377,84,83
1530683306,109,66
1530685217,101,159
1530687130,80,201
1530689059,96,105
1530690980,85,71
1530692910,82,82
1530694858,121,245
1530696752,98,104
1530698685,191,138
1530701360,156,122
1530703221,82,96
1530705137,87,78
1530707055,115,112
1530708976,84,98
1530710986,107,90
1530713120,117,144
1530715863,130,147
1530717887,513,103
1530719791,970,76
1530721700,894,300
1530723651,1353,73
1530725560,118,106
1530727893,139,125
1530729885,110,70
1530731787,99,120
1530733724,79,96
1530735618,96,75
1530737546,1310,100
1530739502,81,110
1530741385,73,164
1530743309,115,111
1530745260,104,52
1530747168,2220,66
1530749068,1008,1084
1530750994,749,1368
1530752901,1446,81
1530754813,63,106
1530756735,66,100
1530758671,72,107
1530760822,88,88
1530762736,76,67
1530764668,63,84
1530766569,61,134
1530768493,82,102
1530771392,102,178
1530773312,91,82
1530775271,97,112
1530777146,5497,61
1530779055,527,93
1530781026,89,142
1530782952,105,93
1530784871,58,151
1530786740,100,132
1530788672,97,88
1530790840,309,71
1530792751,154,134
1530794658,89,74
1530796594,91,129
1530798520,72,83
1530800424,94,96
1530802358,77,90
1530804274,127,1302
1530806199,103,954
1530808098,93,106
1530810991,151,147
1530812819,69,67
1530814821,148,96
1530816737,83,95
1530818681,85,96
1530820585,114,81
1530822753,119,763
1530825317,159,510
1530827303,158,68
1530829228,610,93
1530831179,1225,118
1530833253,96,183
1530835242,90,74
1530837172,79,2089
1530839072,92,1640
1530840989,90,60
1530842905,100,71
1530844836,87,79
1530846766,72,98
1530848671,86,75
1530850605,67,85
1530852500,62,61
1530854434,61,79
1530856372,98,74
1530858261,197,68
1530860188,67,85
1530862117,122,906
1530864051,117,5124
1530865963,2392,91
1530867891,3623,90
1530869811,82,95
1530871959,105,132
1530874111,108,296
1530876032,108,100
1530877966,113,517
1530879879,120,147
1530881785,588,71
1530884579,209,129
1530886578,989,86
1530888915,188,94
1530890902,141,170
1530893790,2051,141
1530895698,1279,223
1530897631,102,89
1530899584,108,100
1530901458,148,124
1530903374,161,84
1530905294,137,78
1530907240,98,101
1530909145,139,86
1530911119,88,114
1530913002,94,163
1530914920,124,201
1530916821,75,1242
1530918746,80,713
1530920674,71,3094
1530922580,78,82
1530924505,102,80
1530926416,105,87
1530928344,75,77
1530930274,105,95
1530932191,88,74
1530934094,82,78
1530936269,105,98
1530938194,126,60
1530940116,91,52
1530942027,290,77
1530943952,103,153
1530945881,118,126
1530947790,137,74
1530949703,76,124
1530951616,106,203
1530953589,196,5450
1530955478,109,112
1530957472,108,95
1530959296,680,98
1530961240,91,97
1530963135,92,106
1530965071,111,118
1530967219,124,125
1530969157,110,576
1530971097,82,136
1530972987,118,93
1530975063,76,130
1530977326,606,159
1530979251,59,92
1530981162,2179,113
1530983061,492,113
1530984992,1624,121
1530986931,85,135
1530988813,70,185
1530990760,180,125
1530992700,80,101
1530994591,121,552
1530996520,176,3875
1530998430,133,771
1531000358,128,103
1531002277,135,106
1531004913,157,124
1531006829,102,75
1531008982,107,97
1531011162,105,116
