DateTime,AddedIPs,RemovedIPs
1529867072,1,4
1529868971,4,4
1529871809,5,1
1529873769,3,2
1529875688,2,1
1529877710,2,0
1529879533,5,2
1529881467,4,3
1529883385,1,2
1529885318,2,0
1529887228,1,0
1529889137,3,2
1529891056,4,0
1529892972,1,3
1529894890,4,0
1529898741,5,4
1529900662,2,4
1529902571,3,3
1529904498,3,1
1529906499,3,5
1529910272,2,0
1529912179,1,0
1529914117,5,0
1529916015,4,0
1529917939,1,10
1529919869,2,1
1529921779,0,5
1529923698,3,3
1529925628,4,2
1529927534,4,3
1529929481,3,2
1529931373,2,3
1529933294,4,5
1529936198,4,4
1529938095,2,1
1529940009,3,0
1529941945,1,2
1529943857,0,3
1529945771,4,3
1529947712,4,4
1529949688,4,1
1529951555,1,6
1529953459,2,0
1529955373,5,4
1529957311,1,4
1529959458,1,4
1529961375,1,2
1529963311,3,2
1529965218,7,5
1529967386,1,3
1529969294,0,2
1529971287,5,2
1529975075,1,3
1529976975,3,5
1529978898,1,2
1529980832,1,3
1529982738,2,1
1529984675,1,3
1529986580,3,4
1529988495,2,3
1529990432,2,3
1529992348,3,2
1529994254,5,1
1529996188,3,2
1529998098,1,0
1530000085,5,4
1530002195,2,5
1530004113,2,1
1530006032,3,2
1530007941,1,0
1530009855,1,3
1530011788,0,4
1530013692,0,6
1530015621,2,3
1530017556,1,2
1530019456,0,3
1530021386,0,4
1530023297,0,2
1530025291,0,2
1530027136,0,2
1530030974,0,1
1530032919,1,5
1530034815,0,3
1530036737,1,3
1530038669,2,1
1530040583,2,3
1530042611,2,4
1530044427,0,1
1530046338,2,2
1530048254,1,1
1530050185,0,5
1530052339,1,4
1530054258,1,1
1530056187,2,2
1530058107,2,3
1530060030,1,0
1530061943,3,1
1530063874,1,3
1530065784,0,1
1530067702,1,1
1530069631,1,2
1530071548,1,2
1530073493,2,3
1530075376,2,2
1530077322,2,2
1530079300,2,4
1530081147,0,3
1530083068,1,3
1530084981,1,3
1530086907,1,4
1530088819,3,3
1530090742,1,0
1530092698,0,3
1530094589,3,1
1530096539,1,1
1530098418,1,0
1530102289,2,2
1530104174,0,1
1530106095,2,0
1530108094,2,0
1530111862,4,0
1530113786,2,0
1530115717,1,0
1530119533,1,1
1530121467,2,0
1530123371,1,2
1530125305,1,2
1530127217,2,4
1530129158,1,0
1530131299,2,0
1530133293,1,3
1530135158,2,0
1530137069,3,0
1530139441,0,1
1530141380,1,1
1530143300,0,2
1530145233,1,3
1530147137,2,1
1530149069,2,2
1530150976,3,1
1530152906,3,1
1530154830,1,1
1530158664,1,1
1530160579,0,2
1530162504,1,2
1530164414,1,3
1530166344,2,1
1530168263,1,1
1530170179,1,0
1530172114,2,1
1530174013,1,1
1530175940,0,3
1530177860,2,1
1530179793,2,1
1530181693,3,2
1530183870,1,2
1530187732,4,0
1530189641,0,2
1530191549,0,1
1530193456,1,3
1530197566,0,2
1530199479,0,3
1530201392,0,2
1530207163,2,2
1530209078,0,2
1530210993,0,1
1530212904,0,1
1530214816,1,2
1530219147,0,3
1530221094,1,2
1530222969,1,1
1530224888,0,2
1530228741,1,1
1530231309,3,1
1530233456,0,2
1530235610,0,2
1530239477,0,7
1530245776,0,1
1530247599,0,1
1530251544,0,2
1530254659,0,2
1530256577,0,1
1530258508,4,2
1530260419,0,1
1530262369,1,1
1530264266,0,2
1530266191,0,2
1530268097,0,3
1530273911,2,4
1530277708,1,0
1530279626,0,1
1530286500,1,0
1530288518,1,0
1530292332,0,1
1530294252,1,1
1530301500,1,1
1530307213,0,1
1530309170,0,1
1530311059,3,0
1530314896,0,1
1530317777,1,3
1530321631,2,0
1530330536,3,0
1530332430,2,0
1530334386,1,0
1530336275,1,0
1530338179,2,0
1530342044,1,0
1530345876,0,4
1530349702,2,1
1530353543,2,0
1530359293,1,1
1530361226,1,1
1530363150,0,1
1530369138,1,0
1530372986,2,1
1530374933,0,1
1530378751,1,0
1530380653,0,1
1530384507,2,0
1530386409,0,1
1530398572,0,3
1530402892,0,1
1530406616,0,1
1530408640,0,1
1530412588,1,0
1530416662,0,3
1530418584,1,2
1530420509,1,0
1530422417,0,2
1530424338,0,1
1530426262,2,1
1530428179,1,1
1530430126,1,0
1530432093,1,0
1530435861,0,2
1530439719,0,2
1530445497,0,1
1530447530,0,1
1530451473,4967,0
1530455292,1,4967
1530457243,0,1
1530459139,1,2
1530462977,1,0
1530464900,0,1
1530470715,2,2
1530474572,1,0
1530480269,1,0
1530486981,2,0
1530494691,1,0
1530496587,1,0
1530498515,2,0
1530500683,2,1
1530502576,1,0
1530506429,0,2
1530512192,0,2
1530516025,0,2
1530519874,0,1
1530529952,1,0
1530531853,1,0
1530539674,1,0
1530541714,0,1
1530545543,0,1
1530547471,2,0
1530549372,1,1
1530557049,1,2
1530560894,0,1
1530566924,1,1
1530571002,2,0
1530576777,0,2
1530580656,0,1
1530582769,0,1
1530584652,2,2
1530586901,1,1
1530588749,2,2
1530590668,1,0
1530598577,1,0
1530606272,1,0
1530610097,1,0
1530612107,1,0
1530616366,0,1
1530624271,0,1
1530626176,1,0
1530628114,1,0
1530633806,0,2
1530636409,0,1
1530642264,1,0
1530644184,0,1
1530646034,1,0
1530651762,0,1
1530654120,1,1
1530657853,0,2
1530667719,1,0
1530670581,3,2
1530674412,0,2
1530676337,1,1
1530678258,3,1
1530685054,0,1
1530686905,1,0
1530690757,2,0
1530692659,3,1
1530697712,0,1
1530700252,2,0
1530706378,1,0
1530710270,1,0
1530712415,0,2
1530714451,0,1
1530720755,3,0
1530724593,1,0
1530728897,0,1
1530731789,1,1
1530733725,1,0
1530737548,2,0
1530739503,1,1
1530745351,1,0
1530752902,1,0
1530754814,0,2
1530756736,1,1
1530758672,1,1
1530760824,1,0
1530762738,0,1
1530764669,2,3
1530771393,1,0
1530773313,0,1
1530775272,1,0
1530777148,0,2
1530779057,0,3
1530781028,2,0
1530784890,1,1
1530786742,0,1
1530790842,2,0
1530792753,1,1
1530796596,2,1
1530798522,1,0
1530802360,1,0
1530804276,1,0
1530806200,0,1
1530808100,0,1
1530810993,0,1
1530816738,0,2
1530820586,0,1
1530822754,0,1
1530825319,0,2
1530831180,1,1
1530837174,1,0
1530839073,0,1
1530840990,1,0
1530842906,0,1
1530844837,1,1
1530846767,1,0
1530848672,1,1
1530852501,0,2
1530858262,0,1
1530860189,0,1
1530862118,2,0
1530864076,1,0
1530867892,0,2
1530869812,1,0
1530871959,0,1
1530877967,0,2
1530884580,1,1
1530886580,0,1
1530888917,0,1
1530890903,0,1
1530900530,1,0
1530906298,1,1
1530908191,1,0
1530910099,0,1
1530917792,0,1
1530923562,0,1
1530927400,0,1
1530931217,0,1
1530933150,0,1
1530935094,0,1
1530947792,0,1
1530949705,0,2
1530955479,0,1
1530964091,2,0
1530968194,4,0
1530975065,1,0
1530983062,0,1
1530984993,2,0
1530986932,0,1
1530988814,1,0
1530990761,1,0
1530992701,0,1
1530994592,0,1
1531030601,1,0
1531042097,2,0
1531050032,0,2
1531053859,0,4
1531055803,1,0
1531060250,1,0
1531062278,0,1
1531070306,0,2
1531076508,0,1
1531078344,0,1
1531082183,2,0
1531084343,1,0
1531095389,2,0
1531105464,2,0
1531109320,1,0
1531113407,1,0
1531115307,1,1
1531127798,0,2
1531131711,1,0
1531139548,1,0
1531141492,0,1
1531147231,0,1
1531156820,1,0
1531169408,0,1
1531173150,1,0
1531175069,1,1
