DateTime,Entries,UniqueIPs
1529867072,97,97
1529868971,97,97
1529871809,101,101
1529873769,102,102
1529875688,103,103
1529877710,105,105
1529879533,108,108
1529881467,109,109
1529883385,108,108
1529885318,110,110
1529887228,111,111
1529889137,112,112
1529891056,116,116
1529892972,114,114
1529894890,118,118
1529898741,119,119
1529900662,117,117
1529902571,117,117
1529904498,119,119
1529906499,117,117
1529910272,119,119
1529912179,120,120
1529914117,125,125
1529916015,129,129
1529917939,120,120
1529919869,121,121
1529921779,116,116
1529923698,116,116
1529925628,118,118
1529927534,119,119
1529929481,120,120
1529931373,119,119
1529933294,118,118
1529936198,118,118
1529938095,119,119
1529940009,122,122
1529941945,121,121
1529943857,118,118
1529945771,119,119
1529947712,119,119
1529949688,122,122
1529951555,117,117
1529953459,119,119
1529955373,120,120
1529957311,117,117
1529959458,114,114
1529961375,113,113
1529963311,114,114
1529965218,116,116
1529967386,114,114
1529969294,112,112
1529971287,115,115
1529975075,113,113
1529976975,111,111
1529978898,110,110
1529980832,108,108
1529982738,109,109
1529984675,107,107
1529986580,106,106
1529988495,105,105
1529990432,104,104
1529992348,105,105
1529994254,109,109
1529996188,110,110
1529998098,111,111
1530000085,112,112
1530002195,109,109
1530004113,110,110
1530006032,111,111
1530007941,112,112
1530009855,110,110
1530011788,106,106
1530013692,100,100
1530015621,99,99
1530017556,98,98
1530019456,95,95
1530021386,91,91
1530023297,89,89
1530025291,87,87
1530027136,85,85
1530030974,84,84
1530032919,80,80
1530034815,77,77
1530036737,75,75
1530038669,76,76
1530040583,75,75
1530042611,73,73
1530044427,72,72
1530046338,72,72
1530048254,72,72
1530050185,67,67
1530052339,64,64
1530054258,64,64
1530056187,64,64
1530058107,63,63
1530060030,64,64
1530061943,66,66
1530063874,64,64
1530065784,63,63
1530067702,63,63
1530069631,62,62
1530071548,61,61
1530073493,60,60
1530075376,60,60
1530077322,60,60
1530079300,58,58
1530081147,55,55
1530083068,53,53
1530084981,51,51
1530086907,48,48
