DateTime,AddedIPs,RemovedIPs
1526815840,2,0
1526817690,3,0
1526819559,1,0
1526821981,1,0
1526823858,0,1
1526831568,1,1
1526833481,1,1
1526835399,0,1
1526843087,0,2
1526844978,1,1
1526846930,0,1
1526848840,1,0
1526850771,2,0
1526852684,2,2
1526854602,1,0
1526857490,1,0
1526859384,0,1
1526863458,1,2
1526865385,1,0
1526867290,1,0
1526871131,1,0
1526874969,1,0
1526876820,1,0
1526878905,1,0
1526886789,0,1
1526888679,0,1
1526896376,0,1
1526898302,0,1
1526900224,1,2
1526902106,0,1
1526904102,0,3
1526905963,1,1
1526907880,1,1
1526911862,3,0
1526913855,1,0
1526915771,1,0
1526917709,2,1
1526919905,0,1
1526921800,1,0
1526923705,2,0
1526927578,2,0
1526929498,1,0
1526931626,0,1
1526934687,0,1
1526936695,2,2
1526938824,0,3
1526940786,2,1
1526943201,1,0
1526945094,1,0
1526948931,3,1
1526950911,2,1
1526952772,2,1
1526956683,1,1
1526958569,4,0
1526960437,1,1
1526962634,0,1
1526966705,0,1
1526988495,0,1
1526992408,0,1
1526994291,0,1
1526996720,2,2
1526998598,2,1
1527000512,1,2
1527002431,0,1
1527004368,0,2
1527006287,1,1
1527008182,0,1
1527010126,0,2
1527012103,2,0
1527014220,2,2
1527016137,3,1
1527019980,1,0
1527021896,1,0
1527024189,0,1
1527026082,1,0
1527028117,1,3
1527030143,1,0
1527031970,2,1
1527033896,0,1
1527036024,2,4
1527037971,0,1
1527039892,0,1
1527041800,2,0
1527043717,2,4
1527045630,0,2
1527064866,1,0
1527074930,1,0
1527078765,1,0
1527080682,1,0
1527082606,1,1
1527084799,1,3
1527086663,2,1
1527092427,1,1
1527094611,2,0
1527096500,1,0
1527098493,2,2
1527100350,1,2
1527102271,0,3
1527104199,1,0
1527106107,1,1
1527108021,3,1
1527111904,2,1
1527113790,0,1
1527115971,1,1
1527117875,0,1
1527119801,0,1
1527121817,1,2
1527123726,1,0
1527125574,2,0
1527127925,0,2
1527129851,1,0
1527131787,0,1
1527135958,2,0
1527139763,0,1
1527152018,0,1
1527161735,0,1
1527163965,0,1
1527167780,0,1
1527169939,0,1
1527171875,0,1
1527174152,0,2
1527179814,0,2
1527181855,0,2
1527183859,0,1
1527186044,0,2
1527192984,0,2
1527194907,0,4
1527196820,0,1
1527198754,0,1
1527202579,0,1
1527208606,0,1
1527210518,0,2
1527212425,0,1
1527216283,0,1
1527220120,0,2
1527235491,1,0
1527246987,1,0
1527250836,1,0
1527262841,1,0
1527265074,2,0
1527268927,3,0
1527276732,1,0
1527289000,2,0
1527291349,0,0
1527293545,0,0
1527295598,1,0
1527298155,0,0
1527300896,0,0
1527303218,1,0
1527305654,1,0
1527308441,0,0
1527311239,0,0
1527314159,0,0
1527320947,2,0
1527322891,0,1
1527325311,0,0
1527327529,0,0
1527336888,4,2
1527339156,0,0
1527341643,0,0
1527343538,0,0
1527346505,0,0
1527350712,3,2
1527352734,0,1
1527355500,1,3
1527358178,1,0
1527361548,0,1
1527364302,1,0
1527369501,2,0
