DateTime,AddedIPs,RemovedIPs
1528819888,7,0
1528821867,0,1
1528823771,28,0
1528827622,0,1
1528829529,0,1
1528833383,32,0
1528835287,74,0
1528837104,114,0
1528838906,125,0
1528840898,1,0
1528856171,1,0
1528860024,0,1
1528863854,0,1
1528873718,0,1
1528883291,16,0
1528890985,0,1
1528894877,0,1
1528902499,1,0
1528906348,0,2
1528910176,1,21
1528912107,71,0
1528914010,48,0
1528915952,171,0
1528918908,242,0
1528920746,121,2
1528922655,134,4
1528924585,123,9
1528926493,0,2
1528933468,1,0
1528937423,1,0
1528941137,0,1
1528951280,1,0
1528968534,0,9
1528970494,0,12
1528978113,5,0
1528983881,1,0
1528987697,0,1
1528995697,0,1
1528997545,1,27
1528999458,0,95
1529001368,2,79
1529003304,0,181
1529005209,0,201
1529007134,0,199
1529009067,0,224
1529011236,0,234
1529021081,0,1
1529022980,6,0
1529024905,0,1
1529028741,8,0
1529030668,40,0
1529032596,31,0
1529038360,0,1
1529040264,3,0
1529042177,17,0
1529065890,1,3
1529071707,0,1
1529081302,0,1
1529083228,0,3
1529085128,28,0
1529087074,0,1
1529088977,0,1
1529093878,124,0
1529096009,117,0
1529097838,124,0
1529099858,138,0
1529110584,0,5
1529114505,0,8
1529118257,0,61
1529125937,0,3
1529127864,0,10
1529129769,0,2
1529131694,1,0
1529150912,0,1
1529172092,0,37
1529177772,25,0
1529179714,33,54
1529181620,94,38
1529183540,44,42
1529185471,10,109
1529187368,0,32
1529219534,0,1
1529239691,8,0
1529241622,25,0
1529243529,2,0
1529245452,7,0
1529262735,0,8
1529264665,0,33
1529266570,0,43
1529268492,0,133
1529270424,0,222
1529280256,1,0
1529282209,2,0
1529326464,0,34
1529330302,0,3
1529332239,0,12
1529366554,1,1
1529368578,0,2
1529374353,1,0
1529387772,1,0
1529405062,1,0
1529414902,3,0
1529421760,23,0
1529423782,3,0
1529428827,36,0
1529430737,17,0
1529436493,51,0
1529439375,182,0
1529447077,1,0
1529449022,1,0
1529452847,0,1
1529460514,0,1
1529473935,0,1
1529483557,1,0
1529491224,0,1
1529501060,0,3
1529506889,0,1
1529508758,0,25
1529512836,1,0
1529514750,0,4
1529516660,1,49
1529524579,0,221
1529526498,0,12
1529534198,0,1
1529536214,0,1
1529539944,1,0
1529543797,1,0
1529549716,1,0
1529561294,1,0
1529563480,1,0
1529569235,0,1
1529581211,37,0
1529583153,13,0
1529585055,1,0
1529600916,0,1
1529602820,1,1
1529604744,4,0
1529606667,1,0
1529608587,1,0
1529610504,1,0
1529618179,133,0
1529621729,187,0
1529637144,0,1
1529639061,1,0
1529648658,0,2
1529650592,2,0
1529660679,1,0
1529668356,0,52
1529670260,0,1
1529672188,1,0
1529679963,1,0
1529681788,2,0
1529689454,1,1
1529691394,0,4
1529693299,0,1
1529695226,0,1
1529697133,1,1
1529700970,50,0
1529704869,0,141
1529706738,0,176
1529708676,0,3
1529726178,0,1
1529730087,1,0
1529737709,0,2
1529747312,0,1
1529749217,1,0
1529756901,1,0
1529758869,0,1
1529764826,0,1
1529768666,0,2
1529770836,1,0
1529776594,0,1
1529784267,1,1
1529786436,0,8
1529788348,0,42
1529798486,1,0
