DateTime,AddedIPs,RemovedIPs
1530275802,1,2
1530277710,1,1
1530279627,2,1
1530281544,5,3
1530283473,1,1
1530286502,0,11
1530288519,2,1
1530290425,0,3
1530292333,1,2
1530294254,1,1
1530296806,0,1
1530302899,0,2
1530304833,4,0
1530308653,2,0
1530310599,2,1
1530312497,1,1
1530314424,2,0
1530316347,3,1
1530318251,0,1
1530322090,1,0
1530325957,2,1
1530328112,0,1
1530330014,1,0
1530337712,0,1
1530343459,1,1
1530345379,1,1
1530347312,1,0
1530349292,2,0
1530351140,1,1
1530353078,1,0
1530354977,2,1
1530357143,0,1
1530360986,0,1
1530362891,1,0
1530369139,2,2
1530371056,2,0
1530372987,1,0
1530378752,1,2
1530380654,0,1
1530382575,1,0
1530384508,3,0
1530388332,1,1
1530390272,1,1
1530394346,3,2
1530396264,1,0
1530398574,1,3
1530400650,1,2
1530402894,4,1
1530404756,2,1
1530406618,0,1
1530408643,0,1
1530410552,1,1
1530412589,0,1
1530418586,1,0
1530420510,1,0
1530424339,1,0
1530426263,1,0
1530428181,1,0
1530430128,0,1
1530432112,2,0
1530433979,1,0
1530437810,0,2
1530439721,2,3
1530441614,1,1
1530445498,1,1
1530447531,0,2
1530451476,17952,0
1530455293,0,17951
1530457289,1,1
1530459140,0,2
1530461068,1,0
1530464902,0,1
1530468745,1,1
1530470717,3,3
1530472592,2,2
1530474573,0,1
1530476426,2,0
1530482177,0,1
1530484101,2,2
1530486096,2,1
1530487948,1,0
1530489856,2,4
1530495618,1,0
1530497612,0,1
1530499478,1,0
1530503298,0,1
1530505350,1,2
1530507398,0,1
1530509331,1,0
1530512193,0,2
1530514100,1,0
1530516028,0,2
1530517972,0,1
1530519876,1,1
1530523701,1,2
1530525694,2,0
1530528100,1,1
1530529954,0,2
1530531855,0,1
1530533789,1,0
1530535704,1,0
1530537619,4,0
1530539676,2,0
1530543694,1,1
1530545545,1,2
1530547472,1,2
1530549373,1,1
1530551294,0,1
1530555135,0,1
1530557050,0,1
1530558989,2,1
1530560895,1,1
1530562811,1,1
1530564788,0,1
1530566926,0,1
1530569018,2,2
1530572913,2,4
1530574884,1,0
1530576778,0,9
1530580657,3,2
1530582771,1,1
1530584654,1,0
1530586908,0,1
1530596654,1,1
1530600516,0,2
1530602419,1,0
1530604360,2,1
1530606273,0,2
1530610098,1,0
1530612109,0,2
1530614515,5,1
1530616367,0,1
1530620440,0,1
1530622342,0,2
1530624272,2,2
1530626177,0,1
1530630091,0,1
1530633808,1,0
1530636410,1,1
1530640409,1,0
1530642265,1,0
1530644185,0,1
1530646036,0,1
1530647918,2,0
1530649834,1,0
1530651763,1,1
1530654122,2,0
1530655950,1,0
1530657855,3,0
1530659784,0,2
1530661816,1,2
1530663865,1,2
1530665789,1,0
1530667721,1,2
1530669695,0,2
1530679520,1,0
1530681379,2,0
1530685218,0,1
1530687132,0,1
1530689060,2,0
1530690981,0,2
1530692913,1,0
1530696755,1,1
1530698687,1,4
1530701363,0,1
1530703224,2,0
1530705139,3,1
1530708979,1,0
1530710988,0,2
1530713123,1,2
1530715866,1,1
1530717890,0,3
1530719793,0,1
1530721703,1,3
1530723683,2,0
1530725563,1,1
1530727895,0,1
1530729887,1,1
1530731790,2,0
1530735621,2,2
1530737549,2,1
1530739505,1,1
1530741388,2,1
1530743312,2,1
1530745355,0,1
1530747171,12,0
1530749071,5,0
1530750997,6,0
1530752904,2,1
1530754816,2,0
1530764671,1,0
1530768496,2,2
1530770475,1,0
1530772422,2,0
1530776178,0,2
1530778113,1,1
1530780017,1,0
1530781939,1,3
1530783876,2,0
1530785737,0,1
1530787721,1,1
1530789616,1,2
1530791574,2,1
1530793454,1,0
1530796597,0,3
1530800427,1,0
1530802361,1,1
1530804277,1,0
1530806202,0,1
1530808102,0,2
1530810995,1,1
1530812822,0,1
1530814824,1,0
1530816740,1,0
1530818685,0,2
1530820588,1,2
1530822756,0,1
1530825321,2,3
1530827307,1,1
1530829231,0,2
1530831182,2,0
1530833257,1,3
1530835297,5,1
1530840992,2,2
1530846768,1,0
1530848673,2,1
1530852502,1,0
1530856374,4,1
1530858263,1,1
1530860190,0,2
1530862120,0,1
1530865965,0,1
1530867893,0,1
1530869813,0,2
1530874113,1,1
1530876034,0,1
1530877969,1,2
1530881787,1,1
1530886582,0,1
1530888919,1,3
1530896709,0,2
1530898581,3,0
1530902433,4,0
1530904483,2,0
1530906300,0,1
1530908193,2,0
1530910101,1,1
1530912051,0,3
1530913945,2,1
1530915874,2,0
1530917793,2,2
1530919724,1,0
1530921706,0,5
1530923564,0,1
1530925496,1,1
1530927401,1,0
1530933151,0,1
1530935096,0,1
1530941071,1,1
1530942990,1,2
1530944916,3,3
1530946890,1,0
1530954506,2,0
1530960500,1,0
1530962422,2,0
1530964383,1,0
1530968195,1,0
1530972101,3,0
1530973949,1,1
1530975861,2,0
1530977784,0,1
1530979734,0,2
1530981618,1,0
1530985517,0,1
1530987391,1,1
