DateTime,AddedIPs,RemovedIPs
1530707058,0,5
1530708979,4,2
1530710989,3,11
1530713123,4,3
1530715866,4,3
1530717891,435,1
1530719794,908,3
1530721704,801,176
1530723684,1222,0
1530725563,1,1
1530727896,3,1
1530729888,7,3
1530731791,3,6
1530733727,3,1
1530735622,2,1
1530737550,1460,4
1530739505,3,5
1530741388,2,1
1530743312,7,22
1530745356,19,2
1530747172,8,2
1530749072,6,1147
1530750998,9,1573
1530752905,6,2
1530754816,5,3
1530756738,4,7
1530758674,5,2
1530760826,6,7
1530762740,2,5
1530764672,12,3
1530766572,10,29
1530768497,3,2
1530770488,4,1
1530772422,8,4
1530774291,5,1
1530776179,0,3
1530778114,3,4
1530780018,2,3
1530781940,3,2
1530783877,9,36
1530785738,1,9
1530787722,5,2
1530789617,2,0
1530791574,249,2
1530793454,2,2
1530795676,3,3
1530797560,2,3
1530799468,2,4
1530801392,2,2
1530803327,3,51
1530805236,23,804
1530807190,2,450
1530809063,2,1
1530810995,4,3
1530812822,1,4
1530814824,2,5
1530816740,1,5
1530818685,2,4
1530820589,2,1
1530822756,15,1249
1530825321,4,589
1530827307,38,3
1530829231,1104,7
1530831182,2187,1
1530833257,1,7
1530835299,2,8
1530837175,3,1929
1530839075,11,92
1530840992,2,1
1530842908,3,17
1530844839,1,3
1530846768,2,4
1530848673,9,3
1530850607,0,34
1530852502,2,5
1530854437,4,1
1530856374,1,4
1530858264,3,2
1530860191,1,4
1530862121,7,1
1530864090,7,1
1530865965,1,1
1530867893,2,2
1530869813,0,7
1530871961,1,38
1530874113,4,197
1530876035,1,20
1530877969,4,476
1530879881,3,1
1530881788,452,2
1530884583,15,0
1530886582,4,3
1530888920,3,3
1530890906,1,25
1530892908,3,1
1530894757,23,4
1530896710,14,168
1530898582,26,3
1530900532,2,2
1530902434,4,0
1530904483,4,2
1530906300,5,2
1530908194,1,0
1530910101,2,10
1530912052,1,3
1530913945,3,25
1530915875,2,1457
1530917794,3,1958
1530919724,29,3
1530921707,6,2
1530923564,3,4
1530925496,3,11
1530927402,2,3
1530929314,5,3
1530931219,4,1
1530933151,6,2
1530935097,5,10
1530936973,95,0
1530938910,1,2
1530941071,5,3
1530942990,621,0
1530944917,6,4
1530946891,6,1
1530948775,5,8
1530950700,3,6
1530952580,2,3
1530954506,4,2
1530956425,1,0
1530958599,1,2
1530960501,1,3
1530962423,0,1
1530964384,4,4
1530966279,2,3
1530968196,4,453
1530970097,5,68
1530972102,6,3
1530973949,2,4
1530975861,108,1
1530977784,575,3
1530979734,1,4
1530981619,4,24
1530983585,1480,16
1530985518,542,30
1530987392,1,3
1530989325,0,4
1530991216,7,4
1530993147,2,1
1530995073,4,2
1530996982,5,0
1530998895,26,0
1531000921,17,2
1531002761,14,2
1531004916,4,5
1531006832,9,24
1531008985,3,7
1531011165,4,2
1531013089,3,3
1531014977,0,7
1531016920,22,3
1531018895,2,4
1531020767,3,7
1531022687,7,37
1531024843,38,48
1531026760,4,2
1531028689,21,447
1531030603,3,5
1531032509,117,7
1531034442,5,0
1531036358,152,5
1531038274,243,2
1531040196,2,3
1531042099,2,1
1531044095,6,1
1531046195,14,2
1531048130,6,0
1531050034,3,1
1531051948,34,4
1531053861,6,1
1531055804,27,7
1531057701,37,3
1531060252,6,4
1531062280,5,192
1531064309,3,597
1531066453,1,1
1531068392,5,9
1531070308,3,3
1531072475,5,3
1531074490,5,1
1531076510,143,5
1531078346,898,3
1531080273,4,3
1531082185,3,7
1531084345,2,4
1531086254,2,15
1531088440,1,2
1531090346,2,8
1531092268,3,6
1531094517,9,6
1531096361,2,4
1531098282,4,3
1531100419,2,1
1531102340,2,1
1531105466,3,5
1531107374,2,3
1531109322,2,6
1531111494,10,36
1531113409,2,3
1531115309,5,21
1531117224,4,4
1531119145,626,16
1531121069,4,5
1531122994,4,149
1531124895,0,220
1531126897,6,1
