DateTime,Entries,UniqueIPs
1530723684,7983,7983
1530725564,7982,7982
1530727897,7986,7986
1530729888,7988,7988
1530731791,7987,7987
1530733728,7989,7989
1530735622,7991,7991
1530737551,9446,9446
1530739506,9444,9444
1530741390,9446,9446
1530743313,9432,9432
1530745356,9450,9450
1530747172,9456,9456
1530749072,8316,8316
1530750998,6753,6753
1530752905,6755,6755
1530754817,6757,6757
1530756739,6751,6751
1530758675,6757,6757
1530760827,6755,6755
1530762740,6752,6752
1530764672,6763,6763
1530766572,6744,6744
1530768497,6742,6742
1530770495,6744,6744
1530772423,6749,6749
1530774291,6755,6755
1530776179,6753,6753
1530778114,6751,6751
1530780019,6752,6752
1530781940,6754,6754
1530783878,6728,6728
1530785739,6719,6719
1530787722,6721,6721
1530789617,6723,6723
1530791575,6970,6970
1530793455,6969,6969
1530795686,6970,6970
1530797561,6971,6971
1530799469,6969,6969
1530801393,6966,6966
1530803327,6922,6922
1530805236,6142,6142
1530807190,5695,5695
1530809064,5698,5698
1530810996,5699,5699
1530812823,5696,5696
1530814825,5693,5693
1530816741,5686,5686
1530818686,5675,5675
1530820589,5676,5676
1530822757,4445,4445
1530825322,3859,3859
1530827308,3892,3892
1530829232,4988,4988
1530831183,7173,7173
1530833258,7167,7167
1530835301,7161,7161
1530837176,5234,5234
1530839075,5153,5153
1530840993,5155,5155
1530842908,5139,5139
1530844840,5137,5137
1530846769,5134,5134
1530848674,5139,5139
1530850607,5102,5102
1530852503,5102,5102
1530854437,5106,5106
1530856375,5103,5103
1530858264,5105,5105
1530860192,5099,5099
1530862121,5103,5103
1530864091,5110,5110
1530865966,5109,5109
1530867894,5107,5107
1530869814,5101,5101
1530871961,5064,5064
1530874114,4872,4872
1530876035,4852,4852
1530877970,4379,4379
1530879882,4382,4382
1530881788,4832,4832
1530884583,4845,4845
1530886583,4847,4847
1530888920,4840,4840
1530890907,4817,4817
1530892909,4819,4819
1530894758,4839,4839
1530896710,4686,4686
1530898582,4709,4709
1530900532,4709,4709
1530902434,4712,4712
1530904484,4716,4716
1530906300,4718,4718
1530908194,4719,4719
1530910102,4714,4714
1530912052,4712,4712
1530913946,4691,4691
1530915875,3239,3239
1530917794,1287,1287
1530919724,1311,1311
1530921708,1314,1314
1530923565,1314,1314
1530925496,1309,1309
1530927402,1310,1310
1530929315,1311,1311
1530931219,1314,1314
1530933152,1317,1317
1530935097,1316,1316
1530936973,1412,1412
1530938910,1412,1412
1530941071,1415,1415
1530942990,2037,2037
1530944917,2036,2036
1530946891,2042,2042
1530948776,2041,2041
1530950701,2038,2038
1530952580,2039,2039
1530954507,2042,2042
1530956426,2044,2044
1530958600,2043,2043
1530960501,2045,2045
1530962423,2043,2043
1530964384,2043,2043
1530966279,2042,2042
1530968196,1594,1594
1530970097,1532,1532
1530972103,1537,1537
1530973950,1538,1538
1530975862,1646,1646
1530977785,2218,2218
1530979735,2216,2216
1530981619,2193,2193
1530983586,3655,3655
1530985518,4168,4168
1530987392,4168,4168
1530989325,4166,4166
1530991217,4168,4168
1530993147,4169,4169
1530995074,4167,4167
1530996982,4171,4171
1530998895,4194,4194
1531000922,4210,4210
1531002761,4221,4221
1531004917,4228,4228
1531006832,4214,4214
1531008986,4209,4209
1531011166,4210,4210
1531013089,4209,4209
1531014977,4201,4201
