DateTime,AddedIPs,RemovedIPs
1530719795,11,5
1530721704,8,4
1530723685,4,5
1530725564,3,6
1530727897,12,12
1530729889,13,4
1530731792,9,5
1530733728,8,2
1530735623,14,4
1530737551,3,13
1530739506,2,19
1530741390,7,13
1530743313,9,19
1530745357,9,14
1530747173,7,13
1530749073,10,12
1530750999,15,10
1530752906,6,16
1530754817,6,18
1530756739,7,15
1530758675,5,18
1530760827,4,14
1530762741,3,6
1530764673,1,7
1530766573,5,15
1530768497,10,15
1530770498,4,9
1530772423,5,23
1530774292,12,17
1530776180,8,8
1530778115,15,3
1530780019,12,2
1530781941,14,11
1530783878,9,10
1530785739,9,11
1530787723,13,8
1530789618,11,11
1530791576,9,15
1530793456,17,6
1530795690,18,9
1530797561,10,12
1530799469,23,8
1530801394,14,4
1530803328,18,4
1530805237,9,10
1530807191,6,12
1530809065,20,7
1530810996,11,4
1530812823,7,6
1530814826,5,13
1530816742,2,15
1530818686,5,8
1530820590,7,13
1530822757,20,11
1530825322,25,4
1530827308,26,5
1530829232,15,9
1530831184,23,12
1530833258,27,7
1530835301,25,11
1530837176,21,14
1530839075,27,5
1530840993,27,7
1530842909,21,4
1530844840,18,8
1530846770,6,4
1530848674,4,4
1530850608,5,1
1530852503,3,5
1530854438,3,6
1530856376,9,3
1530858265,11,2
1530860192,8,11
1530862122,6,2
1530864092,6,9
1530865966,5,6
1530867895,7,10
1530869814,5,10
1530871962,15,7
1530874114,18,12
1530876036,11,10
1530877970,16,6
1530879882,21,14
1530881789,12,13
1530884583,34,17
1530886583,30,15
1530888921,38,10
1530890907,17,14
1530892909,10,4
1530894758,14,8
1530896710,20,8
1530898583,18,7
1530900533,11,5
1530902435,13,3
1530904484,16,2
1530906301,17,4
1530908195,16,14
1530910102,12,11
1530912053,8,12
1530913946,6,12
1530915875,6,10
1530917795,4,17
1530919725,3,17
1530921708,3,17
1530923565,7,13
1530925497,2,20
1530927403,1,19
1530929315,4,15
1530931219,18,13
1530933152,12,4
1530935097,7,4
1530936974,6,3
1530938910,7,4
1530941072,8,2
1530942991,9,5
1530944918,4,11
1530946891,5,9
1530948776,9,5
1530950701,1,7
1530952581,3,4
1530954507,0,2
1530956426,2,6
1530958600,2,12
1530960501,6,16
1530962424,3,12
1530964384,2,7
1530966280,22,21
1530968196,19,10
1530970098,20,12
1530972103,12,26
1530973950,10,23
1530975862,8,12
1530977785,5,23
1530979735,5,13
1530981620,7,14
1530983586,5,21
1530985519,6,28
1530987393,6,25
1530989326,13,15
1530991217,19,22
1530993148,13,23
1530995074,9,22
1530996983,20,14
1530998896,12,7
1531000923,7,8
1531002762,7,8
1531004917,8,10
1531006832,3,2
1531008986,2,2
1531011166,1,9
1531013089,16,2
1531014978,20,4
1531016920,25,16
1531018907,10,18
1531020768,13,14
1531022687,6,6
1531024844,12,5
1531026761,10,14
1531028690,19,10
1531030604,7,8
1531032510,2,2
1531034442,2,10
1531036359,6,4
1531038275,5,3
1531040196,11,1
1531042100,6,4
1531044096,5,3
1531046195,0,3
1531048131,8,8
1531050034,12,5
1531051948,14,11
1531053862,18,18
1531055805,13,24
1531057701,16,15
1531060253,13,17
1531062280,10,16
1531064309,14,5
1531066454,13,5
1531068393,6,4
1531070308,7,5
1531072476,3,9
1531074491,9,6
1531076511,14,13
