DateTime,AddedIPs,RemovedIPs
1528324418,0,0
1528326778,0,0
1528331808,0,1
1528335434,0,3
1528337308,0,1
1528345002,1,0
1528346903,0,2
1528354900,0,1
1528370180,2,0
1528375960,1,0
1528383694,0,1
1528391317,0,1
1528400918,0,1
1528402821,0,3
1528404739,0,1
1528406680,2,0
1528408581,0,1
1528413135,0,1
1528430668,1,0
1528436438,1,0
1528442283,1,0
1528444103,1,0
1528449869,1,0
1528461398,1,0
1528465156,1,0
1528484656,1,0
1528492597,0,1
1528496434,1,0
1528513943,1,0
1528523542,0,1
1528527397,0,1
1528531293,0,1
1528535069,1,1
1528537004,1,0
1528548507,0,1
1528563876,2,0
1528567705,0,1
1528571537,1,0
1528583076,0,1
1528586022,2,0
1528587874,1,0
1528589811,1,0
1528599391,0,2
1528618579,1,0
1528622454,0,1
1528626265,0,1
1528647643,1,0
1528651479,0,2
1528655345,1,0
1528659167,0,1
1528661068,1,0
1528666374,1,0
1528672479,0,2
1528674407,0,1
1528676334,0,1
1528682080,1,0
1528703578,0,1
1528716978,1,0
1528720818,1,0
1528726589,0,1
1528733965,0,1
1528740094,1,1
1528741964,1,0
1528743881,1,0
1528769327,0,1
1528771215,1,0
1528773139,0,1
1528775072,1,0
1528776976,1,0
1528788750,0,1
1528798337,0,1
1528800271,0,1
1528802171,0,1
1528804096,0,1
1528807931,0,1
1528825705,0,1
1528827624,0,1
1528829530,0,1
1528831454,0,1
1528837106,1,0
1528850663,1,0
1528854488,1,0
1528856421,0,1
1528858344,0,1
1528862181,0,2
1528864089,1,2
1528866095,2,0
1528902501,1,0
1528918909,1,0
1528920748,9,0
1528922657,1,0
1528928431,1,0
1528931668,1,0
1528933470,1,0
1528935393,1,0
1528937426,0,1
1528941139,0,1
1528943057,1,0
1528949808,0,1
1528951702,0,1
1528953609,0,1
1528957449,1,0
1528985793,1,0
1528989773,1,1
1528993688,1,0
1529007135,0,1
1529009069,0,1
1529030670,1,1
1529042179,1,0
1529044117,0,1
1529057548,1,0
1529071709,1,0
1529079373,2,1
1529091778,1,0
1529118259,0,1
1529127866,1,0
1529129770,0,1
1529133626,0,1
1529139388,1,0
1529143296,0,1
1529145150,0,1
1529148973,1,0
1529152816,1,0
1529158577,0,1
1529166257,1,1
1529177774,1,1
1529183541,1,0
1529213769,1,0
1529215712,0,1
1529217611,0,1
1529231051,1,0
1529234888,0,1
1529238752,0,1
1529252172,1,0
1529254091,0,1
1529266572,0,1
1529270426,1,1
1529297563,2,0
1529299470,0,1
1529307149,1,0
1529310990,1,0
1529318658,0,1
1529336089,1,0
1529353687,0,1
1529355511,0,1
1529383954,0,2
1529385867,1,0
1529391708,1,0
1529423784,0,1
1529437211,0,1
1529466270,0,2
1529468177,0,1
1529472029,0,1
1529477790,0,1
1529489331,0,2
1529491226,0,3
1529496981,0,1
1529499148,0,1
1529501062,2,3
1529518603,1,0
1529522438,1,0
1529526500,1,0
1529561296,1,0
1529569237,0,1
1529574982,1,0
1529587126,1,3
1529589137,1,0
1529591058,1,0
1529604747,0,1
1529608590,0,1
1529610507,0,1
1529612435,1,1
1529614383,2,0
1529621731,2,0
1529648660,0,1
1529660681,0,1
1529662585,0,1
1529674101,1,1
1529676102,0,1
1529689455,1,0
1529691396,1,0
1529699089,0,1
1529700972,0,2
1529702910,1,0
1529706740,2,2
1529708678,1,0
1529722114,1,0
1529728102,1,0
1529730104,1,0
1529741548,1,0
1529756902,1,0
1529760740,0,1
1529770838,1,0
1529774656,0,1
1529776596,0,1
1529778502,2,0
1529792192,0,1
1529794704,0,1
1529809960,1,1
1529817632,1,1
1529827292,0,1
1529833005,0,1
1529838750,0,1
1529842592,0,1
1529844400,1,0
1529857960,1,1
1529860124,1,0
1529864210,1,2
1529866093,0,1
1529873772,1,0
1529881470,0,1
1529883389,1,0
1529896821,0,1
1529898744,1,0
1529900665,1,0
1529902574,0,1
1529910275,1,0
1529931376,0,1
1529937143,2,0
1529940974,1,0
1529944829,0,1
1529946744,0,1
1529950591,0,1
1529960656,0,1
1529962586,2,0
1529970264,0,1
1529984184,1,1
1529986129,1,0
1529995704,0,1
1530003247,1,0
1530020414,0,1
1530024270,0,1
1530026198,1,0
1530028098,0,1
1530030030,1,0
1530031938,2,0
1530033856,1,0
1530039674,0,1
1530041553,1,0
1530049465,0,1
1530051373,1,0
1530061015,1,1
1530065787,1,0
1530069634,0,1
1530075379,1,0
1530083072,1,0
1530090745,0,1
1530108097,1,0
1530111865,1,1
1530117617,0,2
1530119536,1,2
1530127220,1,0
1530129162,0,1
1530131303,1,0
1530137072,0,1
1530147140,0,1
1530149072,1,0
1530150978,0,1
1530160581,0,1
1530162507,1,0
1530189644,1,0
1530193460,0,1
1530205296,0,1
1530212907,0,1
1530217120,0,1
1530219150,1,0
1530226907,1,0
1530233458,1,0
1530235613,0,1
1530250338,0,1
1530256582,0,1
1530264268,1,1
1530277711,0,1
1530288521,1,1
1530290427,1,0
1530292335,1,0
1530294255,1,0
1530296808,2,0
1530304834,0,1
1530306743,1,0
1530310601,1,0
1530312498,1,1
1530320189,0,1
1530347313,1,0
1530349304,0,1
1530376812,0,1
1530378753,2,1
1530380655,1,2
1530394347,0,1
1530396265,0,1
1530398575,0,1
1530400651,1,0
1530428182,2,0
1530433981,0,2
1530441615,1,0
1530451533,6056,0
1530455538,0,6056
1530461333,1,0
1530465159,0,2
1530467122,0,1
1530479064,1,0
1530486746,0,1
1530512194,1,0
1530514101,0,2
1530516028,1,0
1530523702,1,0
1530525695,0,1
1530528100,0,1
1530547473,1,1
1530551295,1,0
1530553228,3,0
1530562811,1,0
1530566926,1,1
1530569019,1,0
1530576779,1,0
1530582771,1,1
1530584655,1,0
1530598579,1,1
1530602419,0,1
1530606274,1,0
1530608196,1,0
1530610099,0,1
1530624273,1,0
1530633809,0,1
1530638335,0,1
1530646037,0,1
1530654124,0,1
1530655952,0,1
1530663867,0,1
1530665791,1,0
1530669697,0,1
1530671608,0,1
1530689062,1,1
1530694912,0,1
1530696756,0,1
1530708980,0,1
1530710990,1,1
1530721705,2,0
1530723685,0,1
1530725565,1,0
1530727897,1,0
1530737551,0,1
1530739507,1,0
1530747173,1,0
1530750999,0,1
1530776180,0,1
1530797562,1,1
1530803328,1,0
1530805237,1,0
1530807191,0,1
1530809065,0,1
1530810996,1,0
1530814826,0,1
1530822758,1,0
1530825323,0,1
1530862122,0,1
1530864092,0,1
1530869814,1,0
1530876036,1,0
1530877971,1,0
1530884584,0,1
1530886584,1,0
1530888921,0,1
1530890907,1,1
1530898583,0,1
1530900534,1,0
1530908195,0,1
