DateTime,AddedIPs,RemovedIPs
1530701365,8,14
1530703226,2,3
1530705141,0,6
1530707059,4,6
1530708981,3,13
1530710990,6,6
1530713125,4,9
1530715867,4,7
1530717892,3,6
1530719795,6,7
1530721705,3,10
1530723685,9,4
1530725565,6,16
1530727898,14,10
1530729890,7,7
1530731792,6,6
1530733729,6,6
1530735623,10,7
1530737552,11,5
1530739507,7,8
1530741391,3,8
1530743314,3,6
1530745357,12,3
1530747173,12,5
1530749073,5,3
1530750999,7,4
1530752906,12,9
1530754818,9,6
1530756740,0,4
1530758676,3,6
1530760828,5,5
1530762741,2,11
1530764673,7,6
1530766573,5,6
1530768498,5,6
1530770499,3,5
1530772424,8,6
1530774292,6,5
1530776181,7,1
1530778116,7,2
1530780020,6,5
1530781942,7,7
1530783879,6,4
1530785740,6,8
1530787724,12,2
1530789619,2,2
1530791576,3,0
1530793456,5,3
1530795691,6,4
1530797562,5,5
1530799470,0,4
1530801395,6,2
1530803329,5,3
1530805238,2,5
1530807192,3,7
1530809065,1,2
1530810997,3,9
1530812824,15,7
1530814826,6,7
1530816742,2,8
1530818687,3,4
1530820591,3,6
1530822758,5,9
1530825323,6,9
1530827309,5,7
1530829233,2,2
1530831184,3,10
1530833260,2,12
1530835303,4,3
1530837178,3,6
1530839076,5,11
1530840994,2,8
1530842909,5,2
1530844841,1,1
1530846770,1,5
1530848675,2,4
1530850609,4,5
1530852504,1,5
1530854438,2,7
1530856377,1,4
1530858265,7,7
1530860193,4,8
1530862123,1,7
1530864093,0,8
1530865967,3,8
1530867895,1,8
1530869815,10,6
1530871963,2,6
1530874115,4,13
1530876037,5,3
1530877971,6,3
1530879883,2,4
1530881789,4,3
1530884585,6,6
1530886585,4,4
1530888922,6,7
1530890908,8,2
1530892910,4,4
1530894759,7,2
1530896712,4,7
1530898584,3,10
1530900534,1,9
1530902436,4,4
1530904486,7,2
1530906302,9,4
1530908196,13,3
1530910103,9,5
1530912054,6,6
1530913947,5,8
1530915876,13,4
1530917795,6,4
1530919725,9,2
1530921709,5,4
1530923566,8,4
1530925497,2,5
1530927403,10,2
1530929317,9,4
1530931220,3,1
1530933153,5,1
1530935098,8,2
1530936974,13,4
1530938911,3,1
1530941072,6,2
1530942991,9,3
1530944918,5,5
1530946892,9,4
1530948777,4,1
1530950702,4,0
1530952581,3,3
1530954508,6,1
1530956427,6,9
1530958601,10,4
1530960502,5,3
1530962425,3,6
1530964386,4,5
1530966281,3,2
1530968198,2,4
1530970099,7,6
1530972105,5,4
1530973951,8,2
1530975863,7,7
1530977786,7,9
1530979736,4,3
1530981621,4,7
1530983587,4,2
1530985520,7,3
1530987394,3,2
1530989327,9,4
1530991218,6,6
1530993149,4,11
1530995075,8,12
1530996984,11,9
1530998897,24,6
1531000924,10,6
1531002763,6,5
1531004918,3,7
1531006834,5,6
1531008987,6,7
1531011167,6,6
1531013090,1,7
1531014978,6,7
1531016921,3,7
1531018908,0,5
1531020768,6,5
1531022688,6,10
1531024845,7,6
1531026761,4,1
1531028690,3,10
1531030604,3,4
1531032511,3,5
1531034443,6,8
1531036359,4,3
1531038275,2,5
1531040197,3,4
1531042101,6,3
1531044097,6,9
1531046196,8,7
1531048131,2,6
1531050035,5,6
1531051949,4,2
1531053862,1,4
1531055806,3,4
1531057703,6,5
1531060254,5,11
1531062281,5,5
1531064310,2,7
1531066455,2,3
1531068394,0,9
1531070309,6,2
1531072477,3,6
1531074492,3,6
1531076511,1,7
1531078347,2,5
1531080274,7,4
1531082186,1,14
1531084346,1,27
1531086255,4,9
1531088442,3,11
1531090347,6,5
1531092269,4,6
1531094519,2,4
1531096362,1,7
1531098284,4,4
1531100420,0,8
1531102341,5,2
1531105467,3,5
1531107376,3,8
1531109324,5,7
1531111496,3,5
1531113411,2,4
