DateTime,AddedIPs,RemovedIPs
1528506269,1,0
1528513944,1,1
1528515890,1,0
1528517787,1,1
1528519704,0,1
1528521639,1,1
1528523543,0,1
1528527398,0,1
1528531294,0,1
1528540827,5,0
1528542758,3,0
1528550423,0,1
1528552378,1,0
1528558100,0,2
1528560101,1,0
1528561961,1,0
1528571538,1,0
1528573457,1,0
1528577307,4,0
1528579217,1,1
1528581154,1,0
1528587875,2,0
1528589812,1,0
1528591707,0,1
1528593655,1,0
1528601320,0,2
1528605181,0,1
1528609037,0,1
1528626266,1,2
1528628211,1,6
1528630096,1,0
1528639990,0,1
1528647644,1,1
1528649558,1,1
1528657301,0,1
1528659168,0,1
1528666376,0,1
1528668668,2,1
1528674409,0,2
1528676335,0,1
1528680166,0,1
1528693459,1,0
1528707158,1,0
1528709059,1,0
1528710970,1,0
1528712907,0,1
1528714888,1,0
1528716743,1,1
1528718679,3,0
1528722519,5,0
1528728263,1,0
1528732201,1,0
1528734463,0,3
1528736587,1,0
1528754185,3,1
1528756096,0,1
1528765707,1,0
1528781055,0,1
1528790658,1,0
1528792572,1,0
1528794515,0,2
1528796415,0,1
1528800273,2,1
1528802172,0,1
1528804098,3,5
1528806055,0,1
1528807933,0,4
1528809853,0,1
1528811787,1,0
1528813695,1,1
1528817559,1,1
1528821870,0,1
1528823775,3,0
1528825707,1,0
1528829531,1,0
1528833385,1,0
1528840944,0,3
1528844895,1,1
1528850664,0,1
1528858345,1,0
1528871774,1,0
1528873721,1,0
1528877539,1,1
1528879469,0,1
1528883294,1,0
1528887142,0,2
1528889054,0,2
1528890988,0,1
1528898662,1,1
1528902503,0,1
1528910179,0,3
1528912110,0,1
1528915954,0,1
1528920749,0,1
1528924588,1,0
1528931669,0,1
1528946182,0,1
1528953851,2,0
1528955767,1,0
1528957705,8,0
1528959748,1,1
1528961771,0,1
1528965630,0,1
1528969466,0,1
1528975213,1,0
1528982890,1,0
1528986751,0,1
1528998269,1,0
1529009785,0,2
1529011854,1,0
1529013700,2,0
1529035942,1,0
1529041701,0,3
1529043630,0,7
1529045550,0,2
1529058975,1,0
1529062815,0,1
1529069780,0,1
1529085131,1,1
1529087076,1,0
1529096011,1,0
1529097840,1,1
1529099861,1,1
1529101736,1,1
1529114508,1,0
1529120174,1,0
1529122109,0,1
1529124013,1,0
1529145150,1,1
1529152818,1,0
1529156668,1,0
1529158578,1,0
1529164337,1,0
1529172094,0,1
1529173955,0,1
1529177775,1,0
1529181623,0,1
1529185473,0,1
1529187370,1,1
1529206089,0,1
1529209952,0,1
1529213770,1,0
1529229130,0,1
1529231052,0,1
1529238753,0,1
1529240654,1,0
1529244518,0,2
1529250266,0,1
1529263689,0,1
1529273699,0,1
1529279527,0,1
1529288172,1,0
1529293928,1,0
1529295866,1,0
1529297767,1,0
1529299686,2,0
1529301486,1,1
1529324553,1,0
1529326466,0,1
1529330305,1,0
1529332241,2,0
1529336090,1,0
1529347840,1,0
1529360426,1,0
1529370504,1,0
1529374355,0,1
1529380103,0,1
1529382029,0,1
1529383954,0,1
1529385867,0,2
1529387774,0,1
1529406982,1,0
1529410836,0,1
1529414904,1,0
1529417786,0,2
1529419702,1,1
1529421763,0,1
1529433370,0,1
1529437212,1,0
1529446824,0,1
1529449024,1,0
1529450905,1,0
1529456663,0,1
1529466271,1,0
1529473937,1,0
1529475968,1,0
1529487379,1,0
1529493145,0,1
1529502993,0,1
1529506891,0,1
1529508760,1,0
1529516663,1,0
1529524581,0,1
1529528484,1,0
1529534201,0,1
1529536217,0,1
1529541865,1,0
1529545701,1,0
1529551694,1,0
1529553713,0,1
1529557458,1,0
1529559376,0,1
1529561297,0,1
1529573080,0,1
1529579229,1,0
1529587127,1,0
1529589138,1,0
1529593002,2,0
1529594894,1,1
1529598744,1,0
1529602824,1,1
1529608591,1,0
1529616270,0,1
1529627566,0,1
1529629470,1,0
1529631290,0,1
1529633328,1,0
1529639064,0,1
1529642903,0,1
1529646752,1,0
1529664516,1,0
1529666532,0,1
1529674102,0,1
1529676103,0,1
1529677940,0,1
1529679966,0,1
1529681791,1,1
1529683721,1,0
1529685631,1,1
1529689456,1,1
1529695229,0,1
1529697135,1,0
1529699090,1,0
1529706741,1,0
1529710575,1,0
1529712511,2,0
1529714414,2,0
1529716338,1,1
1529718269,1,1
1529720175,1,0
1529726180,1,0
1529728103,1,0
1529731953,1,0
1529733896,1,1
1529739622,1,0
1529747314,1,0
1529751146,0,1
1529766742,0,1
1529770839,0,1
1529772744,0,1
1529776597,0,1
1529782345,0,1
1529784270,0,1
1529792193,1,1
1529798489,0,1
1529800361,0,3
1529802262,1,1
1529804191,0,1
1529806105,0,1
1529808035,0,1
1529813798,0,1
1529815697,0,1
1529819556,0,2
1529825312,0,1
1529834902,1,1
1529840658,3,0
1529868028,1,0
1529887232,1,0
1529902575,4,0
1529904502,1,0
1529906508,1,0
1529912183,1,0
1529917943,0,2
1529919874,0,1
1529925632,0,2
1529927539,0,1
1529935321,1,0
1529954429,0,1
1529960657,1,0
1529974346,2,1
1529982289,1,0
1529988023,1,3
1529989949,0,2
1529991878,0,1
1529997656,0,1
1529999556,1,0
1530020415,0,1
1530026199,1,0
1530043459,1,0
1530047458,0,1
1530061016,1,2
1530067706,0,1
1530069635,1,0
1530073497,0,1
1530086911,0,1
1530090746,1,0
1530092702,2,0
1530106099,1,0
1530108098,1,0
1530113791,0,1
1530123375,1,0
1530129163,0,1
1530137073,1,0
1530141384,1,0
1530147141,1,1
1530156737,1,1
1530162508,1,0
1530168267,3,0
1530170182,1,0
1530172117,1,0
1530175944,1,0
1530177863,0,1
1530179797,0,2
1530181696,1,0
1530183873,3,0
1530193461,0,2
1530209082,0,1
1530212908,1,0
1530222973,2,1
1530226908,2,0
1530228745,1,1
1530233459,0,1
1530242672,0,1
1530248499,0,1
1530254666,0,3
1530256583,0,1
1530258511,1,1
1530260422,2,0
1530262372,0,1
1530268099,1,2
1530270094,0,2
1530290428,1,0
1530292335,1,0
1530294256,1,0
1530300989,0,1
1530302901,1,0
1530306744,1,0
1530308655,4,2
1530310601,1,0
1530312499,1,2
1530316349,1,1
1530328113,1,0
1530345381,0,2
1530347314,0,1
1530349307,2,0
1530353080,1,0
1530354979,0,1
1530376812,0,1
1530378753,0,1
1530380656,0,1
1530390274,0,1
1530394348,0,3
1530396266,1,3
1530398576,0,1
1530402896,0,1
1530414682,0,1
1530426265,1,0
1530435864,1,2
1530437812,0,1
1530439723,1,0
1530451543,46677,0
1530455538,0,46677
1530480987,0,1
1530486747,2,0
1530492511,1,0
1530496349,1,0
1530498517,1,0
1530500685,1,0
1530502578,1,0
1530504504,1,0
1530525696,0,1
1530558990,1,0
1530562814,0,1
1530564790,0,1
1530566927,1,0
1530572915,1,0
1530576779,1,2
1530580658,0,1
1530582772,0,1
1530584655,0,1
1530586909,0,1
1530588752,0,1
1530590670,0,1
1530592726,2,0
1530612111,1,0
1530630093,1,0
1530638335,1,0
1530646038,1,1
1530651765,0,1
1530655952,6,0
1530657857,0,1
1530661819,1,0
1530663869,0,1
1530677555,1,2
1530679522,1,0
1530698689,0,1
1530701365,1,0
1530715868,0,1
1530721705,1,0
1530725565,0,1
1530727899,1,0
1530729891,1,0
1530731793,0,1
1530735624,2,0
1530743314,0,6
1530749074,0,1
1530752907,1,0
1530762741,0,1
1530766574,1,1
1530787725,0,1
1530791577,2,0
1530809066,0,1
1530814827,0,2
