DateTime,AddedIPs,RemovedIPs
1530322093,1,7
1530324095,3,1
1530325960,1,2
1530328114,1,3
1530330017,2,3
1530331962,0,4
1530333861,1,1
1530335782,1,2
1530337714,1,1
1530339646,1,0
1530343462,1,1
1530345381,5,1
1530347315,2,12
1530349307,1,4
1530351143,2,4
1530353081,0,3
1530354980,3,4
1530357146,1,1
1530359057,2,3
1530360989,1,6
1530362893,2,3
1530364974,2,3
1530366970,2,4
1530369141,3,1
1530371058,2,1
1530372989,0,5
1530374936,1,1
1530376813,1,3
1530378754,1,2
1530380656,1,2
1530382577,1,0
1530384510,3,2
1530386412,1,0
1530388334,1,0
1530392172,0,1
1530394349,2,1
1530396266,1,2
1530400652,0,2
1530402896,1,0
1530404759,0,1
1530408645,0,1
1530410555,1,3
1530412593,0,1
1530414682,1,1
1530416666,1,2
1530420513,1,2
1530426266,0,1
1530430130,0,3
1530432114,0,3
1530433982,0,2
1530435865,0,1
1530437813,0,2
1530439724,2,2
1530441616,2,1
1530443554,1,1
1530445501,0,2
1530447533,1,1
1530449539,0,2
1530451581,76225,0
1530453622,0,76231
1530455539,1,1
1530457453,0,1
1530461335,3,2
1530463221,5,1
1530465161,0,1
1530467124,0,1
1530468985,0,1
1530471153,1,3
1530473071,1,1
1530474999,0,1
1530477143,1,0
1530480987,1,1
1530482914,0,1
1530484811,1,0
1530490574,0,2
1530492512,1,0
1530494410,0,1
1530500685,0,1
1530504505,0,1
1530506432,0,1
1530510301,0,2
1530512195,0,1
1530521726,0,2
1530523703,1,0
1530525696,0,2
1530528101,0,2
1530529956,0,1
1530533790,0,1
1530535706,1,1
1530537621,0,1
1530547474,0,3
1530549375,0,4
1530551296,1,0
1530553229,9,0
1530555137,0,1
1530557051,3,0
1530558990,1,1
1530560897,1,0
1530562814,1,1
1530566927,1,0
1530569020,1,1
1530571005,0,1
1530578659,0,1
1530580659,1,0
1530584656,0,1
1530590671,1,0
1530592726,1,0
1530594754,2,0
1530598580,1,0
1530600517,1,0
1530606275,1,0
1530608197,1,0
1530610101,2,1
1530612111,1,0
1530614517,3,0
1530616368,1,0
1530618256,1,0
1530620441,1,0
1530622344,2,1
1530626179,1,0
1530628117,1,0
1530630094,1,0
1530631972,3,0
1530633810,2,0
1530636413,2,0
1530638336,3,1
1530640410,1,2
1530642267,1,1
1530644187,3,1
1530646039,2,2
1530647921,2,1
1530649836,3,0
1530651766,1,1
1530654125,1,1
1530667724,2,0
1530669699,0,2
1530671610,1,0
1530673719,1,0
1530675649,0,1
1530677556,0,1
1530679523,1,1
1530681382,1,1
1530685221,1,1
1530687134,1,1
1530689063,1,0
1530690984,3,0
1530692916,1,2
1530696758,1,2
1530698690,0,1
1530701366,2,3
1530705142,0,1
1530707060,0,1
1530708982,3,2
1530710991,2,0
1530713126,1,2
1530715869,1,1
1530717893,4,3
1530719796,1,2
1530721706,0,2
1530723686,1,1
1530725566,0,3
1530727899,0,2
1530729892,0,3
1530731793,1,3
1530733729,0,1
1530735624,1,2
1530737553,0,2
1530741394,1,4
1530743315,0,1
1530745358,1,0
1530749074,1,0
1530752907,1,0
1530754819,0,2
1530758677,0,2
1530760829,1,1
1530764674,0,1
1530768499,0,1
1530770500,0,1
1530772425,0,1
1530774293,0,1
1530776182,1,4
1530778117,1,1
1530780021,0,2
1530781943,3,0
1530783880,3,1
1530785742,2,0
1530787725,0,2
1530795693,1,4
1530797563,1,1
1530799471,0,1
1530801396,1,1
1530803330,2,3
1530809067,0,1
1530814828,1,1
1530816743,4,0
1530818688,0,1
1530820592,2,1
1530822760,1,0
1530827310,0,1
1530829235,1,0
1530835304,0,1
1530839077,0,1
1530842910,1,0
1530846771,2,1
1530850610,1,0
1530852505,1,0
1530862124,0,1
1530864095,1,0
1530865968,0,1
1530867896,2,2
1530869816,1,4
1530871964,3,1
1530874116,2,1
1530876038,2,0
1530881791,1,1
1530884586,1,1
1530886586,1,0
1530888923,2,1
1530890909,0,1
1530894760,1,2
1530898585,2,0
1530900536,0,1
1530902437,1,3
1530904487,1,1
1530906303,1,0
1530908197,1,2
1530910105,2,0
1530913948,2,0
1530915877,0,1
1530925498,1,0
1530927404,3,0
1530929319,1,1
1530931221,1,0
1530933154,0,2
1530935099,1,0
1530936975,0,2
1530938912,1,1
1530941073,0,1
1530942992,1,1
1530944919,1,0
1530946893,3,0
1530950703,0,1
1530954508,0,2
1530956428,1,0
1530958602,1,3
1530960503,1,2
1530962426,0,1
1530964387,0,1
1530968199,2,1
1530970100,1,1
1530973952,0,1
1530975864,0,1
1530977787,1,1
1530979737,1,0
1530981622,0,1
1530983588,2,0
1530985521,1,2
1530989328,2,1
1530991219,0,1
1530993150,0,2
1530996985,0,2
1530998898,0,1
1531000925,2,2
1531004919,1,0
1531006834,1,0
1531013091,0,3
1531014979,2,1
1531016922,1,1
1531018909,1,0
1531020769,0,1
1531022689,1,0
1531024846,0,1
1531030605,1,2
1531032512,0,1
1531034444,2,2
1531036360,3,0
1531038276,1,0
1531040198,0,1
1531042102,0,1
1531044098,0,2
1531046197,1,1
1531053863,0,2
1531055807,0,1
1531060255,1,0
1531064311,0,1
1531066456,0,1
1531070310,1,3
1531072478,3,0
1531074492,0,1
1531076512,0,1
1531078348,1,0
1531088443,0,2
1531090348,0,1
1531094520,0,1
1531096363,2,0
1531098284,1,0
1531100421,0,1
1531102342,1,2
1531107377,1,0
1531109325,0,1
1531111497,1,0
1531117227,0,1
1531121071,0,1
1531122996,1,3
1531124898,0,1
1531126900,1,0
1531128744,2,0
1531130678,3,0
1531132589,1,1
1531136419,3,0
1531138595,2,0
1531140506,1,0
1531142439,1,0
1531144414,2,0
1531146280,0,1
1531148200,1,0
1531155884,1,0
1531157842,0,3
1531161879,2,0
1531163800,0,1
1531166004,1,1
1531169841,1,0
1531171715,1,0
1531173740,1,0
1531181540,1,0
1531183508,0,2
1531185441,0,1
1531187316,0,1
1531189245,1,0
1531194512,0,1
1531198581,2,0
1531200497,3,0
1531202504,1,0
1531206265,1,0
1531212032,1,1
1531213955,1,1
1531215858,0,2
1531217801,1,1
1531219699,2,2
1531221631,0,3
1531223615,3,0
1531225474,1,2
1531227374,0,1
1531229569,0,2
1531231476,1,1
1531235314,1,1
1531239200,2,0
1531241090,6,0
1531242995,0,2
1531244903,1,0
1531246820,0,1
1531248753,2,1
1531252621,0,1
1531254509,0,1
1531258357,2,1
1531266021,1,0
1531267972,0,1
1531269858,1,0
1531271786,1,0
1531275633,0,1
1531283565,0,1
1531285733,2,3
1531287685,1,1
1531291484,1,0
1531293418,1,1
1531297235,1,1
1531299158,0,1
1531301069,1,1
1531303000,1,0
1531304904,2,2
1531308777,1,2
1531310692,2,2
1531312593,1,0
1531314516,1,0
1531316442,1,0
1531318369,1,1
1531322195,2,1
1531324115,1,0
1531326408,0,1
1531330350,0,1
1531332263,3,0
1531334430,2,2
1531336360,1,0
1531338282,1,1
1531340197,2,0
1531342112,1,0
1531344033,1,2
1531345958,1,0
1531351943,1,1
1531353878,0,6
1531357723,0,2
1531359617,3,0
1531361560,2,0
1531363468,1,0
1531365405,1,0
1531367301,1,0
1531371159,0,1
1531373056,1,1
1531376900,2,0
1531378893,1,2
1531382679,1,1
1531384590,1,0
1531386526,0,1
1531388416,0,2
1531390356,1,2
1531396111,0,2
1531398036,1,3
1531400001,1,0
1531401884,2,2
1531403788,1,0
1531405700,0,1
1531407695,1,1
1531409556,0,1
1531413416,2,0
1531415294,1,0
1531417229,2,3
1531419138,1,1
1531421052,1,2
1531422994,0,2
1531425162,3,1
1531427057,1,2
1531429010,0,2
1531434404,1,1
1531438092,0,1
1531440103,1,0
1531441941,2,0
1531443870,1,0
1531445774,0,2
1531447713,2,1
1531449612,0,2
1531451562,2,0
1531453464,3,2
1531459489,1,2
1531462611,2,2
1531464502,1,1
1531466434,2,0
1531468364,0,1
1531470265,1,1
1531472198,2,0
1531476102,1,1
1531477951,0,1
1531479888,1,0
1531483737,1,0
1531485635,1,1
1531487628,1,2
1531489471,1,1
1531491654,1,1
1531493552,3,1
1531495474,1,0
1531499294,0,1
1531501306,2,1
1531503173,0,1
1531505075,1,1
1531507001,1,1
1531510818,0,1
1531512737,0,3
1531514674,1,0
1531516618,28857,35
1531520463,228,0
1531522412,1,0
1531528176,1,0
1531530324,3,0
1531540112,2,0
1531543975,2,0
1531547794,1,0
1531558372,2,0
1531560520,1,0
1531565545,3,0
1531570608,3,0
1531574457,1,0
1531580176,1,0
1531582346,1,0
1531584375,1,0
1531588592,1,0
1531598197,1,0
1531607378,2,0
1531610250,2,0
1531614080,1,0
1531620394,2,0
1531630447,1,0
1531634996,1,0
1531636865,1,0
1531638834,2,0
1531652252,1,0
1531654291,2,0
1531656306,1,0
1531660146,1,0
1531662075,1,0
1531667843,2,0
1531674266,1,0
1531677375,1,0
1531689600,1,0
1531715348,1,0
1531721583,2,0
1531723720,7,0
1531725634,2,0
1531727583,2,0
1531729763,2,0
1531733111,3,0
1531735040,2,0
