DateTime,AddedIPs,RemovedIPs
1530480272,1,5
1530482178,0,3
1530489860,0,6
1530493745,0,1
1530495619,0,4
1530497614,0,2
1530501393,0,1
1530503300,1,3
1530505352,1,5
1530507400,0,1
1530509333,0,1
1530511280,0,2
1530513175,0,2
1530515070,0,2
1530516985,0,2
1530518930,0,3
1530521119,0,6
1530522989,0,1
1530524900,0,2
1530528970,0,4
1530530904,1,0
1530534894,0,1
1530536701,0,2
1530538609,1,4
1530540500,0,3
1530542432,1,0
1530546256,0,5
1530548193,21,1
1530550112,0,4
1530552015,0,3
1530553950,14,0
1530557772,0,1
1530561656,1,0
1530564343,1,2
1530566213,1,0
1530568099,1,0
1530570015,4,0
1530571956,1,0
1530573859,1,0
1530576985,2,0
1530586909,0,1
1530590670,3,1
1530592726,8,1
1530594754,8,0
1530598580,3,0
1530600517,7,1
1530602420,3,0
1530604362,3,0
1530606275,5,0
1530608197,3,0
1530610100,2,0
1530612111,5,0
1530614516,2,0
1530616368,1,0
1530618256,6,1
1530620441,8,0
1530622343,6,0
1530624274,6,0
1530626178,8,1
1530628116,1,0
1530630093,9,1
1530631971,3,0
1530633809,7,0
1530636412,8,0
1530638336,5,21
1530640410,9,0
1530642267,9,0
1530644187,1,0
1530646038,5,0
1530647921,5,1
1530649836,3,0
1530651765,3,0
1530654125,4,2
1530655953,1,4
1530657857,1,0
1530659787,8,1
1530661819,4,2
1530663869,5,0
1530665792,10,0
1530667724,10,0
1530669699,7,0
1530671610,2,0
1530673718,2,0
1530675649,8,0
1530677556,2,3
1530679523,7,9
1530681381,3,7
1530683310,6,0
1530685220,2,4
1530687134,6,7
1530689063,2,3
1530690984,3,2
1530692916,5,5
1530694913,2,4
1530696757,1,1
1530698690,2,5
1530701366,11,2
1530703226,1,2
1530705141,1,8
1530707060,6,5
1530708981,4,8
1530710991,4,5
1530713126,3,7
1530715868,13,5
1530717893,5,8
1530719796,0,4
1530721706,1,7
1530723686,7,6
1530725566,3,5
1530727899,5,11
1530729891,7,6
1530731793,2,2
1530733729,4,5
1530735624,0,3
1530737552,3,4
1530739508,3,5
1530741393,7,1
1530743314,1,1
1530745358,0,4
1530747174,123,0
1530749074,6,0
1530751000,5,14
1530752907,8,0
1530754818,12,0
1530756740,2,0
1530758676,5,1
1530760828,4,0
1530762742,2,1
1530764674,2,0
1530766574,2,3
1530768499,3,1
1530770500,2,1
1530772425,1,2
1530774293,1,0
1530776182,3,1
1530778117,1,0
1530780021,7,16
1530781943,4,0
1530783880,4,1
1530785741,1,0
1530787725,2,0
1530789619,1,0
1530791577,5,1
1530793457,3,1
1530795692,10,0
1530797563,1,1
1530799471,1,0
1530801395,0,1
1530803330,6,4
1530805238,4,0
1530807193,5,0
1530809066,5,0
1530810998,2,0
1530812825,1,0
1530814827,1,0
1530816743,4,2
1530818688,1,2
1530822759,1,0
1530825324,6,0
1530827310,1,1
1530829234,1,2
1530833261,4,122
1530837178,2,0
1530839077,1,5
1530840995,0,12
1530842910,9,0
1530844841,15,1
1530846771,0,8
1530850609,1,1
1530852505,0,3
1530854439,2,0
1530856377,1,2
1530858266,4,0
1530860194,4,0
1530862124,2,1
1530867896,2,0
1530869816,1,1
1530871964,0,1
1530874116,0,1
1530876038,0,1
1530877972,5,0
1530879884,5,0
1530881790,6,0
1530884586,7,0
1530886585,3,0
1530888923,3,2
1530890909,3,1
1530892911,4,3
1530894760,2,2
1530896712,3,1
1530898585,2,0
1530900535,4,1
1530902437,2,0
1530904486,1,0
1530906303,3,0
1530908197,8,0
1530910104,1,0
1530912055,1,0
1530913948,5,0
1530915877,8,0
1530917796,5,0
1530919726,1,242
1530921709,2,1
1530923566,2,2
1530925498,5,1
1530927404,3,0
1530929318,0,9
1530931221,6,16
1530933154,12,0
1530935099,7,0
1530936975,2,1
1530938912,5,0
1530941073,2,2
1530942992,4,1
1530944919,1,4
1530946893,4,4
1530948777,2,2
1530950702,1,0
1530952582,1,1
1530954508,8,0
1530956428,1,1
1530960503,3,0
1530962425,4,0
1530964386,1,4
1530966282,6,5
1530968198,3,6
1530970100,2,4
1530972105,5,2
1530973952,5,5
1530975864,0,3
1530977787,4,2
1530979737,2,3
1530981621,1,2
1530983588,7,3
1530985520,6,3
1530987394,3,3
1530989327,6,1
1530991219,6,3
1530993149,1,5
1530995076,7,6
1530996985,6,2
1530998898,2,0
1531000925,2,9
1531002763,6,5
1531004919,9,5
1531006834,10,2
1531008988,6,3
1531011168,4,3
1531013091,7,3
1531014979,3,1
1531016921,3,6
1531018909,3,7
1531020769,3,10
1531022689,6,3
1531024845,4,5
1531026763,3,2
1531028691,3,3
1531030605,2,2
1531032511,2,5
1531034443,0,1
1531036360,1,1
1531038276,8,1
1531040197,0,6
1531042101,3,4
1531044097,10,0
1531046196,5,2
1531048132,5,4
1531050035,0,2
1531051949,1,6
1531053863,6,3
1531055807,7,1
1531057703,5,2
1531060254,5,8
1531062281,2,1
1531064310,0,4
1531066456,4,2
1531068394,5,1
1531070310,3,10
1531072477,3,4
1531074492,0,2
1531076512,3,6
1531078347,2,5
1531080274,2,2
1531082187,5,9
1531084346,4,6
1531086256,6,0
1531088442,2,6
1531090348,2,6
1531092269,6,9
1531094519,1,12
1531096363,14,2
1531098284,4,5
1531100420,0,5
1531102341,2,3
1531105468,5,4
1531107377,1,5
1531109324,7,4
1531111497,4,4
1531113412,2,3
1531115312,1,3
1531117227,1,2
1531119148,1,2
1531121071,2,0
1531122996,4,2
1531124897,4,7
1531126899,4,0
1531128744,4,4
1531130678,2,10
1531132588,2,4
1531134526,2,5
1531136419,1,0
1531138594,5,2
1531140506,6,7
1531142438,3,6
1531144414,4,7
1531148199,1,4
1531150101,0,1
1531152098,1,4
1531153953,1,3
1531155884,1,2
1531157841,6,3
1531159899,1,3
1531161879,4,4
1531163800,6,0
1531166004,2,3
1531167884,3,6
1531169841,1,0
1531171715,3,9
1531174818,3,3
1531176759,1,1
1531178657,6,7
1531180594,1,1
1531182493,2,13
1531185441,6,5
1531187316,13,0
1531189244,1,2
1531192596,0,6
1531194512,0,4
1531196427,3,5
1531198581,1,3
1531200497,1,1
1531202504,5,1
1531204361,0,1
1531206265,3,1
1531208181,2,3
1531210107,0,3
1531212032,4,5
1531213954,2,6
1531215858,1,2
1531217800,1,2
1531219699,0,2
1531221631,0,3
1531223614,2,0
1531225474,0,6
1531227374,0,6
1531229569,0,5
1531231476,0,1
1531235313,0,1
1531239200,0,2
1531241089,3,0
1531242995,2,2
1531244903,2,5
1531246820,0,2
1531248752,0,2
1531250730,1,6
1531252620,1,3
1531254508,1,2
1531256501,1,1
1531258356,1,2
1531262199,1,4
1531264132,1,1
