DateTime,Entries,UniqueIPs
1530739509,1121,1121
1530741397,1106,1106
1530743316,1120,1120
1530745360,1119,1119
1530747176,1108,1108
1530749076,1105,1105
1530751002,1102,1102
1530752908,1085,1085
1530754820,1075,1075
1530756742,1056,1056
1530758678,1045,1045
1530760830,1040,1040
1530762744,1032,1032
1530764676,1013,1013
1530766576,972,972
1530768501,974,974
1530770501,973,973
1530772426,950,950
1530774295,946,946
1530776184,947,947
1530778120,963,963
1530780024,976,976
1530781946,981,981
1530783883,977,977
1530785744,978,978
1530787728,994,994
1530789622,996,996
1530791580,998,998
1530793460,1015,1015
1530795695,1027,1027
1530797565,1024,1024
1530799474,1043,1043
1530801398,1055,1055
1530803332,1079,1079
1530805241,1087,1087
1530807194,1071,1071
1530809068,1088,1088
1530811000,1098,1098
1530812827,1103,1103
1530814830,1098,1098
1530816745,1081,1081
1530818690,1076,1076
1530820594,1070,1070
1530822762,1074,1074
1530825327,1096,1096
1530827312,1118,1118
1530829236,1121,1121
1530831187,1106,1106
1530833263,1124,1124
1530835305,1145,1145
1530837180,1147,1147
1530839079,1176,1176
1530840997,1194,1194
1530842912,1217,1217
1530844844,1234,1234
1530846773,1235,1235
1530848678,1234,1234
1530850612,1248,1248
1530852507,1255,1255
1530854442,1236,1236
1530856380,1238,1238
1530858269,1258,1258
1530860196,1250,1250
1530862125,1252,1252
1530864097,1251,1251
1530865970,1236,1236
1530867898,1242,1242
1530869818,1236,1236
1530871966,1251,1251
1530874119,1244,1244
1530876040,1244,1244
1530877974,1266,1266
1530879886,1274,1274
1530881793,1279,1279
1530884588,1300,1300
1530886587,1311,1311
1530888925,1338,1338
1530890911,1339,1339
1530892913,1337,1337
1530894762,1344,1344
1530896714,1356,1356
1530898587,1366,1366
1530900537,1377,1377
1530902438,1384,1384
1530904488,1400,1400
1530906305,1415,1415
1530908199,1419,1419
1530910107,1416,1416
1530912057,1414,1414
1530913951,1418,1418
1530915878,1420,1420
1530917797,1407,1407
1530919727,1393,1393
1530921711,1380,1380
1530923568,1373,1373
1530925500,1357,1357
1530927406,1336,1336
1530929321,1328,1328
1530931223,1326,1326
1530933155,1339,1339
1530935101,1342,1342
1530936977,1338,1338
1530938914,1331,1331
1530941075,1343,1343
1530942994,1354,1354
1530944920,1340,1340
1530946895,1338,1338
1530948779,1349,1349
1530950704,1359,1359
1530952584,1361,1361
1530954510,1361,1361
1530956430,1355,1355
1530958604,1355,1355
1530960505,1344,1344
1530962428,1329,1329
1530964389,1310,1310
1530966284,1304,1304
1530968201,1314,1314
1530970102,1318,1318
1530972108,1303,1303
1530973954,1301,1301
1530975865,1297,1297
