DateTime,AddedIPs,RemovedIPs
1528360577,1,0
1528368261,0,1
1528370183,0,1
1528374029,1,0
1528381637,1,0
1528408584,1,0
1528418897,0,1
1528436072,0,1
1528443858,0,1
1528447708,0,1
1528459272,1,0
1528461140,0,1
1528467059,0,1
1528480902,5,0
1528484658,2,0
1528486878,1,0
1528494504,1,1
1528500513,1,0
1528502531,1,0
1528517788,1,0
1528544688,0,1
1528548510,1,0
1528554281,1,0
1528556198,1,0
1528565804,0,1
1528567709,0,4
1528571539,0,2
1528573458,0,1
1528581156,0,1
1528583079,1,0
1528586025,1,1
1528587878,0,1
1528603307,0,1
1528635889,0,1
1528637787,1,0
1528639993,0,1
1528643892,0,1
1528645722,1,0
1528670576,0,1
1528672484,0,1
1528689696,1,0
1528718682,1,0
1528724414,0,1
1528726346,2,0
1528732203,0,1
1528746427,1,0
1528760053,1,0
1528761871,1,0
1528775294,0,1
1528777231,1,0
1528781058,2,0
1528782991,1,0
1528788753,2,0
1528802175,1,0
1528804100,0,1
1528807935,1,0
1528813697,0,2
1528815716,1,0
1528821872,1,0
1528831457,0,1
1528844897,2,1
1528848733,0,1
1528854490,1,0
1528864091,0,1
1528867953,0,3
1528871776,1,0
1528875620,0,2
1528885231,2,0
1528889057,1,1
1528894902,0,1
1528902505,0,1
1528906354,2,0
1528908264,0,1
1528920751,1,0
1528931671,1,2
1528933473,1,0
1528937429,2,0
1528941142,0,1
1528946184,2,0
1528953852,2,0
1528957707,0,1
1528961773,1,0
1528971374,0,2
1528975216,0,1
1528979061,1,0
1528982914,1,0
1528990575,4,0
1528992536,0,2
1529000184,1,0
1529005939,0,1
1529018670,0,2
1529022508,0,1
1529024499,1,1
1529032100,0,2
1529039791,2,2
1529043633,1,0
1529045552,1,0
1529047468,0,1
1529065893,0,1
1529069782,2,1
1529075549,0,3
1529077469,0,1
1529087078,0,1
1529091781,1,0
1529093882,1,0
1529103758,1,0
1529105577,1,0
1529111321,0,1
1529126657,0,2
1529128609,0,1
1529130755,1,1
1529151878,1,0
1529155713,0,2
1529165336,1,0
1529167256,1,0
1529178984,0,1
1529180893,0,1
1529182901,1,0
1529184748,1,0
1529190981,0,1
1529192903,0,1
1529194842,1,0
1529196732,1,0
1529198656,1,0
1529214037,1,0
1529215942,1,0
1529217879,0,1
1529225541,1,0
1529233299,3,0
1529238981,0,1
1529242820,1,0
1529252438,0,1
1529254345,0,1
1529258202,1,0
1529265877,1,0
1529269717,0,1
1529271627,0,1
1529281467,0,1
1529283369,0,1
1529285291,0,1
1529289136,1,0
1529291054,4,0
1529292982,2,0
1529294893,1,0
1529298752,1,1
1529302568,0,1
1529304503,1,0
1529306409,1,0
1529312167,0,1
1529317935,1,0
1529319851,0,3
1529329452,1,1
1529342894,0,1
1529352688,2,1
1529372415,1,0
1529374357,1,0
1529376262,0,3
1529378184,0,3
1529380105,0,2
1529385869,0,1
1529391710,0,2
1529405066,0,1
1529414906,0,1
1529417788,1,0
1529431459,1,0
1529437214,1,0
1529439138,0,2
1529442975,1,0
1529458579,0,1
1529460519,0,1
1529502995,0,1
1529508762,1,0
1529518606,0,1
1529524584,0,1
1529530372,0,1
1529571177,1,0
1529579232,1,0
1529581217,1,0
1529585061,1,0
1529594898,1,1
1529596900,1,0
1529600922,1,0
1529612438,1,0
1529656583,0,1
1529666535,0,2
1529672192,0,1
1529681793,0,2
1529687562,0,1
1529697138,0,1
1529703383,1,0
1529750197,1,0
1529765557,1,0
1529767475,1,0
1529771303,2,0
1529784765,1,0
1529786655,1,0
1529790494,0,1
1529836839,0,1
1529852178,0,1
1529854111,0,1
1529857963,0,2
1529871816,0,1
1529879068,2,1
1529884961,1,0
1529896595,2,0
1529898505,5,0
1529900423,3,0
1529916988,1,0
1529918900,1,0
1529947714,2,0
1529961377,1,0
1529967388,0,2
1529971322,0,1
1529975076,1,0
1529984677,0,7
1529986582,0,2
1529988498,0,1
1530002198,1,1
1530006034,0,1
1530011791,3,0
1530032923,0,1
1530034819,0,1
1530048259,0,1
1530054263,1,0
1530060035,0,1
1530088826,0,1
1530098425,0,3
1530102295,1,0
1530139448,0,1
1530175946,1,0
1530185801,1,0
1530187738,1,1
1530189647,1,0
1530209085,1,0
1530210999,1,0
1530214822,1,0
1530221100,1,0
1530228746,1,0
1530233462,1,0
1530248503,1,0
1530262374,0,1
1530264271,1,0
1530271989,0,1
1530273917,0,1
1530275806,0,1
1530281548,1,0
1530294258,1,1
1530300992,0,2
1530306746,0,1
1530314427,0,1
1530318255,1,0
1530320191,0,1
1530335784,1,1
1530351145,0,1
1530354982,1,0
1530360991,1,0
1530364976,2,0
1530369143,0,1
1530372991,2,0
1530380658,0,1
1530390276,1,0
1530392173,1,0
1530404760,0,1
1530410556,1,0
1530412595,1,0
1530422423,0,1
1530428185,1,0
1530433984,1,0
1530439725,0,1
1530447535,1,1
1530449541,0,1
1530453877,0,1
1530457704,0,1
1530460220,1,1
1530465863,1,0
1530469700,1,0
1530477390,0,1
1530479301,0,1
1530481213,1,0
1530485055,1,0
1530496590,0,1
1530498519,0,1
1530516032,0,1
1530519879,0,1
1530521729,1,0
1530531859,1,0
1530533792,0,1
