DateTime,AddedIPs,RemovedIPs
1530535708,12,25
1530537623,22,16
1530539680,39,14
1530541721,35,16
1530543700,19,20
1530545548,20,61
1530547476,25,73
1530549378,239,77
1530551298,14,56
1530553231,35,52
1530555139,18,41
1530557053,29,36
1530558992,23,26
1530560899,17,45
1530562816,14,40
1530564792,46,69
1530566929,36,43
1530569022,22,16
1530571007,11,27
1530572918,9,12
1530574888,21,7
1530576782,12,49
1530578661,15,18
1530580661,16,39
1530582775,15,14
1530584658,18,13
1530586912,20,34
1530588754,60,20
1530590673,16,17
1530592729,34,13
1530594756,28,21
1530596658,16,19
1530598582,82,12
1530600519,34,19
1530602422,21,20
1530604364,22,19
1530606277,27,10
1530608199,22,21
1530610102,26,26
1530612113,26,16
1530614519,34,28
1530616370,14,16
1530618258,35,24
1530620443,31,18
1530622345,26,12
1530624276,26,23
1530626180,29,39
1530628119,34,30
1530630097,32,16
1530631974,24,19
1530633812,29,25
1530636416,41,17
1530638339,26,243
1530640413,33,24
1530642269,24,16
1530644190,14,26
1530646041,25,16
1530647923,18,17
1530649838,27,36
1530651767,16,32
1530654128,20,39
1530655955,13,15
1530657860,12,12
1530659789,24,16
1530661822,22,15
1530663872,18,16
1530665795,19,13
1530667726,26,13
1530669701,27,14
1530671612,22,13
1530673721,28,29
1530675652,23,58
1530677558,17,15
1530679525,23,35
1530681383,10,22
1530683312,28,17
1530685223,32,87
1530687136,34,37
1530689066,27,17
1530690987,34,23
1530692925,27,19
1530694916,18,35
1530696761,30,22
1530698693,41,24
1530701369,44,33
1530703230,16,19
1530705144,27,35
1530707063,26,29
1530708984,34,29
1530710994,24,17
1530713129,25,36
1530715871,48,44
1530717896,31,37
1530719799,22,22
1530721709,19,38
1530723689,26,21
1530725569,20,27
1530727902,27,32
1530729896,31,15
1530731795,14,23
1530733731,20,25
1530735626,11,19
1530737555,33,29
1530739510,22,17
1530741397,20,17
1530743317,17,8
1530745361,20,18
1530747176,2251,9
1530749077,949,16
1530751002,21,19
1530752909,21,13
1530754821,16,15
1530756743,16,14
1530758679,21,28
1530760831,20,13
1530762744,12,14
1530764676,12,15
1530766577,15,16
1530768501,24,16
1530770502,24,19
1530772427,19,26
1530774296,17,31
1530776185,23,29
1530778121,14,26
1530780025,21,33
1530781947,24,21
1530783884,19,44
1530785745,25,18
1530787729,25,26
1530789623,8,15
1530791580,29,26
1530793460,66,21
1530795696,42,34
1530797566,24,24
1530799475,20,25
1530801399,27,30
1530803333,22,29
1530805242,34,20
1530807195,26,19
1530809069,24,18
1530811001,16,28
1530812827,16,16
1530814830,29,16
1530816746,23,22
1530818691,11,14
1530820595,20,17
1530822762,50,13
1530825328,36,47
1530827313,34,11
1530829237,7,19
1530831188,13,15
1530833264,19,132
1530835306,13,12
1530837181,18,10
1530839080,22,18
1530840998,18,11
1530842913,31,11
1530844844,15,15
1530846773,10,24
1530848678,18,11
1530850613,14,12
1530852508,20,15
1530854443,13,17
1530856381,33,26
1530858270,37,12
1530860197,18,21
1530862126,27,23
1530864098,15,11
1530865970,24,11
1530867899,29,17
1530869819,20,15
1530871967,22,29
1530874120,29,28
1530876041,32,10
1530877975,30,19
1530879887,22,63
1530881793,37,31
1530884589,36,39
1530886588,16,23
1530888925,42,21
1530890912,30,33
1530892914,19,24
1530894763,18,27
1530896715,9,15
1530898588,15,15
1530900538,29,28
1530902439,26,23
1530904489,20,21
1530906306,20,22
1530908200,18,23
1530910107,14,44
1530912058,18,20
1530913951,26,41
1530915879,23,8
1530917798,20,14
1530919728,9,2041
1530921711,11,1342
1530923569,29,16
1530925500,36,19
1530927407,27,21
1530929323,19,26
1530931223,22,16
1530933156,20,13
1530935102,14,14
1530936977,11,13
1530938914,23,18
1530941075,27,16
1530942995,22,29
1530944921,20,37
1530946895,23,15
1530948780,14,26
1530950705,17,13
1530952584,74,25
1530954511,74,33
1530956430,32,26
1530958605,53,31
1530960506,596,20
1530962428,25,31
1530964390,14,32
1530966285,29,23
1530968201,21,36
1530970103,27,27
1530972108,20,11
1530973955,23,31
1530975866,10,22
1530977789,21,36
1530979739,12,14
1530981624,1754,13
1530983590,29,12
1530985523,16,18
1530987397,17,27
1530989330,19,20
1530991221,18,17
1530993152,12,19
1530995078,17,15
1530996987,32,12
1530998900,33,12
1531000927,35,29
1531002765,19,16
1531004921,42,13
1531006836,27,9
1531008990,30,16
1531011170,21,42
1531013093,19,20
1531014981,17,19
1531016924,15,20
1531018911,14,26
1531020772,17,9
1531022692,17,15
1531024848,30,21
1531026766,20,24
1531028694,17,16
1531030607,17,18
1531032513,12,24
1531034446,21,12
1531036362,11,19
1531038278,18,39
1531040199,14,88
1531042104,21,37
1531044100,21,46
1531046199,21,623
1531048134,16,21
1531050038,11,11
1531051951,10,19
1531053865,20,16
1531055809,27,18
1531057705,24,15
1531060257,27,25
1531063479,20,26
1531065367,13,9
1531067423,14,1763
1531069357,21,32
1531071378,21,21
1531073322,13,12
1531075216,19,19
1531077403,15,20
1531079309,24,11
1531081109,13,20
1531083157,22,17
1531085049,39,49
1531088445,28,58
1531090349,8,16
1531092271,13,34
1531094522,39,32
1531096365,19,14
1531098287,21,14
1531100423,11,23
1531102344,22,14
1531104622,12,17
1531106437,27,13
1531108357,28,20
1531110510,25,33
1531112505,27,20
1531114349,20,20
1531116282,14,18
1531118189,19,16
1531120122,25,10
1531122022,23,20
1531123941,23,16
1531125882,13,15
1531127801,25,16
1531129728,18,26
1531131715,40,22
1531133551,30,15
1531135457,23,18
1531137386,16,10
1531139550,26,15
1531141495,25,25
1531143381,31,19
1531145314,25,21
1531147234,32,17
1531149175,20,12
1531151094,18,13
1531152991,32,14
1531154916,18,17
1531156823,23,15
1531158749,20,15
1531160664,92,11
1531162576,21,33
1531164515,31,14
1531166497,24,25
1531169412,28,31
1531171221,28,38
1531173154,11,14
1531175073,64,11
1531177019,43,24
1531179161,31,23
1531181066,17,32
1531182978,31,21
1531184935,18,19
1531186854,20,12
1531188797,14,19
1531190694,20,19
1531192598,33,29
1531194514,15,24
1531196429,14,22
1531198583,17,36
1531200499,28,18
1531202506,25,19
1531204363,33,21
1531206267,24,21
1531208184,21,22
1531210109,23,23
1531212034,30,22
1531213957,33,22
1531215859,43,17
1531217802,22,37
1531219700,14,35
1531221634,26,25
1531223617,34,18
1531225476,16,21
1531227377,22,22
1531229571,20,29
1531231478,19,29
1531233395,22,29
1531235316,20,18
1531237245,19,22
1531239202,22,26
1531241092,946,17
1531242997,27,24
1531244905,26,17
1531246822,14,89
1531248755,16,22
1531250732,299,29
1531252623,336,24
1531254511,21,18
1531256503,12,22
1531258359,28,15
1531260290,16,27
1531262201,16,72
1531264134,13,26
1531266023,11,31
1531267974,14,17
1531269860,15,34
1531271789,20,14
1531273716,18,16
1531275636,27,9
1531277607,40,25
1531279460,32,25
1531281386,27,12
1531283568,48,16
1531285735,39,23
1531287688,27,19
1531289552,28,25
1531291486,27,31
1531293420,23,30
1531295316,21,20
1531297237,18,21
1531299159,20,30
1531301071,89,30
1531303003,156,48
1531304908,68,15
1531306906,83,18
1531308779,133,24
1531310694,78,34
1531312596,28,16
1531314518,22,37
1531316444,21,21
1531318371,26,17
1531320311,17,18
1531322197,18,23
1531324117,24,22
1531326410,18,18
1531328498,21,23
1531330352,18,30
1531332265,20,17
1531334433,28,20
1531336362,18,18
1531338284,17,654
1531340200,13,17
1531342115,22,18
1531344037,14,25
1531345961,22,21
1531348110,18,23
1531350101,26,14
1531351946,24,9
1531353879,15,940
1531355792,13,13
1531357725,22,23
1531359618,14,14
1531361561,12,23
1531363470,15,35
1531365407,15,35
1531367303,16,29
1531369220,19,38
1531371161,13,31
1531373057,16,32
1531374997,12,30
1531376903,22,20
1531378895,20,27
1531380748,13,21
1531382681,15,14
1531384592,25,12
1531386528,18,44
1531388418,26,137
1531390358,21,128
1531392302,23,56
1531394193,22,124
1531396113,21,133
1531398039,21,35
1531400003,27,30
1531401887,18,18
1531403791,18,30
1531405703,33,21
1531407697,37,13
1531409558,27,20
1531411506,16,19
1531413418,20,20
1531415295,18,22
1531417230,15,21
1531419140,21,25
1531421054,24,23
1531422995,11,22
1531425164,28,16
1531427059,17,18
1531429012,16,21
