DateTime,Entries,UniqueIPs
1530535708,1459,1459
1530537623,1465,1465
1530539680,1490,1490
1530541721,1509,1509
1530543700,1508,1508
1530545548,1467,1467
1530547476,1419,1419
1530549378,1581,1581
1530551298,1539,1539
1530553231,1522,1522
1530555139,1499,1499
1530557053,1492,1492
1530558992,1489,1489
1530560899,1461,1461
1530562816,1435,1435
1530564792,1412,1412
1530566929,1405,1405
1530569022,1411,1411
1530571007,1395,1395
1530572918,1392,1392
1530574888,1406,1406
1530576782,1369,1369
1530578661,1366,1366
1530580661,1343,1343
1530582775,1344,1344
1530584658,1349,1349
1530586912,1335,1335
1530588754,1375,1375
1530590673,1374,1374
1530592729,1395,1395
1530594756,1402,1402
1530596658,1399,1399
1530598582,1469,1469
1530600519,1484,1484
1530602422,1485,1485
1530604364,1488,1488
1530606277,1505,1505
1530608199,1506,1506
1530610102,1506,1506
1530612113,1516,1516
1530614519,1522,1522
1530616370,1520,1520
1530618258,1531,1531
1530620443,1544,1544
1530622345,1558,1558
1530624276,1561,1561
1530626180,1551,1551
1530628119,1555,1555
1530630097,1571,1571
1530631974,1576,1576
1530633812,1580,1580
1530636416,1604,1604
1530638339,1387,1387
1530640413,1396,1396
1530642269,1404,1404
1530644190,1392,1392
1530646041,1401,1401
1530647923,1402,1402
1530649838,1393,1393
1530651767,1377,1377
1530654128,1358,1358
1530655955,1356,1356
1530657860,1356,1356
1530659789,1364,1364
1530661822,1371,1371
1530663872,1373,1373
1530665795,1379,1379
1530667726,1392,1392
1530669701,1405,1405
1530671612,1414,1414
1530673721,1413,1413
1530675652,1378,1378
1530677558,1380,1380
1530679525,1368,1368
1530681383,1356,1356
1530683312,1367,1367
1530685223,1312,1312
1530687136,1309,1309
1530689066,1319,1319
1530690987,1330,1330
1530692925,1338,1338
1530694916,1321,1321
1530696761,1329,1329
1530698693,1346,1346
1530701369,1357,1357
1530703230,1354,1354
1530705144,1346,1346
1530707063,1343,1343
1530708984,1348,1348
1530710994,1355,1355
1530713129,1344,1344
1530715871,1348,1348
1530717896,1342,1342
1530719799,1342,1342
1530721709,1323,1323
1530723689,1328,1328
1530725569,1321,1321
1530727902,1316,1316
1530729896,1332,1332
1530731795,1323,1323
1530733731,1318,1318
1530735626,1310,1310
1530737555,1314,1314
1530739510,1319,1319
1530741397,1322,1322
1530743317,1331,1331
1530745361,1333,1333
1530747176,3575,3575
1530749077,4508,4508
1530751002,4510,4510
1530752909,4518,4518
1530754821,4519,4519
1530756743,4521,4521
1530758679,4514,4514
1530760831,4521,4521
1530762744,4519,4519
1530764676,4516,4516
1530766577,4515,4515
1530768501,4523,4523
1530770502,4528,4528
1530772427,4521,4521
1530774296,4507,4507
1530776185,4501,4501
1530778121,4489,4489
1530780025,4477,4477
1530781947,4480,4480
1530783884,4455,4455
1530785745,4462,4462
1530787729,4461,4461
1530789623,4454,4454
1530791580,4457,4457
1530793460,4502,4502
1530795696,4510,4510
1530797566,4510,4510
1530799475,4505,4505
1530801399,4502,4502
1530803333,4495,4495
1530805242,4509,4509
1530807195,4516,4516
1530809069,4522,4522
1530811001,4510,4510
1530812827,4510,4510
1530814830,4523,4523
1530816746,4524,4524
1530818691,4521,4521
1530820595,4524,4524
1530822762,4561,4561
1530825328,4550,4550
1530827313,4573,4573
1530829237,4561,4561
1530831188,4559,4559
1530833264,4446,4446
1530835306,4447,4447
1530837181,4455,4455
1530839080,4459,4459
1530840998,4466,4466
1530842913,4486,4486
1530844844,4486,4486
1530846773,4472,4472
1530848678,4479,4479
1530850613,4481,4481
1530852508,4486,4486
1530854443,4482,4482
1530856381,4489,4489
1530858270,4514,4514
1530860197,4511,4511
1530862126,4515,4515
1530864098,4519,4519
1530865970,4532,4532
1530867899,4544,4544
1530869819,4549,4549
1530871967,4542,4542
1530874120,4543,4543
1530876041,4565,4565
1530877975,4576,4576
1530879887,4535,4535
1530881793,4541,4541
1530884589,4538,4538
1530886588,4531,4531
1530888925,4552,4552
1530890912,4549,4549
1530892914,4544,4544
1530894763,4535,4535
1530896715,4529,4529
1530898588,4529,4529
1530900538,4530,4530
1530902439,4533,4533
1530904489,4532,4532
1530906306,4530,4530
1530908200,4525,4525
1530910107,4495,4495
1530912058,4493,4493
1530913951,4478,4478
1530915879,4493,4493
1530917798,4499,4499
1530919728,2467,2467
1530921711,1136,1136
1530923569,1149,1149
1530925500,1166,1166
1530927407,1172,1172
1530929323,1165,1165
1530931223,1171,1171
1530933156,1178,1178
1530935102,1178,1178
1530936977,1176,1176
1530938914,1181,1181
1530941075,1192,1192
1530942995,1185,1185
1530944921,1168,1168
1530946895,1176,1176
1530948780,1164,1164
1530950705,1168,1168
1530952584,1217,1217
1530954511,1258,1258
1530956430,1264,1264
1530958605,1286,1286
1530960506,1862,1862
1530962428,1856,1856
1530964390,1838,1838
1530966285,1844,1844
1530968201,1829,1829
1530970103,1829,1829
1530972108,1838,1838
1530973955,1830,1830
1530975866,1818,1818
1530977789,1803,1803
1530979739,1801,1801
1530981624,3542,3542
1530983590,3559,3559
1530985523,3557,3557
1530987397,3547,3547
1530989330,3546,3546
1530991221,3547,3547
1530993152,3540,3540
1530995078,3542,3542
1530996987,3562,3562
1530998900,3583,3583
1531000927,3589,3589
1531002765,3592,3592
1531004921,3621,3621
1531006836,3639,3639
1531008990,3653,3653
1531011170,3632,3632
1531013093,3631,3631
1531014981,3629,3629
1531016924,3624,3624
1531018911,3612,3612
1531020772,3620,3620
1531022692,3622,3622
1531024848,3631,3631
1531026766,3627,3627
1531028694,3628,3628
1531030607,3627,3627
1531032513,3615,3615
1531034446,3624,3624
1531036362,3616,3616
1531038278,3595,3595
1531040199,3521,3521
1531042104,3505,3505
1531044100,3480,3480
1531046199,2878,2878
1531048134,2873,2873
1531050038,2873,2873
1531051951,2864,2864
1531053865,2868,2868
1531055809,2877,2877
1531057705,2886,2886
1531060257,2888,2888
1531063479,2882,2882
1531065367,2886,2886
1531067423,1137,1137
1531069357,1126,1126
1531071378,1126,1126
1531073322,1127,1127
1531075216,1127,1127
1531077403,1122,1122
1531079309,1135,1135
1531081109,1128,1128
1531083157,1133,1133
1531085049,1123,1123
1531088445,1093,1093
1531090349,1085,1085
1531092271,1064,1064
1531094522,1071,1071
1531096365,1076,1076
1531098287,1083,1083
1531100423,1071,1071
1531102344,1079,1079
1531104622,1074,1074
1531106437,1088,1088
1531108357,1096,1096
1531110510,1088,1088
1531112505,1095,1095
1531114349,1095,1095
1531116282,1091,1091
1531118189,1094,1094
1531120122,1109,1109
1531122022,1112,1112
1531123941,1119,1119
1531125882,1117,1117
1531127801,1126,1126
1531129728,1118,1118
1531131715,1136,1136
1531133551,1151,1151
1531135457,1156,1156
1531137386,1162,1162
1531139550,1173,1173
1531141495,1173,1173
