DateTime,AddedIPs,RemovedIPs
1528506272,1,0
1528508193,1,0
1528519706,1,0
1528529301,1,0
1528531297,1,0
1528535073,1,1
1528537009,1,0
1528544690,0,1
1528552381,0,1
1528565805,1,0
1528567711,1,0
1528571540,1,0
1528573460,1,0
1528579220,1,0
1528581157,0,1
1528586027,0,1
1528589816,0,1
1528595564,0,1
1528607079,1,1
1528609041,3,0
1528612882,1,0
1528616699,0,1
1528618584,0,1
1528620533,0,1
1528622458,0,1
1528626270,1,1
1528630100,2,1
1528633957,0,1
1528637789,1,0
1528639994,1,0
1528641872,1,0
1528643893,0,1
1528651483,1,1
1528653395,1,0
1528655349,1,1
1528657305,0,1
1528661073,0,1
1528666380,0,1
1528678232,1,0
1528684002,1,1
1528689697,2,0
1528693463,0,1
1528695287,0,2
1528699219,0,1
1528703076,1,0
1528709063,1,0
1528716747,0,1
1528718684,1,0
1528730191,1,0
1528736590,1,0
1528740614,1,0
1528742706,1,0
1528744597,0,1
1528756100,0,1
1528758114,1,0
1528761872,1,1
1528763775,0,1
1528769539,1,1
1528775295,0,1
1528777233,1,2
1528779140,1,0
1528788754,0,1
1528790661,0,1
1528794521,0,1
1528804101,0,1
1528806059,0,1
1528823778,0,1
1528825710,0,1
1528829534,0,2
1528837110,1,0
1528838912,1,0
1528844898,1,0
1528848734,1,0
1528854491,0,1
1528856425,0,1
1528864093,1,1
1528866107,0,1
1528869870,0,1
1528890992,1,1
1528896758,1,0
1528900576,1,0
1528902506,1,0
1528908265,1,0
1528914016,1,0
1528918914,1,0
1528922661,1,0
1528926499,1,0
1528931673,0,2
1528939234,1,0
1528943061,0,1
1528950010,0,1
1528955770,1,0
1528957708,0,1
1528961774,1,0
1528965633,1,0
1528969470,1,2
1528977133,0,1
1528984895,0,1
1528988663,0,1
1528990576,1,0
1528992537,1,0
1528996343,1,0
1529002098,1,0
1529005940,0,1
1529009787,0,1
1529011857,1,0
1529013742,0,1
1529016829,1,0
1529018670,1,0
1529020573,1,0
1529022509,1,0
1529028281,0,1
1529037858,1,0
1529039792,1,0
1529041704,0,1
1529049390,1,1
1529051304,0,1
1529055156,1,1
1529062817,0,1
1529077470,0,1
1529083233,0,1
1529085134,1,0
1529088981,0,1
1529091782,1,0
1529103760,0,2
1529107459,0,1
1529109397,0,1
1529115149,1,0
1529118987,1,0
1529130756,1,0
1529148053,1,0
1529151879,2,0
1529163394,0,8
1529165337,1,1
1529169141,1,0
1529180894,1,1
1529184749,1,0
1529186674,1,0
1529198657,2,0
1529215943,0,1
1529221702,1,0
1529233300,1,0
1529237074,0,1
1529252439,0,1
1529256265,0,1
1529258203,0,1
1529262094,0,1
1529277610,2,0
1529281468,0,1
1529291055,1,1
