DateTime,AddedIPs,RemovedIPs
1530715873,5,8
1530717897,7,3
1530719800,8,2
1530721710,4,10
1530723690,6,4
1530725570,4,7
1530727904,5,15
1530729898,4,5
1530731797,2,3
1530733733,4,7
1530735628,1,5
1530737556,1,19
1530739511,5,1
1530741399,2,5
1530743318,6,2
1530745362,9,4
1530747178,2129,3
1530749079,935,4
1530751004,0,6
1530752911,4,5
1530754822,2,3
1530756744,2,3
1530758680,4,10
1530760832,2,2
1530762746,0,2
1530764678,1,0
1530766578,2,1
1530768503,3,1
1530770504,5,0
1530772429,0,1
1530774297,5,1
1530776187,3,3
1530778123,2,7
1530780026,1,6
1530781956,1,6
1530783886,2,25
1530785747,1,3
1530787731,3,0
1530789624,0,4
1530791582,9,1
1530793462,0,5
1530795698,5,8
1530797568,3,1
1530799477,0,5
1530801401,1,5
1530803335,1,4
1530805244,0,7
1530807197,2,5
1530809071,5,6
1530811003,0,6
1530812829,1,6
1530814832,6,5
1530816747,1,3
1530818693,1,3
1530820597,5,4
1530822764,2,4
1530825330,11,7
1530827315,32,0
1530829238,0,8
1530831191,2,6
1530833266,3,4
1530835308,3,2
1530837183,5,2
1530839082,6,3
1530841000,1,3
1530842914,1,2
1530844847,3,4
1530846775,1,3
1530848680,1,0
1530850615,1,1
1530852510,3,0
1530854445,1,2
1530856383,3,6
1530858272,10,0
1530860199,4,5
1530862128,10,1
1530864099,4,1
1530865972,13,1
1530867901,0,1
1530869820,4,1
1530871969,2,1
1530874122,2,4
1530876043,4,1
1530877976,9,9
1530879889,4,1
1530881795,1,5
1530884590,2,2
1530886590,2,1
1530888927,2,2
1530890913,0,1
1530894764,1,6
1530898589,1,1
1530900540,11,4
1530902440,6,2
1530904491,2,0
1530906308,1,4
1530908201,2,1
1530910109,5,6
1530912060,1,5
1530913953,4,36
1530915881,0,1
1530917800,1,2
1530919729,2,1766
1530921713,0,1337
1530923570,16,6
1530925502,10,6
1530927408,3,1
1530929326,2,3
1530931225,5,3
1530933158,6,2
1530935103,2,1
1530936979,2,1
1530938916,3,3
1530941077,1,3
1530942996,4,2
1530944922,2,11
1530946897,2,4
1530948781,1,8
1530950706,5,3
1530952586,49,14
1530954512,37,0
1530956432,6,4
1530958606,37,1
1530960507,19,3
1530962430,14,2
1530964391,4,10
1530966286,10,4
1530968203,2,1
1530970105,9,3
1530972110,5,0
1530973956,6,1
1530975867,2,1
1530977790,2,0
1530979741,6,0
1530981625,1765,1
1530983592,10,0
1530985524,2,1
1530987398,1,11
1530989331,4,8
1530991222,2,2
1530993153,1,0
1530995079,0,2
1530996989,1,2
1530998902,4,1
1531000929,2,4
1531002767,6,0
1531004923,13,0
1531006837,8,1
1531008991,4,2
1531011171,3,22
1531013094,1,3
1531014982,5,0
1531016925,2,4
1531018913,2,7
1531020773,1,2
1531022693,4,2
1531024850,1,0
1531026768,1,2
1531028695,3,3
1531030608,0,1
1531032515,0,2
1531034447,6,0
1531036364,0,3
1531038279,1,26
1531040201,1,49
1531042106,3,9
1531044101,1,21
1531046200,5,19
1531048135,0,7
1531051952,3,0
1531053866,1,2
1531055810,2,2
1531057706,5,4
1531060258,5,1
1531062096,1,1
1531064313,3,0
1531066458,1,2
1531068396,5,1784
1531070312,2,5
1531072481,5,1
1531074495,6,4
1531076515,5,2
1531078350,7,2
1531080277,4,1
1531082190,5,0
1531084348,14,2
1531086258,10,1
1531088446,15,6
1531090351,1,2
1531092273,1,0
1531094524,28,8
1531096366,2,1
1531098288,4,2
1531102345,1,4
1531104623,1,3
1531106438,13,2
1531108358,11,4
1531110512,4,4
1531112508,6,1
1531114350,5,3
1531116283,8,1
1531118190,4,0
1531120123,2,1
1531122024,4,4
1531123942,6,0
1531125883,0,2
1531127802,1,2
1531129730,0,3
1531131716,5,5
1531133552,3,0
1531135458,0,2
1531137387,2,1
1531139551,2,1
1531141497,1,1
1531143383,3,2
1531145315,4,3
1531147235,1,2
1531149176,2,4
1531151096,2,2
1531152992,6,1
1531154917,2,5
1531156824,6,1
1531158751,1,2
1531160666,9,0
1531162578,5,15
1531164516,18,4
1531166499,11,3
1531169413,6,2
1531171223,19,22
1531173155,4,4
1531175074,55,4
1531177021,31,20
1531179162,16,13
1531181067,10,20
1531182980,4,3
1531184936,2,2
1531186856,1,1
1531188799,0,2
1531190697,1,5
1531192599,6,14
1531194515,1,10
1531196430,0,6
1531198584,1,12
1531200500,5,2
1531202508,4,9
1531204364,6,5
1531206268,6,3
1531208185,0,3
1531210110,7,8
1531212035,5,4
1531213958,10,1
1531215861,12,4
1531217804,6,2
1531219702,1,4
1531221635,10,1
1531223619,4,3
1531225478,3,3
1531227378,5,5
1531229572,2,2
1531231479,2,4
1531233396,2,1
1531235317,1,5
1531237246,1,3
1531239204,2,5
1531241093,921,2
1531242998,5,3
1531244906,1,3
1531246823,1,6
1531248757,1,3
1531250733,2,15
1531252624,3,14
1531254512,3,1
1531256505,1,12
1531258360,5,10
1531260291,1,19
1531262203,1,59
1531264135,4,14
1531266024,1,18
1531267975,1,7
1531269861,1,2
1531271790,2,3
1531273718,3,3
1531275637,4,0
1531277608,23,1
1531279461,6,5
1531281388,4,1
1531283570,26,1
1531285736,7,4
1531287689,6,3
1531289553,3,4
1531291487,6,5
1531293421,6,5
1531295318,3,6
1531297238,4,6
1531299161,2,3
1531301073,75,12
1531303004,131,11
1531304910,51,2
1531306908,66,3
1531308780,107,5
1531310695,67,8
1531312597,6,3
1531314520,3,19
1531316446,8,2
1531318372,9,0
1531320312,1,2
1531322199,3,4
1531324118,3,2
1531326412,2,2
1531328499,2,3
1531330353,4,2
1531332266,3,0
1531334434,0,2
1531336363,3,1
1531338286,1,3
1531340201,1,1
1531342116,2,0
1531344038,0,5
1531345962,1,5
1531348111,6,2
1531350103,7,2
1531351947,4,0
1531353880,1,917
1531355794,4,2
1531357727,4,2
1531359619,1,4
1531361563,0,1
1531363471,2,21
1531365408,3,10
1531367304,0,4
1531369221,1,21
1531371162,0,13
1531373059,1,6
1531374999,2,2
1531376904,0,7
1531378896,3,4
1531380750,0,5
1531382682,6,2
1531384594,2,4
1531386529,2,23
1531388420,6,120
1531390360,2,99
1531392303,3,44
1531394194,3,94
1531396115,1,121
1531398040,3,16
1531400005,1,5
1531401888,0,3
1531403792,2,12
1531405704,2,3
1531407698,5,2
1531409560,0,2
1531411507,4,3
1531413420,0,3
1531415296,1,3
1531417231,3,3
1531419141,3,5
1531421055,3,1
1531422997,1,3
1531425165,7,0
1531427061,6,0
1531429014,0,2
1531430922,4,1
1531434407,2,8
1531436472,0,7
1531438338,4,5
1531440513,4,2
1531442460,2,5
1531444349,5,5
1531446277,6,1
1531448178,1,2
1531451310,2,5
1531453214,2,1
1531455155,1,3
1531457102,3,2
1531459010,3,1
1531461161,1,2
1531463060,8,1
1531464991,4,2
1531466896,3,0
1531468905,5,6
1531470764,1,1
1531472731,5,3
1531474595,2,4
1531476533,2,3
1531478441,2,5
1531480433,1,4
1531482277,3,1
1531484186,2,2
1531486098,1,2
1531488034,9,1
1531490187,2,2
1531493915,3,3
1531495761,3,0
1531497674,7,5
1531499671,1,0
1531501722,3,2
1531503624,5,2
1531505574,1,2
1531507519,3,5
1531509390,1,2
1531511533,5,2
1531513453,1,5
1531515395,0,1
1531520504,85544,0
1531522446,3,0
1531526296,3,0
1531530558,2,0
