DateTime,AddedIPs,RemovedIPs
1530481215,2,3
1530485057,1,0
1530486986,1,0
1530488913,1,0
1530490817,0,1
1530492736,1,0
1530494695,1,1
1530496592,0,2
1530498522,1,2
1530500689,0,3
1530502581,1,1
1530506435,1,1
1530508356,1,1
1530510306,1,0
1530512199,2,1
1530514105,1,2
1530516034,4,1
1530517978,3,1
1530519881,3,0
1530521732,1,3
1530525701,2,0
1530528106,0,1
1530529960,3,1
1530531860,2,1
1530533794,1,0
1530535710,1,3
1530537625,0,3
1530539681,0,3
1530541723,1,1
1530545550,2,1
1530547478,0,1
1530549379,2,1
1530551299,1,1
1530553233,3,1
1530555140,0,3
1530558994,4,5
1530560900,1,3
1530562818,1,2
1530564794,0,1
1530566931,1,2
1530569023,1,1
1530572919,1,0
1530574890,1,0
1530576784,2,0
1530578663,4,2
1530580663,1,0
1530582777,1,1
1530584660,1,1
1530587546,2,0
1530589452,0,2
1530593538,1,1
1530595477,1,2
1530597380,0,3
1530599297,1,0
1530601292,1,3
1530603155,0,4
1530605070,0,3
1530606982,3,2
1530609001,1,1
1530610819,1,0
1530613008,1,2
1530615196,1,1
1530617074,0,2
1530620902,0,2
1530622908,1,1
1530628829,1,0
1530632558,0,2
1530634625,0,1
1530637371,1,1
1530639303,0,4
1530646043,2,5
1530654132,0,1
1530655957,2,1
1530657862,1,0
1530659791,1,1
1530661823,0,1
1530663874,1,3
1530665797,0,3
1530667727,0,1
1530669703,0,2
1530671614,1,1
1530673723,3,2
1530675653,1,0
1530677559,1,0
1530679527,2,1
1530681385,2,0
1530683314,1,0
1530685225,1,0
1530687138,1,2
1530689067,3,0
1530692927,0,2
1530694917,0,3
1530696763,1,0
1530698695,1,2
1530701371,0,1
1530707065,0,1
1530708986,4,1
1530710995,1,0
1530713131,1,0
1530715873,0,1
1530725570,1,0
1530727904,2,0
1530731797,0,2
1530735628,1,0
1530741399,1,0
1530743319,0,2
1530745362,2,0
1530749079,2,1
1530751004,1,0
1530752911,1,0
1530758681,0,1
1530760833,0,4
1530762746,2,1
1530764678,0,2
1530766579,0,2
1530768503,0,1
1530770504,0,3
1530772429,0,1
1530776187,0,3
1530781956,1,1
1530783886,0,1
1530785748,0,1
1530787731,1,0
1530789625,1,0
1530791583,1,1
1530795698,0,4
1530797568,2,1
1530799477,0,1
1530801402,1,0
1530805244,1,0
1530807198,2,0
1530811003,1,1
1530812830,1,1
1530822765,0,1
1530825330,2,0
1530827315,3,0
1530829239,0,1
1530831191,0,1
1530833266,2,0
1530835309,3,1
1530837183,1,1
1530839083,0,1
1530842915,4,0
1530844847,1,0
1530846776,2,0
1530848681,0,3
1530854445,4,0
1530856383,4,0
1530858272,7,0
1530860199,1,1
1530862129,3,0
1530864100,2,0
1530865973,4,0
1530867901,1,2
1530869821,3,0
1530871969,1,0
1530874123,2,0
1530876043,2,1
1530877977,0,1
1530879889,1,0
1530881796,1,0
1530884591,3,3
1530886590,0,1
1530890913,1,1
1530892916,3,1
1530896717,2,1
1530898590,3,0
1530902441,1,0
1530904491,1,0
1530906308,1,0
1530908202,1,0
1530910109,1,0
1530912060,2,2
1530913953,0,3
1530917800,1,0
1530921713,1,3
1530923570,2,2
1530925502,4,0
1530927409,5,0
1530929327,4,4
1530931226,1,1
1530933158,3,2
1530935104,6,0
1530936979,2,0
1530938916,10,0
1530941077,4,4
1530942996,3,3
1530944923,2,8
1530946897,0,1
1530948782,1,4
1530950707,0,3
1530952586,1,2
1530954512,3,2
1530956432,0,2
1530958606,2,1
1530960508,1,2
1530962430,1,2
1530964391,2,0
1530966286,2,0
1530968203,3,1
1530970105,1,0
1530972110,2,1
1530973956,2,0
1530977791,3,2
1530979741,2,3
1530981625,520,2
1530983592,0,2
1530985524,2,1
1530987399,0,1
1530989331,2,0
1530991223,2,0
1530993154,2,2
1530995080,0,1
1530998902,1,2
1531000929,1,0
1531002767,1,2
1531004923,1,1
1531006838,1,1
1531008992,1,1
1531011172,2,2
1531013095,1,7
1531014982,3,4
1531018913,4,3
1531020773,1,3
1531022694,0,4
1531024850,1,12
1531026768,3,2
1531028695,5,3
1531030609,2,3
1531032515,3,0
1531034447,1,1
1531036364,3,1
1531038280,5,1
1531040201,3,2
1531042106,4,1
1531044102,1,2
1531046200,2,1
1531048135,1,2
1531050039,0,2
1531051953,1,1
1531053866,2,3
1531055810,2,0
1531057707,3,2
1531060258,1,3
1531064313,2,3
1531066459,1,1
1531068397,1,521
1531072482,0,2
1531074495,1,1
1531076515,1,1
1531078350,0,4
1531080277,2,1
1531082190,1,1
1531084348,3,1
1531088446,0,2
1531090351,1,0
1531092273,1,2
1531094525,2,0
1531096367,2,2
1531098288,2,0
1531100425,1,2
1531102345,3,2
1531104623,3,2
1531106439,1,1
1531108358,2,1
1531110512,3,1
1531112508,2,1
1531114351,8,3
1531116284,3,3
1531118191,1,4
1531120124,3,2
1531122024,6,1
1531123943,4,2
1531125884,2,4
1531127803,2,3
1531129730,6,2
1531131717,2,4
1531133553,1,0
1531135459,1,2
1531137388,1,0
1531139552,3,1
1531141497,2,2
1531143383,1,4
1531145316,1,1
1531147236,1,0
1531149176,0,1
1531151096,1,2
1531152992,2,0
1531154918,1,1
1531156825,0,1
1531162578,0,3
1531164516,2,1
1531166499,0,2
1531169414,2,2
1531171223,1,0
1531175074,1,0
1531177021,1,3
1531179162,2,1
1531181068,2,3
1531182981,2,2
1531184936,3,3
1531186856,4,1
1531188799,4,5
1531190698,8,2
1531192599,1,2
1531194515,3,2
1531196431,2,4
1531198585,1,1
1531200501,2,5
1531202508,4,4
1531204364,4,1
1531206269,3,2
1531208185,4,5
1531210111,2,2
1531212036,2,5
1531213958,5,2
1531215861,2,5
1531217804,3,0
1531219702,2,3
1531221635,2,1
1531223619,1,1
1531225478,5,3
1531227378,1,1
1531229572,5,2
1531231480,0,1
1531233396,1,1
1531235317,5,0
1531237246,0,1
1531239204,0,1
1531241093,3,1
1531244906,1,0
1531246824,1,0
1531248758,2,0
1531250734,0,2
1531252624,1,0
1531254512,1,1
1531256505,0,1
1531258360,1,0
1531260292,0,1
1531262203,2,2
1531264135,0,1
1531266024,1,1
1531267975,1,3
1531269862,4,4
1531271790,1,5
1531273718,2,2
1531275638,1,4
1531277608,1,8
1531279462,0,2
1531281388,4,3
1531283570,0,1
1531285737,4,1
1531287689,4,3
1531289554,2,2
1531291488,2,5
1531293421,4,5
1531295318,4,4
1531297238,3,0
1531299161,3,4
1531301073,2,3
1531303004,1,2
1531304912,2,3
1531306908,1,2
1531308781,1,2
1531310696,3,4
1531312597,1,1
1531314520,4,3
1531316446,0,4
1531318372,1,0
1531320313,0,1
1531322199,0,3
1531326412,1,0
1531328500,0,3
1531330354,1,1
1531332266,1,1
1531334434,1,3
1531338286,0,1
1531340201,1,1
1531344039,2,0
1531345962,0,1
1531350103,0,3
1531351947,0,2
1531353881,1,1
1531355794,0,3
1531357727,5,2
1531359620,2,1
1531361563,2,3
1531363471,2,1
1531365409,1,0
1531367304,1,3
1531369221,2,1
1531371163,0,2
1531373059,1,4
1531374999,2,2
1531376905,0,4
1531378897,0,2
1531380751,0,4
1531382682,1,3
1531384594,2,3
1531386530,0,3
1531388420,2,1
1531390360,3,1
1531392303,0,3
1531394195,1,1
1531396115,0,3
1531398040,2,0
1531400005,0,2
1531401888,1,2
1531405705,0,1
1531407699,1,0
1531409560,1,0
1531413420,3,1
1531417232,2,0
1531419142,1,1
1531421055,0,1
1531427061,0,1
1531429014,3,0
1531430923,0,2
1531434407,1,0
1531436494,0,1
1531438338,1,0
1531440513,1,1
1531442460,2,3
1531444350,2,2
1531446277,8,3
1531448178,4,2
1531451310,6,2
1531453215,5,1
1531455155,3,0
1531457102,5,2
1531459011,0,1
1531461161,2,1
1531464992,0,2
1531470765,2,1
1531472731,2,0
1531474595,1,2
1531476533,1,4
1531480434,1,2
1531482277,2,0
1531484187,0,1
1531486098,3,1
1531488034,1,1
1531490187,2,0
1531492092,0,1
1531493915,1,1
1531495761,0,1
1531499672,1,3
1531503624,0,2
1531505575,0,1
