DateTime,AddedIPs,RemovedIPs
1529790266,1,0
1529796520,0,1
1529811872,1,0
1529815703,1,1
1529819562,2,0
1529823382,1,0
1529827299,1,0
1529833011,1,0
1529838757,1,0
1529844407,1,2
1529846438,1,1
1529852182,1,0
1529854116,1,0
1529857969,2,0
1529860132,0,1
1529862287,0,1
1529864218,2,0
1529866101,1,0
1529868036,0,1
1529869967,0,1
1529871820,2,0
1529873779,1,0
1529875698,0,1
1529892982,3,0
1529896830,1,0
1529898753,0,1
1529902582,1,1
1529904509,1,0
1529906515,0,2
1529910283,0,1
1529914128,0,1
1529916026,1,0
1529917949,0,1
1529931383,0,1
1529933303,2,1
1529935327,0,1
1529939073,2,1
1529940980,1,1
1529942921,1,0
1529944835,1,2
1529952503,0,1
1529958690,1,1
1529962344,1,1
1529966194,1,0
1529968105,1,0
1529970015,1,0
1529973863,1,0
1529977701,2,0
1529979615,1,0
1529984891,0,1
1529986832,1,0
1529988737,1,0
1529996481,2,0
1529998353,1,0
1530000260,1,0
1530002200,1,0
1530004117,0,4
1530009860,1,0
1530015627,1,0
1530019463,1,0
1530025298,1,2
1530027143,0,1
1530029081,0,1
1530032926,1,0
1530046346,0,8
1530048262,1,1
1530052347,0,1
1530054266,1,1
1530056195,0,2
1530058122,1,0
1530060039,1,1
1530063882,0,2
1530069642,1,0
1530071558,1,0
1530073502,1,1
1530075385,0,2
1530081158,2,0
1530083077,1,2
1530084990,0,2
1530086916,1,0
1530088829,1,1
1530090751,2,0
1530096548,2,1
1530102298,1,1
1530106104,0,1
1530111871,1,1
1530113796,1,0
1530115728,1,0
1530117626,1,0
1530119544,0,1
1530121478,2,0
1530123382,1,0
1530135167,1,1
1530137079,2,0
1530139451,0,1
1530141390,1,0
1530143309,1,1
1530147146,0,1
1530149078,1,0
1530154910,1,0
1530156742,0,1
1530158672,1,1
1530160586,1,1
1530166352,1,0
1530168271,0,2
1530170187,0,1
1530174023,1,0
1530175949,0,3
1530177869,3,0
1530181701,0,1
1530183878,1,1
1530187741,0,1
1530191561,3,0
1530197577,1,0
1530199489,0,2
1530201402,1,0
1530203312,0,1
1530205304,1,2
1530207174,0,1
1530209089,1,1
1530221105,1,0
1530222979,1,3
1530226914,1,0
1530228750,0,2
1530233466,1,0
1530235622,0,1
1530237697,1,0
1530242678,0,1
1530246522,1,2
1530254908,0,1
1530260671,1,1
1530264760,1,2
1530266666,0,1
1530268580,0,1
1530276301,1,1
1530278304,0,2
1530284198,0,1
1530286509,2,0
1530288528,1,1
1530290434,2,1
1530292341,2,0
1530294262,1,2
1530296815,2,0
1530306750,1,0
1530308661,0,2
1530310607,2,0
1530312505,2,1
1530314431,1,0
1530316355,1,0
1530318259,1,0
1530320196,0,1
1530324100,0,1
1530325965,1,0
1530328119,1,0
1530331967,1,1
1530347320,0,1
1530349314,1,0
1530351149,0,1
1530354986,1,0
1530362899,3,1
1530364980,1,0
1530366976,1,0
1530369146,2,0
1530372994,0,3
1530376818,0,2
1530378759,0,2
1530380661,0,1
1530382583,0,1
1530384516,0,1
1530388339,12,0
1530394354,1,1
1530398581,0,4
1530400658,0,1
1530402902,1,1
1530404764,0,1
1530406632,1,0
1530408650,1,0
1530410560,1,0
1530412598,0,1
1530414687,0,1
1530416671,2,0
1530418593,2,1
1530422427,1,0
1530430136,1,0
1530432120,1,0
1530433988,1,0
1530435870,0,1
1530437818,1,0
1530441621,0,1
1530449545,1,3
1530451701,77677,0
1530454573,0,77677
1530456508,0,2
1530458418,1,0
1530462037,2,0
1530469704,2,0
1530473548,1,0
1530475463,1,12
1530479305,2,0
1530481217,1,1
1530492738,0,1
1530496594,1,2
1530498524,12,0
1530500690,8,0
1530504510,0,3
