DateTime,AddedIPs,RemovedIPs
1530160588,1,1
1530162514,1,2
1530164424,2,2
1530166354,0,1
1530168273,1,1
1530170189,1,1
1530174026,0,1
1530175951,0,1
1530177871,4,2
1530179804,0,1
1530181703,2,0
1530183880,2,2
1530185806,1,0
1530187743,1,0
1530189651,1,0
1530191563,0,2
1530193468,1,0
1530195408,3,0
1530197579,3,2
1530199491,1,1
1530201404,1,0
1530203314,3,0
1530205306,4,2
1530207176,1,0
1530209092,1,0
1530211005,2,0
1530212917,0,2
1530214828,1,0
1530217130,1,1
1530219159,1,1
1530221107,1,0
1530222981,2,1
1530226916,0,2
1530228752,1,1
1530231321,1,2
1530233468,2,1
1530237699,1,0
1530240653,1,2
1530244589,2,2
1530246524,0,1
1530248508,0,1
1530250347,0,1
1530254911,0,1
1530260672,1,0
1530262590,0,1
1530264762,1,3
1530266667,0,1
1530268581,1,5
1530270514,1,0
1530272442,1,1
1530274367,0,1
1530276302,2,1
1530278306,1,0
1530280337,2,2
1530282258,364,2
1530284199,125,1
1530286511,2,2
1530290436,2,1
1530292343,1,4
1530294264,2,0
1530296817,1,1
1530301232,2,2
1530303133,1,0
1530305057,0,1
1530306991,0,1
1530308933,0,2
1530310816,1,0
1530312732,1,0
1530314654,2,1
1530316586,1,0
1530318492,1,3
1530324260,0,1
1530326202,1,0
1530328121,0,1
1530330024,1,0
1530331969,1,1
1530335789,1,0
1530337721,2,0
1530339653,3,0
1530347322,0,1
1530351151,0,1
1530353089,2,0
1530354989,1,2
1530357154,0,1
1530360997,0,1
1530362901,1,0
1530364982,0,1
1530366978,0,2
1530369148,2,497
1530372996,1,2
1530376820,2,2
1530378761,1,1
1530380663,1,1
1530382585,0,1
1530384518,0,1
1530386419,1,0
1530388341,0,3
1530390282,1,0
1530392179,2,0
1530394356,3,1
1530396273,1,1
1530398584,0,2
1530400659,2,0
1530402904,2,2
1530404766,1,1
1530412600,0,1
1530414689,1,0
1530416673,1,2
1530418595,2,1
1530420520,1,0
1530422429,0,1
1530424349,1,1
1530426274,1,3
1530433990,1,0
1530435871,1,0
1530437819,1,0
1530439731,1,2
1530441623,1,1
1530443561,3,0
1530445508,1,0
1530447540,1,0
1530449546,1,1
1530451822,22309,0
1530454575,0,22307
1530456509,3,0
1530458420,2,1
1530462039,1,1
1530463939,0,1
1530465868,1,1
1530467787,0,1
1530469706,1,0
1530471699,2,1
1530475464,0,1
1530479306,0,3
1530481219,0,3
1530486989,0,2
1530488917,1,1
1530490820,0,1
1530498526,1,0
1530500692,1,1
1530502585,0,1
1530504512,1,1
1530506439,0,1
1530510308,3,2
1530512202,3,1
1530517981,2,0
1530519885,1,0
1530521736,1,1
1530523710,1,2
1530525704,2,1
1530528110,1,1
1530529964,3,3
1530531864,1,1
1530533798,3,1
1530535713,1,1
1530537628,0,3
1530539685,3,1
1530541727,1,0
1530543708,1,1
1530545553,0,2
1530547482,1,1
1530551303,0,1
1530555144,0,1
1530557058,2,1
1530558997,3,2
1530562821,0,1
1530566934,2,0
1530569027,1,0
1530574893,0,1
1530578666,2,0
1530584664,1,1
1530587549,0,1
1530589455,1,0
1530591655,0,1
1530595480,0,1
1530597384,0,3
1530599300,1,2
1530601295,3,0
