DateTime,Entries,UniqueIPs
1530535713,14952,14952
1530537628,14944,14944
1530539684,14943,14943
1530541727,14897,14897
1530543707,14903,14903
1530545553,14902,14902
1530547481,14895,14895
1530549382,14863,14863
1530551302,14912,14912
1530553235,14981,14981
1530555143,15066,15066
1530557058,15121,15121
1530558996,15198,15198
1530560903,15247,15247
1530562821,15331,15331
1530564796,15397,15397
1530566934,15416,15416
1530569026,15431,15431
1530571011,15457,15457
1530572922,15453,15453
1530574892,15482,15482
1530576787,15521,15521
1530578666,15518,15518
1530580666,14658,14658
1530582780,12656,12656
1530584663,11116,11116
1530587549,11000,11000
1530589454,11016,11016
1530591654,11009,11009
1530593541,11014,11014
1530595480,11014,11014
1530597383,11026,11026
1530599300,11033,11033
1530601295,11036,11036
1530603158,9778,9778
1530605073,4237,4237
1530606985,4237,4237
1530609003,4277,4277
1530610822,4288,4288
1530613011,4299,4299
1530615199,4290,4290
1530617077,4306,4306
1530618987,4293,4293
1530620905,4296,4296
1530622911,4278,4278
1530624766,4279,4279
1530626795,4272,4272
1530628832,4249,4249
1530630741,4752,4752
1530632561,5163,5163
1530634629,5188,5188
1530637374,5208,5208
1530639306,5207,5207
1530641305,5176,5176
1530643409,5159,5159
1530646046,5113,5113
1530647929,5091,5091
1530649843,5086,5086
1530651772,5069,5069
1530654136,5084,5084
1530655960,5142,5142
1530657865,5127,5127
1530659794,5089,5089
1530661827,5102,5102
1530663876,5059,5059
1530665800,5043,5043
1530667730,5075,5075
1530669706,5062,5062
1530671617,5062,5062
1530673725,5040,5040
1530675656,5032,5032
1530677562,5036,5036
1530679530,5017,5017
1530681388,5023,5023
1530683317,5053,5053
1530685228,5036,5036
1530687141,5012,5012
1530689070,4994,4994
1530690991,4992,4992
1530692931,4978,4978
1530694920,4981,4981
1530696766,4949,4949
1530698698,4955,4955
1530701375,4990,4990
1530703235,4963,4963
1530705150,4976,4976
1530707068,4991,4991
1530708990,4972,4972
1530710999,4985,4985
1530713134,4991,4991
1530715877,4981,4981
1530717901,4986,4986
1530719804,4982,4982
1530721714,4968,4968
1530723694,5041,5041
1530725574,5084,5084
1530727908,5109,5109
1530729904,5132,5132
1530731800,5149,5149
1530733736,5156,5156
1530735633,5157,5157
1530737559,5158,5158
1530739515,5153,5153
1530741404,5071,5071
1530743322,5079,5079
1530745366,5104,5104
1530747181,5104,5104
1530749082,5054,5054
1530751007,5830,5830
1530752915,7325,7325
1530754826,7281,7281
1530756747,7262,7262
1530758684,7243,7243
1530760836,7235,7235
1530762749,7250,7250
1530764681,7249,7249
1530766582,7227,7227
1530768506,7201,7201
1530770508,7153,7153
1530772433,7148,7148
1530774301,7147,7147
1530776191,9677,9677
1530778128,13554,13554
1530780031,13529,13529
1530781960,13527,13527
1530783890,13514,13514
1530785752,13444,13444
1530787736,13451,13451
1530789629,13463,13463
1530791587,13434,13434
1530793467,13418,13418
1530795703,13403,13403
1530797573,13369,13369
1530799481,13355,13355
1530801406,13342,13342
1530803340,13032,13032
1530805248,12511,12511
1530807202,12500,12500
1530809075,12481,12481
1530811008,12484,12484
1530812834,12473,12473
1530814838,12514,12514
1530816752,12517,12517
1530818698,12520,12520
1530820602,12555,12555
1530822769,12527,12527
1530825335,12546,12546
1530827320,12548,12548
1530829243,12547,12547
1530831196,12540,12540
1530833270,12529,12529
1530835312,12535,12535
1530837186,12237,12237
1530839086,10676,10676
1530841004,10678,10678
1530842918,10676,10676
1530844851,10674,10674
1530846779,10655,10655
1530848685,10654,10654
1530850618,10637,10637
1530852514,10621,10621
1530854449,10626,10626
1530856387,10638,10638
1530858276,10708,10708
1530860203,10702,10702
1530862133,9718,9718
1530864104,3652,3652
1530865977,6485,6485
1530867905,10714,10714
1530869825,10710,10710
1530871974,10710,10710
1530874128,10714,10714
1530876048,10716,10716
1530877981,10732,10732
1530879894,10732,10732
1530881801,10823,10823
1530884595,10893,10893
1530886594,11834,11834
1530888931,11889,11889
1530890917,11896,11896
1530892920,12456,12456
1530894769,15073,15073
1530896721,15075,15075
1530898593,15083,15083
1530900543,15057,15057
1530902445,15140,15140
1530904495,15175,15175
1530906312,15170,15170
1530908205,15226,15226
1530910113,15263,15263
1530912063,15252,15252
1530913957,15266,15266
1530915885,15279,15279
1530917804,15268,15268
1530919733,15278,15278
1530921717,15273,15273
1530923574,15285,15285
1530925506,15310,15310
1530927412,15320,15320
1530929331,15326,15326
1530931229,15342,15342
1530933161,15343,15343
1530935107,15340,15340
1530936982,15338,15338
1530938920,15360,15360
1530941080,15359,15359
1530943000,15344,15344
1530944926,15274,15274
1530946901,15376,15376
1530948786,15350,15350
1530950710,15281,15281
1530952590,12277,12277
1530954515,9577,9577
1530956435,9561,9561
1530958609,9592,9592
1530960511,9577,9577
1530962433,9576,9576
1530964394,9579,9579
1530966290,9605,9605
1530968207,9583,9583
1530970108,9544,9544
1530972113,9545,9545
1530973960,9550,9550
1530975870,9503,9503
1530977794,9507,9507
1530979745,9490,9490
1530981629,9489,9489
1530983595,9483,9483
1530985527,9491,9491
1530987402,9466,9466
1530989334,9385,9385
1530991226,9427,9427
1530993156,9432,9432
1530995083,7727,7727
1530996993,4248,4248
1530998906,4257,4257
1531000933,4239,4239
1531002771,4252,4252
1531004926,4233,4233
1531006841,4256,4256
1531008995,4245,4245
1531011175,4257,4257
1531013099,4282,4282
1531014986,4292,4292
1531016928,4277,4277
1531018916,4282,4282
1531020776,4287,4287
1531022696,4269,4269
1531024853,4276,4276
1531026771,4274,4274
1531028699,4261,4261
1531030611,4238,4238
1531032517,4183,4183
1531034450,4241,4241
1531036367,4281,4281
1531038282,4272,4272
1531040204,4239,4239
1531042109,4265,4265
1531044105,4247,4247
1531046204,4229,4229
1531048138,4226,4226
1531050042,4213,4213
1531051955,4273,4273
1531053870,4231,4231
1531055813,4237,4237
1531057709,4246,4246
1531060262,4929,4929
1531062100,4947,4947
1531064317,4952,4952
1531066462,4977,4977
1531068400,4955,4955
1531070316,4959,4959
1531072486,4946,4946
1531074499,4937,4937
1531076519,4903,4903
1531078354,4957,4957
1531080281,4974,4974
1531082193,4958,4958
1531084351,4889,4889
1531086261,4905,4905
1531088450,4893,4893
1531090354,4881,4881
1531092276,4876,4876
1531094528,5228,5228
1531096370,7149,7149
1531098291,9047,9047
1531100428,10012,10012
1531102348,9988,9988
1531104627,9958,9958
1531106442,9944,9944
1531108361,9924,9924
1531110515,9910,9910
1531112511,9905,9905
1531114354,9913,9913
1531116287,9908,9908
1531118194,9891,9891
1531120127,9846,9846
1531122027,9832,9832
1531123946,9862,9862
1531125887,9845,9845
1531127806,9793,9793
1531129734,9848,9848
1531131720,9870,9870
1531133556,9848,9848
1531135462,9857,9857
1531137391,9802,9802
1531139555,9798,9798
1531141500,9802,9802
1531143386,9786,9786
1531145319,9034,9034
1531147239,8999,8999
1531149180,9278,9278
1531151100,12808,12808
1531152996,13685,13685
1531154921,13681,13681
1531156829,13649,13649
1531158754,13672,13672
1531160670,13669,13669
1531162581,13651,13651
1531164519,13588,13588
1531166503,13623,13623
1531169417,13702,13702
1531171226,13732,13732
1531173159,13821,13821
1531175078,13843,13843
1531177025,13838,13838
1531179166,13843,13843
1531181071,13344,13344
1531182985,11511,11511
1531184940,9768,9768
1531186859,9087,9087
1531188803,9093,9093
1531190704,9085,9085
1531192602,9078,9078
1531194519,9088,9088
1531196433,9072,9072
1531198588,9063,9063
1531200503,9084,9084
1531202511,9066,9066
1531204368,9070,9070
1531206272,9052,9052
1531208189,9000,9000
1531210114,8996,8996
1531212039,9063,9063
1531213961,9060,9060
1531215864,9008,9008
1531217807,9063,9063
1531219705,9096,9096
1531221638,9150,9150
1531223623,9211,9211
1531225481,9245,9245
1531227381,9258,9258
1531229575,9307,9307
1531231483,9316,9316
1531233400,9337,9337
1531235320,9347,9347
1531237249,5614,5614
1531239208,5265,5265
1531241097,5286,5286
1531243001,5302,5302
1531244909,5311,5311
1531246827,5314,5314
1531248761,5334,5334
1531250736,5307,5307
1531252627,5279,5279
1531254516,5346,5346
1531256509,5380,5380
1531258364,5376,5376
1531260295,5340,5340
1531262206,5392,5392
1531264138,5374,5374
1531266027,5368,5368
1531267978,5381,5381
1531269864,5381,5381
1531271793,5402,5402
1531273721,5389,5389
1531275640,5380,5380
1531277611,5378,5378
1531279465,5382,5382
1531281391,5375,5375
1531283573,5370,5370
1531285740,5366,5366
1531287693,5373,5373
1531289557,5384,5384
1531291491,6541,6541
1531293425,8747,8747
1531295321,10360,10360
1531297242,10354,10354
1531299164,10338,10338
1531301076,10329,10329
1531303007,10284,10284
1531304915,10309,10309
1531306911,10280,10280
1531308784,10259,10259
1531310699,10207,10207
1531312600,10198,10198
1531314523,10210,10210
1531316449,10206,10206
1531318375,10210,10210
1531320315,10202,10202
1531322201,10248,10248
1531324121,10167,10167
1531326414,9224,9224
1531328502,9202,9202
1531330356,9196,9196
1531332269,9185,9185
1531334437,9178,9178
1531336366,9198,9198
1531338288,9185,9185
1531340204,9145,9145
1531342120,9157,9157
1531344042,9177,9177
1531345966,9179,9179
1531348114,9178,9178
1531350106,9169,9169
1531351950,9160,9160
1531353883,9160,9160
1531355796,9168,9168
1531357730,9166,9166
1531359622,9151,9151
1531361565,9149,9149
1531363474,9132,9132
1531365411,9112,9112
1531367307,9086,9086
1531369224,9074,9074
1531371165,9064,9064
1531373062,9047,9047
1531375001,9026,9026
1531376907,8989,8989
1531378899,6529,6529
1531380754,4402,4402
1531382684,3765,3765
1531384596,3789,3789
1531386533,3791,3791
1531388423,3775,3775
1531390362,3785,3785
1531392305,3774,3774
1531394197,3755,3755
1531396117,3761,3761
1531398043,3766,3766
1531400007,3763,3763
1531401891,3781,3781
1531403795,3781,3781
1531405708,3782,3782
1531407702,3763,3763
1531409563,3758,3758
1531411510,3798,3798
