DateTime,AddedIPs,RemovedIPs
1530747182,14,12
1530749083,14,20
1530751008,77,15
1530752915,9,21
1530754827,22,20
1530756748,23,16
1530758685,22,16
1530760837,23,15
1530762751,12,22
1530764682,31,16
1530766583,9,13
1530768507,8,25
1530770509,11,49
1530772434,21,14
1530774301,20,27
1530776193,2849,10
1530778129,4329,12
1530780033,5,12
1530781962,15,5
1530783892,14,15
1530785754,15,15
1530787737,15,11
1530789630,21,13
1530791588,21,10
1530793469,13,10
1530795704,21,9
1530797574,15,22
1530799483,11,8
1530801408,11,13
1530803341,13,342
1530805249,17,573
1530807204,7,15
1530809077,18,14
1530811009,15,20
1530812835,11,18
1530814839,16,12
1530816753,11,16
1530818700,13,21
1530820604,11,17
1530822771,11,14
1530825336,18,22
1530827321,15,21
1530829244,22,24
1530831197,15,17
1530833272,13,18
1530835314,24,17
1530837188,8,57
1530839087,15,30
1530841005,13,16
1530842919,12,15
1530844852,8,12
1530846781,13,19
1530848686,11,11
1530850620,11,20
1530852516,7,12
1530854450,9,7
1530856389,14,8
1530858277,16,14
1530860204,15,10
1530862134,44,1078
1530864104,11,6301
1530865978,3001,15
1530867906,4368,15
1530869826,21,13
1530871975,11,18
1530874130,18,14
1530876049,7,17
1530877982,13,15
1530879895,12,11
1530881801,13,11
1530884596,29,21
1530886595,657,13
1530888932,18,14
1530890918,25,26
1530892921,242,10
1530894770,2653,11
1530896722,17,15
1530898594,16,15
1530900544,24,12
1530902446,16,15
1530904496,30,12
1530906313,17,13
1530908206,35,8
1530910114,19,7
1530912064,18,25
1530913958,23,8
1530915886,17,23
1530917804,24,11
1530919734,21,14
1530921718,16,35
1530923575,15,11
1530925507,18,13
1530927413,16,10
1530929334,29,16
1530931230,41,7
1530933162,12,16
1530935108,19,13
1530936983,10,13
1530938921,17,8
1530941081,9,15
1530943001,19,8
1530944928,17,16
1530946902,22,15
1530948787,10,44
1530950711,5,9
1530952590,14,3231
1530954516,19,2875
1530956436,12,17
1530958610,30,11
1530960512,25,26
1530962434,23,11
1530964395,9,13
1530966291,14,14
1530968207,15,14
1530970109,12,19
1530972114,18,21
1530973960,15,12
1530975871,15,26
1530977795,16,22
1530979745,20,18
1530981629,30,14
1530983596,28,20
1530985528,19,24
1530987402,18,19
1530989335,14,24
1530991227,15,33
1530993157,13,17
1530995084,39,1101
1530996994,24,3638
1530998907,29,22
1531000933,28,22
1531002771,22,14
1531004927,17,33
1531006842,28,22
1531008996,20,27
1531011176,26,14
1531013100,24,23
1531014987,20,24
1531016929,25,43
1531018917,11,16
1531020777,14,16
1531022697,16,19
1531024854,23,24
1531026772,19,23
1531028699,19,24
1531030612,14,21
1531032518,20,15
1531034451,18,20
1531036367,16,11
1531038283,20,14
1531040205,17,18
1531042110,18,11
1531044106,17,22
1531046205,20,36
1531048139,13,25
1531050043,17,12
1531051956,19,18
1531053870,12,22
1531055814,15,14
1531057710,20,27
1531060263,23,26
1531062101,15,18
1531064318,21,20
1531066463,19,21
1531068401,22,39
1531070316,24,26
1531072487,13,29
1531074499,17,26
1531076519,22,19
1531078355,23,17
1531080282,17,14
1531082194,11,25
1531084352,14,19
1531086262,10,24
1531088450,15,30
1531090354,16,23
1531092277,11,24
1531094529,32,31
1531096371,15,33
1531098292,10,31
1531100428,19,23
1531102349,19,34
1531104627,19,31
1531106443,16,12
1531108362,9,22
1531110516,19,32
1531112512,19,23
1531114354,14,23
1531116287,17,20
1531118195,11,26
1531120128,21,27
1531122028,23,14
1531123947,13,21
1531125888,11,21
1531127807,4,15
1531129734,10,15
1531131721,17,17
1531133556,15,20
1531135463,18,18
1531137392,13,23
1531139556,13,23
1531141501,11,15
1531143387,16,16
1531145320,17,27
1531147240,9,18
1531149181,195,31
1531151101,3486,16
1531152997,1094,19
1531154922,15,17
1531156829,19,26
1531158755,16,13
1531160672,23,21
1531162582,22,23
1531164520,30,22
1531166504,19,21
1531169418,47,21
1531171227,40,12
1531173160,24,9
1531175079,41,17
1531177026,34,22
1531179167,21,19
1531181072,23,31
1531182987,27,8
1531184941,18,12
1531186860,18,21
1531188804,11,20
1531190712,20,18
1531192603,30,19
1531194519,17,8
1531196434,16,22
1531198588,23,24
1531200504,26,11
1531202512,12,16
1531204369,19,12
1531206273,21,17
1531208189,26,21
1531210115,13,18
1531212039,17,11
1531213962,7,9
1531215865,12,10
1531217808,17,10
1531219706,17,15
1531221639,54,16
1531223623,27,9
1531225482,19,14
1531227382,22,5
1531229576,23,16
1531231484,18,19
1531233401,20,8
1531235321,21,19
1531237250,27,3185
1531239208,1137,1502
1531241098,14,20
1531243002,20,22
1531244910,22,11
1531246827,17,19
1531248762,27,20
1531250737,18,29
1531252628,24,20
1531254516,27,15
1531256510,25,19
1531258364,11,12
1531260296,14,18
1531262207,15,17
1531264139,13,23
1531266028,16,8
1531267979,18,24
1531269865,21,17
1531271794,24,10
1531273721,11,19
1531275641,16,14
1531277612,8,17
1531279465,21,28
1531281392,17,18
1531283574,23,16
1531285741,24,46
1531287694,21,14
1531289557,17,27
1531291492,1191,18
1531293426,2238,15
1531295322,1704,19
1531297243,13,10
1531299165,8,13
1531301077,6,16
1531303008,9,15
1531304916,11,15
1531306912,13,45
1531308785,19,21
1531310700,10,20
1531312601,21,25
1531314524,16,11
1531316450,6,12
1531318376,8,20
1531320316,7,16
1531322202,14,13
1531324122,12,99
1531326416,18,993
1531328503,13,21
1531330357,22,23
1531332270,13,16
1531334438,17,34
1531336367,12,16
1531338289,15,24
1531340205,23,22
1531342121,20,25
1531344043,19,16
1531345967,12,9
1531348115,18,11
1531350107,7,23
1531351951,18,21
1531353884,18,16
1531355797,8,24
1531357731,22,27
1531359623,14,12
1531361566,19,23
1531363475,9,11
1531365412,7,16
1531367308,9,25
1531369225,12,37
1531371166,10,12
1531373063,17,25
1531375002,12,18
1531376909,21,17
1531378900,12,2443
1531380755,22,2206
1531382685,13,647
1531384597,18,18
1531386533,14,11
1531388423,12,12
1531390363,12,22
1531392306,17,13
1531394198,11,27
1531396119,15,15
1531398044,13,14
1531400008,24,26
1531401892,16,12
1531403796,18,8
1531405708,18,5
1531407703,8,16
1531409564,15,25
1531411511,27,13
1531413424,15,13
1531415300,10,20
1531417236,34,16
1531419145,21,12
1531421059,13,17
1531423001,16,17
1531425170,17,19
1531427064,21,18
1531429017,19,24
1531430926,8,14
1531434411,14,27
1531436559,9,14
1531438601,16,15
1531440516,17,19
1531442464,10,13
1531444353,16,25
1531446280,15,12
1531448182,19,17
1531451314,29,17
1531453218,3,11
1531455158,13,25
1531457106,13,15
1531459015,18,14
1531461165,17,20
1531463063,12,16
1531464995,16,17
1531466900,13,21
1531468911,14,16
1531470769,14,15
1531472736,15,9
1531474600,3,7
1531476538,14,10
1531478446,12,20
1531480438,43,12
1531482283,28,20
1531484190,41,21
1531486102,30,22
1531488038,44,24
1531490191,35,19
1531492096,55,19
1531493920,27,15
1531495765,34,10
1531497713,18,23
1531499677,36,15
1531501727,23,16
1531503630,28,31
1531505579,27,18
1531507523,15,15
1531509394,22,18
1531511538,27,23
1531513457,33,18
1531515399,19,16
1531520550,344936,0
1531522481,6,0
1531524360,1,0
1531526342,7,0
1531528252,10,0
1531530600,6,0
1531532513,9,0
1531534441,1,0
1531536371,6,0
1531538283,2,0
1531540179,3,0
1531542095,6,0
1531544042,5,0
1531545972,4,0
1531547865,7,0
1531549795,9,0
1531552654,8,0
1531554576,6,0
1531556505,2,0
1531558448,10,0
1531560590,9,0
1531562704,9,0
1531564640,4,0
1531566557,3,0
1531568454,2,0
1531570678,5,0
1531572569,6,0
1531574525,2,0
1531576468,10,0
