DateTime,Entries,UniqueIPs
1530747182,2254,2254
1530749083,2248,2248
1530751008,2310,2310
1530752915,2298,2298
1530754827,2300,2300
1530756748,2307,2307
1530758685,2313,2313
1530760837,2321,2321
1530762751,2311,2311
1530764682,2326,2326
1530766583,2322,2322
1530768507,2305,2305
1530770509,2267,2267
1530772434,2274,2274
1530774301,2267,2267
1530776193,5106,5106
1530778129,9423,9423
1530780033,9416,9416
1530781962,9426,9426
1530783892,9425,9425
1530785754,9425,9425
1530787737,9429,9429
1530789630,9437,9437
1530791588,9448,9448
1530793469,9451,9451
1530795704,9463,9463
1530797574,9456,9456
1530799483,9459,9459
1530801408,9457,9457
1530803341,9128,9128
1530805249,8572,8572
1530807204,8564,8564
1530809077,8568,8568
1530811009,8563,8563
1530812835,8556,8556
1530814839,8560,8560
1530816753,8555,8555
1530818700,8547,8547
1530820604,8541,8541
1530822771,8538,8538
1530825336,8534,8534
1530827321,8528,8528
1530829244,8526,8526
1530831197,8524,8524
1530833272,8519,8519
1530835314,8526,8526
1530837188,8477,8477
1530839087,8462,8462
1530841005,8459,8459
1530842919,8456,8456
1530844852,8452,8452
1530846781,8446,8446
1530848686,8446,8446
1530850620,8437,8437
1530852516,8432,8432
1530854450,8434,8434
1530856389,8440,8440
1530858277,8442,8442
1530860204,8447,8447
1530862134,7413,7413
1530864104,1123,1123
1530865978,4109,4109
1530867906,8462,8462
1530869826,8470,8470
1530871975,8463,8463
1530874130,8467,8467
1530876049,8457,8457
1530877982,8455,8455
1530879895,8456,8456
1530881801,8458,8458
1530884596,8466,8466
1530886595,9110,9110
1530888932,9114,9114
1530890918,9113,9113
1530892921,9345,9345
1530894770,11987,11987
1530896722,11989,11989
1530898594,11990,11990
1530900544,12002,12002
1530902446,12003,12003
1530904496,12021,12021
1530906313,12025,12025
1530908206,12052,12052
1530910114,12064,12064
1530912064,12057,12057
1530913958,12072,12072
1530915886,12066,12066
1530917804,12079,12079
1530919734,12086,12086
1530921718,12067,12067
1530923575,12071,12071
1530925507,12076,12076
1530927413,12082,12082
1530929334,12095,12095
1530931230,12129,12129
1530933162,12125,12125
1530935108,12131,12131
1530936983,12128,12128
1530938921,12137,12137
1530941081,12131,12131
1530943001,12142,12142
1530944928,12143,12143
1530946902,12150,12150
1530948787,12116,12116
1530950711,12112,12112
1530952590,8895,8895
1530954516,6039,6039
1530956436,6034,6034
1530958610,6053,6053
1530960512,6052,6052
1530962434,6064,6064
1530964395,6060,6060
1530966291,6060,6060
1530968207,6061,6061
1530970109,6054,6054
1530972114,6051,6051
1530973960,6054,6054
1530975871,6043,6043
1530977795,6037,6037
1530979745,6039,6039
1530981629,6055,6055
1530983596,6063,6063
1530985528,6058,6058
1530987402,6057,6057
1530989335,6047,6047
1530991227,6029,6029
1530993157,6025,6025
1530995084,4963,4963
1530996994,1349,1349
1530998907,1356,1356
1531000933,1362,1362
1531002771,1370,1370
1531004927,1354,1354
1531006842,1360,1360
1531008996,1353,1353
1531011176,1365,1365
1531013100,1366,1366
1531014987,1362,1362
1531016929,1344,1344
1531018917,1339,1339
1531020777,1337,1337
1531022697,1334,1334
1531024854,1333,1333
1531026772,1329,1329
1531028699,1324,1324
1531030612,1317,1317
1531032518,1322,1322
1531034451,1320,1320
1531036367,1325,1325
1531038283,1331,1331
1531040205,1330,1330
1531042110,1337,1337
1531044106,1332,1332
1531046205,1316,1316
1531048139,1304,1304
1531050043,1309,1309
1531051956,1310,1310
1531053870,1300,1300
1531055814,1301,1301
1531057710,1294,1294
1531060263,1291,1291
1531062101,1288,1288
1531064318,1289,1289
1531066463,1287,1287
1531068401,1270,1270
1531070316,1268,1268
1531072487,1252,1252
1531074499,1243,1243
1531076519,1246,1246
1531078355,1252,1252
1531080282,1255,1255
1531082194,1241,1241
1531084352,1236,1236
1531086262,1222,1222
1531088450,1207,1207
1531090354,1200,1200
1531092277,1187,1187
1531094529,1188,1188
1531096371,1170,1170
1531098292,1149,1149
1531100428,1145,1145
1531102349,1130,1130
1531104627,1118,1118
1531106443,1122,1122
1531108362,1109,1109
1531110516,1096,1096
1531112512,1092,1092
1531114354,1083,1083
1531116287,1080,1080
1531118195,1065,1065
1531120128,1059,1059
1531122028,1068,1068
1531123947,1060,1060
1531125888,1050,1050
1531127807,1039,1039
1531129734,1034,1034
1531131721,1034,1034
1531133556,1029,1029
1531135463,1029,1029
1531137392,1019,1019
1531139556,1009,1009
1531141501,1005,1005
1531143387,1005,1005
1531145320,995,995
1531147240,986,986
1531149181,1150,1150
1531151101,4620,4620
1531152997,5695,5695
1531154922,5693,5693
1531156829,5686,5686
1531158755,5689,5689
1531160672,5691,5691
1531162582,5690,5690
1531164520,5698,5698
1531166504,5696,5696
1531169418,5722,5722
1531171227,5750,5750
1531173160,5765,5765
1531175079,5789,5789
1531177026,5801,5801
1531179167,5803,5803
1531181072,5795,5795
1531182987,5814,5814
1531184941,5820,5820
1531186860,5817,5817
1531188804,5808,5808
1531190712,5810,5810
1531192603,5821,5821
1531194519,5830,5830
1531196434,5824,5824
1531198588,5823,5823
1531200504,5838,5838
1531202512,5834,5834
1531204369,5841,5841
1531206273,5845,5845
1531208189,5850,5850
1531210115,5845,5845
1531212039,5851,5851
1531213962,5849,5849
1531215865,5851,5851
1531217808,5858,5858
1531219706,5860,5860
1531221639,5898,5898
1531223623,5916,5916
1531225482,5921,5921
1531227382,5938,5938
1531229576,5945,5945
1531231484,5944,5944
1531233401,5956,5956
1531235321,5958,5958
1531237250,2800,2800
1531239208,2435,2435
1531241098,2429,2429
1531243002,2427,2427
1531244910,2438,2438
1531246827,2436,2436
1531248762,2443,2443
1531250737,2432,2432
1531252628,2436,2436
1531254516,2448,2448
1531256510,2454,2454
1531258364,2453,2453
1531260296,2449,2449
1531262207,2447,2447
1531264139,2437,2437
1531266028,2445,2445
1531267979,2439,2439
1531269865,2443,2443
1531271794,2457,2457
1531273721,2449,2449
1531275641,2451,2451
1531277612,2442,2442
1531279465,2435,2435
1531281392,2434,2434
1531283574,2441,2441
1531285741,2419,2419
1531287694,2426,2426
1531289557,2416,2416
1531291492,3589,3589
1531293426,5812,5812
1531295322,7497,7497
1531297243,7500,7500
1531299165,7495,7495
1531301077,7485,7485
1531303008,7479,7479
1531304916,7475,7475
1531306912,7443,7443
1531308785,7441,7441
1531310700,7431,7431
1531312601,7427,7427
1531314524,7432,7432
1531316450,7426,7426
1531318376,7414,7414
