DateTime,AddedIPs,RemovedIPs
1530400661,0,3
1530402905,1,2
1530404767,2,2
1530406638,1,2
1530408654,1,1
1530410563,1,2
1530412602,2,1
1530414691,1,2
1530416675,1,4
1530418597,2,1
1530420521,2,1
1530422431,2,5
1530424351,4,2
1530426275,0,3
1530428193,2,0
1530430139,0,1
1530432124,2,0
1530433991,0,1
1530435872,0,2
1530437820,1,1
1530439732,0,2
1530441625,0,1
1530443562,1,1
1530445509,1,3
1530447542,0,1
1530449547,1,0
1530451951,36524,0
1530453880,0,36528
1530455796,0,2
1530457708,0,2
1530460227,0,3
1530462041,0,3
1530463941,1,2
1530465870,2,1
1530467789,1,1
1530469707,2,2
1530471700,2,1
1530473551,0,3
1530475465,0,1
1530477399,2,1
1530479307,2,3
1530481220,0,1
1530483180,0,4
1530488918,0,1
1530490822,1,2
1530492741,1,1
1530494700,1,1
1530496597,1,1
1530498528,0,1
1530500694,1,2
1530502586,0,1
1530504513,1,2
1530506441,0,1
1530508361,0,3
1530510310,0,2
1530512204,0,2
1530514110,2,2
1530517983,0,1
1530519887,0,1
1530521738,1,0
1530523712,0,1
1530525706,2,0
1530529966,0,1
1530531867,1,1
1530537630,0,1
1530547484,1,0
1530549384,0,1
1530551304,0,1
1530553237,1,2
1530555145,0,2
1530557060,2,1
1530558998,1,1
1530560905,1,0
1530562823,0,2
1530564799,0,2
1530566936,1,0
1530569028,2,0
1530571013,3,0
1530572924,2,0
1530574894,1,0
1530576790,0,1
1530578668,0,1
1530580668,2,0
1530582782,0,1
1530584666,2,1
1530587551,2,1
1530589456,2,0
1530591656,0,1
1530595482,1,0
1530597385,1,0
1530599302,0,2
1530601297,3,0
1530605075,1,0
1530606988,1,1
1530609006,3,0
1530610824,2,0
1530613013,1,2
1530617079,2,0
1530618990,1,1
1530622912,1,0
1530626797,6,0
1530628834,1,0
1530630743,1,0
1530632563,1,0
1530634631,0,1
1530637376,2,0
1530639308,0,1
1530643411,3,2
1530646048,5,1
1530647931,0,1
1530649845,1,0
1530651775,3,1
1530654139,1,2
1530655962,0,2
1530657867,1,1
1530659796,0,2
1530661829,1,1
1530663878,1,0
1530665802,1,1
1530667733,1,1
1530669708,4,0
1530671620,1,2
1530673727,3,2
1530675658,2,2
1530681390,1,1
1530683319,1,1
1530685230,1,0
1530687143,0,1
1530689072,0,2
1530690993,0,1
1530692936,0,1
1530694922,0,2
1530696768,0,3
1530698700,1,1
1530701377,2,0
1530703238,2,2
1530705152,1,1
1530707071,1,0
1530708993,1,0
1530711001,1,1
1530713136,0,5
1530715879,3,3
1530717904,2,1
1530723696,0,2
1530727910,2,0
1530729908,1,3
1530731802,3,3
1530733738,1,2
1530735636,2,0
1530737561,0,2
1530739517,1,2
1530741406,2,1
1530743324,2,1
1530747184,1,1
1530749085,2,1
1530752917,0,2
1530756750,2,5
1530758687,3,0
1530760838,1,4
1530762752,0,1
1530764683,2,0
1530766584,1,0
1530768508,0,1
1530770511,2,2
1530772436,1,0
1530774303,1,0
1530776194,1,0
1530780034,2,0
1530781963,1,0
1530783893,1,0
1530785755,0,1
1530787738,0,2
1530789632,2,2
1530791590,1,1
1530793471,0,1
1530795706,2,1
1530797576,1,1
1530801409,1,3
1530803343,4,2
1530807205,1,0
1530809078,1,0
1530811011,1,0
1530812837,0,1
1530814841,1,1
1530816755,0,3
1530818701,0,1
1530820605,2,1
1530822773,2,2
1530825338,0,1
1530827323,0,1
1530829245,2,3
1530831199,2,0
1530833273,1,1
1530835315,1,2
1530842920,1,2
1530844853,0,3
