DateTime,AddedIPs,RemovedIPs
1530349318,2,0
1530351153,1,1
1530353091,1,1
1530354991,3,1
1530357156,0,1
1530360999,0,1
1530362903,1,0
1530369150,2,2
1530371067,2,0
1530372998,2,0
1530378763,1,2
1530380666,1,1
1530382586,1,0
1530384519,3,1
1530386421,1,0
1530388343,1,1
1530390284,2,1
1530394359,3,2
1530396275,2,0
1530398586,1,3
1530400662,1,2
1530402905,4,1
1530404767,2,1
1530406639,0,1
1530408654,0,1
1530410564,0,1
1530412602,0,1
1530418597,1,0
1530420522,1,0
1530424351,1,0
1530426276,1,0
1530428193,1,0
1530430140,0,1
1530432124,3,0
1530433992,1,0
1530437821,0,2
1530439733,2,4
1530441625,1,1
1530445509,1,1
1530447542,0,2
1530451985,26147,0
1530453880,0,26146
1530455797,4,0
1530457708,0,1
1530460227,1,2
1530465870,1,2
1530467789,1,0
1530469708,2,2
1530471700,1,3
1530473551,2,1
1530475466,1,1
1530477399,1,0
1530483180,1,3
1530485061,2,1
1530486991,1,0
1530488918,1,2
1530490822,2,2
1530494700,1,0
1530496597,0,1
1530500694,1,0
1530504514,0,2
1530506441,1,2
1530508361,1,0
1530512204,1,2
1530514110,1,0
1530516039,0,2
1530517983,0,2
1530519887,1,1
1530523712,1,2
1530525706,2,0
1530528112,1,1
1530529966,0,2
1530531867,0,1
1530533801,1,0
1530535715,1,0
1530537630,4,0
1530539687,2,0
1530543711,1,1
1530545555,1,2
1530547484,1,2
1530549385,1,1
1530551305,1,2
1530555146,0,1
1530557060,1,1
1530558999,2,1
1530560905,1,1
1530562824,1,1
1530564799,0,1
1530566936,0,1
1530569029,2,2
1530571014,0,1
1530572924,2,4
1530574895,1,0
1530576790,0,13
1530580669,3,2
1530582782,1,1
1530584666,2,0
1530587551,0,1
1530595482,1,1
1530599302,0,2
1530601297,1,0
1530603160,0,1
1530605075,2,2
1530609006,1,0
1530610825,0,1
1530613014,5,1
1530615201,1,1
1530617080,1,1
1530618990,0,1
1530622913,0,3
1530624768,2,2
1530626797,1,1
1530628835,0,1
1530634632,2,0
1530637376,1,1
1530639308,1,0
1530643411,1,2
1530646049,0,1
1530647931,2,0
1530649846,1,0
1530651775,1,1
1530654139,2,0
1530655962,2,0
1530657867,3,0
1530659796,0,2
1530661829,2,2
1530663879,1,2
1530665802,1,0
1530667733,1,2
1530669708,0,2
1530671620,0,1
1530679532,1,0
1530681390,3,0
1530685230,0,1
1530687143,0,2
1530689072,2,0
1530690993,0,2
1530692936,1,0
1530696769,2,1
1530698701,2,5
1530701377,0,1
1530703238,2,1
1530705152,3,1
1530708993,1,0
1530711001,0,1
1530713137,1,2
1530715879,1,1
1530717904,0,3
1530719807,0,2
1530721716,0,4
1530723697,2,0
1530725576,1,1
1530727910,2,1
1530729909,1,1
1530731802,2,0
1530735636,2,2
1530737561,2,1
1530739517,1,1
1530741407,2,1
1530743324,2,2
1530745368,0,1
1530747184,12,0
1530749085,5,0
1530751010,6,0
1530752918,2,1
1530754828,2,1
1530758687,1,0
1530764684,2,0
1530768508,2,3
1530770511,2,0
1530772436,2,0
1530776194,1,2
1530778131,1,1
1530780034,1,0
1530781964,1,3
1530783894,2,2
1530785756,0,1
1530787739,1,1
1530789632,1,2
1530791590,2,1
1530793471,1,0
1530795707,0,3
1530799485,1,0
1530801410,1,1
1530803344,2,0
1530805251,0,1
1530807206,0,1
1530809079,1,2
1530812837,0,1
1530814842,1,1
1530816755,1,0
1530818702,0,2
1530820606,1,2
1530822773,0,1
1530825338,2,2
1530827324,1,1
1530829246,0,2
1530831200,2,0
1530833273,2,3
1530835315,5,1
1530841007,2,2
1530844854,0,1
1530846783,2,0
1530848688,2,1
1530850622,1,0
1530852518,1,1
1530854452,0,1
1530856391,4,1
1530858279,1,1
1530860206,0,2
1530862135,0,2
1530865980,0,1
1530867908,0,1
1530869827,0,2
1530874132,1,1
1530876051,0,1
1530877984,1,2
1530881803,1,1
1530884598,0,1
1530886597,0,2
1530888934,1,3
1530896724,0,2
1530898596,3,0
1530900546,1,0
1530902448,3,0
1530904497,2,0
1530906315,0,1
1530908208,2,0
1530910115,1,1
1530912066,0,4
1530913959,2,0
1530915887,2,0
1530917806,2,2
1530919736,1,1
1530921719,0,5
1530923576,0,1
1530925508,1,1
1530927416,1,0
1530929337,1,0
1530933164,0,1
1530935110,0,2
1530936985,0,1
1530941083,1,1
1530943003,1,2
1530944929,3,3
1530946904,1,0
1530954518,2,0
1530960513,1,0
1530962436,2,0
1530964397,1,0
1530966292,1,0
1530968209,1,0
1530972115,3,0
1530973962,1,1
1530975872,2,0
1530977796,0,1
1530979747,0,2
1530981631,1,0
1530985530,0,1
1530987404,1,1
1530989336,0,2
1530991229,1,4
1530993159,1,0
1530995086,0,2
1530996995,0,3
1530998909,0,1
1531000935,1,4
1531004929,1,3
1531006843,1,1
1531008997,6,1
1531011177,2,0
1531013101,3,0
1531014988,2,0
1531016930,1,0
1531018919,1,0
1531020779,2,0
1531022699,1,0
1531024855,0,1
1531030613,0,4
1531032519,0,1
1531040206,0,1
1531042112,1,0
1531048140,0,2
1531050044,2,1
1531051957,2,0
1531053872,3,1
1531055815,1,0
1531057711,3,0
1531060264,0,3
1531062103,0,2
1531064319,3,0
1531068402,0,1
1531070318,2,1
1531072488,0,1
1531074501,1,0
1531076521,0,1
1531080283,1,0
1531082196,4,0
1531084354,2,1
1531086263,0,1
1531088452,15,1
1531090356,0,1
1531092278,2,1
1531094530,2,1
1531096372,1,0
1531098293,0,1
1531100430,0,3
1531102351,0,1
1531104629,0,2
1531106444,2,1
1531108364,0,1
1531110517,1,0
1531112513,2,0
1531114356,1,1
1531116289,1,1
1531120130,4,0
1531127809,0,1
1531129736,2,0
1531133558,1,1
1531135464,0,1
1531137394,1,2
1531139557,1,4
1531141502,0,2
1531143389,0,1
1531145321,1,2
1531147241,1,1
1531151102,3,2
1531152999,1,0
1531154923,0,1
1531156831,0,1
1531158757,1,0
1531160673,2,1
1531162584,1,0
1531164522,1,0
1531166505,0,1
1531169420,2,4
1531171229,1,0
1531173161,3,2
1531175081,1,1
1531177027,2,16
1531179170,0,2
1531181074,0,1
1531182988,2,0
1531184942,2,1
1531186862,0,1
1531188806,1,0
1531190715,1,0
1531194521,1,2
1531196436,1,0
1531200506,1,0
1531202513,0,1
1531206274,0,3
1531208191,2,0
1531210116,2,1
1531212041,3,2
1531215866,2,1
1531217809,0,3
1531219707,2,2
1531221640,2,2
1531225483,1,3
1531235323,1,3
1531237252,0,2
1531239210,1,3
1531241100,0,1
1531243004,1,1
1531244911,1,3
1531246830,1,5
1531248764,1,3
1531250738,0,4
1531252630,1,2
1531256511,1,6
1531258365,1,3
1531260297,2,3
1531264140,2,2
1531266029,1,0
1531267980,2,0
1531269866,2,0
1531271796,3,2
1531273723,1,1
1531275642,0,5
1531277613,1,1
1531281393,0,1
1531283575,3,0
1531287695,1,1
1531289559,1,1
1531295324,1,2
1531297245,0,2
1531299167,1,0
1531301079,1,1
1531303010,1,0
1531306914,0,3
1531310702,11,0
1531312604,1,2
1531314526,2,0
1531316452,1,0
1531318378,2,1
1531322204,1,1
1531326417,0,1
1531328505,1,0
1531330359,0,1
1531332271,2,0
1531334440,4,1
1531336368,1,1
1531338290,1,2
1531340206,1,0
1531344044,1,2
1531345968,1,3
1531348117,1,0
1531350109,3,0
1531351953,2,1
1531353885,1,1
1531355799,2,1
1531357732,1,2
1531359625,2,1
1531361567,1,1
1531365414,2,0
1531367309,0,1
1531369226,0,1
1531371167,1,2
1531373064,2,1
1531376910,1,2
1531378901,1,1
