DateTime,AddedIPs,RemovedIPs
1531307061,12,41
1531307792,6,30
1531308763,10,12
1531309452,11,0
1531310169,7,2
1531310888,2,5
1531311624,6,4
1531312334,11,9
1531313053,25,3
1531313767,10,6
1531314503,1,6
1531315206,11,14
1531315944,8,0
1531316904,12,10
1531317866,12,5
1531318814,6,7
1531319794,12,6
1531320744,12,6
1531321713,8,10
1531322667,9,9
1531323625,7,4
1531324583,9,6
1531325197,8,9
1531326257,10,5
1531326979,2,7
1531327696,10,10
1531328422,6,4
1531329142,9,9
1531329850,8,0
1531330572,9,3
1531331293,2,7
1531332028,7,3
1531332733,10,8
1531333452,3,4
1531334415,8,9
1531335128,3,5
1531335868,6,7
1531336816,8,5
1531337813,10,14
1531338491,4,0
1531339223,9,3
1531340183,6,3
1531340887,8,13
1531341620,6,2
1531342572,10,9
1531343546,8,8
1531344250,7,0
1531344971,0,6
1531345938,5,9
1531347657,15,18
1531348332,6,6
1531349056,3,10
1531350060,12,5
1531350994,8,2
1531351695,4,3
1531352422,4,6
1531353143,8,7
1531353868,6,17
1531354582,3,5
1531355305,5,0
1531356024,2,29
1531356766,8,7
1531357709,11,9
1531358415,8,13
1531359153,8,13
1531359860,6,9
1531360578,9,12
1531361550,15,19
1531362257,14,8
1531362988,9,4
1531363701,7,11
1531364430,8,9
1531365394,10,13
1531366096,8,6
1531366827,5,11
1531367542,6,8
1531368268,6,10
1531368984,3,7
1531369699,6,3
1531370417,3,1
1531371148,5,3
1531371860,9,9
1531372605,5,3
1531373295,11,7
1531374021,7,0
1531374984,7,11
1531375701,3,8
1531376427,4,6
1531377141,4,0
1531377866,7,3
1531378832,6,5
1531379544,6,3
1531380264,7,4
1531381227,6,8
1531381937,4,8
1531382666,9,5
1531383381,3,6
1531384113,4,7
1531385069,3,11
1531385776,2,4
1531386512,7,0
1531387480,7,9
1531388179,30,5
1531388908,3,11
1531389887,7,6
1531390829,12,4
1531391542,2,9
1531392264,6,29
1531393064,9,6
1531393720,4,7
1531394666,5,4
1531395627,5,4
1531396583,7,17
1531397567,4,6
1531398504,10,5
1531399471,5,14
1531400442,10,1
1531401390,7,3
1531402339,8,8
1531403050,5,13
1531403775,4,8
1531404737,6,8
1531405450,3,15
1531406173,5,0
1531407139,5,15
1531408103,6,11
1531409078,6,22
1531410020,13,0
1531410977,3,5
1531411965,12,19
1531412915,13,9
1531413618,9,7
1531414351,8,1
1531415063,8,6
1531415780,5,8
1531416504,5,7
1531417218,6,5
1531417950,9,4
1531418670,3,6
1531419382,8,4
1531420096,4,6
1531420826,10,2
1531421538,4,7
1531422264,4,0
1531422984,2,8
1531423700,6,17
1531424679,6,6
1531425375,5,6
1531426108,4,8
1531426820,10,5
1531427553,7,10
1531428264,3,14
1531428978,3,13
1531429699,6,0
1531430428,4,6
1531431142,3,5
1531431862,2,12
1531432575,2,12
1531434771,15,14
1531435461,3,8
1531436192,6,0
1531437149,7,7
1531437859,5,3
1531438585,3,7
1531439302,6,6
1531440038,4,3
1531440992,8,10
1531441697,4,0
1531442416,7,8
1531443128,5,5
1531443859,3,9
1531444823,8,18
1531445548,5,0
1531446265,10,21
1531446976,11,0
1531447701,8,14
1531448421,8,16
1531449146,3,4
1531449863,8,4
1531450834,8,21
1531451551,5,0
1531452277,8,8
1531452968,4,9
1531453695,8,3
1531454415,13,4
1531455143,9,11
1531455849,6,5
1531456571,3,6
1531457290,1,7
1531458034,6,7
1531458985,9,5
1531460200,9,8
1531461144,4,3
1531461866,5,5
1531462584,5,4
