DateTime,Entries,UniqueIPs
1531304660,12484,12733
1531305384,12482,12731
1531306348,12486,12735
1531307061,12493,12742
1531307792,12494,12743
1531308763,12499,12747
1531309452,12506,12754
1531310169,12500,12748
1531310888,12500,12748
1531311624,12504,12752
1531312334,12513,12761
1531313053,12531,12781
1531313767,12533,12783
1531314503,12525,12775
1531315206,12532,12783
1531315944,12536,12788
1531316904,12542,12792
1531317866,12544,12794
1531318814,12541,12791
1531319794,12538,12789
1531320744,12542,12793
1531321713,12545,12797
1531322667,12544,12796
1531323625,12540,12792
1531324583,12536,12788
1531325197,12539,12791
1531326257,12538,12790
1531326979,12540,12792
1531327696,12540,12792
1531328422,12539,12791
1531329142,12540,12792
1531329850,12545,12797
1531330572,12543,12795
1531331293,12544,12796
1531332028,12550,12802
1531332733,12553,12805
1531333452,12553,12805
1531334415,12552,12804
1531335128,12554,12806
1531335868,12548,12801
1531336816,12548,12801
1531337813,12547,12800
1531338491,12543,12796
1531339223,12548,12801
1531340183,12540,12793
1531340887,12546,12799
1531341620,12542,12795
1531342572,12545,12798
1531343546,12548,12801
1531344250,12552,12805
1531344971,12546,12799
1531345938,12551,12804
1531347657,12547,12800
1531348332,12553,12806
1531349056,12553,12806
1531350060,12546,12798
1531350994,12510,12760
1531351695,12508,12758
1531352422,12505,12755
1531353143,12508,12758
1531353868,12509,12759
1531354582,12505,12755
1531355305,12507,12757
1531356024,12504,12753
1531356766,12505,12754
1531357709,12509,12758
1531358415,12508,12757
1531359153,12502,12751
1531359860,12494,12743
1531360578,12498,12747
1531361550,12503,12752
1531362257,12507,12756
1531362988,12503,12752
1531363701,12505,12754
1531364430,12508,12757
1531365394,12514,12763
1531366096,12518,12767
1531366827,12519,12768
1531367542,12519,12768
1531368268,12520,12769
1531368984,12518,12767
1531369699,12521,12770
1531370417,12519,12768
1531371148,12522,12771
1531371860,12525,12774
1531372605,12526,12775
1531373295,12532,12781
1531374021,12536,12785
1531374984,12534,12783
1531375701,12535,12784
1531376427,12535,12784
1531377141,12536,12785
1531377866,12535,12784
1531378832,12535,12784
1531379544,12537,12786
1531380264,12541,12790
1531381227,12545,12794
1531381937,12545,12794
1531382666,12548,12797
1531383381,12547,12796
1531384113,12542,12791
1531385069,12540,12789
1531385776,12542,12791
1531386512,12540,12789
1531387480,12539,12788
1531388179,12561,12811
1531388908,12558,12808
1531389887,12558,12808
1531390829,12561,12811
1531391542,12553,12803
1531392264,12550,12800
1531393064,12555,12804
1531393720,12555,12804
1531394666,12554,12803
1531395627,12555,12804
1531396583,12556,12805
