DateTime,AddedIPs,RemovedIPs
1531307061,87,60
1531307792,73,85
1531308763,89,41
1531309452,53,48
1531310169,56,57
1531310888,23,47
1531311624,49,56
1531312334,68,54
1531313053,72,79
1531313767,99,84
1531314503,60,32
1531315206,47,78
1531315944,81,62
1531316904,71,59
1531317866,58,60
1531318814,49,45
1531319794,59,61
1531320744,53,85
1531321713,72,57
1531322667,63,49
1531323625,60,72
1531324583,57,56
1531325197,64,39
1531326257,48,100
1531326979,83,55
1531327696,53,62
1531328422,67,49
1531329142,63,105
1531329850,104,51
1531330572,55,57
1531331293,60,51
1531332028,57,40
1531332733,47,44
1531333452,44,47
1531334415,56,40
1531335128,31,27
1531335868,42,49
1531336816,60,48
1531337813,44,53
1531338491,39,35
1531339223,38,39
1531340183,44,31
1531340887,27,38
1531341620,34,39
1531342572,44,56
1531343546,53,49
1531344250,32,42
1531344971,37,39
1531345938,39,43
1531347657,62,56
1531348332,35,43
1531349056,33,36
1531350060,48,44
1531350994,42,42
1531351695,31,31
1531352422,23,37
1531353143,34,43
1531353868,41,27
1531354582,25,39
1531355305,33,22
1531356024,25,49
1531356766,43,41
1531357709,43,39
1531358415,42,41
1531359153,47,28
1531359860,24,46
1531360578,52,45
1531361550,58,57
1531362257,51,59
1531362988,46,35
1531363701,35,20
1531364430,30,32
1531365394,42,39
1531366096,31,38
1531366827,28,67
1531367542,72,31
1531368268,39,35
1531368984,38,39
1531369699,33,40
1531370417,35,47
1531371148,39,33
1531371860,30,43
1531372605,43,39
1531373295,48,32
1531374021,35,44
1531374984,51,50
1531375701,48,40
1531376427,31,39
1531377141,33,42
1531377866,44,47
1531378832,49,39
1531379544,49,26
1531380264,33,39
1531381227,40,47
1531381937,26,32
1531382666,39,48
1531383381,44,45
1531384113,39,43
1531385069,52,42
1531385776,25,45
1531386512,45,63
1531387480,51,77
1531388179,85,35
1531388908,42,39
1531389887,53,31
1531390829,42,42
1531391542,31,31
1531392264,49,40
1531393064,40,44
1531393720,35,45
1531394666,50,40
1531395627,31,47
1531396583,49,57
1531397567,42,35
1531398504,45,39
1531399471,37,30
1531400442,56,45
1531401390,41,56
1531402339,44,41
1531403050,36,45
1531403775,47,38
1531404737,48,60
1531405450,39,70
1531406173,71,56
1531407139,67,58
1531408103,58,26
1531409078,41,42
1531410020,42,65
1531410977,54,43
1531411965,65,39
1531412915,55,51
