DateTime,Entries,UniqueIPs
1531307061,7958,7958
1531307792,7946,7946
1531308763,7994,7994
1531309452,7999,7999
1531310169,7998,7998
1531310888,7974,7974
1531311624,7967,7967
1531312334,7981,7981
1531313053,7974,7974
1531313767,7989,7989
1531314503,8017,8017
1531315206,7986,7986
1531315944,8005,8005
1531316904,8017,8017
1531317866,8015,8015
1531318814,8019,8019
1531319794,8017,8017
1531320744,7985,7985
1531321713,8000,8000
1531322667,8014,8014
1531323625,8002,8002
1531324583,8003,8003
1531325197,8028,8028
1531326257,7976,7976
1531326979,8004,8004
1531327696,7995,7995
1531328422,8013,8013
1531329142,7971,7971
1531329850,8024,8024
1531330572,8022,8022
1531331293,8031,8031
1531332028,8048,8048
1531332733,8051,8051
1531333452,8048,8048
1531334415,8064,8064
1531335128,8068,8068
1531335868,8061,8061
1531336816,8073,8073
1531337813,8064,8064
1531338491,8068,8068
1531339223,8067,8067
1531340183,8080,8080
1531340887,8069,8069
1531341620,8064,8064
1531342572,8052,8052
1531343546,8056,8056
1531344250,8046,8046
1531344971,8044,8044
1531345938,8040,8040
1531347657,8046,8046
1531348332,8038,8038
1531349056,8035,8035
1531350060,8039,8039
1531350994,8039,8039
1531351695,8039,8039
1531352422,8025,8025
1531353143,8016,8016
1531353868,8030,8030
1531354582,8016,8016
1531355305,8027,8027
1531356024,8003,8003
1531356766,8005,8005
1531357709,8009,8009
1531358415,8010,8010
1531359153,8029,8029
1531359860,8007,8007
1531360578,8014,8014
1531361550,8015,8015
1531362257,8007,8007
1531362988,8018,8018
1531363701,8033,8033
1531364430,8031,8031
1531365394,8034,8034
1531366096,8027,8027
1531366827,7988,7988
1531367542,8029,8029
1531368268,8033,8033
1531368984,8032,8032
1531369699,8025,8025
1531370417,8013,8013
1531371148,8019,8019
1531371860,8006,8006
1531372605,8010,8010
1531373295,8026,8026
1531374021,8017,8017
1531374984,8018,8018
1531375701,8026,8026
1531376427,8018,8018
1531377141,8009,8009
1531377866,8006,8006
1531378832,8016,8016
1531379544,8039,8039
1531380264,8033,8033
1531381227,8026,8026
1531381937,8020,8020
1531382666,8011,8011
1531383381,8010,8010
1531384113,8006,8006
1531385069,8016,8016
1531385776,7996,7996
1531386512,7978,7978
1531387480,7952,7952
1531388179,8002,8002
1531388908,8005,8005
1531389887,8027,8027
1531390829,8027,8027
1531391542,8027,8027
1531392264,8036,8036
1531393064,8032,8032
1531393720,8022,8022
1531394666,8032,8032
1531395627,8016,8016
1531396583,8008,8008
1531397567,8015,8015
1531398504,8021,8021
1531399471,8028,8028
1531400442,8039,8039
1531401390,8024,8024
1531402339,8027,8027
1531403050,8018,8018
1531403775,8027,8027
1531404737,8015,8015
1531405450,7984,7984
1531406173,7999,7999
1531407139,8008,8008
1531408103,8040,8040
1531409078,8039,8039
1531410020,8016,8016
1531410977,8027,8027
1531411965,8053,8053
1531412915,8057,8057
1531413618,8042,8042
1531414351,8056,8056
1531415063,8059,8059
1531415780,8081,8081
1531416504,8072,8072
1531417218,8075,8075
1531417950,8064,8064
1531418670,8056,8056
1531419382,8055,8055
1531420096,8064,8064
1531420826,8069,8069
1531421538,8061,8061
1531422264,8071,8071
1531422984,8063,8063
1531423700,8067,8067
1531424679,8055,8055
1531425375,8066,8066
1531426108,8039,8039
1531426820,8074,8074
1531427553,8040,8040
1531428264,8071,8071
1531428978,8029,8029
1531429699,8060,8060
1531430428,8049,8049
1531431142,8056,8056
1531431862,8040,8040
1531432575,8047,8047
1531434771,8041,8041
1531435461,8026,8026
1531436192,8038,8038
1531437149,8058,8058
1531437859,8039,8039
1531438585,8010,8010
1531439302,8030,8030
1531440038,8036,8036
1531440992,8041,8041
1531441697,8048,8048
1531442416,8057,8057
1531443128,8032,8032
1531443859,8034,8034
1531444823,8033,8033
1531445548,8033,8033
1531446265,8026,8026
1531446976,8047,8047
1531447701,8027,8027
1531448421,8027,8027
1531449146,8030,8030
1531449863,8019,8019
