DateTime,AddedIPs,RemovedIPs
1530852992,1,0
1530854135,3,0
1530856532,1,0
1530857743,3,0
1530858507,1,0
1530860136,2,2
1530861335,2,0
1530862946,1,0
1530864881,3,0
1530865708,1,0
1530867328,2,0
1530868530,1,0
1530869320,1,0
1530871846,2,0
1530874675,1,0
1530876041,5,0
1530877356,3,1
1530878201,0,1
1530880114,8,0
1530880960,3,1
1530884556,0,1
1530886238,3,0
1530888148,0,1
1530890072,1,0
1530890922,1,0
1530892586,1,2
1530893738,2,0
1530895355,2,1
1530896191,1,0
1530897273,0,1
1530899800,2,0
1530900883,0,1
1530902552,1,0
1530905312,4,0
1530906636,2,0
1530907840,1,0
1530909056,2,1
1530911137,1,0
1530912322,3,0
1530914135,1,37
1530915286,0,27
1530916543,2,21
1530917744,10,0
1530918885,10,34
1530920573,16,3
1530921397,4,0
1530922490,3,0
1530924168,1,0
1530924993,1,0
1530926084,2,0
1530927685,0,2
1530929459,3,2
1530930693,3,1
1530934125,1,0
1530935801,3,2
1530937712,1,0
1530938549,0,1
1530939401,1,0
1530940544,3,0
1530944150,1,1
1530945761,2,7
1530947682,3,0
1530950130,3,0
1530951345,3,0
1530952110,1,0
1530953790,2,0
1530957397,2,0
1530959318,1,0
1530963759,1,2
1530965452,1,1
1530967360,1,0
1530969285,5,0
1530971145,1,0
1530972868,4,0
1530973708,3,0
1530974549,4,0
1530975387,1,0
1530976483,2,0
1530978338,1,4
1530980078,4,0
1530980907,1,0
1530983144,1,1
1530984600,0,1
1530986495,1,2
1530988873,1,0
1530990872,2,1
1530994471,0,1
1530996937,1,0
1530999750,0,30
1531001690,2,10
1531003361,3,38
1531005279,18,4
1531008645,9,9
1531010551,0,2
1531013320,2,2
1531014639,1,1
1531015849,2,1
1531017754,0,3
1531019672,2,1
1531020525,2,0
1531022199,3,6
1531023268,4,1
1531024957,2,0
1531027714,0,1
1531029034,1,1
1531030477,1,0
1531031737,1,2
1531033538,1,0
1531034072,1,0
1531034918,1,0
1531036143,2,1
1531037674,6,0
1531040742,1,0
1531042947,1,0
1531045720,1,0
1531047333,3,0
1531048545,2,0
1531050073,1,2
1531051844,4,0
1531055683,3,0
1531057349,1,0
1531059008,1,0
1531060250,5,1
1531060952,1,0
1531062876,1,0
1531064547,1,4
1531065881,0,1
1531067307,2,0
1531070078,1,0
1531073680,1,0
1531074929,5,0
1531078122,1,0
1531078961,1,0
1531080879,3,1
1531082556,1,0
1531084481,1,0
1531086089,0,16
1531088138,1,22
1531089334,2,18
1531091141,11,41
1531092511,15,0
1531093364,0,1
1531094192,5,0
1531095280,1,0
1531096951,0,1
1531098941,2,1
1531099718,3,0
1531100561,0,3
1531103325,1,0
1531104532,5,2
1531106084,4,2
1531110514,3,0
1531112198,2,0
1531114426,2,0
1531116643,1,0
1531119207,2,7
1531120543,3,0
1531122190,10,1
1531124082,4,0
1531126596,0,1
1531127680,1,0
1531130850,1,0
1531132263,1,0
1531133803,1,0
1531134948,4,0
1531135715,1,0
1531137401,1,0
1531141541,46,0
1531142921,1,0
1531144130,34,1
1531145457,1,0
1531147349,1,0
1531148605,2,0
1531150269,1,3
1531152875,10,0
1531154560,2,0
1531158149,2,1
1531159480,2,0
1531163677,2,0
1531165103,1,0
1531168951,4,0
1531169799,2,0
1531170945,1,0
1531172133,0,8
1531173956,16,32
1531175855,0,41
1531177544,2,3
1531178681,6,0
1531179760,14,2
1531181442,29,1
1531182932,8,1
1531184403,2,0
1531186962,0,1
1531188642,0,1
1531191316,3,3
1531192543,2,1
1531194052,1,2
1531195841,1,0
1531198603,2,0
1531199743,1,0
1531200514,3,0
1531202129,41,0
1531203337,1,1
1531204954,1,0
1531206266,3,0
1531207717,1,0
1531209220,3,0
1531212930,1,0
1531214034,1,0
1531215748,3,0
1531217443,4,0
1531220191,1,0
1531221340,1,1
1531222120,3,0
1531222968,2,0
1531223798,1,0
1531224880,2,0
1531226351,2,0
1531228469,0,1
1531229641,3,1
1531231002,1,0
1531234231,1,1
1531235672,2,0
1531236797,0,6
1531240946,1,0
1531242346,0,1
1531243713,3,0
1531246468,1,0
1531247321,19,0
1531248995,2,0
1531250077,2,0
1531250907,1,0
1531252599,0,1
1531253677,1,0
1531255348,14,0
1531256188,3,0
1531257280,2,0
1531258964,1,9
1531260647,1,45
1531261854,0,39
1531263398,15,0
1531264541,11,5
1531267062,20,1
1531270589,0,4
1531271732,1,0
1531273348,0,4
1531275285,0,3
1531277148,2,3
1531278349,1,1
1531280562,1,3
1531282244,1,0
1531284148,1,1
1531286079,1,0
1531289672,2,0
1531291833,0,2
1531294947,1,0
1531297708,1,0
1531300234,2,1
1531301453,1,0
1531302996,1,0
1531307676,1,1
1531311274,1,0
1531316555,0,1
1531318546,1,0
1531321839,0,1
1531323021,0,5
1531325666,3,1
1531330947,1,0
1531342596,1,1
1531343752,0,1
1531344513,1,0
1531345843,0,22
1531347047,0,88
1531349743,6,28
1531350940,7,28
1531352547,11,24
1531354483,21,1
1531355317,1,0
1531356938,3,1
1531358073,2,1
1531360628,5,2
1531362513,3,2
1531364192,2,3
1531365332,4,1
