DateTime,AddedIPs,RemovedIPs
1531086967,52,0
1531088106,30,117
1531089307,59,172
1531090851,142,236
1531092011,116,0
1531092486,13,0
1531093334,43,160
1531094167,41,0
1531095253,55,135
1531096926,79,240
1531097767,35,0
1531098907,48,122
1531099686,47,0
1531100528,59,198
1531102453,97,88
1531103287,55,0
1531104496,83,190
1531106047,135,100
1531107650,73,248
1531108567,51,0
1531109711,68,80
1531110486,68,0
1531111329,63,168
1531112166,41,0
1531113247,56,193
1531114383,60,138
1531116608,110,158
1531117813,73,168
1531119185,57,73
1531120513,60,99
1531122126,113,199
1531124047,109,134
1531125346,110,125
1531126572,70,45
1531127654,62,108
1531128786,74,167
1531130817,179,121
1531132210,126,130
1531133772,114,44
1531134913,99,74
1531135686,88,0
1531137373,140,191
1531138514,96,101
1531139692,158,138
1531141506,126,134
1531142890,115,0
1531144102,122,249
1531145418,108,77
1531147327,121,537
1531148554,63,323
1531150238,124,178
1531152398,135,167
1531152846,44,0
1531154531,118,208
1531156811,148,112
1531158126,93,137
1531159459,115,140
1531160626,69,0
1531161729,52,182
1531163646,111,113
1531165065,110,140
1531166166,54,39
1531167307,72,99
1531168927,150,130
1531169767,68,0
1531170907,93,104
1531172106,67,122
1531173930,162,162
1531175818,89,177
1531177511,149,123
1531178650,91,0
1531179729,125,200
1531181407,174,58
1531182907,110,86
1531184344,68,91
1531185246,44,9
1531186933,87,137
1531188611,102,124
1531189687,57,0
1531191283,70,156
1531192506,91,75
1531194013,79,185
1531195806,94,102
1531196887,68,0
1531198566,97,141
1531199710,81,141
1531200486,42,0
1531202107,133,225
1531203306,67,75
1531204927,98,171
1531206048,57,97
1531207686,126,3
1531209192,109,154
1531210506,75,82
1531211706,69,136
1531212906,89,39
1531214011,52,121
1531215726,80,217
1531217410,160,112
1531218614,147,104
1531220166,111,0
1531221262,117,133
1531222087,77,1
1531222934,81,116
1531223767,79,0
1531224846,89,57
1531226327,158,84
1531228446,153,113
1531229619,75,116
1531230968,101,34
1531232114,84,106
1531232886,39,0
1531234205,79,121
1531234845,30,59
1531235646,55,0
1531236752,55,134
1531238166,84,0
1531239311,103,76
1531240926,90,106
1531242307,122,162
1531243686,104,1
1531244527,57,157
1531246447,181,45
1531247286,77,0
1531248967,110,146
1531250045,75,66
1531250885,45,0
1531251727,62,103
1531252567,95,0
1531253646,98,65
1531254772,70,132
1531255326,59,44
1531256166,65,0
1531257247,91,65
1531258086,50,0
1531258928,33,127
1531260610,109,212
1531261813,32,188
1531263372,89,0
1531264506,93,87
1531267031,185,113
1531268410,119,75
1531270566,121,137
1531271705,64,64
1531273326,129,152
1531275254,123,117
1531277111,157,103
1531278308,84,102
1531280528,193,130
1531282206,104,112
1531283293,84,0
1531284126,60,137
1531286046,169,59
1531287727,159,120
1531289645,138,52
1531290485,79,0
1531291807,98,120
1531293247,117,49
1531294927,103,122
1531296099,63,129
1531297685,125,2
1531299006,103,121
1531300210,129,139
1531301412,115,143
1531302966,102,47
1531304046,107,95
1531305640,107,246
1531307646,130,96
1531308485,44,0
1531309326,42,276
1531311246,163,56
1531312927,133,129
1531313766,81,0
1531314906,104,152
1531316526,152,171
1531317373,62,0
1531318508,76,59
1531319286,37,0
1531320607,85,170
1531321814,57,48
1531322986,84,120
1531323727,38,0
1531324566,59,0
1531325646,105,129
1531327326,114,123
1531328168,44,0
1531329310,74,146
1531330926,114,115
1531332846,110,69
1531333685,65,1
1531335012,108,177
1531336206,99,56
1531337292,89,0
1531338967,122,132
1531340887,113,67
1531342567,88,137
1531343708,76,80
1531344486,35,0
1531345807,47,134
1531347007,78,205
1531348085,43,0
1531349706,109,257
1531350906,78,130
1531352527,114,196
1531354452,172,68
1531355286,91,0
1531356907,149,95
1531358051,130,103
1531360598,297,98
1531361654,82,88
1531362487,54,0
1531363341,66,143
1531364167,44,0
1531364452,8,66
1531365607,97,0
1531366807,86,100
1531368048,122,103
1531368845,38,2
1531370440,79,148
1531372446,127,111
1531374009,96,119
1531375812,109,103
1531377012,76,168
1531378506,102,47
1531380486,135,118
1531382166,122,143
1531383246,75,104
1531384360,93,101
1531384925,57,0
1531385766,63,0
1531386845,136,137
1531388526,154,232
1531389367,53,0
1531390451,123,75
1531391628,115,146
1531394046,217,182
1531395906,229,204
1531397646,140,72
1531398486,51,0
1531400166,128,144
1531401245,70,69
1531402933,98,85
1531403766,47,0
1531404905,91,105
1531405685,78,0
1531407906,125,203
1531409286,114,0
1531410126,62,121
1531410966,66,0
1531412106,84,125
1531413732,100,147
1531414566,54,0
1531415646,81,114
1531416911,85,116
1531418784,169,100
1531419245,42,1
1531420926,118,106
1531422309,93,172
1531423811,98,183
1531425306,96,48
1531426478,112,109
1531427285,50,0
1531428133,87,110
1531428966,81,0
1531430113,62,93
1531431727,86,123
1531434006,150,204
1531435240,40,191
1531437246,135,100
1531438927,142,126
1531440853,117,115
1531441686,51,0
1531442526,53,202
1531443369,42,1
1531444508,71,74
1531446126,107,185
1531448046,133,91
1531449733,101,208
1531451647,128,101
1531452907,70,134
1531454107,78,41
1531455246,62,95
1531456086,39,0
1531456928,38,129
1531458106,78,176
1531459205,79,0
1531459686,53,0
1531461366,85,194
1531463286,140,106
1531464125,70,117
1531464966,73,0
1531466105,92,109
1531466886,50,0
1531469646,163,296
1531470486,109,0
1531471327,114,232
1531473246,127,100
1531475195,174,318
1531476846,94,75
1531477686,80,1
1531478533,63,145
1531480446,307,89
1531481285,91,1
1531482606,146,140
1531484051,137,154
1531485726,178,200
1531486851,108,83
1531487645,98,0
1531489327,133,127
1531491032,135,112
1531492086,71,0
1531494047,123,223
1531494846,52,0
1531496533,99,218
1531497366,48,1
1531498446,70,68
1531499286,55,0
1531500134,65,169
1531500966,94,0
1531502107,64,61
1531503235,80,116
1531503727,26,41
1531504845,79,102
1531506013,82,0
1531507326,63,203
1531508617,104,79
1531509739,98,1
1531510931,120,139
1531511766,54,0
1531512871,68,86
1531514527,100,117
