DateTime,Entries,UniqueIPs
1531062874,7730,7730
1531064544,7718,7718
1531065878,7669,7669
1531067305,7725,7725
1531068631,7706,7706
1531068985,7704,7704
1531070075,7714,7714
1531071754,7675,7675
1531073678,7737,7737
1531074921,7682,7682
1531076561,7654,7654
1531078120,7691,7691
1531078959,7610,7610
1531080877,7601,7601
1531082553,7535,7535
1531084479,7533,7533
1531086086,7495,7495
1531087007,7514,7514
1531088136,7473,7473
1531089332,7408,7408
1531091129,7428,7428
1531092508,7446,7446
1531093358,7356,7356
1531094190,7372,7372
1531095278,7316,7316
1531096948,7213,7213
1531097790,7231,7231
1531098939,7184,7184
1531099716,7194,7194
1531100555,7116,7116
1531102485,7113,7113
1531103323,7144,7144
1531104530,7064,7064
1531106081,7074,7074
1531107693,6949,6949
1531108598,6967,6967
1531110512,6987,6987
1531111364,6913,6913
1531112195,6926,6926
1531113269,6814,6814
1531114423,6763,6763
1531116641,6710,6710
1531117834,6641,6641
1531119205,6623,6623
1531120539,6580,6580
1531122162,6535,6535
1531124079,6510,6510
1531125373,6504,6504
1531126594,6527,6527
1531127678,6528,6528
1531128820,6496,6496
1531130847,6523,6523
1531132243,6552,6552
1531133801,6566,6566
1531134943,6564,6564
1531135712,6588,6588
1531137399,6562,6562
1531138539,6566,6566
1531139723,6603,6603
1531141537,6587,6587
1531142917,6653,6653
1531144125,6572,6572
1531145454,6615,6615
1531147347,6621,6621
1531148588,6577,6577
1531150265,6546,6546
1531152873,6536,6536
1531154554,6478,6478
1531156837,6476,6476
1531158147,6438,6438
1531159478,6424,6424
1531160646,6450,6450
1531161750,6376,6376
1531163675,6391,6391
1531165083,6351,6351
1531166200,6359,6359
1531167343,6337,6337
1531168949,6305,6305
1531169796,6331,6331
1531170942,6324,6324
1531172131,6289,6289
1531173954,6295,6295
1531175853,6245,6245
1531177541,6248,6248
1531178679,6318,6318
1531179758,6257,6257
1531181439,6328,6328
1531182930,6353,6353
1531184390,6342,6342
1531185281,6352,6352
1531186959,6322,6322
1531188639,6317,6317
1531189718,6342,6342
1531191312,6301,6301
1531192540,6291,6291
1531194049,6177,6177
1531195839,6174,6174
1531196916,6217,6217
1531198600,6184,6184
1531199740,6123,6123
1531200511,6138,6138
1531202127,6045,6045
1531203334,6037,6037
1531204952,5994,5994
1531206263,5992,5992
1531207714,6004,6004
1531209217,5968,5968
1531210530,5970,5970
1531211730,5920,5920
1531212928,5937,5937
1531214032,5884,5884
1531215746,5779,5779
1531217441,5796,5796
1531218647,5795,5795
1531220188,5832,5832
1531221337,5830,5830
1531222117,5861,5861
1531222965,5844,5844
1531223795,5891,5891
1531224878,5917,5917
1531226348,5982,5982
1531228467,5978,5978
1531229639,5939,5939
1531231000,5971,5971
1531232140,5938,5938
1531232906,5951,5951
1531234229,5927,5927
1531235670,5929,5929
1531236780,5867,5867
1531238188,5899,5899
1531239341,5928,5928
1531240943,5895,5895
1531242343,5854,5854
1531243711,5910,5910
1531244545,5871,5871
1531246466,5944,5944
1531247319,5958,5958
1531248993,5926,5926
1531250074,5946,5946
1531250905,5963,5963
1531251750,5967,5967
1531252596,6041,6041
1531253675,6062,6062
1531254805,6061,6061
1531255345,6072,6072
1531256185,6108,6108
1531257278,6100,6100
1531258116,6118,6118
1531258957,6109,6109
1531260644,6054,6054
1531261847,5989,5989
1531263395,6011,6011
1531264539,6030,6030
1531267058,6037,6037
1531268437,6090,6090
1531270586,6082,6082
1531271730,6095,6095
1531273346,6101,6101
1531275282,6119,6119
1531277145,6122,6122
1531278346,6114,6114
1531280559,6153,6153
1531282241,6137,6137
1531283317,6182,6182
1531284145,6138,6138
1531286077,6195,6195
1531287751,6201,6201
1531289669,6247,6247
1531290513,6286,6286
1531291830,6283,6283
1531293266,6330,6330
1531294945,6331,6331
1531296132,6297,6297
1531297705,6355,6355
1531299035,6358,6358
1531300232,6336,6336
1531301443,6275,6275
1531302994,6270,6270
1531304076,6301,6301
1531305675,6261,6261
1531307674,6276,6276
1531308504,6296,6296
1531309346,6130,6130
1531311272,6190,6190
1531312946,6179,6179
1531313785,6237,6237
1531314941,6203,6203
1531316552,6196,6196
1531317400,6229,6229
1531318542,6245,6245
1531319311,6268,6268
1531320625,6230,6230
1531321837,6240,6240
1531323010,6208,6208
1531323752,6226,6226
1531324593,6242,6242
1531325663,6259,6259
1531327350,6249,6249
1531328187,6271,6271
1531329335,6211,6211
1531330944,6229,6229
1531332868,6237,6237
1531333704,6262,6262
1531335033,6224,6224
1531336239,6237,6237
1531337314,6264,6264
1531338992,6283,6283
1531340913,6313,6313
1531342594,6305,6305
1531343749,6267,6267
1531344509,6287,6287
1531345835,6281,6281
1531347045,6237,6237
1531348111,6252,6252
1531349741,6151,6151
1531350938,6107,6107
1531352545,6033,6033
1531354481,6083,6083
1531355315,6159,6159
1531356935,6207,6207
