DateTime,AddedIPs,RemovedIPs
1531062868,73,55
1531064537,57,72
1531065872,32,100
1531067299,66,0
1531068625,36,75
1531068979,4,0
1531070066,69,61
1531071746,56,116
1531073668,105,34
1531074909,36,102
1531076554,45,86
1531078112,48,1
1531078948,7,111
1531080871,35,34
1531082547,28,116
1531084473,70,51
1531086071,47,113
1531086997,29,2
1531088123,13,58
1531089324,27,107
1531091117,139,133
1531092502,31,0
1531093351,18,117
1531094183,19,0
1531095272,33,91
1531096941,49,159
1531097783,21,0
1531098931,22,72
1531099706,16,1
1531100547,40,122
1531102479,57,53
1531103311,39,0
1531104523,36,109
1531106075,82,74
1531107675,43,188
1531108592,28,1
1531110505,78,57
1531111352,42,116
1531112190,23,0
1531113262,28,144
1531114413,39,105
1531116630,53,108
1531117827,41,105
1531119199,28,43
1531120534,31,74
1531122149,72,138
1531124070,68,87
1531125360,49,77
1531126587,47,23
1531127672,42,46
1531128814,37,73
1531130836,128,78
1531132230,99,72
1531133796,57,28
1531134930,50,47
1531135706,27,0
1531137392,106,141
1531138534,79,69
1531139711,141,100
1531141526,67,85
1531142911,83,0
1531144116,76,161
1531145433,94,52
1531147341,78,491
1531148570,34,280
1531150252,75,146
1531152866,115,115
1531154546,81,140
1531156831,103,85
1531158141,63,105
1531159472,82,96
1531160640,40,0
1531161744,17,118
1531163669,73,61
1531165078,68,102
1531166188,39,22
1531167334,46,52
1531168942,55,82
1531169790,34,2
1531170936,47,66
1531172123,28,58
1531173948,72,67
1531175840,30,89
1531177534,94,90
1531178673,70,0
1531179747,66,143
1531181434,96,27
1531182923,71,47
1531184378,48,53
1531185275,24,7
1531186953,56,79
1531188633,65,57
1531189712,35,0
1531191300,48,95
1531192534,52,46
1531194040,31,149
1531195832,60,60
1531196910,53,0
1531198593,48,79
1531199733,52,113
1531200505,24,0
1531202121,60,171
1531203327,44,49
1531204945,58,95
1531207231,64,42
1531207709,19,3
1531209212,81,110
1531210523,56,36
1531211723,38,79
1531212921,54,24
1531214026,35,83
1531215740,49,156
1531217434,93,73
1531218638,67,69
1531220182,50,0
1531221322,66,70
1531222111,43,1
1531222959,55,78
1531223788,51,0
1531224872,63,33
1531226342,115,53
1531228460,86,83
1531229633,33,71
1531230994,62,22
1531232134,46,62
1531232900,25,0
1531234222,42,70
1531234859,12,38
1531235664,30,1
1531236769,26,93
1531238180,39,2
1531239333,80,44
1531240938,41,73
1531242333,61,106
1531243705,67,0
1531244540,39,93
1531246460,129,25
1531247309,26,0
1531248986,45,76
1531250066,45,22
1531250898,25,0
1531251745,39,40
1531252591,82,1
1531253664,67,38
1531254787,47,54
1531255340,37,24
1531256180,43,1
1531257268,34,37
1531258110,32,0
1531258951,18,39
1531260638,48,110
1531261839,16,94
1531263389,37,2
1531264531,54,37
1531267045,95,69
1531268431,83,31
1531270581,72,74
1531271724,39,30
1531273340,87,93
1531275276,92,63
1531277134,77,62
1531278340,64,58
1531280551,131,71
1531282234,56,72
1531283312,56,0
1531284139,37,85
1531286067,112,26
1531287746,127,62
1531289664,100,25
1531290507,59,0
1531291825,71,72
1531293260,81,32
1531294939,69,60
1531296115,48,87
1531297699,85,2
1531299030,71,68
1531300226,83,80
1531301433,96,110
1531302987,50,39
1531304067,83,57
1531305662,71,126
1531307668,82,65
1531308498,31,1
1531309340,29,225
1531311267,114,45
1531312940,88,104
1531313780,66,0
1531314927,82,123
1531316542,127,112
1531317394,45,0
1531318531,47,30
1531319305,31,1
1531320619,56,108
1531321832,36,29
1531322998,35,81
1531323746,22,1
1531324586,29,0
1531325658,84,78
1531327344,74,86
1531328181,27,0
1531329329,39,110
1531330939,72,71
1531332863,75,39
1531333698,36,2
1531335027,60,124
1531336229,56,42
1531337308,45,2
1531338985,88,63
1531340906,80,38
1531342582,57,69
1531343734,30,53
1531344503,22,0
1531345828,27,43
1531347038,43,87
1531348105,23,0
1531349731,68,162
1531350932,43,78
1531352539,50,132
1531354472,96,39
1531355309,79,0
1531356930,110,57
1531358065,82,64
1531360612,195,68
1531361680,49,55
1531362503,27,0
1531363365,44,63
1531364183,25,1
1531365307,58,44
1531366880,66,84
1531368864,102,33
1531370458,44,92
1531372468,68,80
1531374024,55,82
1531375833,68,63
1531377027,51,57
1531378522,62,27
1531380505,67,86
1531382179,79,84
1531383259,54,62
1531384375,67,54
1531384939,36,0
1531385779,44,0
1531386865,90,89
1531388552,121,122
1531389386,40,0
1531390470,79,41
1531391642,79,81
1531394068,112,125
1531395931,180,152
1531397664,61,44
1531398499,32,1
1531400185,74,97
1531401266,44,48
1531402949,61,44
1531403785,28,0
1531404931,71,58
1531405706,52,0
1531407925,85,104
1531409305,91,3
1531410139,32,85
1531410980,35,0
1531412124,55,68
1531413748,47,100
1531414579,37,0
1531415667,39,83
1531416934,53,73
1531418797,144,41
1531419259,24,0
1531420949,82,64
1531422328,56,125
1531423843,80,137
1531425326,82,32
1531427298,120,72
1531428153,75,46
1531428990,56,1
1531430129,32,54
1531431747,47,36
1531434614,100,95
1531437268,93,70
1531438940,89,86
1531440869,62,60
1531441699,38,0
1531442548,33,145
1531443395,31,0
1531444533,42,48
1531446140,61,106
1531448069,88,59
1531449756,68,125
1531451673,88,53
1531452923,42,84
1531454133,30,26
1531455268,23,57
1531456108,17,0
1531456946,17,80
1531458123,35,134
1531459699,65,0
1531461392,50,141
1531463304,101,75
1531464148,42,75
1531464986,34,0
1531466123,58,70
1531466899,32,0
1531469667,102,196
1531470500,81,0
1531471340,106,176
1531473265,82,51
1531475217,109,147
1531476867,65,54
1531477709,53,1
1531478552,37,90
1531480459,143,52
1531481300,22,3
1531482625,72,106
1531484072,57,115
1531485744,110,149
1531487658,108,59
1531489339,91,87
1531491050,104,74
1531492105,36,1
1531494868,92,107
1531496553,58,136
1531497387,31,2
1531498459,37,44
1531499305,26,2
1531500153,47,101
1531500979,81,1
1531502128,30,40
1531503248,46,65
1531503750,9,25
1531506031,74,69
1531507338,37,132
1531508631,49,55
1531509756,58,2
1531510954,64,97
1531511779,35,0
1531512884,39,59
1531514540,37,61
1531515388,24,1
1531516464,19,46
1531517972,47,55
1531519833,46,69
1531521755,77,74
1531522586,47,1
1531523733,134,47
1531525062,70,118
1531526181,60,36
1531527264,66,87
1531529134,64,190
1531530333,33,64
1531532539,119,69
1531533747,48,78
1531535303,54,1
1531537531,131,197
1531538900,61,1
1531540227,85,66
1531541436,85,36
1531543348,100,102
1531544729,56,37
1531546100,31,0
1531547782,77,65
1531548923,51,69
1531549705,31,1
1531551933,85,162
1531553307,49,2
1531554145,38,111
1531556066,94,59
1531556897,27,0
1531557746,33,189
1531559665,91,103
1531561255,85,171
1531563018,59,67
1531564940,103,95
1531565784,47,1
1531566930,42,464
1531568453,56,76
1531570227,43,66
1531571433,50,63
1531574431,121,58
1531574912,14,0
1531576585,56,102
1531577666,30,70
1531578510,27,0
1531580178,64,126
1531581266,48,69
1531582520,102,87
1531583780,51,19
1531584922,80,46
1531585699,31,0
1531586538,21,67
1531587389,32,0
1531588529,58,124
1531590139,79,97
1531592067,99,47
1531592906,19,0
1531593739,47,71
1531595663,57,107
1531597343,42,163
1531598968,53,75
1531600107,33,1
1531601720,41,68
1531602922,40,71
1531604456,50,66
1531605747,39,57
1531606460,7,0
1531607669,46,49
1531608929,24,0
1531610434,84,80
1531611664,78,107
1531613664,71,45
1531614510,26,0
1531616186,72,100
1531617258,49,86
1531618107,22,0
1531618939,38,76
1531619779,32,0
1531620869,28,71
1531622542,96,95
1531623928,39,24
1531625141,26,0
1531626151,33,44
1531627818,33,34
1531629751,40,63
1531631125,52,54
1531632634,86,75
1531635259,92,75
1531636948,68,105
1531638276,22,77
1531639709,87,0
1531641380,47,164
1531642464,34,86
1531644140,57,115
1531644991,23,0
1531646071,19,70
1531647293,43,80
1531648549,23,0
1531649659,53,112
1531650498,27,1
1531651832,64,124
1531653024,61,43
1531653269,4,0
1531654437,27,98
1531656053,57,92
1531657233,48,1
1531658636,27,154
1531659927,59,60
1531661129,85,1
1531662320,84,77
1531664066,63,55
1531665325,50,64
1531666531,36,18
1531668512,53,36
1531669349,32,70
1531670180,85,0
1531671258,53,127
1531672940,66,70
1531674867,86,57
1531675706,42,0
1531677032,65,70
1531678230,33,57
1531680139,103,115
1531681528,40,96
1531683739,83,75
1531685356,73,31
1531686503,12,1
1531689265,63,114
1531690940,68,77
1531692865,54,51
