DateTime,Entries,UniqueIPs
1531062868,18917,18917
1531064537,18902,18902
1531065872,18834,18834
1531067299,18900,18900
1531068625,18861,18861
1531068979,18865,18865
1531070066,18873,18873
1531071746,18813,18813
1531073668,18884,18884
1531074909,18818,18818
1531076554,18777,18777
1531078112,18824,18824
1531078948,18720,18720
1531080871,18721,18721
1531082547,18633,18633
1531084473,18652,18652
1531086071,18586,18586
1531086997,18613,18613
1531088123,18568,18568
1531089324,18488,18488
1531091117,18494,18494
1531092502,18525,18525
1531093351,18426,18426
1531094183,18445,18445
1531095272,18387,18387
1531096941,18277,18277
1531097783,18298,18298
1531098931,18248,18248
1531099706,18263,18263
1531100547,18181,18181
1531102479,18185,18185
1531103311,18224,18224
1531104523,18151,18151
1531106075,18159,18159
1531107675,18014,18014
1531108592,18041,18041
1531110505,18062,18062
1531111352,17988,17988
1531112190,18011,18011
1531113262,17895,17895
1531114413,17829,17829
1531116630,17774,17774
1531117827,17710,17710
1531119199,17695,17695
1531120534,17652,17652
1531122149,17586,17586
1531124070,17567,17567
1531125360,17539,17539
1531126587,17563,17563
1531127672,17559,17559
1531128814,17523,17523
1531130836,17573,17573
1531132230,17600,17600
1531133796,17629,17629
1531134930,17632,17632
1531135706,17659,17659
1531137392,17624,17624
1531138534,17634,17634
1531139711,17675,17675
1531141526,17657,17657
1531142911,17740,17740
1531144116,17655,17655
1531145433,17697,17697
1531147341,17284,17284
1531148570,17038,17038
1531150252,16967,16967
1531152866,16967,16967
1531154546,16908,16908
1531156831,16926,16926
1531158141,16884,16884
1531159472,16870,16870
1531160640,16910,16910
1531161744,16809,16809
1531163669,16821,16821
1531165078,16787,16787
1531166188,16804,16804
1531167334,16798,16798
1531168942,16771,16771
1531169790,16803,16803
1531170936,16784,16784
1531172123,16754,16754
1531173948,16759,16759
1531175840,16700,16700
1531177534,16704,16704
1531178673,16774,16774
1531179747,16697,16697
1531181434,16766,16766
1531182923,16790,16790
1531184378,16785,16785
1531185275,16802,16802
1531186953,16779,16779
1531188633,16787,16787
1531189712,16822,16822
1531191300,16775,16775
1531192534,16781,16781
1531194040,16663,16663
1531195832,16663,16663
1531196910,16716,16716
1531198593,16685,16685
1531199733,16624,16624
1531200505,16648,16648
1531202121,16537,16537
1531203327,16532,16532
1531204945,16495,16495
1531207231,16517,16517
1531207709,16533,16533
1531209212,16504,16504
1531210523,16524,16524
1531211723,16483,16483
1531212921,16513,16513
1531214026,16465,16465
1531215740,16358,16358
1531217434,16378,16378
1531218638,16376,16376
1531220182,16426,16426
1531221322,16422,16422
1531222111,16464,16464
1531222959,16441,16441
1531223788,16492,16492
1531224872,16522,16522
1531226342,16584,16584
1531228460,16587,16587
1531229633,16549,16549
1531230994,16589,16589
1531232134,16573,16573
1531232900,16598,16598
1531234222,16570,16570
1531234859,16544,16544
1531235664,16573,16573
1531236769,16506,16506
1531238180,16543,16543
1531239333,16579,16579
1531240938,16547,16547
1531242333,16502,16502
1531243705,16569,16569
1531244540,16515,16515
1531246460,16619,16619
1531247309,16645,16645
1531248986,16614,16614
1531250066,16637,16637
1531250898,16662,16662
1531251745,16661,16661
1531252591,16742,16742
1531253664,16771,16771
1531254787,16764,16764
