DateTime,AddedIPs,RemovedIPs
1530846946,4,1
1530848148,1,0
1530850467,2,1
1530851649,3,2
1530852991,1,0
1530854134,0,1
1530856531,1,1
1530860135,0,2
1530861334,1,2
1530864880,2,2
1530865708,1,0
1530867327,1,2
1530870630,2,1
1530873047,2,1
1530874674,0,1
1530876040,0,1
1530880113,0,1
1530880959,0,1
1530881786,0,1
1530883713,1,1
1530884555,0,1
1530888147,1,3
1530890071,1,0
1530890921,1,0
1530892585,2,1
1530893737,0,1
1530895354,3,2
1530896191,1,1
1530897272,2,1
1530898105,1,1
1530899799,5,0
1530900882,2,2
1530902551,1,1
1530905312,1,0
1530911136,2,1
1530912321,1,0
1530912511,1,0
1530914134,1,2
1530915285,1,0
1530918884,1,0
1530920572,1,2
1530921397,1,0
1530922489,1,0
1530924166,1,0
1530926083,3,2
1530927684,1,1
1530929458,2,0
1530930680,1,0
1530933289,1,1
1530934124,1,1
1530935800,1,1
1530936940,1,1
1530938549,1,1
1530939400,0,1
1530940544,0,1
1530943002,0,2
1530944149,1,0
1530944930,1,1
1530948516,1,0
1530950129,1,0
1530953789,2,0
1530955714,1,1
1530957396,1,2
1530958468,2,2
1530959317,1,0
1530960166,0,1
1530963758,3,1
1530965451,2,0
1530967359,1,1
1530969285,1,1
1530971144,3,1
1530972868,1,1
1530973707,0,1
1530975386,1,0
1530978337,0,2
1530980906,1,0
1530983144,0,2
1530984591,0,1
1530985357,1,1
1530986494,2,0
1530988871,1,3
1530992129,1,0
1530994470,2,2
1530995622,0,1
1530996936,0,1
1530999749,0,1
1531001690,1,0
1531002510,1,0
1531003360,1,5
1531005278,1,0
1531008644,6,3
1531010550,3,0
1531011398,1,0
1531013319,1,2
1531014638,1,2
1531015848,0,1
1531017753,2,3
1531022198,3,0
1531023267,1,1
1531024956,1,2
1531027713,0,1
1531029033,0,1
1531031736,1,1
1531033537,2,1
1531034072,0,1
1531036142,0,2
1531037673,3,0
1531039242,0,1
1531040742,0,1
1531042946,2,0
1531043790,1,1
1531045719,0,1
1531047332,0,1
1531048545,1,1
1531050072,1,2
1531051843,0,1
1531053756,2,1
1531055683,1,0
1531057349,1,3
1531059006,1,1
1531060249,1,1
1531060951,2,0
1531062875,1,1
1531065880,1,2
1531070077,2,0
1531071756,0,2
1531073679,1,0
1531076564,0,1
1531078122,0,1
1531078961,1,3
1531080878,2,0
1531082555,3,1
1531084480,1,2
1531086088,1,1
1531087009,1,0
1531088138,1,0
1531089334,2,1
1531091139,1,4
1531092510,1,0
1531093362,0,2
1531094192,0,1
1531095280,1,1
1531096950,1,2
1531097792,1,0
1531098941,1,1
1531102487,2,0
1531104531,1,0
1531106083,1,1
1531107707,2,1
1531108600,0,1
1531113270,0,1
1531114425,0,1
1531116642,1,0
1531119207,1,0
1531120542,0,1
1531122184,1,1
1531124081,1,0
1531125385,2,0
1531126596,0,1
1531127679,1,1
1531128821,1,1
1531132262,1,1
1531133802,1,1
1531134947,1,1
1531135714,2,0
1531137400,1,1
1531138541,2,3
1531139726,0,3
1531141539,0,2
1531142919,2,0
1531144128,3,0
1531147348,12,3
1531148599,1,0
1531150268,1,0
1531152874,2,1
1531154558,0,1
1531155751,0,2
1531158148,1,0
1531159480,0,1
1531163676,1,1
1531165096,2,0
1531168950,1,2
1531169798,0,1
1531170944,0,1
1531172132,1,1
1531173956,1,2
1531175854,1,1
1531177543,2,2
1531178680,1,3
1531179760,2,3
1531181441,1,0
1531184401,3,2
1531186961,1,2
1531188641,0,1
1531189720,2,0
1531194051,1,0
1531195840,1,0
1531196917,2,0
