DateTime,Entries,UniqueIPs
1530846946,96,96
1530848148,97,97
1530850467,98,98
1530851649,99,99
1530852991,100,100
1530854134,99,99
1530856531,99,99
1530860135,97,97
1530861334,96,96
1530864880,96,96
1530865708,97,97
1530867327,96,96
1530870630,97,97
1530873047,98,98
1530874674,97,97
1530876040,96,96
1530880113,95,95
1530880959,94,94
1530881786,93,93
1530883713,93,93
1530884555,92,92
1530888147,90,90
1530890071,91,91
1530890921,92,92
1530892585,93,93
1530893737,92,92
1530895354,93,93
1530896191,93,93
1530897272,94,94
1530898105,94,94
1530899799,99,99
1530900882,99,99
1530902551,99,99
1530905312,100,100
1530911136,101,101
1530912321,102,102
1530912511,103,103
1530914134,102,102
1530915285,103,103
1530918884,104,104
1530920572,103,103
1530921397,104,104
1530922489,105,105
1530924166,106,106
1530926083,107,107
1530927684,107,107
1530929458,109,109
1530930680,110,110
1530933289,110,110
1530934124,110,110
1530935800,110,110
1530936940,110,110
1530938549,110,110
1530939400,109,109
1530940544,108,108
1530943002,106,106
1530944149,107,107
1530944930,107,107
1530948516,108,108
1530950129,109,109
1530953789,111,111
1530955714,111,111
1530957396,110,110
1530958468,110,110
1530959317,111,111
1530960166,110,110
1530963758,112,112
1530965451,114,114
1530967359,114,114
1530969285,114,114
1530971144,116,116
1530972868,116,116
1530973707,115,115
1530975386,116,116
1530978337,114,114
1530980906,115,115
1530983144,113,113
1530984591,112,112
1530985357,112,112
1530986494,114,114
1530988871,112,112
1530992129,113,113
1530994470,113,113
1530995622,112,112
1530996936,111,111
1530999749,110,110
1531001690,111,111
1531002510,112,112
1531003360,108,108
1531005278,109,109
1531008644,112,112
1531010550,115,115
1531011398,116,116
1531013319,115,115
1531014638,114,114
1531015848,113,113
1531017753,112,112
1531022198,115,115
1531023267,115,115
1531024956,114,114
1531027713,113,113
1531029033,112,112
1531031736,112,112
1531033537,113,113
1531034072,112,112
1531036142,110,110
1531037673,113,113
1531039242,112,112
1531040742,111,111
1531042946,113,113
1531043790,113,113
1531045719,112,112
1531047332,111,111
1531048545,111,111
1531050072,110,110
1531051843,109,109
1531053756,110,110
1531055683,111,111
1531057349,109,109
1531059006,109,109
1531060249,109,109
1531060951,111,111
1531062875,111,111
1531065880,110,110
1531070077,112,112
1531071756,110,110
1531073679,111,111
