DateTime,AddedIPs,RemovedIPs
1531074900,22,53
1531076545,19,28
1531078101,26,1
1531078937,41,60
1531080862,46,41
1531082539,27,47
1531084468,56,52
1531086057,28,54
1531086986,19,1
1531088119,13,29
1531089320,26,40
1531091112,32,34
1531092497,25,0
1531093345,18,23
1531094178,13,0
1531095263,12,33
1531096937,23,47
1531097779,7,1
1531098921,9,39
1531099697,15,0
1531100539,12,52
1531102467,17,28
1531103299,8,0
1531104513,28,60
1531106066,36,22
1531107662,21,47
1531108580,16,0
1531109724,23,20
1531110498,22,0
1531111342,13,45
1531112182,13,0
1531113258,24,36
1531114401,13,24
1531116618,39,33
1531117823,25,51
1531119194,12,23
1531120526,21,21
1531122138,25,41
1531124058,25,32
1531125356,48,36
1531126583,19,13
1531127668,13,48
1531128802,34,88
1531130826,47,29
1531132222,21,44
1531133788,41,12
1531134925,40,24
1531135696,52,1
1531137385,25,43
1531138525,19,26
1531139702,20,29
1531141517,16,41
1531142904,19,2
1531144112,15,81
1531145428,13,23
1531147336,24,37
1531148564,26,41
1531150247,43,25
1531152408,45,47
1531152858,7,1
1531154541,28,58
1531156823,36,24
1531158136,24,28
1531159467,29,37
1531160635,30,0
1531161739,32,51
1531163660,26,47
1531165074,32,33
1531166179,13,14
1531167321,22,43
1531168938,89,45
1531169778,39,3
1531170922,42,34
1531172118,38,36
1531173939,66,49
1531175828,58,43
1531177524,50,27
1531178667,10,1
1531179741,42,47
1531181417,39,27
1531182918,23,29
1531184358,18,35
1531185262,13,1
1531186944,22,49
1531188624,28,54
1531189700,17,1
1531191295,12,47
1531192523,30,27
1531194028,34,22
1531195824,23,30
1531196903,12,1
1531198586,39,52
1531199721,18,26
1531200497,12,0
1531202117,28,44
1531203316,19,17
1531204937,35,60
1531206058,16,65
1531207701,63,4
1531209204,20,32
1531210516,15,40
1531211719,26,50
1531212917,31,10
1531214021,13,32
1531215735,18,48
1531217423,59,42
1531218630,77,26
1531220177,52,0
1531221312,46,55
1531222102,26,1
1531222951,21,29
1531223784,25,0
1531224864,20,23
1531226337,37,27
1531228456,53,27
1531229629,39,37
1531230983,33,12
1531232125,35,39
1531232896,12,1
1531234218,28,45
1531234854,11,20
1531235656,26,2
1531236761,27,33
1531238176,45,3
1531239322,20,30
1531240934,48,33
1531242322,44,49
1531243697,24,2
1531244536,16,46
1531246456,40,16
1531247298,28,1
1531248978,59,51
1531250055,29,41
1531250895,16,0
1531251738,20,54
1531252582,13,1
1531253660,23,23
1531254783,17,68
1531255336,8,20
1531256176,15,1
1531257258,51,28
1531258100,15,0
1531258939,14,33
1531260629,59,43
1531261831,16,43
1531263385,35,1
1531264520,17,37
1531267048,63,38
1531268420,26,27
1531270576,34,31
1531271714,12,12
1531273336,30,37
