DateTime,AddedIPs,RemovedIPs
1530610091,8,0
1530614499,6,14
1530616350,6,17
1530618249,22,11
1530620432,5,12
1530622331,3,16
1530628096,14,33
1530630015,6,0
1530631936,7,11
1530633795,3,0
1530640340,8,30
1530644171,8,26
1530646770,5,11
1530650772,20,2
1530656885,18,29
1530658824,6,10
1530660738,3,11
1530662656,4,13
1530664567,4,13
1530666493,3,3
1530668407,1,19
1530670333,11,13
1530672253,10,5
1530674195,12,13
1530676105,9,0
1530678014,10,17
1530679946,1,17
1530681851,18,0
1530683773,8,17
1530685966,9,7
1530687870,6,10
1530690017,9,17
1530691962,9,13
1530693870,18,0
1530695790,9,8
1530697706,3,0
1530700225,2,0
1530702255,6,4
1530704176,9,5
1530710251,5,30
1530712359,11,0
1530718809,11,32
1530720734,15,5
1530722650,15,4
1530724570,7,2
1530727866,8,4
1530729861,13,11
1530731771,14,0
1530735609,8,18
1530737530,4,4
1530739462,15,11
1530741369,13,0
1530743299,13,6
1530745227,6,13
1530747151,13,7
1530749059,17,0
1530750978,9,0
1530754809,11,4
1530760813,20,29
1530764657,16,20
1530766565,14,6
1530768487,19,11
1530770428,17,3
1530772414,11,12
1530774275,11,0
1530776173,20,11
1530780012,9,14
1530781933,7,0
1530783862,9,4
1530786022,0,8
1530787930,6,17
1530789865,14,9
1530792053,14,13
1530793934,8,0
1530798019,8,19
1530799948,14,14
1530801858,10,18
1530807624,2,28
1530809533,9,0
1530813407,6,23
1530815293,9,0
1530817238,7,20
1530819147,8,0
1530823226,8,14
1530825284,16,13
1530827294,16,0
1530829217,5,3
1530831149,14,0
1530835709,9,6
1530839538,10,10
1530841470,10,2
1530843379,15,5
1530845318,18,0
1530847283,15,7
1530849166,15,14
1530852995,12,8
1530856841,10,1
1530858751,14,18
1530860668,14,3
1530862595,10,13
1530864502,18,0
1530866417,12,6
1530868350,5,0
1530870357,2,5
1530872554,1,11
1530874585,6,17
1530876517,17,10
1530878466,15,14
1530882278,7,3
1530884557,16,19
1530886361,12,3
1530888265,14,0
1530892339,9,8
1530894264,14,0
1530898101,11,3
1530900031,4,4
1530901937,4,12
1530903870,15,0
1530905772,5,14
1530907712,5,0
1530909623,5,0
1530911542,8,0
1530913466,14,0
1530917298,11,3
1530919231,5,11
1530923054,14,2
1530924978,18,0
1530926895,16,3
1530928834,7,12
1530930751,13,7
1530932662,16,9
1530934575,12,16
1530936750,21,13
1530940581,18,13
1530942494,25,11
1530944443,13,13
1530946347,15,14
1530948262,16,8
1530950170,9,8
1530954037,10,22
1530955950,6,15
1530958146,6,14
1530960021,13,0
1530961943,3,24
1530963853,16,0
1530965795,13,24
1530969623,18,19
1530971545,17,0
1530973466,15,5
1530975382,20,0
1530977295,10,7
1530979229,12,0
1530981151,11,11
1530983058,13,0
1530986917,17,14
1530990735,15,23
1530992669,14,0
1530994584,16,15
1530996506,8,9
1530998420,7,2
1531000351,9,8
1531002252,20,8
1531005412,14,15
1531007310,13,6
1531009223,13,5
1531011146,19,13
1531013071,8,9
1531014968,13,8
1531016902,10,0
1531018827,10,0
1531020753,9,12
1531022673,11,6
1531024817,12,11
1531026743,12,2
1531028659,10,14
1531030585,18,3
1531032500,6,5
1531034426,17,14
1531036343,18,6
1531038266,8,19
1531040175,10,14
1531042091,1,6
1531044045,11,18
1531046186,12,14
1531048117,15,5
1531050022,13,15
1531051943,11,7
1531053856,9,9
1531055792,13,7
1531057696,13,10
1531060231,8,0
1531062262,15,13
1531064304,16,0
1531066441,7,13
1531068375,13,0
1531070295,5,7
1531072462,10,3
1531074486,10,2
1531076489,7,8
1531078333,11,0
1531080268,7,7
1531082180,9,13
1531084339,11,15
1531086249,6,10
1531088805,10,13
1531090824,6,0
1531092738,7,7
1531094659,5,8
1531096568,4,10
1531098849,13,9
1531100659,8,14
1531102573,10,7
1531105002,17,4
1531106889,15,12
1531108824,17,0
1531110994,7,12
1531112907,10,0
1531114824,9,19
1531116746,16,16
1531118666,14,14
1531120581,15,9
1531122495,14,0
1531126368,11,10
1531128260,5,7
1531130178,7,0
1531132100,4,3
1531134025,6,0
1531135957,11,6
1531138108,7,17
1531141943,14,10
1531143862,10,3
1531145789,7,7
1531147708,15,14
1531149632,11,0
1531151544,6,15
1531153467,13,9
1531157292,12,19
1531159236,9,0
1531163295,9,8
1531165465,15,27
1531167379,2,0
1531169806,14,12
1531171703,7,2
1531173635,3,5
1531175533,3,5
1531177465,5,0
1531179615,3,3
1531181531,2,10
1531183462,4,8
1531185385,6,8
1531187299,5,16
1531189224,8,0
1531191137,9,14
1531193064,7,5
1531194971,5,4
1531196901,12,15
1531198828,9,6
1531200741,6,0
1531202904,8,8
1531204815,30,19
1531206732,12,0
1531208663,21,10
1531210588,11,7
1531212497,11,11
1531214407,6,6
1531218255,9,3
1531220181,8,4
1531222091,3,2
1531225934,15,7
1531230035,10,31
1531231955,10,13
1531233872,8,10
1531235794,3,0
1531237701,10,12
1531239622,12,7
1531241551,10,10
1531243470,18,13
1531245375,8,4
1531247304,23,16
1531249222,3,19
1531253060,4,3
1531254996,7,3
1531258827,9,13
1531260746,7,6
1531262658,19,8
1531266496,11,11
1531268447,5,8
1531270335,18,11
1531272261,19,10
1531274173,11,0
1531276089,16,0
1531278019,9,12
1531279931,14,6
1531281860,9,0
1531285725,7,20
1531289542,23,22
1531291468,15,13
1531293404,7,14
1531295306,9,0
1531297218,11,11
1531299149,12,0
1531301060,3,10
1531302983,1,3
1531304895,2,6
1531306835,12,10
1531308759,8,0
1531312584,6,7
1531314500,2,1
1531316430,10,2
1531318356,15,13
1531320257,22,3
1531322183,10,15
1531324103,14,4
1531326254,15,3
1531328185,4,3
1531330093,17,4
1531332025,6,11
1531333954,11,13
1531335865,6,14
1531339720,8,12
1531341617,5,0
1531343543,16,1
1531345464,23,6
1531347654,4,6
1531349532,6,11
1531351456,18,1
1531355301,14,8
1531357233,3,3
1531359150,7,15
1531361072,1,0
1531362985,6,12
1531364898,4,11
1531368736,8,4
1531370657,12,16
1531372602,13,3
1531376423,17,28
1531378356,14,8
1531380261,16,0
1531384110,12,25
1531386036,11,6
1531387938,0,13
1531389883,5,9
1531391772,14,14
1531393717,15,0
1531395624,7,8
1531397563,3,9
1531399468,17,0
1531403306,10,14
1531405232,10,10
1531407136,10,0
1531409075,15,11
1531410974,2,23
1531412912,10,1
1531414830,3,7
1531418666,5,15
1531420575,5,0
1531422741,8,21
1531424675,18,13
1531428499,17,10
1531430424,7,21
1531432345,8,4
1531434768,5,16
1531436659,7,0
1531438582,6,13
1531440503,8,2
1531442413,4,7
1531444336,14,7
1531448173,5,8
1531450342,2,6
1531452273,15,9
1531456090,12,23
1531458030,12,11
1531460197,8,11
1531462101,15,7
1531464021,20,25
1531465939,12,5
1531467867,17,8
1531471695,11,29
1531473623,10,8
1531475552,7,4
1531477471,11,10
1531479373,7,20
1531481305,15,21
1531483253,15,0
1531485160,14,9
1531487081,15,5
1531488975,11,17
1531493316,14,20
1531495213,6,10
1531497145,7,4
1531499065,23,6
1531501231,4,4
1531503155,14,7
1531505066,9,3
1531506984,15,7
1531508916,3,0
1531511082,17,4
1531512979,7,17
1531514900,24,6
1531516811,14,3
1531518733,9,10
1531520911,18,0
1531522844,8,0
1531524752,5,10
1531526674,7,0
1531528635,4,17
1531531009,12,8
1531532905,7,6
1531534820,10,1
1531536741,5,17
1531538656,17,5
1531540595,12,11
1531542493,15,8
1531544434,4,15
1531548273,12,5
1531550185,2,0
1531554029,10,20
1531555958,10,15
1531557871,14,0
1531560028,15,0
1531561941,15,7
1531564108,26,4
1531566068,12,8
1531567955,7,5
1531570103,17,0
1531572022,7,17
1531573951,15,0
1531575875,19,12
1531577794,11,14
1531579714,18,12
1531581612,12,0
1531583787,14,10
1531585953,10,17
1531588111,12,0
1531590028,5,23
1531591950,9,11
1531593868,11,4
1531595795,8,5
1531597696,17,6
1531599616,10,0
1531601540,6,2
1531603461,10,19
1531607310,18,21
1531609239,4,0
1531611153,24,7
1531613062,6,0
1531614988,14,17
1531619300,14,3
1531621463,15,10
1531623384,6,10
1531625308,13,5
1531627465,5,11
1531629382,6,19
1531633702,17,7
1531635643,21,6
1531637797,3,7
1531639714,17,10
1531641656,20,14
1531643540,16,8
1531645480,8,0
1531649316,10,13
1531651227,16,0
1531653157,20,9
1531655556,16,22
1531659639,19,0
1531661539,15,7
1531663475,14,8
1531665392,10,8
1531667312,11,14
1531671393,15,0
1531673547,5,18
1531675704,11,11
1531677885,7,7
1531679792,6,12
1531682280,6,8
1531686259,10,0
1531688456,5,12
1531690839,14,8
1531692999,8,3
1531695140,13,11
1531697053,8,9
1531698974,11,0
1531700903,9,0
1531702830,8,15
1531704742,6,9
1531706668,8,11
1531708584,6,0
1531712423,11,15
1531714361,9,7
1531716269,16,0
1531718183,23,18
1531720098,15,14
1531722269,21,10
1531724202,22,6
1531726106,14,0
1531728037,16,11
1531730185,8,6
1531732102,7,8
1531734025,6,1
1531735950,3,2
