DateTime,AddedIPs,RemovedIPs
1531416009,1,4
1531416510,37,40
1531416971,3,4
1531417492,35,55
1531417972,5,1
1531418461,42,4
1531418894,2,7
1531419388,34,43
1531419860,1,3
1531420334,30,45
1531420834,2,10
1531421298,30,50
1531421769,4,16
1531422286,1393,63
1531422744,5,7
1531423207,49,309
1531423707,2,10
1531424202,45,39
1531424718,4,3
1531425156,40,42
1531425849,4,10
1531426115,47,46
1531426827,2,10
1531427050,36,33
1531428015,41,61
1531429003,44,15
1531429937,37,52
1531430912,33,40
1531431903,41,34
1531432821,40,46
1531434782,71,105
1531435703,50,24
1531436665,45,43
1531437611,51,49
1531438593,46,3
1531439569,45,82
1531440507,20,20
1531441456,75,62
1531442454,53,91
1531443380,69,91
1531444342,54,6
1531445290,22,17
1531446007,62,74
1531446271,15,23
1531446982,54,33
1531447465,14,30
1531447932,49,30
1531448427,10,14
1531448888,37,37
1531449377,17,19
1531449869,41,29
1531450356,14,10
1531450841,38,29
1531451305,11,11
1531451773,43,49
1531452283,7,15
1531452747,43,25
1531453210,11,11
1531453702,44,37
1531454187,6,14
1531454725,44,31
1531455149,6,8
1531455629,32,25
1531456094,5,12
1531456577,51,33
1531457079,8,3
1531457547,44,33
1531458040,4,0
1531458513,42,41
1531459004,5,0
1531459480,34,44
1531460209,12,0
1531460678,50,45
1531461155,3,0
1531461623,33,27
1531462111,6,0
1531462601,45,55
1531463053,13,0
1531463571,53,38
1531464025,7,0
1531464493,41,8
1531464986,8,10
1531465463,31,36
1531465942,1,41
1531466425,56,38
1531466891,8,8
1531467398,37,22
1531467877,3,5
1531468355,64,80
1531468865,8,22
1531469300,34,5
1531469806,14,31
1531470254,50,32
1531470759,5,8
1531471226,61,83
1531471702,9,17
1531472186,50,58
1531472721,14,28
1531473170,45,31
1531473626,6,20
1531474102,50,4
1531474588,8,17
1531475110,40,42
1531475563,6,10
1531476047,37,34
1531476525,2,16
1531476979,57,32
1531477481,13,15
1531477940,43,37
1531478433,11,14
1531478897,62,32
1531479380,11,0
1531479876,48,48
1531480426,7,18
1531480820,47,36
1531481537,11,14
1531481802,56,56
1531482490,6,11
1531482733,31,28
1531483727,45,48
1531484669,35,35
1531485624,49,51
1531486580,31,40
1531487617,44,37
1531488742,42,42
1531489714,37,55
1531490664,53,41
1531491643,34,38
1531492843,39,40
1531493790,34,47
1531494747,40,34
1531495755,62,40
1531496682,41,45
1531497638,43,49
1531498599,56,31
1531499666,62,52
1531500773,60,38
1531501716,49,43
1531502672,41,41
1531503618,124,38
1531504619,107,45
1531505568,94,47
1531506518,119,49
1531507511,85,40
1531508413,80,45
1531509384,412,43
1531511113,127,73
1531512021,103,14
1531512988,110,90
1531513963,106,49
1531514913,109,46
1531515904,69,12
1531516814,71,48
1531517790,63,34
1531518737,63,42
1531519695,55,48
1531520976,58,85
1531521857,5,5
1531522089,46,29
1531522852,9,8
1531523365,41,44
1531523791,13,11
1531524763,81,80
