DateTime,Entries,UniqueIPs
1531416009,2911,2911
1531416510,2908,2908
1531416971,2902,2902
1531417492,2895,2895
1531417972,2898,2898
1531418461,2905,2905
1531418894,2901,2901
1531419388,2906,2906
1531419860,2902,2902
1531420334,2905,2905
1531420834,2905,2905
1531421298,2896,2896
1531421769,2898,2898
1531422286,2940,2940
1531422744,2939,2939
1531423207,2900,2900
1531423707,2901,2901
1531424202,2909,2909
1531424718,2906,2906
1531425156,2902,2902
1531425849,2900,2900
1531426115,2901,2901
1531426827,2895,2895
1531427050,2901,2901
1531428015,2903,2903
1531429003,2904,2904
1531429937,2920,2920
1531430912,2914,2914
1531431903,2935,2935
1531432821,2928,2928
1531434782,2909,2909
1531435703,2927,2927
1531436665,2925,2925
1531437611,2903,2903
1531438593,2899,2899
1531439569,2884,2884
1531440507,2850,2850
1531441456,2857,2857
1531442454,2844,2844
1531443380,2836,2836
1531444342,2794,2794
1531445290,2789,2789
1531446007,2807,2807
1531446271,2797,2797
1531446982,2806,2806
1531447465,2788,2788
1531447932,2815,2815
1531448427,2808,2808
1531448888,2798,2798
1531449377,2797,2797
1531449869,2815,2815
1531450356,2815,2815
1531450841,2791,2791
1531451305,2780,2780
1531451773,2802,2802
1531452283,2800,2800
1531452747,2811,2811
1531453210,2807,2807
1531453702,2812,2812
1531454187,2803,2803
1531454725,2784,2784
1531455149,2770,2770
1531455629,2765,2765
1531456094,2755,2755
1531456577,2793,2793
1531457079,2787,2787
1531457547,2810,2810
1531458040,2800,2800
1531458513,2802,2802
1531459004,2792,2792
1531459480,2778,2778
1531460209,2779,2779
1531460678,2792,2792
1531461155,2786,2786
1531461623,2781,2781
1531462111,2775,2775
1531462601,2808,2808
1531463053,2813,2813
1531463571,2798,2798
1531464025,2792,2792
1531464493,2801,2801
1531464986,2790,2790
1531465463,2779,2779
1531465942,2763,2763
1531466425,2782,2782
1531466891,2780,2780
1531467398,2756,2756
1531467877,2741,2741
1531468355,2779,2779
1531468865,2779,2779
1531469300,2775,2775
1531469806,2780,2780
1531470254,2773,2773
1531470759,2757,2757
1531471226,2771,2771
1531471702,2772,2772
1531472186,2775,2775
1531472721,2784,2784
1531473170,2767,2767
1531473626,2763,2763
1531474102,2768,2768
1531474588,2753,2753
1531475110,2784,2784
1531475563,2772,2772
1531476047,2750,2750
1531476525,2740,2740
1531476979,2773,2773
1531477481,2773,2773
1531477940,2778,2778
1531478433,2782,2782
1531478897,2788,2788
1531479380,2794,2794
1531479876,2815,2815
1531480426,2815,2815
1531480820,2800,2800
1531481537,2797,2797
1531481802,2827,2827
1531482490,2825,2825
1531482733,2809,2809
1531483727,2810,2810
1531484669,2816,2816
1531485624,2822,2822
1531486580,2814,2814
1531487617,2809,2809
1531488742,2834,2834
1531489714,2833,2833
1531490664,2829,2829
1531491643,2830,2830
1531492843,2853,2853
1531493790,2838,2838
1531494747,2847,2847
1531495755,2836,2836
1531496682,2838,2838
1531497638,2842,2842
1531498599,2846,2846
1531499666,2866,2866
1531500773,2857,2857
1531501716,2854,2854
1531502672,2841,2841
1531503618,2857,2857
1531504619,2843,2843
1531505568,2864,2864
1531506518,2888,2888
1531507511,2884,2884
1531508413,2889,2889
1531509384,2899,2899
1531511113,2903,2903
1531512021,2912,2912
1531512988,2931,2931
1531513963,2924,2924
1531514913,2934,2934
1531515904,2962,2962
1531516814,2952,2952
1531517790,2970,2970
1531518737,2987,2987
1531519695,2961,2961
1531520976,2952,2952
1531521857,2948,2948
1531522089,2970,2970
1531522852,2967,2967
1531523365,2969,2969
1531523791,2968,2968
1531524763,2951,2951
1531525694,2966,2966
1531526690,2975,2975
1531527631,2987,2987
1531528639,2968,2968
1531529550,2940,2940
1531531021,2931,2931
1531531956,2954,2954
1531532930,2927,2927
1531533870,2935,2935
1531534824,2930,2930
1531535822,2926,2926
1531536767,2947,2947
1531537699,2933,2933
1531538680,2910,2910
1531539681,2913,2913
1531540603,2917,2917
1531541540,2916,2916
1531542559,2923,2923
1531543480,2916,2916
1531544445,2921,2921
1531545380,2912,2912
1531546345,2917,2917
1531547301,2926,2926
1531548278,2955,2955
1531549216,2915,2915
1531550232,2950,2950
1531551152,2953,2953
1531551648,2958,2958
1531552118,2961,2961
1531552578,2953,2953
1531553072,2946,2946
1531553539,2938,2938
1531554047,2933,2933
1531554500,2965,2965
1531554992,2959,2959
1531555461,2947,2947
1531555973,2934,2934
1531556421,2947,2947
1531556911,2943,2943
1531557384,2933,2933
1531557884,2924,2924
1531558364,2952,2952
1531558843,2936,2936
1531559591,2955,2955
1531560030,2942,2942
1531560511,2906,2906
1531560980,2897,2897
1531561487,2907,2907
1531561970,2891,2891
1531562446,2900,2900
1531563165,2899,2899
1531563619,2919,2919
1531564118,2914,2914
1531564597,2913,2913
1531565075,2907,2907
1531565537,2903,2903
1531566080,2903,2903
1531566500,2903,2903
1531567010,2896,2896
1531567537,2906,2906
1531567965,2904,2904
1531568666,2912,2912
1531569147,2906,2906
1531569666,2894,2894
1531570111,2893,2893
1531570600,2929,2929
1531571072,2921,2921
1531571557,2924,2924
1531572027,2920,2920
1531572492,2943,2943
1531573010,2941,2941
1531573489,2923,2923
1531573960,2919,2919
1531574449,2899,2899
1531574925,2901,2901
1531575399,2917,2917
1531575885,2914,2914
1531576394,2932,2932
1531576837,2927,2927
1531577307,2933,2933
1531577805,2930,2930
1531578252,2930,2930
1531578759,2929,2929
1531579275,2926,2926
1531579724,2923,2923
1531580426,2932,2932
1531580903,2928,2928
1531581381,2947,2947
1531581868,2942,2942
1531582339,2916,2916
1531582847,2910,2910
1531583310,2944,2944
1531583797,2940,2940
1531584317,2935,2935
1531585037,2928,2928
1531585454,2934,2934
1531585963,2927,2927
1531586416,2913,2913
1531587265,2908,2908
1531587625,2922,2922
1531588584,2936,2936
1531589581,2905,2905
1531590495,2884,2884
1531590993,2896,2896
1531591468,2892,2892
1531591959,2903,2903
