DateTime,Entries,UniqueIPs
1531239189,10762,10818
1531240092,10766,10822
1531241052,10765,10821
1531242036,10766,10822
1531242986,10760,10816
1531243974,10766,10822
1531244894,10757,10813
1531245879,10753,10809
1531246811,10740,10796
1531247773,10697,10753
1531248745,10688,10744
1531249725,10665,10721
1531250722,10675,10731
1531252611,10675,10731
1531253531,10671,10726
1531254498,10657,10712
1531255958,10640,10695
1531256920,10628,10683
1531257877,10635,10690
1531258843,10625,10679
1531259789,10607,10659
1531260755,10598,10650
1531261692,10582,10634
1531262674,10578,10630
1531263616,10577,10628
1531264582,10570,10621
1531265558,10560,10612
1531266498,10549,10600
1531267464,10531,10581
1531268449,10522,10572
1531269376,10529,10579
1531270345,10513,10563
1531271293,10510,10560
1531272268,10518,10568
1531273216,10501,10550
1531274180,10500,10549
1531275198,10495,10544
1531276343,10496,10544
1531277295,10486,10534
1531278265,10486,10534
1531279219,10480,10529
1531280180,10479,10528
1531281132,10479,10527
1531282102,10471,10519
1531283052,10481,10529
1531284010,10476,10524
1531285269,10471,10519
1531286174,10484,10532
1531287138,10465,10513
1531288099,10477,10525
1531289060,10460,10508
1531290031,10432,10480
1531290970,10445,10493
1531291939,10419,10467
1531292903,10416,10464
1531293870,10421,10469
1531294810,10424,10472
1531295776,10413,10461
1531296743,10388,10435
1531297687,10382,10427
1531298674,10366,10411
1531299625,10355,10400
1531300574,10354,10399
1531301554,10322,10366
1531302493,10341,10385
1531303462,10308,10351
1531304408,10280,10323
1531305390,10268,10310
1531306355,10255,10298
1531307294,10253,10296
1531308265,10254,10297
1531309222,10246,10288
1531310175,10232,10274
1531311183,10229,10271
1531312120,10222,10264
1531313103,10230,10272
1531314019,10238,10280
1531314983,10236,10277
1531315950,10234,10275
1531316912,10239,10280
1531317873,10238,10279
1531318821,10232,10273
1531319803,10227,10268
1531320751,10226,10267
1531321720,10221,10262
1531322674,10224,10265
1531323632,10220,10261
1531324590,10224,10265
1531325793,10234,10275
1531326745,10227,10268
1531327703,10223,10264
1531328652,10225,10266
1531329618,10228,10269
1531330578,10219,10260
1531331544,10225,10266
1531332506,10232,10273
1531333458,10227,10268
1531334421,10218,10259
1531335378,10214,10254
1531336353,10208,10248
1531337324,10202,10242
1531338275,10200,10240
1531339232,10201,10241
1531340189,10195,10235
1531341138,10184,10224
1531342105,10180,10220
1531343073,10182,10222
1531344022,10179,10219
1531344978,10175,10215
1531345950,10159,10199
1531347664,10141,10181
1531348576,10134,10174
1531349534,10126,10166
1531350508,10125,10165
1531351464,10120,10160
1531352429,10114,10154
1531353372,10113,10153
1531354332,10102,10141
1531355312,10113,10152
1531356262,10119,10158
1531357235,10105,10144
1531358183,10076,10115
1531359159,10087,10127
1531360093,10069,10108
1531361076,10069,10108
1531362009,10061,10100
1531362995,10053,10091
1531363931,10041,10078
1531364900,10028,10065
1531365853,9998,10035
1531366843,9986,10023
1531367767,9963,10000
1531368738,9981,10018
1531369705,9969,10006
1531370659,9962,9999
1531371623,9978,10015
1531372625,9915,9951
1531373537,9922,9958
1531374502,9901,9937
1531375463,9874,9910
1531376434,9853,9889
1531377371,9846,9881
1531378366,9830,9865
1531379298,9829,9864
1531380271,9820,9855
1531381234,9759,9794
1531382175,9781,9816
1531383141,9715,9748
1531384119,9672,9705
1531385075,9692,9725
1531386038,9649,9682
1531386986,9598,9629
1531387943,9618,9649
1531388914,9592,9623
1531389893,9580,9611
1531390836,9569,9600
1531391774,9569,9600
1531392759,9545,9575
1531393727,9527,9557
1531394673,9496,9526
1531395635,9491,9520
1531396591,9479,9508
1531397575,9457,9486
1531398510,9430,9459
1531399486,9425,9454
1531400449,9416,9445
1531401397,9398,9427
1531402346,9384,9414
1531403309,9374,9404
1531404279,9360,9390
1531405238,9357,9387
1531406179,9349,9379
1531407145,9335,9365
1531408109,9327,9357
1531409084,9307,9337
1531410027,9294,9324
1531410983,9289,9319
1531411972,9268,9298
1531412922,9254,9284
1531414099,9238,9267
1531415069,9227,9257
1531416009,9214,9244
1531416971,9207,9237
1531417972,9209,9239
1531418894,9205,9235
1531419860,9199,9229
1531420834,9180,9210
1531421769,9149,9179
1531422744,9143,9173
1531423707,9126,9156
1531424718,9119,9149
1531425849,9101,9131
1531426827,9082,9112
1531428013,9072,9102
1531428997,9065,9095
1531429935,9059,9089
1531430911,9048,9078
1531431901,9043,9073
1531432819,9041,9071
1531434780,9032,9062
1531435691,9043,9072
1531436661,9043,9072
1531437610,9021,9050
1531438591,9038,9067
1531439530,9022,9051
1531440505,8997,9026
1531441454,8991,9020
1531442422,8961,8990
1531443378,8928,8957
1531444341,8951,8980
1531445290,8942,8971
1531446271,8941,8971
1531447465,8932,8962
1531448427,8935,8965
1531449377,8934,8964
1531450356,8939,8969
1531451305,8939,8969
1531452283,8932,8962
1531453210,8928,8958
1531454187,8919,8949
1531455149,8919,8949
1531456094,8913,8943
1531457079,8916,8946
1531458040,8927,8957
1531459004,8937,8967
1531460209,8953,8983
1531461155,8960,8990
1531462111,8969,8999
1531463053,8986,9016
1531464025,8998,9028
1531464986,8996,9026
1531465942,8937,8967
1531466891,8937,8967
1531467877,8935,8965
1531468865,8912,8942
1531469806,8869,8898
1531470759,8864,8893
1531471702,8846,8875
1531472721,8815,8844
1531473626,8798,8826
1531474588,8778,8806
1531475563,8774,8802
1531476525,8756,8784
1531477481,8747,8775
1531478433,8740,8768
1531479380,8754,8783
1531480426,8736,8766
1531481537,8725,8755
1531482490,8713,8743
1531483725,8705,8735
1531484653,8697,8727
1531485623,8696,8726
1531486579,8688,8718
1531487597,8683,8713
1531488741,8687,8719
1531489701,8675,8707
1531490658,8670,8702
1531491618,8661,8693
1531492830,8664,8696
1531493788,8652,8684
1531494746,8649,8681
1531495707,8630,8662
1531496661,8641,8673
1531497626,8629,8661
1531498582,8639,8671
1531499637,8617,8649
1531500771,8618,8650
1531501714,8604,8636
1531502650,8599,8631
1531503617,8611,8643
1531504617,8618,8650
1531505551,8617,8649
1531506491,8605,8637
1531507504,8602,8634
1531508411,8602,8634
1531509382,8609,8641
1531511092,8621,8653
1531512019,8643,8675
1531512981,8647,8679
1531513961,8649,8681
1531514904,8669,8701
1531515863,8681,8713
1531516813,8684,8716
1531517788,8672,8704
1531518735,8678,8710
1531519694,8673,8705
1531520920,8657,8689
1531521857,8649,8681
1531522852,8650,8682
1531523791,8650,8682
1531524762,8660,8692
1531525692,8644,8676
1531526676,8636,8669
1531527619,8640,8672
1531528638,8637,8669
1531529545,8629,8660
1531531020,8627,8658
1531531933,8631,8662
1531532907,8633,8664
1531533869,8611,8642
1531534822,8607,8638
1531535820,8600,8630
1531536743,8590,8622
1531537698,8592,8623
1531538665,8601,8632
1531539670,8597,8628
1531540597,8596,8627
1531541538,8582,8614
1531542505,8580,8612
1531543461,8584,8616
1531544443,8579,8611
1531545375,8568,8600
1531546342,8571,8603
1531547299,8564,8596
1531548276,8556,8588
1531549214,8554,8586
1531550188,8544,8576
1531551152,8547,8579
1531552118,8525,8557
1531553072,8524,8556
1531554047,8519,8551
1531554992,8508,8540
1531555973,8508,8540
1531556911,8501,8533
1531557884,8500,8532
1531558843,8494,8526
1531560030,8483,8515
1531560980,8479,8511
1531561970,8476,8508
1531563165,8475,8507
1531564118,8470,8503
1531565075,8478,8510
1531566080,8483,8515
1531567010,8476,8508
1531567965,8472,8503
1531569147,8474,8505
1531570111,8458,8489
1531571072,8452,8483
1531572027,8446,8477
1531573010,8441,8472
1531573960,8432,8463
1531574925,8445,8476
1531575885,8438,8469
1531576837,8445,8476
1531577805,8431,8462
1531578759,8427,8459
1531579724,8422,8455
1531580903,8415,8448
1531581868,8417,8450
1531582847,8419,8452
1531583797,8416,8449
1531585037,8416,8449
1531585963,8417,8452
1531587265,8414,8449
1531588583,8405,8440
1531589541,8411,8446
1531590495,8405,8440
1531591468,8397,8432
1531592423,8387,8422
1531593389,8382,8417
1531594362,8376,8411
1531595305,8370,8404
1531596755,8370,8404
1531597702,8367,8400
1531598663,8372,8405
1531599618,8373,8406
1531600589,8374,8407
1531601582,8368,8401
1531602766,8360,8394
1531603935,8369,8403
1531604899,8372,8406
1531605861,8368,8402
1531606826,8365,8399
1531607789,8362,8396
1531608744,8342,8375
1531609708,8347,8380
1531610662,8342,8375
1531611624,8329,8362
1531612588,8319,8352
1531613568,8317,8350
1531614504,8300,8333
1531615471,8291,8324
1531616682,8281,8314
1531617632,8280,8313
1531618864,8266,8299
1531619792,8269,8302
1531621015,8269,8302
1531621948,8269,8302
1531622913,8274,8308
1531623869,8278,8311
1531624834,8267,8299
1531625792,8278,8312
1531626999,8273,8309
1531627956,8270,8306
1531628913,8270,8306
1531629882,8273,8309
1531631084,8269,8305
1531632037,8263,8300
1531633244,8280,8317
1531634192,8273,8310
1531635653,8261,8298
1531636570,8255,8294
1531637799,8257,8296
1531638769,8268,8307
1531639716,8267,8306
1531640663,8265,8304
1531641658,8259,8298
1531642586,8258,8297
1531643542,8259,8299
1531644520,8249,8291
1531645490,8250,8292
1531646434,8249,8290
1531647402,8240,8281
1531648362,8237,8278
1531649330,8231,8271
1531650273,8241,8281
1531651236,8242,8282
1531652191,8250,8290
1531653167,8246,8286
1531654096,8244,8284
1531655581,8244,8284
1531656767,8242,8282
1531657718,8243,8283
1531658719,8243,8283
1531659650,8242,8282
1531660588,8233,8273
1531661549,8237,8277
1531662506,8229,8270
1531663535,8227,8267
1531664657,8229,8270
1531665613,8229,8270
1531666823,8231,8272
1531667780,8224,8265
1531668739,8224,8266
1531669718,8224,8267
1531670925,8213,8256
1531671869,8217,8260
1531672813,8211,8255
1531674040,8213,8257
1531675218,8219,8264
1531676196,8221,8266
1531677895,8214,8261
1531678809,8201,8248
1531679794,8204,8251
