DateTime,AddedIPs,RemovedIPs
1531239189,13,14
1531240092,4,7
1531241052,9,14
1531242036,9,13
1531242986,6,12
1531243974,7,3
1531244894,7,1
1531245879,5,8
1531246811,6,3
1531247773,5,6
1531248745,5,7
1531249725,5,5
1531250722,10,9
1531252611,13,17
1531253531,5,5
1531254498,5,5
1531255958,13,10
1531256920,4,6
1531257877,7,10
1531258843,9,9
1531259789,4,6
1531260755,7,6
1531261692,6,12
1531262674,8,8
1531263616,9,4
1531264582,10,7
1531265558,9,12
1531266498,13,9
1531267464,10,18
1531268449,25,14
1531269376,21,14
1531270345,16,24
1531271293,17,28
1531272268,29,14
1531273216,8,18
1531274180,18,26
1531275198,22,21
1531276343,22,31
1531277295,12,20
1531278265,14,17
1531279219,13,11
1531280180,19,14
1531281132,9,19
1531282102,5,13
1531283052,24,6
1531284010,16,15
1531285269,16,17
1531286174,13,11
1531287138,15,14
1531288099,12,10
1531289060,11,19
1531290031,10,15
1531290970,13,19
1531291939,8,14
1531292903,13,12
1531293870,19,15
1531294810,3,5
1531295776,15,13
1531296743,7,16
1531297687,12,17
1531298674,11,14
1531299625,6,12
1531300574,11,7
1531301554,16,31
1531302493,19,16
1531303462,8,12
1531304408,7,14
1531305390,9,21
1531306355,7,7
1531307294,9,6
1531308265,13,9
1531309222,8,9
1531310175,7,14
1531311183,9,9
1531312120,10,10
1531313103,20,9
1531314019,8,6
1531314983,15,9
1531315950,11,12
1531316912,16,4
1531317873,13,4
1531318821,10,7
1531319803,7,4
1531320751,10,2
1531321720,5,7
1531322674,3,9
1531323632,8,8
1531324590,10,4
1531325793,15,10
1531326745,9,13
1531327703,6,13
1531328652,13,5
1531329618,5,10
1531330578,6,13
1531331544,6,4
1531332506,7,6
1531333458,8,6
1531334421,5,11
1531335378,5,9
1531336353,6,11
1531337324,7,3
1531338275,11,9
1531339232,8,3
1531340189,6,11
1531341138,6,12
1531342105,5,2
1531343073,5,6
1531344022,8,4
1531344978,5,7
1531345950,2,3
1531347664,14,19
1531348576,10,13
1531349534,6,8
1531350508,9,11
1531351464,16,18
1531352429,21,16
1531353372,22,13
1531354332,23,20
1531355312,32,21
1531356262,39,32
1531357235,19,11
1531358183,27,21
1531359159,40,30
1531360093,19,20
1531361076,31,17
1531362009,15,7
1531362995,27,23
1531363931,9,7
1531364900,24,12
1531365853,17,12
1531366843,29,18
