DateTime,AddedIPs,RemovedIPs
1531236258,42,0
1531237235,83,36
1531238193,34,31
1531239191,28,15
1531240129,32,21
1531241081,35,13
1531242038,22,17
1531242987,50,20
1531243976,27,30
1531244895,26,0
1531245931,27,55
1531247068,29,22
1531248023,27,24
1531249263,29,26
1531250183,23,15
1531251146,21,28
1531252612,29,65
1531253533,31,0
1531254500,34,37
1531255527,21,46
1531256454,22,24
1531257384,40,0
1531258349,42,0
1531259300,32,14
1531260279,38,21
1531261213,28,16
1531262191,29,16
1531263154,35,20
1531264123,26,23
1531265560,26,18
1531266500,29,17
1531267466,28,16
1531268468,30,15
1531269390,34,39
1531270346,27,12
1531271294,33,18
1531272269,38,33
1531273218,32,31
1531274181,32,25
1531275215,45,23
1531276345,31,20
1531277297,32,28
1531278266,26,24
1531279221,30,25
1531280182,44,31
1531281133,33,26
1531282103,31,38
1531283090,43,25
1531284037,34,12
1531285271,47,22
1531286182,42,32
1531287140,33,47
1531288100,38,27
1531289061,25,16
1531290032,33,37
1531290984,34,23
1531291940,30,27
1531292904,48,23
1531293872,30,27
1531294812,31,40
1531295778,45,47
1531296752,18,43
1531297689,35,28
1531298691,24,33
1531299630,35,25
1531300575,36,0
1531301556,40,69
1531302494,34,0
1531303470,36,34
1531304410,33,22
1531305392,33,47
1531306356,46,0
1531307295,40,43
1531308280,50,20
1531309224,32,0
1531310177,31,46
1531311185,41,34
1531312137,33,37
1531313126,44,32
1531314308,34,34
1531315224,38,25
1531316432,47,24
1531317386,42,30
1531318359,40,15
1531319312,27,14
1531320299,38,14
1531321233,30,24
1531322186,29,11
1531323142,44,14
1531324105,40,0
1531325363,40,21
1531326746,41,30
1531327704,29,11
1531328654,37,15
1531329619,36,14
1531330591,36,0
1531331546,37,20
1531332508,39,35
1531333956,35,27
1531334892,27,45
1531335900,222,36
1531336822,29,21
1531337828,33,25
1531338731,17,0
1531339723,32,42
1531340673,15,0
1531341652,27,17
1531342579,36,14
1531343552,29,13
1531344510,26,19
1531345520,16,29
1531346446,23,24
1531347665,22,24
1531348592,24,30
1531349553,19,24
1531350509,34,12
1531351470,30,19
1531352437,46,13
1531353373,47,27
1531354334,40,12
1531355313,63,29
1531356275,58,11
1531357236,40,26
1531358184,60,27
1531359160,60,32
1531360095,33,26
1531361095,58,15
1531362013,41,23
1531362996,43,26
1531363976,40,15
1531364901,40,18
1531365870,44,13
1531366845,43,21
1531367792,25,19
1531368740,33,25
1531369706,33,37
1531370661,39,17
1531371624,43,27
1531372628,38,16
1531373538,29,37
1531374503,35,29
1531375464,31,23
1531376435,39,31
1531377373,38,38
1531378400,46,18
1531379550,32,26
1531380739,35,17
1531381692,69,35
1531382672,48,21
1531383611,41,13
1531384583,26,34
1531385537,34,18
1531386519,20,19
1531387486,49,25
1531388410,36,21
1531389371,32,16
1531390346,38,27
1531391293,25,22
1531392293,34,20
