DateTime,AddedIPs,RemovedIPs
1531236258,1196,1196
1531237235,1182,1182
1531238193,1211,1211
1531239191,1219,1219
1531240129,1183,1183
1531241081,1204,1204
1531242038,1139,1139
1531242987,1369,1369
1531243976,1457,1457
1531244895,1388,1388
1531245931,1272,1272
1531247068,1307,1307
1531248023,1232,1232
1531249263,1183,1183
1531250183,1184,1184
1531251146,1207,1207
1531252612,1190,1190
1531253533,1327,1327
1531254500,1382,1382
1531255527,1322,1322
1531256454,1186,1186
1531257384,1219,1219
1531258349,1281,1281
1531259300,1200,1200
1531260279,1228,1228
1531261213,1275,1275
1531262191,1253,1253
1531263154,1211,1211
1531264123,1247,1247
1531265560,1281,1281
1531266500,1196,1196
1531267466,1241,1241
1531268468,1261,1261
1531269390,1206,1206
1531270346,1223,1223
1531271294,1230,1230
1531272269,1268,1268
1531273218,1242,1242
1531274181,1263,1263
1531275215,1304,1304
1531276345,1223,1223
1531277297,1257,1257
1531278266,1283,1283
1531279221,1281,1281
1531280182,1294,1294
1531281133,1226,1226
1531282103,1261,1261
1531283090,1297,1297
1531284037,1249,1249
1531285271,1225,1225
1531286182,1249,1249
1531287140,1244,1244
1531288100,1258,1258
1531289061,1319,1319
1531290032,1298,1298
1531290984,1247,1247
1531291940,1211,1211
1531292904,1240,1240
1531293872,1233,1233
1531294812,1387,1387
1531295778,1401,1401
1531296752,1268,1268
1531297689,1242,1242
1531298691,1206,1206
1531299630,1208,1208
1531300575,1237,1237
1531301556,1226,1226
1531302494,1223,1223
1531303470,1247,1247
1531304410,1264,1264
1531305392,1303,1303
1531306356,1325,1325
1531307295,1314,1314
1531308280,1304,1304
1531309224,1272,1272
1531310177,1246,1246
1531311185,1252,1252
1531312137,1284,1284
1531313126,1265,1265
1531314308,1277,1277
1531315224,1283,1283
1531316432,1271,1271
1531317386,1271,1271
1531318359,1291,1291
1531319312,1249,1249
1531320299,1266,1266
1531321233,1251,1251
1531322186,1248,1248
1531323142,1272,1272
1531324105,1250,1250
1531325363,1218,1218
1531326746,1196,1196
1531327704,1165,1165
1531328654,1209,1209
1531329619,1232,1232
1531330591,1228,1228
1531331546,1209,1209
1531332508,1223,1223
1531333956,1241,1241
1531334892,1205,1205
1531335900,1381,1381
1531336822,1372,1372
1531337828,1230,1230
1531338731,1203,1203
1531339723,1185,1185
1531340673,1221,1221
1531341652,1208,1208
1531342579,1204,1204
1531343552,1204,1204
1531344510,1214,1214
1531345520,1188,1188
1531346446,1232,1232
1531347665,1296,1296
1531348592,1279,1279
1531349553,1231,1231
1531350509,1231,1231
1531351470,1259,1259
1531352437,1238,1238
1531353373,1252,1252
1531354334,1303,1303
1531355313,1287,1287
1531356275,1275,1275
1531357236,1279,1279
1531358184,1299,1299
1531359160,1260,1260
1531360095,1288,1288
1531361095,1334,1334
1531362013,1347,1347
1531362996,1244,1244
1531363976,1255,1255
1531364901,1263,1263
1531365870,1308,1308
1531366845,1320,1320
1531367792,1313,1313
1531368740,1331,1331
1531369706,1310,1310
1531370661,1319,1319
1531371624,1334,1334
1531372628,1327,1327
1531373538,1306,1306
1531374503,1330,1330
1531375464,1351,1351
1531376435,1322,1322
1531377373,1286,1286
1531378400,1322,1322
1531379550,1341,1341
1531380739,1330,1330
1531381692,1260,1260
1531382672,1281,1281
1531383611,1296,1296
1531384583,1286,1286
1531385537,1269,1269
1531386519,911,911
1531387486,1484,1484
1531388410,1465,1465
1531389371,1435,1435
1531390346,1331,1331
1531391293,1272,1272
1531392293,1266,1266
1531393259,1295,1295
1531394183,1289,1289
1531395137,1302,1302
1531396103,1343,1343
1531397075,1341,1341
1531398029,1433,1433
1531398993,1274,1274
1531399994,1308,1308
1531400909,1351,1351
1531401876,1330,1330
1531402810,1467,1467
1531403781,1374,1374
1531404769,1320,1320
1531405694,1494,1494
1531406665,1462,1462
1531407632,1333,1333
1531408592,1458,1458
1531409549,1499,1499
1531410510,1456,1456
1531411495,1415,1415
1531412526,1380,1380
1531413646,1384,1384
1531414581,1512,1512
1531415534,1425,1425
1531416510,1358,1358
1531417492,1279,1279
1531418461,1194,1194
1531419388,1169,1169
1531420334,1154,1154
1531421298,1197,1197
1531422286,1757,1757
1531423207,1683,1683
1531424202,1282,1282
1531425156,1266,1266
1531426115,1179,1179
1531427050,1246,1246
1531428015,1232,1232
1531429003,1197,1197
1531429937,1273,1273
1531430912,826,826
1531431903,1422,1422
1531432821,1503,1503
1531434782,1526,1526
1531435703,1444,1444
1531436665,1306,1306
1531437611,1305,1305
1531438593,1267,1267
1531439569,1255,1255
1531440507,667,667
1531441456,1448,1448
1531442454,1468,1468
1531443380,1501,1501
1531444342,1516,1516
1531446007,1460,1460
1531446982,1503,1503
1531447932,1468,1468
1531448888,1552,1552
1531449869,1491,1491
1531450841,1517,1517
1531451773,1495,1495
1531452747,1527,1527
1531453702,1532,1532
1531454725,1494,1494
1531455629,1420,1420
1531456577,1440,1440
1531457547,1542,1542
1531458513,1511,1511
1531459480,1510,1510
1531460678,1486,1486
1531461623,1378,1378
1531462601,1615,1615
1531463571,1622,1622
1531464493,1484,1484
1531465463,1440,1440
1531466425,1554,1554
1531467398,1470,1470
1531468355,1468,1468
1531469300,1593,1593
1531470254,1482,1482
1531471226,1490,1490
1531472186,1525,1525
1531473170,1498,1498
1531474102,1537,1537
1531475110,1489,1489
1531476047,1331,1331
1531476979,1519,1519
1531477940,1590,1590
1531478897,1449,1449
1531479876,1393,1393
1531480820,1358,1358
1531481802,1345,1345
1531482733,1300,1300
1531483727,1260,1260
1531484669,1189,1189
1531485624,1204,1204
1531486580,1257,1257
1531487617,1331,1331
1531488742,1306,1306
1531489714,1176,1176
1531490664,1256,1256
1531491643,1239,1239
1531492843,1218,1218
1531493790,1194,1194
1531494747,1243,1243
1531495755,1324,1324
1531496682,1344,1344
1531497638,1279,1279
1531498599,1319,1319
1531499666,1357,1357
1531500773,1314,1314
1531501716,1252,1252
1531502672,1254,1254
1531503618,1380,1380
1531504619,1457,1457
1531505568,1306,1306
1531506518,1479,1479
1531507511,1585,1585
1531508413,1529,1529
1531509384,1615,1615
1531511113,1381,1381
1531512021,1423,1423
1531512988,1511,1511
1531513963,1615,1615
1531514913,1479,1479
1531515904,1561,1561
1531516814,1612,1612
1531517790,1469,1469
1531518737,1532,1532
1531519695,1584,1584
1531520976,1445,1445
1531522089,1387,1387
1531523365,1555,1555
1531524763,1562,1562
1531525694,1548,1548
1531526690,1551,1551
1531527631,1525,1525
1531528639,1532,1532
1531529550,1358,1358
1531531021,1323,1323
1531531956,1401,1401
1531532930,1377,1377
1531533870,1298,1298
1531534824,1403,1403
1531535822,1574,1574
1531536767,1648,1648
1531537699,1578,1578
1531538680,1431,1431
1531539681,1353,1353
1531540603,1301,1301
1531541540,1312,1312
1531542559,1300,1300
1531543480,1304,1304
1531544445,1293,1293
1531545380,1259,1259
1531546345,1521,1521
1531547301,1451,1451
1531548278,1571,1571
1531549216,1629,1629
1531550232,1473,1473
1531551648,1428,1428
1531552578,1577,1577
1531553539,1472,1472
1531554500,1473,1473
1531555461,1479,1479
1531556421,1499,1499
1531557384,1443,1443
1531558364,1422,1422
1531559591,1579,1579
1531560511,1496,1496
1531561487,1322,1322
1531562446,1323,1323
1531563619,1447,1447
1531564597,1503,1503
1531565537,1425,1425
1531566500,1292,1292
1531567537,1322,1322
1531568666,1272,1272
1531569666,1320,1320
1531570600,1359,1359
1531571557,1476,1476
1531572492,1537,1537
1531573489,1591,1591
1531574449,1594,1594
1531575399,1462,1462
1531576394,1433,1433
1531577307,1435,1435
1531578252,1323,1323
1531579275,1344,1344
1531580426,1318,1318
1531581381,994,994
1531582339,1379,1379
1531583310,1583,1583
1531584317,1539,1539
1531585454,1561,1561
1531586416,1596,1596
1531587625,1565,1565
1531588584,1573,1573
1531589581,1512,1512
1531590993,1446,1446
1531591959,1570,1570
1531592951,1630,1630
1531593897,1504,1504
1531594871,1543,1543
1531595805,1587,1587
1531596756,1701,1701
1531597704,1631,1631
1531598665,1558,1558
1531599620,1570,1570
1531600605,1576,1576
1531601598,1587,1587
1531602767,1557,1557
1531603959,1545,1545
1531604901,1561,1561
1531605863,1505,1505
1531606844,1490,1490
1531607804,1493,1493
1531608770,1531,1531
1531609715,1526,1526
1531610690,1367,1367
1531611630,1351,1351
1531612608,1511,1511
1531613585,1495,1495
1531615002,1468,1468
1531615967,1539,1539
1531617167,1431,1431
1531618095,1612,1612
1531619303,1630,1630
1531620266,917,917
1531621472,1470,1470
1531622427,1421,1421
1531623389,1406,1406
1531624350,1474,1474
1531625310,1490,1490
1531626277,1434,1434
1531627470,1445,1445
1531628426,1480,1480
1531629384,1464,1464
1531630365,1358,1358
1531631554,1437,1437
1531632495,1381,1381
1531633705,1322,1322
1531634933,1473,1473
1531636093,1443,1443
1531637316,1349,1349
1531638290,1336,1336
1531639283,1350,1350
1531640195,1518,1518
1531641173,1583,1583
1531642130,1499,1499
1531643080,1501,1501
1531644011,1317,1317
1531644983,1214,1214
1531645945,1277,1277
1531646898,1250,1250
1531647854,1454,1454
1531648828,1448,1448
1531649786,1508,1508
1531650739,1533,1533
1531651696,1429,1429
1531652665,1405,1405
1531653625,1437,1437
1531654935,1426,1426
1531656046,1453,1453
1531657223,1443,1443
1531658187,1272,1272
1531659167,1184,1184
1531660111,1123,1123
1531661078,1217,1217
1531662033,1351,1351
1531662983,1376,1376
1531663949,1345,1345
1531664896,1413,1413
1531666369,1404,1404
1531667340,1234,1234
1531668269,1217,1217
1531669218,1239,1239
1531670452,1284,1284
1531671451,1299,1299
1531672354,1385,1385
1531673570,1398,1398
1531674863,1275,1275
1531676211,1276,1276
1531677897,1404,1404
1531678810,1444,1444
1531679796,1448,1448
1531680760,1471,1471
1531682311,1429,1429
1531683405,1396,1396
1531684348,1310,1310
1531685295,1407,1407
1531686282,1603,1603
1531687252,1581,1581
1531688468,1513,1513
1531690141,1508,1508
1531691304,1232,1232
1531692266,1157,1157
1531693210,1339,1339
1531694170,1333,1333
1531695146,1288,1288
1531696108,1229,1229
1531697100,1219,1219
1531698021,1230,1230
1531698999,1267,1267
1531699963,937,937
1531700929,1512,1512
1531701865,1558,1558
1531702834,1508,1508
1531703787,1292,1292
1531704746,1295,1295
1531705711,1247,1247
1531706679,1232,1232
1531707646,1270,1270
1531708645,1355,1355
1531709549,1320,1320
1531710508,1377,1377
1531711955,1348,1348
1531712907,1226,1226
1531713893,1210,1210
1531714821,1174,1174
1531715800,1171,1171
1531716804,1209,1209
1531717721,1257,1257
1531718672,1264,1264
1531719634,1184,1184
1531720619,1282,1282
1531721561,1300,1300
1531722740,1199,1199
1531723698,1094,1094
1531724662,1308,1308
1531725614,1417,1417
1531726606,1422,1422
1531727560,1350,1350
1531728777,1375,1375
1531729739,1487,1487
1531730682,1488,1488
1531731651,1544,1544
1531732576,1212,1212
1531733538,873,873
1531734500,614,614
1531735491,1121,1121
1531736443,1522,1522
