DateTime,AddedIPs,RemovedIPs
1529935639,21,17
1529939238,17,14
1529942841,7,29
1529946436,25,32
1529950040,36,23
1529953644,44,32
1529957246,25,17
1529960841,21,25
1529964443,30,17
1529968049,49,19
1529971644,13,36
1529975244,38,19
1529978848,31,13
1529982443,13,14
1529986037,10,21
1529989640,10,38
1529993232,33,34
1529996829,19,27
1530000431,35,19
1530004029,17,26
1530007639,27,23
1530011244,19,17
1530014843,24,28
1530018417,37,66
1530022042,13,43
1530025636,12,63
1530029234,22,62
1530032827,16,71
1530036432,45,53
1530040029,12,68
1530043625,28,76
1530047224,18,91
1530050822,17,45
1530054423,19,69
1530058019,74,41
1530061622,33,41
1530065215,13,22
1530068811,15,31
1530072410,10,20
1530076006,8,37
1530079608,43,49
1530083189,18,18
1530086809,16,30
1530090402,30,22
1530094005,31,49
1530097607,23,17
1530101204,12,14
1530104804,23,23
1530108411,32,17
1530112002,22,59
1530115600,14,27
1530119204,11,35
1530122805,20,29
1530126409,30,32
1530130002,14,44
1530133597,30,29
1530140798,80,65
1530144409,17,12
1530148001,21,23
1530151601,34,9
1530155202,43,32
1530158804,13,35
1530162404,13,20
1530165988,19,37
1530169596,36,29
1530173196,18,32
1530176795,26,20
1530180400,14,29
1530183992,29,47
1530187600,12,25
1530191197,30,28
1530194797,36,13
1530198400,15,28
1530201995,18,40
1530205599,18,22
1530209198,16,36
1530212799,39,29
1530216399,15,40
1530219995,26,18
1530223596,15,21
1530227194,22,43
1530230797,16,18
1530234398,19,13
1530237994,34,12
1530241591,15,62
1530245189,5,34
1530248794,15,23
1530252400,10,38
1530255990,36,30
1530259587,23,37
1530263192,14,12
1530266787,27,15
1530270390,21,41
1530273989,26,16
1530277591,19,15
1530281197,177,23
1530284806,144,24
1530288409,96,51
1530292006,78,21
1530295611,46,39
1530299213,56,42
1530302814,61,46
1530306420,76,57
1530310020,135,29
1530313622,78,31
1530317222,45,16
1530320826,53,13
1530324415,47,17
1530328043,41,7
1530331646,20,29
1530335249,23,26
1530338840,27,19
1530342441,21,26
1530346038,42,24
1530349623,32,24
1530353219,33,15
1530356809,21,23
1530360437,39,23
1530364028,20,23
1530367629,61,17
1530371228,36,13
1530374832,21,27
1530378434,8,35
1530382045,16,19
1530385625,10,60
1530389241,43,12
1530392828,12,25
1530396429,22,11
1530400028,24,15
1530403635,20,38
1530407227,18,15
1530410827,20,17
1530414426,35,13
1530418032,18,14
1530421631,16,31
1530425225,11,17
1530428822,9,24
1530432422,18,19
1530436031,40,26
1530439626,13,12
1530443222,24,21
1530446824,24,44
1530450434,12,10
1530454023,26,18
1530457622,21,11
1530461226,48,13
1530464827,31,40
1530468435,26,14
1530472034,16,33
1530475627,29,14
1530479231,30,18
1530482832,11,18
1530486431,37,20
1530490033,21,38
1530493631,27,15
1530497235,10,24
1530500834,17,16
1530504432,33,7
1530508027,12,24
1530511618,10,31
1530515227,11,29
1530518825,12,35
1530522422,44,16
1530526025,17,22
1530529626,33,14
1530533233,16,34
1530536829,28,28
1530540429,15,23
1530544031,24,15
1530547634,36,8
1530551232,79,25
1530554840,122,41
1530558456,113,15
1530562052,101,24
1530565653,134,14
1530569256,80,33
1530572857,88,39
1530576465,85,16
1530580061,48,41
1530583662,60,30
1530587268,46,12
1530590871,81,9
1530594468,55,19
1530598072,34,37
1530601671,37,25
1530605272,33,46
1530608876,45,15
1530612474,36,26
1530616077,48,14
1530619676,28,20
1530623278,27,38
1530626876,32,17
1530630474,22,13
1530634073,53,18
1530637680,24,23
1530641284,20,43
1530644877,37,10
1530648478,25,31
1530652080,26,15
1530655675,27,26
1530659276,25,20
1530662869,30,61
1530666474,18,33
1530670076,21,16
1530673678,8,10
1530677275,34,11
1530680878,42,6
1530684482,20,41
1530688078,25,15
1530691677,28,23
1530695263,28,31
1530698878,20,31
1530702477,20,24
1530706080,35,12
1530709674,18,35
1530713269,19,29
1530716873,4,27
1530720473,57,11
1530724080,50,9
1530727684,71,21
1530731285,36,28
1530734887,30,13
1530738485,30,24
1530742086,23,20
1530745688,24,31
1530749287,36,19
1530752882,11,21
1530756485,12,35
1530760094,12,40
1530763694,16,16
1530767277,36,17
1530770878,20,20
1530774487,22,35
1530778070,14,22
1530781680,30,27
1530785281,18,15
1530788877,12,28
1530792482,28,11
1530796081,16,22
1530799686,16,35
1530803281,14,18
1530806876,9,29
1530810477,20,21
1530814085,35,20
1530817689,21,41
1530821286,31,15
1530824887,20,30
1530828488,19,14
1530832091,36,18
1530835699,37,18
1530839299,39,24
1530842892,12,35
1530846488,20,21
1530850074,14,10
1530853694,24,18
1530857292,14,10
1530860895,14,38
1530864494,27,22
1530868093,12,14
1530871690,8,27
1530875291,8,25
1530878887,13,22
1530882492,72,12
1530886089,66,66
1530889690,72,55
1530893297,54,27
1530896900,77,22
1530900498,41,21
1530904108,53,41
1530907697,72,41
1530911298,42,35
1530914905,39,36
1530918499,32,20
1530922101,21,31
1530925710,51,34
1530929313,31,37
1530932907,34,34
1530936501,24,19
1530940106,31,23
1530943704,23,19
1530947305,21,21
1530950908,45,40
1530954508,21,29
1530958104,14,25
1530961705,13,20
1530965303,14,39
1530968902,49,16
1530972504,23,65
1530976086,18,42
1530979699,28,20
1530983303,24,13
1530986898,29,18
1530990502,23,13
1530994104,21,47
1530997698,26,13
1531001301,17,22
1531004900,14,27
1531008507,3,20
1531012096,24,29
1531015699,29,20
1531019299,12,39
1531022898,19,18
1531026501,27,14
1531030106,23,18
1531033702,17,14
1531037303,16,23
1531040904,29,39
1531044505,20,20
1531048102,15,26
1531051691,9,31
1531055300,22,22
1531058897,25,14
1531062488,16,27
1531066097,31,22
1531069696,14,26
1531073297,31,12
1531076946,15,13
1531080496,16,24
1531084093,28,36
1531087693,14,14
1531091295,5,43
1531094896,13,24
1531098488,12,25
1531102091,37,10
1531105691,11,18
1531109288,25,40
1531112891,13,21
1531116500,18,13
1531120088,17,16
1531123700,21,12
1531127296,36,43
1531130896,18,23
1531134478,5,41
1531138089,12,16
1531141690,10,27
1531145291,36,13
1531148878,22,26
1531152495,21,40
1531156090,33,34
1531159723,22,52
1531163290,19,41
1531166892,12,27
1531170487,30,69
1531174074,44,39
1531177695,14,40
1531181257,36,53
1531184880,7,32
1531188481,24,36
1531192075,31,34
1531195685,17,64
1531199267,24,43
1531202872,17,34
1531206467,19,28
1531210072,6,22
