DateTime,AddedIPs,RemovedIPs
1529939320,12,6
1529942930,3,21
1529946526,17,26
1529950132,36,16
1529953733,41,28
1529957331,18,13
1529960933,18,19
1529964536,25,12
1529968130,14,14
1529971736,12,34
1529975331,28,9
1529978965,27,7
1529982533,6,9
1529986131,8,14
1529989726,8,37
1529993309,28,21
1529996909,15,23
1530000511,30,14
1530004110,15,19
1530007712,26,13
1530011334,8,14
1530014935,16,27
1530018536,29,49
1530022136,11,29
1530025730,5,23
1530029328,16,38
1530032921,11,51
1530036531,33,40
1530040125,7,33
1530043718,25,47
1530047318,12,55
1530050919,16,28
1530054518,16,57
1530058120,61,23
1530061717,26,33
1530065317,10,15
1530068902,9,13
1530072499,7,7
1530076100,5,25
1530079698,40,34
1530083300,11,15
1530086897,9,25
1530090495,20,17
1530094099,27,35
1530097696,16,15
1530101296,10,4
1530104899,19,12
1530108504,21,10
1530112093,11,42
1530115696,13,17
1530119295,3,31
1530122900,16,21
1530126501,26,30
1530130094,6,39
1530133695,28,20
1530137305,42,35
1530140893,34,17
1530144497,16,13
1530148094,17,17
1530151693,29,8
1530155297,36,24
1530158896,9,27
1530162494,8,17
1530166091,19,28
1530169693,28,23
1530173294,11,26
1530176892,24,11
1530180490,11,24
1530184087,23,38
1530187691,10,16
1530191291,24,15
1530194891,31,10
1530198490,13,22
1530202092,5,35
1530205693,10,14
1530209295,10,30
1530212895,32,20
1530216493,11,33
1530220093,23,10
1530223693,11,17
1530227292,17,38
1530230890,13,12
1530234489,16,9
1530238091,26,6
1530241688,11,55
1530245286,4,33
1530248885,10,17
1530252485,6,37
1530256081,30,27
1530259681,16,29
1530263282,12,6
1530266882,27,13
1530270483,15,32
1530274083,19,11
1530277685,14,8
1530281288,78,13
1530284892,70,13
1530288491,37,45
1530292093,29,13
1530295693,22,32
1530299292,35,28
1530302893,49,33
1530306494,58,37
1530310105,121,21
1530313705,61,27
1530317305,34,14
1530320902,28,12
1530324506,36,13
1530328110,28,3
1530331709,16,23
1530335311,11,24
1530338909,16,17
1530342503,11,23
1530346104,34,24
1530349701,29,19
1530353298,20,13
1530356901,16,15
1530360514,32,19
1530364104,6,18
1530367706,52,14
1530371305,31,9
1530374909,10,23
1530378508,7,34
1530382103,8,15
1530385702,9,55
1530389307,38,12
1530392902,4,24
1530396505,16,9
1530400103,22,13
1530403712,15,31
1530407304,16,12
1530410909,13,12
1530414503,32,8
1530418104,12,12
1530421696,7,31
1530425297,8,12
1530428896,6,21
1530432499,20,15
1530436099,32,24
1530439695,9,9
1530443295,21,19
1530446895,23,37
1530450500,12,7
1530454097,14,10
1530457693,16,7
1530461303,46,9
1530464905,21,35
1530468506,21,7
1530472105,15,27
1530475704,26,11
1530479306,28,18
1530482905,9,16
1530486504,20,18
