DateTime,Entries,UniqueIPs
1529939320,4582,4582
1529942930,4564,4564
1529946526,4555,4555
1529950132,4575,4575
1529953733,4588,4588
1529957331,4593,4593
1529960933,4592,4592
1529964536,4605,4605
1529968130,4605,4605
1529971736,4583,4583
1529975331,4602,4602
1529978965,4622,4622
1529982533,4619,4619
1529986131,4613,4613
1529989726,4584,4584
1529993309,4591,4591
1529996909,4583,4583
1530000511,4599,4599
1530004110,4595,4595
1530007712,4608,4608
1530011334,4602,4602
1530014935,4591,4591
1530018536,4571,4571
1530022136,4553,4553
1530025730,4535,4535
1530029328,4513,4513
1530032921,4473,4473
1530036531,4466,4466
1530040125,4440,4440
1530043718,4418,4418
1530047318,4375,4375
1530050919,4363,4363
1530054518,4322,4322
1530058120,4360,4360
1530061717,4353,4353
1530065317,4348,4348
1530068902,4344,4344
1530072499,4344,4344
1530076100,4324,4324
1530079698,4330,4330
1530083300,4326,4326
1530086897,4310,4310
1530090495,4313,4313
1530094099,4305,4305
1530097696,4306,4306
1530101296,4312,4312
1530104899,4319,4319
1530108504,4330,4330
1530112093,4299,4299
1530115696,4295,4295
1530119295,4267,4267
1530122900,4262,4262
1530126501,4258,4258
1530130094,4225,4225
1530133695,4233,4233
1530137305,4240,4240
1530140893,4257,4257
1530144497,4260,4260
1530148094,4260,4260
1530151693,4281,4281
1530155297,4293,4293
1530158896,4275,4275
1530162494,4266,4266
1530166091,4257,4257
1530169693,4262,4262
1530173294,4247,4247
1530176892,4260,4260
1530180490,4247,4247
1530184087,4232,4232
1530187691,4226,4226
1530191291,4235,4235
1530194891,4256,4256
1530198490,4247,4247
1530202092,4217,4217
1530205693,4213,4213
1530209295,4193,4193
1530212895,4205,4205
1530216493,4183,4183
1530220093,4196,4196
1530223693,4190,4190
1530227292,4169,4169
1530230890,4170,4170
1530234489,4177,4177
1530238091,4197,4197
1530241688,4153,4153
1530245286,4124,4124
1530248885,4117,4117
1530252485,4086,4086
1530256081,4089,4089
1530259681,4076,4076
1530263282,4082,4082
1530266882,4096,4096
1530270483,4079,4079
1530274083,4087,4087
1530277685,4093,4093
1530281288,4158,4158
1530284892,4215,4215
1530288491,4207,4207
1530292093,4223,4223
1530295693,4213,4213
1530299292,4220,4220
1530302893,4236,4236
1530306494,4257,4257
1530310105,4357,4357
1530313705,4391,4391
1530317305,4411,4411
1530320902,4427,4427
1530324506,4450,4450
1530328110,4475,4475
1530331709,4468,4468
1530335311,4455,4455
1530338909,4454,4454
1530342503,4442,4442
1530346104,4452,4452
1530349701,4462,4462
1530353298,4469,4469
1530356901,4470,4470
1530360514,4483,4483
1530364104,4471,4471
1530367706,4509,4509
1530371305,4531,4531
1530374909,4518,4518
1530378508,4491,4491
1530382103,4484,4484
1530385702,4438,4438
1530389307,4464,4464
1530392902,4444,4444
1530396505,4451,4451
1530400103,4460,4460
1530403712,4444,4444
1530407304,4448,4448
1530410909,4449,4449
1530414503,4473,4473
1530418104,4473,4473
1530421696,4449,4449
1530425297,4445,4445
1530428896,4430,4430
1530432499,4435,4435
1530436099,4443,4443
1530439695,4443,4443
1530443295,4445,4445
1530446895,4431,4431
1530450500,4436,4436
1530454097,4440,4440
1530457693,4449,4449
1530461303,4486,4486
1530464905,4472,4472
1530468506,4486,4486
1530472105,4474,4474
1530475704,4489,4489
1530479306,4499,4499
1530482905,4492,4492
1530486504,4494,4494
1530490105,4475,4475
1530493708,4489,4489
1530497310,4476,4476
1530500908,4480,4480
1530504508,4505,4505
1530508099,4495,4495
1530511703,4477,4477
1530515302,4469,4469
1530518907,4451,4451
1530522497,4465,4465
1530526098,4453,4453
1530529699,4462,4462
1530533304,4445,4445
1530536901,4443,4443
1530540502,4439,4439
1530544103,4448,4448
1530547706,4476,4476
1530551305,4490,4490
1530554905,4503,4503
1530558522,4547,4547
1530562113,4570,4570
1530565715,4646,4646
1530569313,4666,4666
1530572915,4706,4706
1530576520,4742,4742
1530580119,4740,4740
1530583718,4744,4744
1530587319,4771,4771
1530590923,4821,4821
1530594524,4835,4835
1530598120,4813,4813
1530601725,4817,4817
1530605321,4794,4794
1530608926,4814,4814
1530612526,4808,4808
1530616122,4835,4835
1530619725,4836,4836
1530623328,4818,4818
1530626926,4816,4816
1530630525,4822,4822
1530634122,4854,4854
1530637723,4851,4851
1530641335,4834,4834
1530644921,4849,4849
1530648522,4839,4839
1530652124,4848,4848
1530655723,4844,4844
1530659322,4849,4849
1530662925,4816,4816
1530666520,4803,4803
1530670120,4801,4801
1530673720,4797,4797
1530677318,4812,4812
1530680924,4840,4840
1530684525,4814,4814
