DateTime,AddedIPs,RemovedIPs
1529435028,1,2
1529438625,2,1
1529442225,0,1
1529445825,2,2
1529449428,3,0
1529453030,4,0
1529460222,3,0
1529467424,1,2
1529471027,1,0
1529478220,1,0
1529485424,2,1
1529492625,0,1
1529499820,1,2
1529503415,1,0
1529510616,2,2
1529514221,2,2
1529517821,2,0
1529525028,2,0
1529528627,1,0
1529532222,0,2
1529535832,0,5
1529539423,1,0
1529543024,1,2
1529546625,1,0
1529550226,0,1
1529553824,1,0
1529557426,2,0
1529561018,1,0
1529564623,0,1
1529575427,2,2
1529579024,1,0
1529582627,2,2
1529586227,1,1
1529589826,1,2
1529593425,1,1
1529597029,1,3
1529600638,1,0
1529607828,1,4
1529611421,2,0
1529615034,1,1
1529618629,1,3
1529622232,1,1
1529633018,1,1
1529636633,1,1
1529640226,0,3
1529643824,1,0
1529647429,1,0
1529654618,4,2
1529661822,0,2
1529665427,0,1
1529669032,0,2
1529676223,0,2
1529679823,1,1
1529683421,1,1
1529687019,0,2
1529690631,2,2
1529694243,1,0
1529697844,2,2
1529701452,1,1
1529705136,1,2
1529708728,1,5
1529712238,0,1
1529719443,0,1
1529723037,0,3
1529730219,1,0
1529733826,1,0
1529741022,1,5
1529748217,1,3
1529751826,3,0
1529755424,1,1
1529759022,1,0
1529762631,3,1
1529766221,0,2
1529769841,1,1
1529773432,3,1
1529777038,1,0
1529780635,3,0
1529784236,3,0
1529787835,1,1
1529795045,1,1
1529798634,0,1
1529802245,1,2
1529809443,0,1
1529813035,0,1
1529816633,2,2
1529820222,0,2
1529823823,0,1
1529827427,0,1
1529831031,0,2
1529834624,1,0
1529838220,1,1
1529849026,0,5
1529852619,1,1
1529856230,2,0
1529859842,0,4
1529863437,1,1
1529867040,2,0
1529870637,1,1
1529874239,2,0
1529877829,2,0
1529881438,2,0
1529885037,1,0
1529892234,0,1
1529895831,1,0
1529903028,0,1
1529910227,1,0
1529913827,1,0
1529917424,0,1
1529921015,1,1
1529924629,1,1
1529931844,0,1
1529935438,2,1
1529939044,4,1
1529942637,1,0
1529949839,0,2
1529953436,1,0
1529957044,1,2
1529960640,0,1
1529964238,1,1
1529967843,1,0
1529978668,0,1
1529982239,0,1
1529989434,0,2
1529993029,0,2
1529996627,1,1
1530003820,4,0
1530007430,0,1
1530011037,0,2
1530018228,1,1
1530021834,3,0
1530025442,1,1
1530029028,3,2
1530032636,5,1
1530036234,2,0
1530039844,2,1
1530043436,1,0
1530047045,1,0
1530050638,0,1
1530054236,0,5
1530057834,2,3
1530061436,1,0
1530072225,0,1
1530075825,0,2
1530079427,0,2
1530083022,0,1
1530086624,1,1
1530097425,2,0
1530104632,1,0
1530108234,3,4
1530111832,1,0
1530115423,0,1
1530119033,3,2
1530122631,2,1
1530126233,2,1
1530129825,2,1
1530133426,2,2
1530137021,5,1
1530140620,1,0
1530144225,1,0
1530151421,1,0
1530158615,0,1
1530165821,1,2
1530169425,0,1
1530173029,0,2
1530176633,0,2
1530180224,0,2
1530183821,1,0
1530187426,1,1
1530194633,0,1
1530198226,1,1
1530201816,0,2
1530205426,5,1
1530209033,1,0
1530212620,1,0
1530216227,3,0
1530219829,0,2
1530223424,1,2
1530227026,1,3
1530230618,1,0
1530234224,0,1
1530237830,1,2
1530248631,0,1
1530255824,1,1
1530259423,0,1
1530263025,3,0
1530270229,0,1
1530273830,2,1
1530277425,2,1
1530284613,0,3
1530288230,0,1
1530291833,1,0
1530295425,2,0
1530302628,10,1
1530306221,0,1
1530309827,0,1
1530313422,1,0
1530317034,1,0
1530320624,1,0
1530324222,1,1
1530327824,1,0
1530335029,0,1
1530342221,0,1
1530353022,1,1
1530356616,1,4
1530360217,0,2
1530367423,4,2
1530371018,3,0
1530374626,2,1
1530378216,0,3
1530381824,4,0
1530385421,0,4
1530389027,0,3
1530396225,1,0
1530399826,1,0
1530407027,1,4
1530414226,0,1
1530421413,0,1
1530425030,1,0
1530435813,1,1
1530439432,1,1
1530443024,1,1
1530450231,1,0
1530457427,1,3
1530461027,1,2
1530464627,2,0
1530471825,0,1
1530475465,3,1
1530479020,1,3
1530482616,2,3
1530486228,4,0
1530489823,0,1
1530493427,1,1
1530497023,1,0
1530500624,5,1
1530504227,1,0
1530507821,2,1
1530511432,2,0
1530515028,1,1
1530518638,2,0
1530522218,2,1
1530525820,1,0
1530529412,2,0
1530536625,1,0
1530540228,0,2
1530543821,0,1
1530547430,2,1
1530551020,2,0
1530554630,1,0
1530558221,2,0
1530565430,2,1
1530569020,2,1
1530572626,2,1
1530576223,2,0
1530579830,3,0
1530583420,0,1
1530587028,1,1
1530590618,1,0
1530594234,1,1
1530597821,0,1
1530601427,0,1
1530608624,0,5
1530612231,0,1
1530615826,0,1
1530619425,1,1
1530623028,1,1
1530626636,0,1
1530633832,0,1
1530637422,1,3
1530641040,1,3
1530644621,2,1
1530655426,2,0
1530659023,2,0
1530662627,0,1
1530666217,4,2
1530673431,1,0
1530691429,0,1
1530695013,3,0
1530698629,1,0
1530702237,10,2
1530705824,3,0
1530713029,5,4
1530716626,2,1
1530720237,0,1
1530723830,0,3
1530727426,0,2
1530731027,0,3
1530734625,2,3
1530738221,3,2
1530741832,1,0
1530745421,0,3
1530756225,1,0
1530759823,2,0
1530763426,0,1
1530770625,0,1
1530774227,2,0
1530785027,0,1
1530788624,1,1
1530792221,0,2
1530795824,2,0
1530799430,2,0
1530803029,0,3
1530806630,7,0
1530810218,3,5
1530817443,2,1
1530821046,1,1
1530824638,0,5
1530831832,2,0
1530835442,0,1
1530839050,2,0
1530842640,1,1
1530846234,1,0
1530849913,2,4
1530857037,1,2
1530860645,1,0
1530864242,1,1
1530867843,0,1
1530878638,2,0
1530885840,0,1
1530889442,11,0
1530893033,7,0
1530896641,8,0
1530900246,6,2
1530903849,3,1
1530907440,0,5
1530911065,0,7
1530921843,0,1
1530929059,1,2
1530939843,0,1
1530947045,0,1
1530954243,1,1
1530965055,1,0
1530968645,1,1
1530979439,0,2
1530986641,2,1
1531001044,0,1
1531004642,1,2
1531011843,0,3
1531029846,1,1
1531033449,1,0
1531037040,1,0
1531040645,0,1
1531044250,1,3
1531047849,1,1
1531051444,0,1
1531055047,1,1
1531058638,2,1
1531065843,0,1
1531069425,3,1
1531073031,2,2
1531076670,0,2
1531080238,2,1
1531083849,1,0
1531087437,1,0
1531091039,0,5
1531094640,0,1
1531101835,0,3
1531105444,0,1
1531109037,2,1
1531112650,0,2
1531116256,1,1
1531119851,4,0
1531123448,2,1
1531127046,2,0
1531130654,2,2
1531134228,1,2
1531137841,1,1
1531141439,1,1
1531148628,0,2
1531152239,0,3
1531155837,2,0
1531159441,0,2
1531163036,0,3
1531166640,0,1
1531170232,3,2
1531173923,2,3
1531177439,1,4
1531181039,0,1
1531184644,0,6
1531191845,0,2
1531195443,1,1
1531199037,1,0
1531202635,1,2
1531206230,1,0
1531209843,1,0
1531213445,1,0
1531220633,1,0
1531227824,1,0
1531231433,5,0
1531238643,2,3
1531242234,0,1
1531245839,0,7
1531249434,1,2
1531253035,1,0
1531256639,4,1
1531260235,1,3
1531263841,0,2
1531267429,2,0
1531271037,2,0
1531274630,1,0
1531278236,1,1
1531281839,1,0
1531292652,1,1
1531296243,0,1
1531299851,1,0
1531303448,0,1
1531307028,1,0
1531310625,2,0
1531314227,1,0
1531317824,2,1
1531321428,1,1
1531325033,10,0
1531328638,1,1
1531332238,0,1
1531335841,1,0
1531339437,1,2
1531343050,1,2
1531346637,0,2
1531350241,1,0
1531353833,3,1
1531357428,5,0
1531361066,1,2
1531364637,0,3
1531371836,1,0
1531379040,0,1
1531382630,0,1
1531393434,0,1
1531397036,3,0
1531400634,1,1
1531404235,6,1
1531407840,2,3
1531411436,0,1
1531415033,0,11
1531422241,2,1
1531425838,0,3
1531429432,1,0
1531433030,2,0
1531436642,3,3
1531440245,2,1
1531443837,1,2
1531447442,1,0
1531451039,1,1
1531454634,0,1
1531461828,0,1
1531465434,0,7
1531469029,0,3
1531472626,0,1
1531476221,2,1
1531479827,0,2
1531483431,1,2
1531490633,0,1
1531494227,1,8
1531497836,2,5
1531501444,1,6
1531505044,0,11
1531508643,4,6
1531515845,1,0
1531530241,1,1
1531533839,1,0
1531537442,0,1
1531541024,1,0
1531551823,1,0
1531559020,0,1
1531566219,3,1
1531573425,1,0
1531580626,1,5
1531584232,1,0
1531587831,1,1
1531591436,1,0
1531595041,1,1
1531598633,0,1
1531602241,1,0
1531605836,0,1
1531609430,0,1
1531613031,0,1
1531616639,1,0
1531623830,2,1
1531634642,2,1
1531638234,1,1
1531641842,0,1
1531645439,1,0
1531649041,2,2
1531652642,1,3
1531659835,0,1
1531663425,1,1
1531670636,1,0
1531674228,0,1
1531677836,0,1
1531685032,11,1
1531688638,0,2
1531692239,1,2
1531695827,0,4
1531699432,1,0
1531706631,2,0
1531713827,1,2
1531717445,0,2
1531721017,0,2
1531724629,1,2
1531728223,1,0
1531731824,1,1
1531735425,0,1
