DateTime,AddedIPs,RemovedIPs
1530021363,69,61
1530025225,55,61
1530027122,84,73
1530030962,82,57
1530034802,107,67
1530038643,83,83
1530040563,0,2
1530042483,90,91
1530046322,67,86
1530048242,82,93
1530052323,68,104
1530056162,99,112
1530060003,55,82
1530063843,88,87
1530067682,85,87
1530069603,157,156
1530071522,206,230
1530075362,91,93
1530077282,7,0
1530079216,93,70
1530081122,77,79
1530084962,84,72
1530086882,67,65
1530092643,76,49
1530094563,49,76
1530096482,120,78
1530100322,76,68
1530104163,63,62
1530108016,67,66
1530109922,68,65
1530111843,69,55
1530117603,84,74
1530121442,88,78
1530125283,106,74
1530127203,77,90
1530131283,58,82
1530135123,81,98
1530138962,59,101
1530142803,96,99
1530146645,49,73
1530150722,85,69
1530154812,69,92
1530156722,91,110
1530160562,110,91
1530162482,160,186
1530164403,90,66
1530166323,75,59
1530172083,79,60
1530175922,73,65
1530179763,56,72
1530181682,65,48
1530185763,76,68
1530189602,60,73
1530193442,78,121
1530199445,111,83
1530201362,93,75
1530205207,92,78
1530209043,98,75
1530210963,95,65
1530214802,78,93
1530219363,71,79
1530223216,63,92
1530225122,82,110
1530228962,110,127
1530233763,70,76
1530236406,82,73
1530241217,86,101
1530245044,70,86
1530246962,68,90
1530250802,88,66
1530254884,82,62
1530258722,73,74
1530262563,78,78
1530264722,71,73
1530268563,73,71
1530272403,77,53
1530276242,65,70
1530280082,90,67
1530282002,61,71
1530286803,81,87
1530288722,87,81
1530290642,153,174
1530294483,122,74
1530297123,31,3804
1530299285,3717,0
1530301203,138,88
1530305043,80,79
1530308882,72,82
1530312722,78,90
1530316562,81,80
1530320414,46,79
1530324243,70,82
1530326162,76,79
1530330003,71,100
1530331923,78,76
1530337682,85,58
1530339602,67,60
1530341523,60,67
1530343442,67,60
1530345363,63,73
1530349216,72,53
1530353044,77,72
1530354962,70,57
1530359042,76,65
1530360962,87,60
1530366722,84,69
1530374414,98,124
1530376322,87,68
1530380162,78,83
1530384004,79,75
1530387842,88,90
1530391682,76,75
1530395522,64,89
1530401043,69,99
1530403216,144,89
1530407043,64,80
1530408963,113,71
1530413042,71,103
1530416882,91,111
1530418802,84,90
1530422643,104,75
1530430563,76,43
1530432482,76,62
1530434403,82,63
1530438482,82,68
1530442322,74,69
1530446163,84,69
1530450015,65,65
1530452404,79,88
1530456243,88,75
1530460564,74,72
1530464643,81,61
1530466563,71,74
1530468482,83,71
1530474482,83,63
1530478323,80,68
1530482163,55,84
1530487922,137,174
1530489842,39,68
1530495602,80,73
1530499442,83,66
1530503282,90,118
1530507844,74,82
1530509765,95,79
1530513603,76,67
1530517443,77,70
1530521283,68,61
1530525122,70,55
1530529213,69,52
1530531122,67,68
1530535203,77,112
1530539043,101,71
1530542882,69,71
1530546722,92,67
1530550563,62,66
1530554410,97,80
1530556322,91,123
1530560163,111,88
1530562082,80,93
1530568562,83,95
1530572417,62,105
1530576242,93,95
1530578162,57,74
1530582002,75,78
1530583924,75,81
1530587763,84,98
1530593522,81,89
1530597363,85,68
1530601208,68,60
1530603123,73,69
1530606963,70,62
1530610804,63,63
1530614883,67,71
1530618722,70,86
1530622563,115,62
1530624722,71,71
1530628563,72,72
1530632402,80,64
1530636724,102,65
1530642722,179,269
1530644642,314,193
1530647283,81,60
1530651122,75,85
1530653524,74,94
1530657362,60,122
1530661443,103,117
1530663362,58,62
1530667202,85,68
1530673214,70,100
1530678962,152,189
1530683044,84,64
1530684963,149,121
1530686882,61,57
1530690722,72,75
1530694813,65,63
1530696722,67,73
1530700563,73,51
1530704643,72,59
1530708724,67,68
1530712813,69,60
1530714723,73,68
1530717363,68,73
1530719282,114,117
1530723125,91,70
1530725042,93,84
1530729122,72,76
1530732962,70,70
1530737043,83,76
1530740882,79,97
1530744722,71,94
1530748562,94,110
1530752414,50,88
1530754323,79,72
1530758403,78,77
1530762242,86,120
1530766323,77,75
1530768243,89,70
1530772322,84,66
1530776162,80,66
1530780003,83,64
1530783842,55,48
1530787922,79,72
1530792016,70,65
1530793922,68,60
1530798002,64,58
1530801845,53,55
1530805682,75,85
1530809522,80,65
1530813362,74,65
1530817214,83,71
1530819123,96,81
1530825844,122,165
1530831617,62,101
1530833763,75,109
1530837602,71,72
1530841443,75,55
1530845283,71,91
1530849123,74,107
1530851043,81,83
1530856815,99,69
1530858723,84,65
1530864483,70,54
1530866402,56,71
1530870243,64,60
1530874563,79,62
1530878415,75,46
1530880323,58,69
1530885123,64,60
1530889216,65,60
1530891123,60,62
1530893285,68,62
1530899042,79,71
1530902887,71,78
1530906723,66,79
1530908643,64,67
1530910563,124,108
1530912482,108,124
1530914418,66,90
1530918243,61,75
1530920163,103,91
1530922083,45,71
1530925923,79,73
1530931682,128,108
1530933602,147,190
1530935763,91,90
1530939614,63,82
1530941524,71,59
1530943443,72,54
1530949202,71,54
1530951123,1,3
1530953042,70,69
1530956883,70,50
1530960963,66,43
1530964814,59,61
1530966724,62,54
1530970563,67,71
1530974402,69,64
1530978723,78,67
1530980642,71,83
1530986415,73,77
1530988324,83,67
1530992163,71,81
1530994083,53,59
1530996002,59,53
1530997923,53,59
1530999843,62,77
1531003682,63,88
1531007762,91,67
1531011611,45,104
1531015443,78,88
1531019282,83,88
1531021202,93,130
1531025283,100,85
1531029122,88,59
1531032963,61,58
1531036815,74,53
1531038724,60,57
1531042562,72,56
1531046644,76,40
1531048563,40,76
1531050482,110,84
1531054322,68,71
1531058163,68,56
1531060564,61,64
1531064642,67,73
1531068722,85,68
1531072839,80,59
1531074726,73,66
1531078802,64,75
1531082643,79,84
1531086482,62,96
1531090562,52,103
1531094414,80,98
1531098243,56,64
1531100403,78,79
1531106403,79,77
1531110483,80,105
1531112412,81,72
1531114324,94,80
1531116242,65,58
1531120082,67,60
1531125842,80,53
1531129683,73,56
1531133522,60,64
1531137362,62,68
1531139524,59,61
1531143362,65,51
1531147202,81,64
1531151043,66,63
1531154882,95,71
1531158722,84,78
1531160643,108,75
1531166422,67,78
1531170243,70,93
1531172162,73,95
1531176003,64,108
1531180082,82,97
1531185842,104,118
1531191612,68,86
1531193523,79,98
1531199523,90,65
1531201443,91,78
1531205282,51,57
1531209123,57,64
1531212964,78,63
1531214883,58,54
1531218726,68,55
1531222562,65,49
1531228563,64,56
1531230482,70,57
1531234322,61,63
1531238164,68,52
1531242024,76,69
1531243923,78,79
1531247762,96,79
1531252567,73,74
1531256407,48,73
1531258323,85,85
1531262162,58,110
1531266003,106,89
1531269842,43,85
1531273682,79,61
1531275603,61,79
1531277522,139,125
1531279442,0,5
1531281362,96,115
1531285683,77,87
1531287603,73,74
1531291442,69,53
1531295282,67,54
1531299122,58,65
1531302964,62,46
1531306814,54,44
1531308723,59,53
1531312562,67,54
1531316403,77,62
1531320242,72,57
1531324083,63,73
1531326242,89,75
1531328162,75,89
1531330083,89,75
1531332012,101,76
1531333925,74,76
1531337793,70,81
1531341607,70,74
1531345443,57,76
1531349522,69,108
1531355282,92,91
1531357210,50,80
1531361042,71,65
1531362962,77,79
1531366803,85,106
1531372563,67,86
1531374482,97,80
1531376402,83,54
1531382162,66,58
1531386007,67,61
1531387923,61,53
1531389843,54,54
1531395603,65,51
1531401362,64,48
1531403282,55,54
1531407122,74,70
1531410963,46,64
1531414808,86,65
1531416722,95,81
1531418641,80,65
1531424645,68,76
1531426562,62,74
1531432324,60,79
1531434722,57,84
1531438562,91,83
1531442403,44,75
1531448165,75,72
1531452243,86,108
1531454163,96,102
1531458007,79,88
1531460163,99,65
1531462082,63,62
1531467845,76,62
1531471682,77,66
1531473604,69,51
1531479363,76,56
1531483214,71,69
1531485135,54,60
1531488962,81,62
1531493285,72,81
1531499043,73,63
1531501209,83,78
1531503123,68,81
1531506962,77,84
1531508883,66,73
1531511045,73,66
1531512962,66,73
1531514883,58,81
1531518722,63,69
1531522814,56,94
1531524722,103,77
1531528565,51,65
1531532884,66,72
1531536722,80,90
1531540562,86,94
1531544411,67,90
1531546323,79,56
1531548242,54,43
1531554002,62,42
1531557845,62,57
1531561923,83,54
1531566044,63,63
1531567923,64,55
1531572004,62,70
1531577762,75,77
1531579685,76,71
1531585923,108,113
1531590005,78,60
1531593842,80,85
1531597682,68,74
1531599602,60,79
1531605363,64,82
1531611123,136,136
1531613042,50,75
1531614963,133,132
1531617122,132,133
1531619282,65,82
1531623363,67,76
1531625283,76,67
1531627443,140,149
1531629363,62,87
1531633685,83,57
1531637764,71,50
1531641644,57,47
1531643523,48,2160
1531645442,2134,0
1531649282,111,86
1531657684,72,76
1531659612,67,64
1531661522,63,83
1531665362,71,77
1531669202,105,60
1531673523,60,105
1531675683,149,109
1531677843,54,58
1531679762,86,82
1531682229,86,74
1531688422,77,83
1531690802,69,85
1531692963,64,99
1531698962,87,88
1531702812,46,73
1531704722,73,46
1531706643,141,198
1531708562,99,75
1531710483,75,99
1531712402,84,85
1531716242,83,84
1531718164,79,64
1531726082,68,58
1531728013,69,63
1531730162,66,62
1531734002,71,50
