DateTime,Entries,UniqueIPs
1530021363,6170,6170
1530025225,6164,6164
1530027122,6175,6175
1530030962,6200,6200
1530034802,6240,6240
1530038643,6240,6240
1530040563,6238,6238
1530042483,6237,6237
1530046322,6218,6218
1530048242,6207,6207
1530052323,6171,6171
1530056162,6158,6158
1530060003,6131,6131
1530063843,6132,6132
1530067682,6130,6130
1530069603,6131,6131
1530071522,6107,6107
1530075362,6105,6105
1530077282,6112,6112
1530079216,6135,6135
1530081122,6133,6133
1530084962,6145,6145
1530086882,6147,6147
1530092643,6174,6174
1530094563,6147,6147
1530096482,6189,6189
1530100322,6197,6197
1530104163,6198,6198
1530108016,6199,6199
1530109922,6202,6202
1530111843,6216,6216
1530117603,6226,6226
1530121442,6236,6236
1530125283,6268,6268
1530127203,6255,6255
1530131283,6231,6231
1530135123,6214,6214
1530138962,6172,6172
1530142803,6169,6169
1530146645,6145,6145
1530150722,6161,6161
1530154812,6138,6138
1530156722,6119,6119
1530160562,6138,6138
1530162482,6112,6112
1530164403,6136,6136
1530166323,6152,6152
1530172083,6171,6171
1530175922,6179,6179
1530179763,6163,6163
1530181682,6180,6180
1530185763,6188,6188
1530189602,6175,6175
1530193442,6132,6132
1530199445,6160,6160
1530201362,6178,6178
1530205207,6192,6192
1530209043,6215,6215
1530210963,6245,6245
1530214802,6230,6230
1530219363,6222,6222
1530223216,6193,6193
1530225122,6165,6165
1530228962,6148,6148
1530233763,6142,6142
1530236406,6151,6151
1530241217,6136,6136
1530245044,6120,6120
1530246962,6098,6098
1530250802,6120,6120
1530254884,6140,6140
1530258722,6139,6139
1530262563,6139,6139
1530264722,6137,6137
1530268563,6139,6139
1530272403,6163,6163
1530276242,6158,6158
1530280082,6181,6181
1530282002,6171,6171
1530286803,6165,6165
1530288722,6171,6171
1530290642,6150,6150
1530294483,6198,6198
1530297123,2425,2425
1530299285,6142,6142
1530301203,6192,6192
1530305043,6193,6193
1530308882,6183,6183
1530312722,6171,6171
1530316562,6172,6172
1530320414,6139,6139
1530324243,6127,6127
1530326162,6124,6124
1530330003,6095,6095
1530331923,6097,6097
1530337682,6124,6124
1530339602,6131,6131
1530341523,6124,6124
1530343442,6131,6131
1530345363,6121,6121
1530349216,6140,6140
1530353044,6145,6145
1530354962,6158,6158
1530359042,6169,6169
1530360962,6196,6196
1530366722,6211,6211
1530374414,6185,6185
1530376322,6204,6204
1530380162,6199,6199
1530384004,6203,6203
1530387842,6201,6201
1530391682,6202,6202
1530395522,6177,6177
1530401043,6147,6147
1530403216,6202,6202
1530407043,6186,6186
1530408963,6228,6228
1530413042,6196,6196
1530416882,6176,6176
1530418802,6170,6170
1530422643,6199,6199
1530430563,6232,6232
1530432482,6246,6246
1530434403,6265,6265
1530438482,6279,6279
1530442322,6284,6284
1530446163,6299,6299
1530450015,6299,6299
1530452404,6290,6290
1530456243,6303,6303
1530460564,6305,6305
1530464643,6325,6325
1530466563,6322,6322
1530468482,6334,6334
1530474482,6354,6354
1530478323,6366,6366
1530482163,6337,6337
1530487922,6300,6300
1530489842,6271,6271
1530495602,6278,6278
1530499442,6295,6295
1530503282,6267,6267
1530507844,6259,6259
1530509765,6275,6275
1530513603,6284,6284
1530517443,6291,6291
1530521283,6298,6298
1530525122,6313,6313
1530529213,6330,6330
1530531122,6329,6329
1530535203,6294,6294
1530539043,6324,6324
1530542882,6322,6322
1530546722,6347,6347
1530550563,6343,6343
1530554410,6360,6360
1530556322,6328,6328
1530560163,6351,6351
1530562082,6338,6338
1530568562,6326,6326
1530572417,6283,6283
1530576242,6281,6281
