DateTime,AddedIPs,RemovedIPs
1531389622,2,0
1531390825,10,0
1531392621,11,0
1531393222,3,0
1531393521,11,0
1531394124,2,0
1531395022,1,0
1531395622,1,0
1531395925,12,0
1531396523,5,0
1531396824,1,0
1531398025,2,0
1531399822,1,0
1531400422,1,0
1531400722,1,0
1531401624,1,0
1531402525,2,0
1531402826,1,0
1531403123,2,0
1531403424,1,0
1531404024,1,0
1531404627,1,0
1531405224,5,0
1531406126,13,0
1531407029,15,0
1531407631,4,0
1531407927,1,0
1531408525,3,0
1531410024,1,0
1531410324,2,0
1531410925,2,0
1531412724,2,0
1531413327,5,0
1531413628,23,0
1531413922,11,0
1531414226,1,0
1531414525,2,0
1531416925,2,0
1531418129,6,0
1531418727,1,0
1531419029,1,0
1531419625,6,0
1531420225,4,0
1531420524,2,0
1531421425,1,0
1531422028,3,0
1531422928,5,0
1531423529,7,0
1531424126,18,0
1531424725,25,0
1531425331,4,0
1531425927,5,0
1531426525,2,0
1531427426,4,0
1531427725,12,0
1531429525,29,0
1531429831,70,0
1531430125,45,0
1531430425,1,0
1531432231,3,0
1531434328,2,0
1531434922,1,0
1531435229,2,0
1531437026,1,0
1531437325,3,0
1531437627,1,0
1531438223,1,0
1531438828,3,0
1531439424,4,0
1531440028,3,0
1531440327,1,0
1531440931,1,0
1531441532,1,0
1531441827,1,0
1531442126,1,0
1531442728,1,0
1531443325,1,0
1531443930,6,0
1531444227,6,0
1531445726,3,0
1531446025,1,0
1531446629,3,0
1531446927,2,0
1531447226,1,0
1531447527,2,0
1531447825,1,0
1531449327,8,0
1531449631,1,0
1531450223,1,0
1531452929,2,0
1531453230,1,0
1531453527,2,0
1531454125,17,0
1531454731,6,0
1531455031,12,0
1531455928,4,0
1531456525,2,0
1531458022,1,0
1531458321,2,0
1531458921,1,0
1531460120,3,0
1531461021,9,0
1531461624,2,0
1531461921,5,0
1531462521,2,0
1531462822,4,0
1531464022,2,0
1531467623,2,0
1531468223,3,0
1531469124,1,0
1531470021,2,0
1531470623,4,0
1531471222,7,0
1531471524,1,0
1531472124,2,0
1531472723,46,0
1531473028,13,0
1531473627,24,0
1531474227,4,0
1531475427,1,0
1531476925,1,0
1531477223,1,0
1531477827,2,0
1531478724,1,0
1531481425,1,0
1531481723,3,0
1531482924,3,0
1531483223,4,0
1531484123,5,0
1531484425,1,0
1531485022,12,0
1531485630,13,0
1531486222,5,0
1531486828,1,0
1531487426,2,0
1531488030,2,0
1531488324,4,0
1531488926,3,0
1531489231,1,0
1531490123,2,0
1531491025,8,0
1531491927,4,0
1531492824,12,0
1531493123,2,0
1531494323,1,0
1531494928,1,0
1531495225,4,0
1531496127,7,0
1531496721,15,0
1531497321,3,0
1531497624,7,0
1531497927,3,0
1531498822,1,0
1531499428,4,0
1531500327,1,0
1531501223,5,0
1531501525,2,0
1531502125,2,0
1531502421,8,0
1531503628,9,0
1531504824,1,0
1531505126,5,0
1531505427,14,0
1531506022,3,0
1531506628,4,0
1531506928,3,0
1531508124,5,0
1531510527,2,0
1531510827,1,0
1531511427,3,0
1531514127,13,0
1531514428,8,0
1531515327,3,0
1531515627,9,0
1531517126,3,0
1531517727,11,0
1531518030,1,0
1531518627,2,0
1531520726,7,0
1531521324,11,0
1531521629,1,0
1531521924,2,0
1531522226,1,0
1531522822,4,0
1531523121,2,0
1531524025,7,0
1531524621,1,0
1531525223,5,0
1531525521,1,0
1531526123,24,0
1531527624,4,0
1531528222,5,0
1531528525,8,0
1531528825,2,0
1531529424,2,0
1531530923,3,0
1531531823,14,0
1531532423,8,0
1531533323,5,0
1531534225,1,0
1531535122,1,0
1531535724,10,0
1531536330,7,0
1531537230,1,0
1531537529,9,0
1531538127,8,0
1531538726,73,0
1531539025,182,0
1531539624,90,0
1531539924,1,0
1531540523,2,0
1531541124,1,0
1531541722,1,0
1531542924,8,0
1531546223,4,0
1531546821,1,0
1531547724,4,0
1531548624,18,0
1531549224,16,0
1531549526,4,0
1531550122,97,0
1531550722,22,0
1531551022,1,0
1531553123,16,0
1531553427,2,0
1531554024,6,0
1531555522,5,0
1531555823,38,0
1531556425,5,0
1531556723,9,0
1531557323,26,0
1531557623,13,0
1531558223,23,0
1531559124,15,0
1531559421,4,0
1531560025,3,0
1531560323,2,0
1531560926,2,0
1531561222,1,0
1531561823,4,0
1531563624,2,0
1531564521,3,0
1531564824,2,0
1531566321,7,0
1531566921,13,0
1531567521,14,0
1531567822,8,0
1531568422,5,0
1531569022,20,0
1531569623,3,0
1531570521,2,0
1531571121,1,0
1531572021,4,0
1531572921,6,0
1531574723,5,0
1531575325,2,0
1531576230,18,0
1531577126,14,0
1531577727,24,0
1531579225,2,0
1531580123,3,0
1531581024,1,0
1531581323,2,0
1531582223,28,0
1531582822,10,0
1531583727,1,0
1531584328,2,0
1531585824,7,0
1531586429,5,0
1531587028,14,0
1531587627,2,0
1531588524,7,0
1531589122,20,0
1531589422,3,0
1531590028,26,0
1531590627,2,0
1531590925,1,0
1531591225,1,0
1531591828,5,0
1531592430,2,0
1531593327,7,0
1531593925,1,0
1531594227,5,0
1531594824,8,0
1531596325,1,0
1531596623,23,0
1531597226,5,0
1531597526,17,0
1531598126,17,0
1531598422,4,0
1531599024,26,0
1531599322,31,0
1531600227,3,0
1531600523,12,0
1531601423,5,0
1531602323,24,0
1531603225,39,0
1531603825,3,0
1531604425,4,0
1531605326,1,0
1531605921,8,0
1531606825,2,0
1531607722,2,0
1531608324,45,0
1531608624,10,0
1531609221,56,0
1531609522,4,0
1531610422,15,0
1531611022,18,0
1531611621,14,0
1531612221,7,0
1531612521,1,0
1531612823,2,0
1531613423,5,0
1531614025,22,0
1531614328,6,0
1531614923,3,0
1531615522,2,0
1531616121,4,0
1531617022,3,0
1531617628,1,0
1531618225,2,0
1531618823,30,0
1531619122,20,0
1531619726,3,0
1531620330,2,0
1531620927,3,0
1531621827,3,0
1531622424,22,0
1531622726,29,0
1531623324,7,0
1531624829,1,0
1531625726,10,0
1531626324,3,0
1531626923,7,0
1531627524,17,0
1531628425,22,0
1531629322,15,0
1531629622,7,0
1531630522,1,0
1531630824,1,0
1531632025,1,1
1531632623,1,0
1531633223,18,0
1531634425,4,0
1531635624,7,0
1531636525,9,0
1531636823,1,0
1531637722,6,0
1531638023,1,0
1531638921,68,0
1531639222,7,0
1531639523,5,0
1531640122,14,0
1531640722,1,0
1531641025,1,0
1531641623,1,0
1531642521,2,0
1531643423,7,0
1531643727,12,0
1531644029,4,0
1531644623,24,0
1531644923,18,0
1531645822,3,0
1531646422,38,0
1531646727,1,0
1531647325,7,0
1531648523,20,0
1531648825,2,0
1531649721,1,0
1531650625,2,0
1531651229,3,0
1531652125,2,0
1531653026,1,0
1531654224,1,0
1531654822,4,0
1531655424,7,0
1531656630,1,0
1531657229,1,0
1531658129,3,0
1531658727,1,0
1531659026,1,0
1531659633,5,0
1531660225,1,0
1531660823,4,0
1531661425,1,0
1531662031,16,0
1531662926,18,0
1531663525,16,0
1531664426,29,0
1531664724,8,0
1531665325,4,0
1531665927,1,0
1531666824,24,0
1531667724,36,0
1531668022,2,0
1531668623,14,0
1531669223,2,0
1531669825,1,0
1531670725,4,0
1531671923,9,0
1531672526,6,0
1531672829,1,0
1531673430,35,0
1531674328,19,0
1531675229,13,0
1531675529,2,0
1531677329,16,0
1531677925,1,0
1531678228,1,0
1531678828,2,0
1531679426,1,0
1531679725,1,0
1531680623,1,0
1531681521,4,0
1531682130,3,0
1531682726,4,0
1531683324,4,0
1531683926,12,0
1531684232,2,0
1531685423,11,0
1531685727,7,0
1531686622,10,0
1531686926,8,0
1531687226,2,0
1531687830,3,0
1531689325,3,0
1531690229,10,0
1531690825,5,0
1531691725,1,0
1531692323,1,0
1531693527,2,0
1531693827,5,0
1531694123,5,0
1531694721,16,0
1531695025,37,0
1531695624,5,0
1531695922,2,0
1531696521,2,0
1531697422,3,3
1531698024,1,1
1531698625,6,0
1531699524,9,0
1531700424,7,0
1531700728,2,0
1531701324,7,0
1531701623,2,0
1531702823,1,0
1531703721,35,0
1531704328,8,0
1531704629,3,0
1531705227,5,0
1531705523,14,0
1531706126,24,0
1531707023,10,0
1531707625,3,0
1531708526,7,0
1531709123,3,0
1531709428,8,0
1531710023,1,0
1531710922,18,0
1531711523,7,0
1531711822,10,0
1531712422,18,0
1531712722,5,0
1531713320,1,0
1531714222,1,0
1531715122,8,0
1531715724,2,0
1531716323,22,0
1531718121,1,0
1531718724,9,0
1531719023,3,0
1531719623,8,0
1531719924,10,0
1531720521,1,0
1531720822,4,0
