DateTime,AddedIPs,RemovedIPs
1531418894,2,0
1531419388,17,2
1531419860,1,18
1531420334,19,17
1531420834,2,14
1531421298,17,11
1531421769,4,0
1531422286,166,10
1531422744,5,12
1531423207,26,11
1531423707,2,16
1531424202,29,12
1531424718,4,17
1531425156,12,9
1531425849,4,13
1531426115,30,12
1531426827,2,14
1531427050,20,8
1531428015,19,16
1531429003,31,15
1531429937,21,7
1531430912,14,10
1531431903,20,14
1531432821,23,22
1531434782,40,36
1531435703,34,13
1531436179,29,3
1531436665,35,30
1531437611,40,21
1531438593,36,37
1531439569,31,33
1531440020,60,50
1531440507,14,33
1531441456,55,30
1531442454,35,20
1531443380,54,26
1531444342,44,39
1531445290,22,16
1531446007,40,18
1531446271,15,18
1531446982,38,12
1531447465,14,16
1531447932,36,9
1531448427,10,10
1531448888,24,16
1531449377,17,14
1531449869,26,14
1531450356,14,6
1531450841,27,8
1531451305,11,22
1531451773,21,8
1531452283,7,3
1531452747,31,11
1531453210,11,9
1531453702,26,6
1531454187,6,19
1531454725,28,13
1531455149,50,59
1531455629,20,10
1531456094,5,7
1531456577,28,7
1531457079,8,9
1531457547,22,0
1531458040,4,6
1531458513,25,19
1531459004,5,4
1531459480,20,8
1531460209,12,7
1531460678,30,13
1531461155,3,3
1531461623,15,18
1531462111,6,7
1531462601,27,4
1531463053,13,0
1531463571,37,15
1531464025,7,11
1531464493,26,19
1531464986,8,14
1531465463,14,14
1531465942,1,3
1531466425,38,15
1531466891,8,6
1531467398,15,17
1531467877,3,7
1531468355,36,7
1531468865,8,7
1531469300,28,5
1531469806,12,5
1531470254,27,13
1531470759,5,5
1531471226,74,37
1531471702,9,8
1531472186,25,22
1531472721,14,9
1531473170,31,20
1531473626,5,4
1531474102,39,14
1531474588,8,5
1531475110,22,13
1531475563,6,17
1531476047,25,11
1531476525,2,8
1531476979,40,18
1531477481,13,4
1531477940,28,13
1531478433,11,2
1531478897,35,9
1531479380,12,6
1531479876,26,12
1531480426,8,9
1531480820,32,6
1531481537,11,7
1531481802,29,8
1531482490,6,2
1531482733,26,8
1531483727,27,18
1531484669,780,1498
1531485624,26,14
1531486580,19,26
1531487617,35,17
1531488742,33,19
1531489714,21,16
1531490664,29,21
1531491643,21,26
1531492843,23,10
1531493790,19,15
1531494747,21,13
1531495755,43,22
1531496682,27,23
1531497638,23,22
1531498599,33,16
1531499666,40,14
1531500773,45,29
1531501716,29,17
1531502672,26,0
1531503618,97,16
1531504619,92,26
1531505568,65,13
1531506518,91,30
1531507511,57,22
1531508413,47,16
1531509384,95,59
1531511113,98,0
1531512021,87,23
1531512988,82,18
1531513963,65,27
1531514913,90,19
1531515904,53,16
1531516814,54,18
1531517790,44,26
1531518737,34,17
1531519695,37,28
1531520976,43,48
1531521376,26,5
1531521857,5,0
1531522089,30,21
1531522852,8,33
1531523365,20,0
1531523791,12,0
1531524763,63,32
1531525214,46,55
1531525694,45,29
1531526690,43,58
1531527631,54,29
1531528639,50,51
1531529550,46,32
1531531021,60,66
1531531956,48,63
1531532930,42,38
1531533870,36,30
1531534824,30,16
1531535822,37,25
1531536767,42,31
1531537699,35,28
1531538680,43,34
1531539681,30,19
1531540603,32,41
1531541540,96,67
1531542559,35,37
1531543480,39,33
1531544445,25,23
1531545380,17,0
1531546345,37,67
1531547301,20,33
1531548278,31,21
1531549216,35,36
1531550232,36,32
1531551152,13,14
1531551648,38,18
1531552118,9,11
1531552578,32,17
1531553072,6,8
1531553539,32,20
1531554047,2,25
1531554500,21,36
1531554992,3,11
1531555461,27,34
1531555973,46,38
1531556421,34,16
1531556911,5,18
1531557384,37,29
1531557884,9,17
1531558364,31,19
1531558843,7,4
1531559591,18,29
1531560030,8,17
1531560511,20,19
1531560980,6,15
1531561487,27,20
1531561970,5,21
1531562446,26,22
1531563165,5,9
1531563619,31,47
1531564118,9,14
1531564597,25,20
1531565075,10,10
1531565537,34,23
1531566080,11,16
1531566500,24,15
1531567010,6,9
1531567537,19,32
1531567965,9,16
1531568666,23,14
1531569147,2,12
1531569666,17,14
1531570111,5,21
1531570600,858,931
1531571072,2,9
1531571557,17,24
1531572027,4,12
1531572492,38,20
1531573010,4,14
1531573489,26,35
1531573960,4,11
1531574449,19,20
1531574925,13,17
1531575399,19,39
1531575885,2,12
1531576394,20,26
1531576837,2,15
1531577307,16,5
1531577805,3,12
1531578252,20,12
1531578759,6,12
1531579275,17,7
