DateTime,AddedIPs,RemovedIPs
1531405322,9,0
1531406522,7,0
1531407122,69,0
1531407747,6,0
1531408321,7,0
1531408923,3,0
1531409522,2,0
1531410003,0,65
1531410122,1,0
1531410963,45,0
1531411407,2,0
1531412522,4,0
1531413181,4,0
1531413722,2,0
1531414322,1,0
1531414808,72,8
1531415008,5,2
1531416003,0,100
1531416122,2,0
1531416722,94,0
1531417322,3,0
1531418641,67,18
1531419122,0,2
1531419843,18,69
1531420922,2,0
1531422122,5,0
1531423322,8,0
1531423683,0,62
1531423981,7,0
1531424645,66,0
1531425722,11,0
1531425807,0,1
1531426562,56,6
1531427522,7,64
1531428121,3,0
1531429347,0,2
1531430522,3,0
1531431362,0,63
1531431721,5,0
1531432324,57,0
1531434723,47,70
1531435322,2,0
1531436609,2,1
1531437122,1,0
1531437722,6,1
1531438322,2,0
1531438563,74,67
1531438922,5,0
1531440208,3,0
1531440722,6,0
1531441322,1,1
1531442404,36,75
1531442522,4,0
1531443809,2,1
1531444323,0,70
1531444922,3,0
1531445581,1,0
1531446122,2,0
1531446722,1,0
1531447408,13,0
1531448165,66,68
1531448522,6,0
1531449121,10,0
1531449722,8,0
1531450322,3,0
1531451008,10,0
1531452244,82,102
1531452722,1,0
1531453322,14,0
1531454163,102,0
1531454609,7,2
1531455122,2,0
1531455722,3,0
1531456083,0,97
1531456922,5,0
1531457522,1,0
1531458007,72,0
1531458148,3,0
1531458722,2,0
1531459322,6,0
1531460163,88,4
1531460522,1,0
1531461722,3,0
1531462083,52,128
1531462922,6,0
1531463522,1,0
1531465348,1,0
1531465922,1,0
1531466521,4,0
1531467846,68,108
1531468948,0,2
1531469522,1,0
1531470122,6,0
1531471323,26,0
1531471682,75,0
1531472608,12,1
1531473604,56,8
1531473722,13,0
1531474922,3,0
1531475523,4,92
1531476148,1,2
1531476722,2,0
1531477322,4,0
1531477922,1,0
1531478522,5,0
1531479363,74,0
1531479810,3,2
1531480922,4,0
1531482122,5,0
1531483222,60,109
1531483348,18,1
1531483922,10,0
1531484521,2,0
1531485135,56,0
1531485722,4,0
1531486948,7,2
1531488122,4,0
1531488962,68,18
1531489322,6,0
1531489922,3,0
1531490548,2,3
1531491124,3,89
1531491721,4,0
1531492322,2,0
1531493285,72,0
1531494148,7,1
1531494722,3,0
1531495322,7,0
1531495981,2,0
1531497123,62,63
1531497809,2,3
1531498322,3,0
1531499043,0,61
1531500122,5,0
1531501209,80,0
1531501408,9,0
1531501922,2,0
1531502522,2,0
1531503124,56,133
1531503722,4,0
1531504949,6,1
1531506122,2,0
1531506721,9,0
1531506962,72,0
1531507322,2,0
1531507921,15,0
1531508883,61,17
1531509121,3,0
1531509721,1,0
1531511046,17,69
1531512148,0,1
1531512962,0,70
1531513322,2,0
1531514521,11,0
1531514883,53,0
1531515123,1,0
1531515809,4,1
1531516922,7,0
1531517582,2,0
1531518121,2,0
1531518722,54,16
1531519323,5,0
1531519409,0,3
1531520883,8,118
1531521181,5,0
