DateTime,AddedIPs,RemovedIPs
1530850839,7,1
1530855105,609,619
1530856916,19,63
1530858040,4,0
1530860518,2,3
1530862310,2,0
1530864119,3,19
1530865250,7,0
1530865836,520,559
1530868611,1,0
1530870407,2,1
1530871200,7,6
1530872442,3,2
1530876606,475,536
1530878437,4,6
1530879790,5,0
1530881207,5,1
1530884144,28,4
1530885037,229,245
1530886200,4,1
1530886846,4,0
1530887221,555,663
1530888637,1,0
1530889694,36,39
1530892241,3,6
1530893732,4,6
1530894037,6,0
1530898021,426,512
1530899559,3,2
1530900600,5,6
1530902724,2,8
1530906429,0,255
1530908519,5,0
1530909005,482,579
1530913513,2,3
1530915644,2,0
1530919904,346,466
1530922841,1,0
1530923409,799,59
1530924404,7,0
1530928238,0,24
1530930036,3,0
1530930604,1274,728
1530935771,3,2
1530937241,4,1
1530937804,136,866
1530939048,1,0
1530940835,1,0
1530941437,632,669
1530943250,0,251
1530944446,0,1
1530945107,22,65
1530946548,4,5
1530951638,1,0
1530952200,522,588
1530954339,1,0
1530957938,5,4
1530958840,3,0
1530959404,7,12
1530959744,1,0
1530962821,440,507
1530966604,6,6
1530968450,1,4
1530968746,18,0
1530969422,0,7
1530971204,195,195
1530971436,0,49
1530973239,2,0
1530973835,424,526
1530978008,52,44
1530978407,3,2
1530980443,4,0
1530981004,1,2
1530984421,480,540
1530984944,1,0
1530987385,255,0
1530987639,4,0
1530988210,2,3
1530988767,3,1
1530994851,7,1
1530995400,448,538
1530996642,2,0
1530999654,2,3
1531002046,2,0
1531002606,258,2
1531006021,369,429
1531009240,2,0
1531009905,802,65
1531010024,1,1
1531011036,1,0
1531014643,0,14
1531015540,1,0
1531016438,1,0
1531017000,1398,1600
1531019143,1,0
1531020637,1,1
1531023650,5,0
1531024205,86,262
1531028149,646,727
1531029043,1,0
1531030878,5,1
1531031410,28,70
1531038055,3,0
1531038606,497,630
1531040752,1,0
1531041643,3,1
1531044362,1,0
1531045251,6,0
1531045908,2,12
1531049221,444,562
1531051671,1,0
1531052127,255,0
1531052634,9,5
1531053006,7,6
1531056048,5,0
1531056634,1,13
1531057530,209,164
1531058508,0,32
1531060021,474,557
1531060200,2,3
1531063821,2,6
1531066410,31,35
1531066851,3,0
1531067408,2,2
1531070821,441,540
1531073735,4,5
1531074047,5,0
1531074600,1,15
1531081252,2,0
1531081621,346,433
1531081905,1,2
1531084538,1,2
1531088448,1,0
1531089050,4,4
1531091149,1,0
1531092421,398,420
1531095100,1,3
1531095856,3,0
1531096248,786,63
1531101043,0,16
1531102836,2,0
1531103404,1193,1605
1531106070,2,4
1531110498,8,0
1531110600,88,241
1531114265,480,733
1531116635,1,1
1531117240,4,0
1531117940,22,66
1531122646,1,0
1531124446,2,0
1531125392,509,843
1531127753,2,1
1531131648,4,0
1531132557,9,15
1531135621,493,679
1531138571,8,2
1531138850,14,1
1531139406,1,3
1531142439,1,7
1531143007,212,187
1531144249,0,32
1531146046,3,0
1531146609,443,568
1531147545,1,0
1531149347,1,5
1531153237,2,1
1531153803,4,1
1531154650,39,43
1531157221,448,504
1531160143,3,1
1531161342,8,20
1531162339,3,3
1531163804,1,0
1531167687,5,0
1531168204,455,370
1531170242,2,8
1531174865,2,0
1531175400,2,1
1531177308,1,0
1531179036,435,469
1531179939,0,256
1531181186,5,3
1531182600,828,76
1531187440,0,18
1531189682,1,0
1531189800,1712,1748
1531192505,1,1
1531196446,6,0
1531197109,90,458
1531200942,604,674
1531201552,2,0
1531203642,3,2
1531204237,15,51
1531205213,1,0
1531206113,1,0
1531209049,1,0
1531210851,2,0
1531211400,540,618
1531213306,2,0
1531218043,2,0
1531218652,4,6
1531221643,1,0
1531222021,504,518
1531223725,3,2
1531225397,2,0
1531225800,5,4
1531230011,212,210
1531232207,0,34
1531232842,6,0
1531233000,488,569
1531234567,4,0
1531239647,2,1
1531240200,5,5
1531243468,122,173
1531243621,423,461
1531244934,2,1
1531246850,3,0
1531247400,4,1
1531249716,6,3
1531254053,5,0
1531254952,431,419
1531255610,2,3
1531256446,0,256
1531258549,1,0
1531261244,2,0
1531261800,3,1
1531265502,438,336
1531266643,1,0
1531268449,1,0
1531272979,813,75
1531273846,0,12
1531275650,3,0
1531276203,1676,1628
1531276427,4,0
1531282845,7,0
1531283400,156,804
1531285560,1,0
1531286821,610,620
1531287662,4,1
1531290043,3,0
1531290716,8,9
1531297248,3,0
1531297800,549,532
1531297916,1,0
1531299712,1,0
1531304430,2,0
1531305000,23,22
1531307743,0,3
1531308421,502,612
1531310756,8,0
1531311645,1,0
1531312200,32,45
1531315835,229,215
1531316902,45,41
1531318279,5,28
1531318951,9,0
1531319407,522,616
1531326062,1,0
1531326600,18,43
1531328449,0,255
1531329331,1,4
1531330021,427,495
1531333247,7,1
1531333800,10,23
1531337323,2,1
1531337750,1,0
1531338650,1,0
1531339540,1,0
1531340050,4,1
1531340441,6,0
1531340821,470,501
1531341600,2,4
1531346443,0,1
1531347664,2,0
1531348800,4,4
1531350940,2,1
1531351621,420,407
1531354857,12,0
1531355513,1,0
1531356000,751,85
1531361068,0,16
1531361731,4,4
1531362042,4,0
1531362421,1064,1066
1531363200,365,552
1531363844,1,0
1531369252,6,0
1531370400,131,489
1531372576,6,0
1531373221,636,602
1531373750,1,0
1531375694,1,1
1531376451,3,0
1531377600,54,92
1531379750,1,0
1531380046,1,0
1531381225,2,0
1531383412,3,3
1531383646,1,0
1531384021,589,487
1531384800,15,31
1531385209,2,0
1531390848,4,0
1531391741,2,0
1531392069,11,21
1531394569,4,2
1531395042,589,555
1531395950,1,0
1531398167,2,0
1531399200,7,11
1531401422,0,9
1531402555,7,0
1531403143,220,210
1531403458,0,30
1531405231,32,29
1531405242,1,0
1531405569,2,0
1531405879,523,538
1531406145,1,0
1531406400,1,11
1531407045,1,0
1531410340,1,0
1531412465,0,1
1531413905,4,6
1531416335,4,2
1531416421,453,485
1531419858,6,0
1531420800,2,2
1531425144,1,0
1531426852,3,0
1531427241,4,5
1531427800,434,426
1531428000,2,5
1531434757,1,0
1531435200,1,4
1531438203,174,243
1531441249,2,1
1531442703,795,117
1531443047,1,0
1531446651,0,10
1531448821,1140,1149
1531449799,369,715
1531455648,9,0
1531456800,105,348
1531458349,1,0
1531458934,3,6
1531459943,656,664
1531460745,0,248
1531462861,2,1
1531464304,46,86
1531468012,0,249
1531470158,5,1
1531470648,578,475
1531471200,13,24
1531477249,2,0
1531478656,8,19
1531479050,1,0
1531481221,570,522
1531481750,5,0
1531484451,4,0
1531485600,6,8
1531488948,1,8
1531489609,151,218
1531489850,0,48
1531491006,2,0
1531491646,4,0
1531492021,521,492
1531493313,31,34
1531497946,1,0
1531498550,0,256
1531498836,2,0
1531500000,4,8
1531502149,3,0
1531502821,468,436
1531505146,1,0
1531506036,5,0
1531507200,1,3
1531512504,1,1
1531513048,2,3
1531513244,3,0
1531513621,465,495
1531514400,2,5
1531521600,1,4
1531524421,406,502
1531528800,773,119
