DateTime,AddedIPs,RemovedIPs
1531352522,1,0
1531353122,2,0
1531353722,3,0
1531354922,4,0
1531355581,8,0
1531356122,3,0
1531356722,1,0
1531357321,1,0
1531357922,2,0
1531358522,4,0
1531359122,1,0
1531359722,3,0
1531360322,1,0
1531360921,3,0
1531361523,3,0
1531362122,9,0
1531362722,1,0
1531363322,5,0
1531364522,6,0
1531365123,5,0
1531365722,14,0
1531366922,5,0
1531367522,2,0
1531368122,10,0
1531369322,3,0
1531370522,5,2
1531371122,1,0
1531371722,3,1
1531372322,2,0
1531372922,11,0
1531374123,7,0
1531374722,5,0
1531375321,6,0
1531375922,1,0
1531376522,9,0
1531377722,3,0
1531378321,1,0
1531378923,6,0
1531379522,1,0
1531380121,3,0
1531380721,2,0
1531382521,5,0
1531383122,2,0
1531383722,17,0
1531384381,2,0
1531386122,1,0
1531386721,1,0
1531387322,4,0
1531387922,1,0
1531388522,3,0
1531389122,9,0
1531390322,5,0
1531390921,2,0
1531392122,4,0
1531393321,9,1
1531393922,1,0
1531394523,1,0
1531395122,7,0
1531395722,4,0
1531396321,3,0
1531396922,5,0
1531397522,1,0
1531398122,1,0
1531398781,2,0
1531399322,1,0
1531399922,1,0
1531400522,8,0
1531401122,3,0
1531401722,2,0
1531402321,1,0
1531402922,1,0
1531403437,5,0
1531404121,2,0
1531405322,9,0
1531406522,7,0
1531407722,6,0
1531408321,7,0
1531408923,3,0
1531409522,2,0
1531410122,1,0
1531410722,3,0
1531411322,2,0
1531412522,4,0
1531413181,4,0
1531413722,2,0
1531414322,1,0
1531414922,5,0
1531416122,2,0
1531417322,3,0
1531418522,1,0
1531420922,2,0
1531422122,5,0
1531423322,8,0
1531423981,7,0
1531424521,2,0
1531425722,11,0
1531426323,5,0
1531427521,1,0
1531428121,3,0
1531430522,3,0
1531431721,5,0
1531434722,4,2
1531435322,2,0
1531436521,2,0
1531437122,1,0
1531437722,6,1
1531438322,2,0
1531438922,5,0
1531440122,3,0
1531440722,6,0
1531441322,1,1
1531442522,4,0
1531443721,2,0
1531444922,3,0
1531445581,1,0
1531446122,2,0
1531446722,1,0
1531447322,12,0
1531448522,6,0
1531449121,10,0
1531449722,8,0
1531450322,3,0
1531450922,5,0
1531452122,3,0
1531452722,1,0
1531453322,14,0
1531453921,9,0
1531454522,6,0
1531455122,2,0
1531455722,3,0
1531456922,5,0
1531457522,1,0
1531458121,3,0
1531458722,2,0
1531459322,6,0
1531460522,1,0
1531461722,3,0
1531462922,6,0
1531463522,1,0
1531465322,1,0
1531465922,1,0
1531466521,4,0
1531469522,1,0
1531470122,6,0
1531471323,26,0
1531472522,12,1
1531473722,13,0
1531474922,3,0
1531475522,4,0
1531476122,1,2
1531476722,2,0
1531477322,4,0
1531477922,1,0
1531478522,5,0
1531479721,3,0
1531480922,4,0
1531482122,5,0
1531483322,18,0
1531483922,10,0
1531484521,2,0
1531485122,3,0
1531485722,4,0
1531486922,7,1
1531488122,4,0
1531489322,6,0
1531489922,3,0
1531490522,2,0
1531491122,3,0
1531491721,4,0
1531492322,2,0
1531492921,2,0
1531494122,7,0
1531494722,3,0
1531495322,7,0
1531495981,2,0
1531497121,1,0
1531497722,2,1
1531498322,3,0
1531500122,5,0
1531501322,9,0
1531501922,2,0
1531502522,2,0
1531503122,4,0
1531503722,4,0
1531504922,5,0
1531506122,2,0
1531506721,9,0
1531507322,2,0
1531507921,15,0
1531508522,5,0
1531509121,3,0
1531509721,1,0
1531510922,3,0
1531513322,2,0
1531514521,11,0
1531515123,1,0
1531515721,4,0
1531516922,7,0
1531517582,2,0
1531518121,2,0
1531519323,5,0
1531520522,8,0
1531521181,5,0
1531521722,2,0
1531522321,4,0
1531522923,6,0
1531523522,2,0
1531524122,3,0
1531525322,1,0
1531526523,8,0
1531527122,6,0
1531527721,2,0
1531528381,4,0
1531528922,3,0
1531530721,14,0
1531531322,2,0
1531531922,11,0
1531532523,5,0
1531533121,12,0
1531533722,3,0
1531534323,3,0
1531535582,25,0
1531536122,15,0
1531536722,3,1
1531537322,17,0
1531537922,12,0
1531538522,19,0
1531539722,9,0
1531540322,8,0
1531540922,8,0
1531542122,6,0
1531542781,17,0
1531543322,4,0
1531543922,19,0
1531544522,1,0
1531545721,4,0
1531546922,6,0
1531547522,13,0
1531548122,7,0
1531548722,11,0
1531549321,13,0
1531549981,4,2
1531550521,36,0
1531551122,7,0
1531551722,8,0
1531552321,3,0
1531552921,17,1
1531553521,2,0
1531554122,5,0
1531554722,10,0
1531555322,13,0
1531555921,5,0
1531556522,15,0
1531557181,2,1
1531557723,9,0
1531558322,8,0
1531559522,3,0
1531560122,5,0
1531560781,7,0
1531561322,2,1
1531563121,6,0
1531563722,7,0
1531564381,1,0
1531564921,5,0
1531565522,7,0
1531566122,8,0
1531566722,7,0
1531567922,3,0
1531568522,6,0
1531569122,3,0
1531569722,3,0
1531570922,2,0
1531571522,1,0
1531572121,5,0
1531572722,4,0
1531573322,11,0
1531573921,1,0
1531574522,10,0
1531575182,4,0
1531575722,7,0
1531576322,4,0
1531576922,7,0
1531577522,6,0
1531578122,2,0
1531578722,5,0
1531579321,2,0
1531580522,7,0
1531581722,4,0
1531582321,6,0
1531582922,1,0
1531584122,6,0
1531584721,4,0
1531585322,8,0
