DateTime,AddedIPs,RemovedIPs
1531283407,929,402
1531284306,832,581
1531285206,667,463
1531286105,713,745
1531287005,765,674
1531287906,693,1511
1531288806,587,1743
1531289705,670,1744
1531290605,711,1028
1531291505,634,1183
1531292405,676,689
1531293306,495,1289
1531294205,517,1572
1531295105,577,2692
1531296005,705,1394
1531296906,651,989
1531297805,590,1266
1531298705,605,1368
1531299606,640,546
1531300506,637,624
1531301405,692,828
1531302305,820,558
1531303206,877,650
1531304106,695,174
1531305005,752,193
1531305906,722,657
1531306806,835,587
1531307706,710,677
1531308606,658,907
1531309505,734,1137
1531310406,821,767
1531311306,640,324
1531312206,894,956
1531313107,635,1231
1531314006,636,1518
1531314906,705,1732
1531315807,698,2478
1531316707,744,799
1531317607,590,850
1531318507,724,767
1531319407,694,1200
1531320308,643,2439
1531321208,965,1075
1531322109,1025,1868
1531323008,978,1866
1531323910,766,761
1531324809,807,368
1531325710,904,1691
1531326612,773,421
1531327510,748,985
1531328410,602,494
1531329311,585,1042
1531330211,613,757
1531331111,527,310
1531332010,560,740
1531332912,852,527
1531333811,704,535
1531334711,595,403
1531335610,584,167
1531336512,589,268
1531337411,657,298
1531338312,529,391
1531339211,460,542
1531340111,494,258
1531341012,498,324
1531341912,497,1287
1531342812,537,895
1531343714,621,1544
1531344613,657,769
1531345512,553,796
1531346412,619,728
1531347312,739,258
1531348213,508,623
1531349112,478,323
1531350013,525,182
1531350914,510,244
1531351813,502,281
1531352714,448,406
1531353613,534,656
1531354513,490,458
1531355412,497,488
1531356313,552,110
1531357214,529,181
1531358113,653,855
1531359013,569,592
1531359913,567,676
1531360813,584,429
1531361744,538,504
1531362614,750,1186
1531363515,644,1327
1531364414,605,495
1531365314,618,1314
1531366216,518,625
1531367114,535,399
1531368014,735,319
1531368914,836,145
1531369813,828,631
1531370714,766,176
1531371612,682,156
1531372513,651,767
1531373415,648,731
1531374313,650,218
1531375213,703,1072
1531376113,633,1337
1531377013,671,1412
1531377913,708,544
1531378814,644,587
1531379712,661,324
1531380614,645,311
1531381513,542,447
1531382414,784,896
1531383312,632,707
1531384213,573,162
1531385114,592,1435
1531386014,751,393
1531386913,636,260
1531387812,714,358
1531388713,732,244
1531389613,1075,541
1531390512,776,221
1531391411,707,344
1531392311,712,100
1531393211,687,68
1531394112,684,34
1531395011,812,234
1531395911,779,1516
1531396812,603,286
1531397711,749,62
1531398610,727,62
1531399511,678,66
1531400411,638,52
1531401312,674,570
1531402213,1110,7445
1531403112,803,136
1531404011,831,148
1531404912,792,85
1531405811,818,66
1531406711,705,117
1531407611,674,51
1531408511,601,117
1531409410,652,73
1531410312,856,120
1531411211,760,78
1531412110,777,60
1531413010,879,75
1531413910,702,47
1531414810,653,584
1531415710,578,650
1531416610,619,661
1531417509,527,577
1531418411,670,664
1531419309,705,507
1531420210,1021,84
1531421109,905,111
1531422010,823,107
1531422908,883,91
1531423807,864,90
1531424708,894,205
1531425609,789,234
1531426509,771,250
1531427407,796,201
1531428308,789,149
1531429208,859,169
1531430107,867,852
1531431007,957,735
1531431906,795,619
1531432808,804,480
1531434606,1484,1362
1531435506,706,749
1531436406,746,627
1531437306,848,682
1531438207,727,441
1531439106,716,555
1531440007,788,801
1531440905,856,792
1531441805,771,908
1531442705,865,682
1531443606,837,778
1531444506,790,612
1531445407,799,677
1531446305,956,751
1531447205,681,535
1531448105,736,624
1531449005,720,685
1531449905,785,770
1531450804,690,752
1531451705,752,1032
1531452604,804,988
1531453504,771,1122
1531454405,762,3689
1531455306,853,3870
1531456205,951,1284
1531457106,967,7429
1531458007,1101,5212
1531458907,1243,3534
1531459807,1092,99
1531460707,1038,78
1531461607,1043,923
1531462507,1010,1065
1531463408,1039,725
1531464308,1064,1275
1531465208,1010,3798
1531466108,1030,857
1531467008,938,1335
1531467910,840,808
1531468810,900,954
1531469710,900,509
1531470609,841,529
1531471510,1047,497
1531472410,1171,1022
1531473311,1102,609
1531474212,1061,249
1531475111,1037,1102
1531476011,988,943
1531476911,955,1887
1531477813,818,1221
1531478711,846,566
1531479611,811,586
1531480513,972,616
1531481412,955,708
1531482312,878,604
1531483212,949,431
1531484112,1134,579
1531485011,1569,484
1531485911,1349,237
1531486811,985,285
1531487714,804,436
1531488613,868,797
1531489512,1032,2670
1531490413,905,2810
1531491315,925,4050
1531492214,910,2233
1531493114,1005,763
1531494014,867,230
1531494915,859,657
1531495814,865,944
1531496716,877,1004
1531497616,936,2164
1531498517,1029,907
1531499415,1142,821
1531500317,810,762
1531501218,898,891
1531502119,792,1012
1531503018,854,1129
1531503918,819,858
1531504818,807,862
1531505718,806,598
1531506619,738,284
1531507519,925,982
1531508417,759,473
1531509317,829,648
1531511119,1543,1952
1531512019,744,519
1531512917,815,56
1531513816,779,89
1531514716,742,54
1531515616,702,268
1531516516,778,558
1531517415,770,42
1531518317,802,309
1531519217,791,1006
1531520118,801,568
1531521014,718,508
1531521914,665,390
1531522816,708,5136
1531523716,854,607
1531524618,840,483
1531525516,789,775
1531526415,813,146
1531527316,783,107
1531528218,955,108
1531529116,765,177
1531530017,810,1379
1531530920,863,752
1531531817,847,1285
1531532720,896,39
1531533617,781,114
1531534516,741,113
1531535416,789,100
1531536316,718,103
1531537217,747,163
1531538117,775,3582
1531539016,743,311
1531539920,737,229
1531540816,682,340
1531541715,880,403
1531542615,822,203
1531543514,1056,94
1531544415,865,123
1531545314,711,46
1531546214,833,127
1531547113,951,238
1531548013,854,936
1531548913,737,824
1531549812,632,634
1531550713,637,579
1531551612,723,701
1531552510,721,671
1531553412,800,597
1531554313,981,103
1531555211,856,25
1531556109,874,115
1531557009,834,70
1531557910,779,85
1531558809,748,63
1531559709,644,63
1531560609,652,46
1531561510,724,126
1531562411,705,179
1531563309,591,441
1531564209,631,565
1531565110,646,154
1531566010,625,287
1531566909,735,201
1531567809,619,420
1531568709,773,647
1531569608,714,517
1531570507,689,422
1531571407,764,336
1531572308,720,449
1531573208,728,887
1531574108,840,1010
1531575008,930,865
1531575906,906,952
1531576807,810,921
1531577707,745,772
1531578605,779,760
1531579506,797,824
1531580405,836,947
1531581307,812,728
1531582207,767,805
1531583104,753,709
1531584005,906,932
1531584905,947,1055
1531585805,981,847
1531586705,920,1005
1531587604,872,842
1531588504,792,668
1531589405,790,724
1531590305,697,1037
1531591204,831,807
1531592104,843,734
1531593005,835,736
1531593905,751,656
1531594804,681,634
1531595704,750,695
1531596605,756,660
1531597505,759,617
1531598404,740,753
1531599305,793,701
1531600204,810,743
1531601105,818,739
1531602004,781,787
1531602905,728,726
1531603804,707,607
1531604704,717,608
1531605605,705,662
1531606504,620,637
1531607405,653,604
1531608305,606,611
1531609204,658,585
1531610104,535,631
1531611004,589,675
1531611905,568,831
1531612804,552,913
1531613704,545,1341
1531614604,609,2421
1531615505,487,2947
1531616406,552,3847
1531617306,520,2081
1531618205,533,859
1531619107,553,907
1531620006,511,744
1531620905,551,584
1531621805,568,583
1531622706,704,4952
1531623607,770,2220
1531624507,679,515
1531625406,570,302
1531626307,599,238
1531627206,627,198
1531628106,588,141
1531629005,676,111
1531629907,616,104
1531630805,656,136
1531631706,573,148
1531632606,485,177
1531633506,491,188
1531634407,499,194
1531635307,493,215
1531636206,531,361
1531637107,486,423
1531638007,795,647
1531638906,597,782
1531639806,579,873
1531640707,572,86
1531641607,597,121
1531642506,494,76
1531643406,434,65
1531644306,513,95
1531645207,566,121
1531646107,616,187
1531647007,537,251
1531647906,509,390
1531648806,601,623
1531649707,574,566
1531650605,522,658
1531651506,552,663
1531652406,657,746
1531653307,760,868
1531654208,814,662
1531655107,746,510
1531656007,822,397
1531656907,816,240
1531657807,847,498
1531658707,794,590
1531659607,880,563
1531660506,782,682
1531661406,688,708
1531662306,772,872
1531663205,752,483
1531664106,831,557
1531665006,970,567
1531665906,956,673
1531666806,877,597
1531667706,763,632
1531668606,805,577
1531669506,754,550
1531670405,751,635
1531671305,713,675
1531672206,757,812
1531673106,701,690
1531674006,781,1801
1531674907,673,2764
1531675806,801,3497
1531677607,1254,2842
1531678506,678,1129
1531679407,674,1409
1531680307,637,1224
1531681207,555,849
1531682107,638,877
1531683006,668,702
1531683907,628,806
1531684807,616,606
1531685708,635,526
1531686608,604,423
1531687507,552,229
1531688407,634,279
1531690207,1268,454
1531691106,573,150
1531692008,586,131
1531692906,610,229
1531693807,575,183
1531694707,587,465
1531695607,618,249
1531696508,612,1919
1531697407,603,2101
1531698307,664,4016
1531699207,714,970
1531700108,745,369
1531701007,661,271
1531701907,666,369
1531702808,621,371
1531703708,654,449
1531704609,809,650
1531705508,815,739
1531706408,814,273
1531707308,808,84
1531708207,764,88
1531709108,833,303
1531710008,725,302
1531710909,803,356
1531711808,719,157
1531712708,662,134
1531713608,714,130
1531714508,696,349
1531715408,787,77
1531716308,704,136
1531717208,813,82
1531718109,940,179
1531719008,949,68
1531719908,768,113
1531720808,794,369
1531721706,906,963
1531722607,810,1604
1531723507,607,1312
1531724407,575,924
1531725307,694,1098
1531726207,693,1030
1531727107,673,621
1531728007,1053,689
1531728907,756,429
1531729807,766,582
1531730707,1136,827
1531731607,673,635
1531732507,605,413
1531733407,648,374
1531734307,502,312
1531735206,660,374
1531736106,744,393
