DateTime,AddedIPs,RemovedIPs
1528932636,0,2
1528936234,1,0
1528940437,0,7
1528944036,1,0
1528949437,0,4
1528954236,0,4
1528962037,0,10
1528969834,0,3
1528974037,0,5
1528984834,0,7
1528987836,0,5
1528995639,0,7
1529002836,1,8
1529010037,0,1
1529014237,0,2
1529019635,1,3
1529024437,0,6
1529032234,2,0
1529037037,0,2
1529040635,2,0
1529044236,0,3
1529047834,0,4
1529051437,0,6
1529058638,0,3
1529061633,0,4
1529068834,0,5
1529073038,1,4
1529076634,1,0
1529079636,1,3
1529083838,1,3
1529087435,4,0
1529091037,3,3
1529094635,1,1
1529101834,3,1
1529108434,1,0
1529112642,0,5
1529123438,1,3
1529130635,0,2
1529134837,1,6
1529143234,0,3
1529146836,1,0
1529150434,0,8
1529154037,0,3
1529161237,0,3
1529164834,0,3
1529168437,7,0
1529172035,30,6
1529176236,9,4
1529181637,3,6
1529186437,3,10
1529193636,1,0
1529197234,1,2
1529201438,1,10
1529206236,2,0
1529209834,2,4
1529217034,0,4
1529220636,1,0
1529224234,2,2
1529227836,0,3
1529230835,0,1
1529238034,1,1
1529242237,0,1
1529245834,1,0
1529249436,0,1
1529252435,6,3
1529256637,2,4
1529260235,1,0
1529263236,0,2
1529266836,3,0
1529270437,0,3
1529274035,0,6
1529277637,1,0
1529281836,0,4
1529292033,0,4
1529299836,1,3
1529303434,1,0
1529306437,1,1
1529310034,1,0
1529313636,1,2
1529320834,3,2
1529328034,1,6
1529332237,0,2
1529335835,1,0
1529338838,1,3
1529343037,1,0
1529346635,13,0
1529350836,1,7
1529355036,3,2
1529362235,3,7
1529365836,3,1
1529370036,0,2
1529373634,1,0
1529377238,2,1
1529380235,1,5
1529387435,1,6
1529394634,0,6
1529398237,1,12
1529402437,0,4
1529406037,1,0
1529409037,0,3
1529416234,3,1
1529419837,1,3
1529427036,1,3
1529431237,1,4
1529438439,3,1
1529442035,1,0
1529445637,1,1
1529449235,2,6
1529452236,1,3
1529456437,8,2
1529460035,13,0
1529463036,2,4
1529467236,2,3
1529473836,1,6
1529477434,4,0
1529481637,3,6
1529485234,3,0
1529488837,1,0
1529491834,0,2
1529496036,0,7
1529503236,0,7
1529506834,1,8
