DateTime,AddedIPs,RemovedIPs
1529176234,2,1
1529181634,2,1
1529186435,4,7
1529190033,1,0
1529193634,3,0
1529197232,3,2
1529201436,0,9
1529206234,3,0
1529209832,2,2
1529213434,2,0
1529217032,4,1
1529220634,3,0
1529224232,4,0
1529227834,4,3
1529230833,2,2
1529234435,1,0
1529238032,1,1
1529242235,0,2
1529245832,4,0
1529249434,3,2
1529252432,2,1
1529256635,3,3
1529263234,4,3
1529266833,1,0
1529270435,1,1
1529274032,1,5
1529277634,1,0
1529281834,0,5
1529285432,2,0
1529289034,2,0
1529292031,1,3
1529295634,2,0
1529299834,1,3
1529303431,4,0
1529306434,5,0
1529310031,1,0
1529313634,0,2
1529320832,1,3
1529328032,1,2
1529332235,4,2
1529335833,1,0
1529338835,2,1
1529343035,2,3
1529350834,2,3
1529355034,4,3
1529359234,2,0
1529362233,3,4
1529365834,3,6
1529370034,0,4
1529373632,2,0
1529377236,1,3
1529380233,1,3
1529394632,1,3
1529398235,2,2
1529402435,2,2
1529406035,2,0
1529409035,1,2
1529416232,2,1
1529419835,3,2
1529423433,2,0
1529427034,2,3
1529431235,1,7
1529438436,2,1
1529442033,1,0
1529445634,2,5
1529449232,2,2
1529452234,0,1
1529456435,5,1
1529460032,3,0
1529463034,4,1
1529467234,1,2
1529470832,2,0
1529473833,1,2
1529477432,3,0
1529481635,4,3
1529485232,4,0
1529488834,2,0
1529491832,1,4
1529496034,1,3
1529499632,3,0
1529503234,2,3
1529506832,1,4
1529509834,1,0
1529512832,3,2
1529517634,3,3
1529521232,2,0
1529524835,0,4
1529528433,2,0
1529532634,1,0
1529536834,2,0
1529540432,5,1
1529544035,3,0
1529551232,2,3
1529554834,1,0
1529562034,1,3
1529565634,1,0
1529572833,2,7
1529576435,2,0
1529580034,3,0
1529583634,1,2
1529587834,1,3
1529591432,3,0
1529595035,2,1
1529598032,2,3
1529602235,2,4
1529605833,1,0
1529609434,1,2
1529612432,3,2
1529616034,1,0
1529620234,1,5
1529623831,1,0
1529627434,1,4
1529631033,2,0
1529634633,1,0
1529638836,1,3
1529643634,1,2
1529647232,3,0
1529650835,1,2
1529654432,2,1
1529661633,0,9
1529668232,1,5
1529672434,0,5
1529676033,3,0
1529679035,1,0
1529682632,3,1
1529686835,3,3
1529690432,3,0
1529694035,2,3
1529697632,1,0
1529700634,2,5
1529704835,2,7
1529708432,3,0
1529715634,1,7
1529719232,4,0
1529722834,3,0
1529725831,1,3
1529729434,1,0
1529733031,3,2
1529736634,1,4
1529740232,0,3
1529744434,2,2
1529748032,1,0
1529755234,2,5
1529758832,2,0
1529762434,3,0
1529766032,2,6
1529769034,0,5
1529773235,5,4
1529776832,3,0
1529780435,4,2
1529783432,5,0
1529788235,2,7
1529793035,3,0
1529796632,2,0
1529799633,1,2
1529803232,2,2
1529807434,1,2
1529811032,1,0
1529814034,1,2
1529821231,3,5
1529829634,2,6
1529832631,1,0
1529835634,2,0
1529843432,0,7
1529847035,1,0
1529850633,4,1
1529854235,0,2
1529857231,1,0
1529865032,2,3
1529868035,1,3
1529871632,1,3
1529875234,1,2
1529879435,1,2
1529883634,1,1
1529887834,1,2
1529896835,1,1
1529901633,0,3
1529907034,4,1
1529911834,0,3
1529915431,2,0
1529918434,5,7
1529925631,2,5
1529929833,1,2
1529936433,0,2
1529940033,3,0
1529944234,1,8
1529947832,2,0
1529950834,3,1
1529954431,2,3
1529958635,3,0
1529962232,0,3
1529969431,1,7
1529973634,1,3
1529977834,3,3
1529988634,1,0
1529992232,0,3
1529996433,4,6
1530000032,2,0
1530007232,3,4
1530010833,1,5
1530013831,3,0
1530017433,1,3
1530024632,1,2
1530031831,1,1
1530035434,1,0
1530039032,3,5
1530043234,2,4
1530053433,0,3
1530057033,2,3
1530060631,2,1
1530064233,1,0
1530067831,0,2
1530071434,1,1
1530075031,1,0
1530078633,1,3
1530082834,0,1
1530086431,1,0
1530089433,3,1
1530093634,2,4
1530097232,1,0
1530100833,2,2
1530104432,0,1
1530107433,2,0
1530111634,3,5
1530118234,2,0
1530125432,3,1
1530129033,2,4
1530132631,1,0
1530139832,2,1
1530143433,2,4
1530150631,3,2
1530154233,1,3
1530162033,1,6
1530165632,3,0
1530169233,1,9
1530175833,0,1
1530179432,2,0
1530183033,0,3
1530190232,0,6
1530193834,0,1
1530197431,1,0
1530201033,2,5
1530204632,2,0
1530208233,3,5
1530212434,2,1
1530220234,2,2
1530225633,1,4
1530228631,2,0
1530232233,0,3
1530238832,0,1
1530242431,3,2
1530246033,5,0
1530249631,1,4
1530257431,3,0
1530261033,1,1
1530264632,4,2
1530268233,3,0
1530271831,3,2
1530274833,0,2
1530282033,2,3
1530285631,2,1
1530289233,3,0
1530292833,2,5
1530297034,2,3
1530304234,1,4
1530312034,2,1
1530317433,1,1
1530319831,1,0
1530324033,2,2
1530327631,3,0
1530331233,1,2
1530334831,2,0
1530337833,1,2
1530342034,2,3
1530345632,1,0
1530348633,2,0
1530352834,1,2
1530356432,1,0
1530360034,0,5
1530363631,1,1
1530366633,1,0
1530370232,0,3
1530373834,3,0
1530378034,0,2
1530385234,0,3
1530388832,2,0
1530392434,1,2
1530396634,1,0
1530401433,1,0
1530405032,1,4
1530409233,4,3
1530415834,1,0
1530418830,0,2
1530422433,3,0
1530426031,2,5
1530430834,3,2
1530434433,3,0
1530438634,2,1
1530442834,4,2
1530446433,8,0
1530450035,10,3
1530453632,4,2
1530457834,7,3
1530461432,9,0
1530464434,4,2
1530468032,5,0
1530471634,2,2
1530478832,6,3
1530482436,4,3
1530485432,4,0
1530489634,2,2
1530493835,3,1
1530499235,3,1
1530504034,1,0
1530508234,3,5
1530511833,5,0
1530517234,1,1
1530520232,3,2
1530523836,1,0
1530526832,3,1
1530531034,3,1
1530534632,6,0
1530539433,3,3
1530543636,3,1
1530547232,2,0
1530552034,3,2
1530556833,2,2
1530562233,2,5
1530565832,2,0
1530568845,3,1
1530572432,6,4
1530576033,3,0
1530580233,2,1
1530585033,3,2
1530589233,1,4
1530594633,1,0
1530597632,7,0
1530601233,4,0
1530604832,4,5
1530612032,1,7
1530616238,4,2
1530621034,3,4
1530625233,1,0
1530630635,0,1
1530635433,2,3
1530639032,3,0
1530643234,3,6
1530648034,3,0
1530651633,6,1
1530655234,4,1
1530658831,4,0
1530662433,1,0
1530666031,0,3
1530669634,1,2
1530676831,2,0
1530680434,1,2
1530684633,2,7
1530690034,1,0
1530695431,2,6
1530700831,4,0
1530706231,1,3
1530709831,1,0
1530715231,0,7
1530720032,3,6
1530724232,1,5
1530735032,1,1
1530739832,1,7
1530743430,1,0
1530747030,2,0
1530750630,2,3
1530754831,1,5
1530760231,2,2
1530765631,1,2
1530769831,1,5
1530774631,3,0
1530777631,1,4
1530781831,2,1
1530787832,1,1
1530792632,3,7
1530798032,1,3
1530803431,2,0
1530808231,4,5
1530811830,2,0
1530815432,1,0
1530819030,1,3
1530822631,4,2
1530829831,1,7
1530833431,0,5
1530840630,3,1
1530844832,3,6
1530848431,2,0
1530853831,4,6
1530859231,2,4
1530864631,2,3
1530873031,2,8
1530880231,2,3
1530884431,4,1
1530888031,4,0
1530891631,2,3
1530896432,2,5
1530900631,3,0
1530906031,2,3
1530909030,4,0
1530912632,1,0
1530919830,4,5
1530924030,2,5
1530927631,2,0
1530933631,2,2
1530941430,4,0
1530945634,1,4
1530949230,1,0
1530954031,2,0
1530958231,3,2
1530963632,2,1
1530969031,2,3
1530974431,1,0
1530978030,3,4
1530982831,2,2
1530986431,1,0
1530990032,2,4
1530993631,2,0
1530997232,4,3
1531005030,0,2
1531009831,9,2
1531013431,6,0
1531017631,3,4
1531023031,1,2
1531028431,0,2
1531032031,2,0
1531036832,2,0
1531040431,3,0
1531044032,3,4
1531047631,5,1
1531051232,2,0
1531058458,5,4
1531062032,3,0
1531065631,3,2
1531069232,16,0
1531076434,4,2
1531085433,3,8
1531094433,11,2
1531104033,6,2
1531114233,15,4
1531128653,12,6
1531143633,18,6
1531157433,14,6
1531168834,15,9
1531181433,7,3
1531195833,6,2
1531209634,12,3
1531222233,8,3
1531233632,7,3
1531245033,10,5
1531255833,6,2
1531266632,8,5
1531279232,6,5
1531291232,6,4
1531304433,8,6
1531315232,7,2
1531326633,10,4
1531335632,5,3
1531345233,6,0
1531356033,4,2
1531368631,8,7
1531381232,7,3
1531392032,7,3
1531403433,8,6
1531413632,6,4
1531424433,9,3
1531434032,10,5
1531443032,6,6
1531454432,10,3
1531464632,4,7
1531475432,9,4
1531486232,5,3
1531496433,9,3
1531506032,8,5
1531515633,6,4
1531524632,8,4
1531534231,8,7
1531546832,11,1
1531557632,5,4
1531567832,11,5
1531577432,8,4
1531585849,8,4
1531594907,7,2
1531604432,11,1
1531612832,5,5
1531623632,3,6
1531633831,2,4
1531642832,5,7
1531651832,10,5
1531661432,7,4
1531670432,3,6
1531679432,8,1
1531689032,6,3
1531698031,5,3
1531707632,11,3
1531717831,12,3
1531728032,5,0
