DateTime,AddedIPs,RemovedIPs
1529281834,23,22
1529285432,25,24
1529289034,24,26
1529292031,23,22
1529295634,25,24
1529299834,23,25
1529303431,23,23
1529306434,26,24
1529310031,26,27
1529313634,24,25
1529320832,23,23
1529328032,18,20
1529332235,25,22
1529335833,21,22
1529338835,26,25
1529343035,22,24
1529346632,18,20
1529350834,24,21
1529355034,21,21
1529359234,19,18
1529362233,24,24
1529365834,21,24
1529370034,23,20
1529373632,26,26
1529377236,22,24
1529380233,25,23
1529383834,21,24
1529387433,24,22
1529394632,20,20
1529398235,20,23
1529402435,23,21
1529406035,26,24
1529409035,22,24
1529416232,19,21
1529419835,25,22
1529423433,24,24
1529427034,25,24
1529431235,22,22
1529434832,25,25
1529438436,25,25
1529442033,22,23
1529445634,26,24
1529449232,24,26
1529452234,21,23
1529456435,22,20
1529460032,24,24
1529463034,24,24
1529467234,24,22
1529470832,22,24
1529473833,23,24
1529477432,23,22
1529481635,22,22
1529485232,23,23
1529488834,20,22
1529491832,25,22
1529496034,22,22
1529499632,22,22
1529503234,19,23
1529506832,23,20
1529509834,24,23
1529512832,23,25
1529517634,21,19
1529521232,23,26
1529524835,23,21
1529528433,20,21
1529532634,24,23
1529536834,20,24
1529540432,23,17
1529544035,27,27
1529551232,22,23
1529554834,22,24
1529562034,19,18
1529565634,24,24
1529572833,20,21
1529576435,20,22
1529580034,21,18
1529583634,22,23
1529587834,17,18
1529591432,22,19
1529595035,24,23
1529598032,22,25
1529602235,20,21
1529605833,19,18
1529609434,22,22
1529612432,22,22
1529616034,24,23
1529620234,23,22
1529623831,23,25
1529627434,22,22
1529631033,22,20
1529634633,23,22
1529638836,24,26
1529643634,21,21
1529647232,25,23
1529650835,23,24
1529654432,19,23
1529658034,20,20
1529661633,22,20
1529665234,23,22
1529668232,23,24
1529672434,23,22
1529676033,26,24
1529679035,21,26
1529682632,22,21
1529686835,24,22
1529690432,23,23
1529694035,23,24
1529697632,24,24
1529700634,22,23
1529704835,26,22
1529708432,20,24
1529711433,23,21
1529715634,22,21
1529719232,24,26
1529722834,23,23
1529725831,26,24
1529729434,27,26
1529733031,25,27
1529736634,22,24
1529740232,24,22
1529744434,21,22
1529748032,24,24
1529751034,23,23
1529755234,25,23
1529758832,23,25
1529762434,26,24
1529766032,23,25
1529769034,16,19
1529773235,25,21
1529776832,25,25
1529780435,20,22
1529783432,22,20
1529788235,24,23
1529793035,15,16
1529796632,21,24
1529799633,21,22
1529803232,24,20
1529807434,18,20
1529811032,23,21
1529814034,23,24
1529821231,19,21
1529824833,24,20
1529829634,20,22
1529832631,23,23
1529835634,24,23
1529843432,18,18
1529847035,23,23
1529850633,23,23
1529854235,22,24
1529857231,23,22
1529865032,22,19
1529868035,20,25
1529871632,21,20
1529875234,25,23
1529879435,21,22
1529883634,19,19
1529887834,21,22
1529892634,20,19
1529896835,24,22
1529901633,19,22
1529907034,21,20
1529911834,22,23
1529915431,22,22
1529918434,27,23
1529925631,24,26
1529929833,23,24
1529933432,22,22
1529936433,23,23
1529940033,22,23
1529944234,23,22
1529947832,23,22
1529950834,23,24
1529954431,26,23
1529958635,19,23
1529962232,22,21
1529969431,22,21
1529973634,22,23
1529977834,24,22
